Orthogroup	Praq	Syam
OG0000001	Praq.g_00160, Praq.g_01394, Praq.g_01393	Syam.g_00946
OG0000002	Praq.g_00168, Praq.g_00807	Syam.g_00931
OG0000004	Praq.g_00824	Syam.g_00787
OG0000004	Praq.g_01770	Syam.g_01499, Syam.g_00501
OG0000005	Praq.g_00484	Syam.g_02004
OG0000005	Praq.g_00370	Syam.g_01970
OG0000006	Praq.g_01761	Syam.g_00286, Syam.g_00518
OG0000007	Praq.g_01105	Syam.g_00602
OG0000007	Praq.g_00497	Syam.g_01990
OG0000008	Praq.g_00071	Syam.g_00810
OG0000009	Praq.g_01898	Syam.g_02119
OG0000010	Praq.g_00552, Praq.g_01626, Praq.g_00525	Syam.g_01669
OG0000012	Praq.g_00979	Syam.g_00794, Syam.g_00994, Syam.g_01492
OG0000013	Praq.g_01675	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Praq.g_01696	Syam.g_00191
OG0000015	Praq.g_00065	Syam.g_01218, Syam.g_01362
OG0000017	Praq.g_01004	Syam.g_01715
OG0000018	Praq.g_01314, Praq.g_01425	Syam.g_01640
OG0000019	Praq.g_01753, Praq.g_00649	Syam.g_00274
OG0000022	Praq.g_00635, Praq.g_01296	Syam.g_01418
OG0000023	Praq.g_01184	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Praq.g_00618, Praq.g_00804	Syam.g_00815
OG0000025	Praq.g_01432, Praq.g_01671	Syam.g_00740
OG0000026	Praq.g_01234, Praq.g_01633	Syam.g_00035
OG0000027	Praq.g_00521	Syam.g_01442, Syam.g_00989
OG0000028	Praq.g_01682, Praq.g_00103	Syam.g_00176
OG0000029	Praq.g_01168, Praq.g_00627	Syam.g_01390, Syam.g_01055
OG0000030	Praq.g_00772	Syam.g_00104, Syam.g_00103
OG0000031	Praq.g_00209	Syam.g_00086
OG0000032	Praq.g_00202	Syam.g_00079
OG0000033	Praq.g_01833	Syam.g_02217
OG0000034	Praq.g_00143	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Praq.g_00294	Syam.g_01612
OG0000037	Praq.g_01894	Syam.g_02125
OG0000038	Praq.g_00716	Syam.g_02317
OG0000039	Praq.g_00815	Syam.g_00749
OG0000041	Praq.g_00451	Syam.g_01899
OG0000042	Praq.g_00770	Syam.g_00107
OG0000044	Praq.g_00058	Syam.g_01562
OG0000045	Praq.g_01172	Syam.g_02028
OG0000047	Praq.g_01137, Praq.g_01672	Syam.g_00434
OG0000048	Praq.g_01169	Syam.g_00243
OG0000053	Praq.g_01246, Praq.g_00314	Syam.g_01636
OG0000054	Praq.g_00996	Syam.g_01515
OG0000055	Praq.g_00650	Syam.g_00754
OG0000057	Praq.g_00827	Syam.g_00784
OG0000058	Praq.g_00218, Praq.g_00271	Syam.g_00169
OG0000059	Praq.g_00927	Syam.g_00320
OG0000061	Praq.g_01333	Syam.g_01795
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syam.g_00039
OG0000065	Praq.g_01896	Syam.g_02121
OG0000066	Praq.g_01063	Syam.g_00552, Syam.g_00662
OG0000067	Praq.g_00670	Syam.g_01290
OG0000068	Praq.g_00175	Syam.g_00575
OG0000070	Praq.g_01107	Syam.g_01847
OG0000071	Praq.g_00133	Syam.g_01830
OG0000072	Praq.g_01831	Syam.g_02219
OG0000073	Praq.g_01103	Syam.g_00604
OG0000075	Praq.g_00739	Syam.g_00148
OG0000076	Praq.g_01243, Praq.g_00763	Syam.g_00115
OG0000077	Praq.g_01925	Syam.g_02074
OG0000078	Praq.g_01763	Syam.g_00514
OG0000081	Praq.g_01071	Syam.g_00520
OG0000082	Praq.g_01018	Syam.g_01730
OG0000086	Praq.g_01915	Syam.g_02092
OG0000087	Praq.g_01864	Syam.g_02175
OG0000088	Praq.g_01836	Syam.g_02213
OG0000089	Praq.g_01188	Syam.g_00489
OG0000090	Praq.g_01069	Syam.g_00651
OG0000091	Praq.g_00960	Syam.g_01460
OG0000094	Praq.g_01600	Syam.g_01198
OG0000097	Praq.g_01374	Syam.g_00874
OG0000098	Praq.g_00157	Syam.g_00944
OG0000099	Praq.g_00216	Syam.g_00173
OG0000100	Praq.g_00368	Syam.g_01259
OG0000101	Praq.g_00879	Syam.g_00371
OG0000102	Praq.g_00768	Syam.g_00110
OG0000103	Praq.g_00414	Syam.g_02428
OG0000104	Praq.g_00422	Syam.g_02442
OG0000105	Praq.g_01729	Syam.g_00238
OG0000106	Praq.g_01173	Syam.g_01039
OG0000107	Praq.g_01158	Syam.g_00288
OG0000108	Praq.g_00531	Syam.g_00583
OG0000109	Praq.g_00545	Syam.g_00598
OG0000110	Praq.g_01028	Syam.g_01743
OG0000112	Praq.g_00638	Syam.g_01115
OG0000113	Praq.g_01420	Syam.g_01264
OG0000114	Praq.g_01490	Syam.g_01349
OG0000115	Praq.g_01278	Syam.g_01634
OG0000116	Praq.g_01323	Syam.g_01807
OG0000117	Praq.g_00084	Syam.g_00904
OG0000118	Praq.g_00145	Syam.g_01698
OG0000120	Praq.g_00208	Syam.g_00172
OG0000121	Praq.g_00296	Syam.g_01615
OG0000122	Praq.g_00334	Syam.g_01436
OG0000123	Praq.g_00873	Syam.g_00379
OG0000124	Praq.g_00682	Syam.g_00096
OG0000125	Praq.g_00718	Syam.g_02319
OG0000126	Praq.g_00421	Syam.g_02440
OG0000128	Praq.g_00437	Syam.g_00012
OG0000129	Praq.g_01259	Syam.g_02307
OG0000130	Praq.g_01934	Syam.g_02062
OG0000131	Praq.g_01857	Syam.g_02191
OG0000132	Praq.g_01838	Syam.g_02211
OG0000133	Praq.g_01680	Syam.g_01120
OG0000134	Praq.g_01187	Syam.g_00492
OG0000135	Praq.g_01160	Syam.g_02347
OG0000136	Praq.g_01116	Syam.g_01857
OG0000137	Praq.g_00526	Syam.g_01668
OG0000138	Praq.g_00546	Syam.g_00599
OG0000139	Praq.g_01065	Syam.g_00657
OG0000140	Praq.g_01064	Syam.g_00659
OG0000141	Praq.g_00995	Syam.g_01514
OG0000142	Praq.g_00967	Syam.g_01468
OG0000143	Praq.g_00963	Syam.g_01464
OG0000144	Praq.g_00781	Syam.g_01032
OG0000145	Praq.g_00637	Syam.g_00605
