Orthogroup	Praq	Prar
OG0000000	Praq.g_00117	Prar.g_00971
OG0000000	Praq.g_01956	Prar.g_00713
OG0000000	Praq.g_00026	Prar.g_00729
OG0000000	Praq.g_00025	Prar.g_01204
OG0000000	Praq.g_01392	Prar.g_01204
OG0000000	Praq.g_00115	Prar.g_00973
OG0000000	Praq.g_00028	Prar.g_00727
OG0000001	Praq.g_00160	Prar.g_00926
OG0000001	Praq.g_01394	Prar.g_01202
OG0000001	Praq.g_01393	Prar.g_01203
OG0000002	Praq.g_00168	Prar.g_00918
OG0000002	Praq.g_00807	Prar.g_01508
OG0000004	Praq.g_00824	Prar.g_01525
OG0000004	Praq.g_01770	Prar.g_00095
OG0000005	Praq.g_00484	Prar.g_01130
OG0000005	Praq.g_00370	Prar.g_00771
OG0000006	Praq.g_01761	Prar.g_00086
OG0000007	Praq.g_01105	Prar.g_01328
OG0000007	Praq.g_00497	Prar.g_01143
OG0000008	Praq.g_00071	Prar.g_01185
OG0000008	Praq.g_00801	Prar.g_01502
OG0000009	Praq.g_00017	Prar.g_00737
OG0000009	Praq.g_01898	Prar.g_00223
OG0000010	Praq.g_00552	Prar.g_01567
OG0000010	Praq.g_01626	Prar.g_01912
OG0000010	Praq.g_00525	Prar.g_00524
OG0000011	Praq.g_00110	Prar.g_00978
OG0000011	Praq.g_00100	Prar.g_00988
OG0000012	Praq.g_00979	Prar.g_01453
OG0000013	Praq.g_01675	Prar.g_00260
OG0000014	Praq.g_01696	Prar.g_00281
OG0000015	Praq.g_00065	Prar.g_01179
OG0000017	Praq.g_01004	Prar.g_01428
OG0000018	Praq.g_01314	Prar.g_01282
OG0000018	Praq.g_01425	Prar.g_01711
OG0000019	Praq.g_01753	Prar.g_00078
OG0000019	Praq.g_00649	Prar.g_01663
OG0000020	Praq.g_01281	Prar.g_01315
OG0000020	Praq.g_00073	Prar.g_01187
OG0000020	Praq.g_00041	Prar.g_01007
OG0000020	Praq.g_00041	Prar.g_01155
OG0000020	Praq.g_00080	Prar.g_01007
OG0000020	Praq.g_00080	Prar.g_01155
OG0000020	Praq.g_00547	Prar.g_01561
OG0000021	Praq.g_01179	Prar.g_00425
OG0000022	Praq.g_00635	Prar.g_01649
OG0000022	Praq.g_01296	Prar.g_01300
OG0000023	Praq.g_01184	Prar.g_00420
OG0000024	Praq.g_00618	Prar.g_01634
OG0000024	Praq.g_00804	Prar.g_01505
OG0000025	Praq.g_01432	Prar.g_01718
OG0000025	Praq.g_01671	Prar.g_00256
OG0000026	Praq.g_01234	Prar.g_00007
OG0000026	Praq.g_01633	Prar.g_01919
OG0000027	Praq.g_00521	Prar.g_00520
OG0000028	Praq.g_01682	Prar.g_00267
OG0000028	Praq.g_00103	Prar.g_00985
OG0000029	Praq.g_01168	Prar.g_00436
OG0000030	Praq.g_00772	Prar.g_00662
OG0000031	Praq.g_00209	Prar.g_00879
OG0000032	Praq.g_00202	Prar.g_00886
OG0000033	Praq.g_01833	Prar.g_00158
OG0000034	Praq.g_00143	Prar.g_00945
OG0000035	Praq.g_00294	Prar.g_00339
OG0000037	Praq.g_01894	Prar.g_00219
OG0000038	Praq.g_00716	Prar.g_00702
OG0000039	Praq.g_00815	Prar.g_01516
OG0000040	Praq.g_01955	Prar.g_00715
OG0000040	Praq.g_01313	Prar.g_01283
OG0000041	Praq.g_00451	Prar.g_00602
OG0000042	Praq.g_00770	Prar.g_00660
OG0000043	Praq.g_01469	Prar.g_01755
OG0000044	Praq.g_00058	Prar.g_01172
OG0000045	Praq.g_00567	Prar.g_01583
OG0000045	Praq.g_01172	Prar.g_00432
OG0000047	Praq.g_01137	Prar.g_00468
OG0000047	Praq.g_01672	Prar.g_00257
OG0000048	Praq.g_01169	Prar.g_00435
OG0000049	Praq.g_01159	Prar.g_00445
OG0000049	Praq.g_00059	Prar.g_01173
OG0000049	Praq.g_00085	Prar.g_01002
OG0000049	Praq.g_00046	Prar.g_01160
OG0000050	Praq.g_01654	Prar.g_01940
OG0000053	Praq.g_01246	Prar.g_00589
OG0000053	Praq.g_00314	Prar.g_00827
OG0000054	Praq.g_00996	Prar.g_01436
OG0000055	Praq.g_00650	Prar.g_01664
OG0000057	Praq.g_00827	Prar.g_01528
OG0000058	Praq.g_00218	Prar.g_00870
OG0000058	Praq.g_00271	Prar.g_00362
OG0000059	Praq.g_00927	Prar.g_01090
OG0000061	Praq.g_01333	Prar.g_01263
OG0000062	Praq.g_00372	Prar.g_00769
OG0000063	Praq.g_01237	Prar.g_00004
OG0000063	Praq.g_01236	Prar.g_00005
OG0000063	Praq.g_00075	Prar.g_01189
OG0000065	Praq.g_01896	Prar.g_00221
OG0000066	Praq.g_01063	Prar.g_01369
OG0000067	Praq.g_00670	Prar.g_01684
OG0000068	Praq.g_00175	Prar.g_00911
OG0000069	Praq.g_00056	Prar.g_01170
OG0000069	Praq.g_00018	Prar.g_00736
OG0000070	Praq.g_01107	Prar.g_00498
OG0000071	Praq.g_00133	Prar.g_00955
OG0000072	Praq.g_01831	Prar.g_00156
OG0000073	Praq.g_01103	Prar.g_01330
OG0000074	Praq.g_00811	Prar.g_01512
OG0000075	Praq.g_00739	Prar.g_00629
OG0000076	Praq.g_01243	Prar.g_00592
OG0000076	Praq.g_00763	Prar.g_00653
OG0000077	Praq.g_01925	Prar.g_00250
OG0000078	Praq.g_01763	Prar.g_00088
OG0000081	Praq.g_01071	Prar.g_01361
OG0000082	Praq.g_01018	Prar.g_01414
OG0000083	Praq.g_00614	Prar.g_01630
OG0000083	Praq.g_00607	Prar.g_01623
OG0000084	Praq.g_00290	Prar.g_00343
OG0000086	Praq.g_01915	Prar.g_00240
OG0000087	Praq.g_01864	Prar.g_00189
OG0000088	Praq.g_01836	Prar.g_00161
OG0000089	Praq.g_01188	Prar.g_00416
OG0000090	Praq.g_01069	Prar.g_01363
OG0000091	Praq.g_00960	Prar.g_01472
OG0000092	Praq.g_01495	Prar.g_01781
OG0000092	Praq.g_00725	Prar.g_00615
OG0000093	Praq.g_01516	Prar.g_01801
OG0000094	Praq.g_01600	Prar.g_01885
OG0000095	Praq.g_01619	Prar.g_01904
OG0000096	Praq.g_00081	Prar.g_01006
OG0000096	Praq.g_01283	Prar.g_01313
