Orthogroup	Praq	Prbc
OG0000000	Praq.g_00117	Prbc.g_02163, Prbc.g_00103
OG0000000	Praq.g_01956	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Praq.g_00026	Prbc.g_02165
OG0000000	Praq.g_00025, Praq.g_01392	Prbc.g_00525
OG0000002	Praq.g_00168	Prbc.g_01920
OG0000002	Praq.g_00807	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Praq.g_00824	Prbc.g_01381
OG0000004	Praq.g_01770	Prbc.g_00339
OG0000005	Praq.g_00484	Prbc.g_00098
OG0000005	Praq.g_00370	Prbc.g_00788
OG0000006	Praq.g_01761	Prbc.g_02202
OG0000007	Praq.g_01105	Prbc.g_01556
OG0000007	Praq.g_00497	Prbc.g_00832
OG0000008	Praq.g_00071	Prbc.g_00893
OG0000010	Praq.g_00525	Prbc.g_02115, Prbc.g_01533
OG0000011	Praq.g_00110	Prbc.g_00164
OG0000011	Praq.g_00100	Prbc.g_00136
OG0000012	Praq.g_00979	Prbc.g_02155
OG0000013	Praq.g_01675	Prbc.g_01219
OG0000014	Praq.g_01696	Prbc.g_01198
OG0000015	Praq.g_00065	Prbc.g_00599
OG0000017	Praq.g_01004	Prbc.g_01681
OG0000018	Praq.g_01314	Prbc.g_01468
OG0000018	Praq.g_01425	Prbc.g_01887
OG0000019	Praq.g_00649	Prbc.g_01836
OG0000020	Praq.g_01281	Prbc.g_02114
OG0000020	Praq.g_00073	Prbc.g_00054
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Prbc.g_00116
OG0000021	Praq.g_01179	Prbc.g_00924
OG0000022	Praq.g_00635	Prbc.g_00166
OG0000022	Praq.g_01296	Prbc.g_01288
OG0000023	Praq.g_01184	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Praq.g_00618	Prbc.g_00598
OG0000024	Praq.g_00804	Prbc.g_01755
OG0000025	Praq.g_01432, Praq.g_01671	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Praq.g_01234, Praq.g_01633	Prbc.g_01101
OG0000027	Praq.g_00521	Prbc.g_00072
OG0000028	Praq.g_00103	Prbc.g_00653
