Orthogroup	Praq	Prai
OG0000000	Praq.g_00117	Prai.g_00905, Prai.g_01772
OG0000000	Praq.g_01956	Prai.g_01612
OG0000000	Praq.g_00026	Prai.g_01592
OG0000000	Praq.g_00025	Prai.g_00908
OG0000000	Praq.g_01392	Prai.g_00908
OG0000000	Praq.g_00025	Prai.g_01234
OG0000000	Praq.g_01392	Prai.g_01234
OG0000000	Praq.g_00025	Prai.g_01591
OG0000000	Praq.g_01392	Prai.g_01591
OG0000000	Praq.g_00025	Prai.g_01775
OG0000000	Praq.g_01392	Prai.g_01775
OG0000000	Praq.g_00028	Prai.g_01314
OG0000001	Praq.g_00160	Prai.g_01235, Prai.g_01356
OG0000001	Praq.g_01394	Prai.g_01236
OG0000002	Praq.g_00168	Prai.g_01363
OG0000002	Praq.g_00807	Prai.g_00707
OG0000004	Praq.g_00824	Prai.g_00724
OG0000004	Praq.g_01770	Prai.g_00243
OG0000005	Praq.g_00484	Prai.g_01651
OG0000005	Praq.g_00370	Prai.g_01538
OG0000006	Praq.g_01761	Prai.g_00252, Prai.g_00254
OG0000007	Praq.g_01105	Prai.g_00527
OG0000007	Praq.g_00497	Prai.g_01638
OG0000008	Praq.g_00071, Praq.g_00801	Prai.g_00701
OG0000009	Praq.g_00017	Prai.g_01578
OG0000009	Praq.g_01898	Prai.g_00105
OG0000010	Praq.g_00552	Prai.g_01292
OG0000010	Praq.g_01626	Prai.g_01067
OG0000010	Praq.g_00525	Prai.g_00504
OG0000012	Praq.g_00979	Prai.g_00652
OG0000013	Praq.g_01675	Prai.g_00340
OG0000014	Praq.g_01696	Prai.g_00319
OG0000015	Praq.g_00065	Prai.g_01243
OG0000017	Praq.g_01004	Prai.g_00626
OG0000018	Praq.g_01314	Prai.g_01153
OG0000018	Praq.g_01425	Prai.g_00820
OG0000019	Praq.g_01753	Prai.g_00262
OG0000019	Praq.g_00649	Prai.g_00867
OG0000020	Praq.g_01281	Prai.g_01125
OG0000020	Praq.g_00073	Prai.g_01248
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Prai.g_00400
OG0000021	Praq.g_01179	Prai.g_00378
OG0000022	Praq.g_00635	Prai.g_00885
OG0000022	Praq.g_01296	Prai.g_01139
OG0000023	Praq.g_01184	Prai.g_00373
OG0000024	Praq.g_00618	Prai.g_00899
OG0000024	Praq.g_00804	Prai.g_00704
OG0000025	Praq.g_01432	Prai.g_00812
OG0000025	Praq.g_01671	Prai.g_00344
OG0000026	Praq.g_01234	Prai.g_00031
OG0000026	Praq.g_01633	Prai.g_01074
OG0000027	Praq.g_00521	Prai.g_00904
OG0000028	Praq.g_01682	Prai.g_00333
OG0000028	Praq.g_00103	Prai.g_01297
OG0000029	Praq.g_00627	Prai.g_00890
OG0000030	Praq.g_00772	Prai.g_01848
OG0000031	Praq.g_00209	Prai.g_01444
OG0000033	Praq.g_01833	Prai.g_00180
OG0000034	Praq.g_00143	Prai.g_01345
OG0000035	Praq.g_00294	Prai.g_01463
OG0000037	Praq.g_01894	Prai.g_00109
OG0000038	Praq.g_00716	Prai.g_01890
OG0000039	Praq.g_00815	Prai.g_00715
OG0000041	Praq.g_00451	Prai.g_01684
OG0000042	Praq.g_00770	Prai.g_01845
OG0000043	Praq.g_01469	Prai.g_01064
OG0000045	Praq.g_00567	Prai.g_01274
OG0000045	Praq.g_01172	Prai.g_00384
OG0000047	Praq.g_01137	Prai.g_00424
OG0000047	Praq.g_01672	Prai.g_00343
OG0000048	Praq.g_01169	Prai.g_00387
OG0000049	Praq.g_01159	Prai.g_00394
OG0000049	Praq.g_00059	Prai.g_01246
OG0000049	Praq.g_00085	Prai.g_00437
OG0000049	Praq.g_00046	Prai.g_00433, Prai.g_01256
OG0000050	Praq.g_01654	Prai.g_01093
OG0000053	Praq.g_01246, Praq.g_00314	Prai.g_01483
OG0000054	Praq.g_00996	Prai.g_00634
OG0000055	Praq.g_00650	Prai.g_00866
OG0000057	Praq.g_00827	Prai.g_00727
OG0000058	Praq.g_00271	Prai.g_01859
OG0000059	Praq.g_00927	Prai.g_01725
OG0000061	Praq.g_01333	Prai.g_01171
OG0000062	Praq.g_00372	Prai.g_01540
OG0000063	Praq.g_01237, Praq.g_01236	Prai.g_00033
OG0000063	Praq.g_00075	Prai.g_01261
OG0000065	Praq.g_01896	Prai.g_00107
