Orthogroup	Praq	Praj
OG0000000	Praq.g_00117	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Praq.g_01956	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Praq.g_00026	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Praq.g_00025, Praq.g_01392	Praj.g_00087
OG0000001	Praq.g_01394	Praj.g_01112
OG0000002	Praq.g_00168	Praj.g_00832
OG0000002	Praq.g_00807	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Praq.g_00824	Praj.g_01396
OG0000004	Praq.g_01770	Praj.g_00271
OG0000005	Praq.g_00484	Praj.g_01349
OG0000005	Praq.g_00370	Praj.g_01712
OG0000006	Praq.g_01761	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Praq.g_01105	Praj.g_00489
OG0000007	Praq.g_00497	Praj.g_01768
OG0000008	Praq.g_00071	Praj.g_01829
OG0000010	Praq.g_00525	Praj.g_01026, Praj.g_00466
OG0000011	Praq.g_00110	Praj.g_01187
OG0000011	Praq.g_00100	Praj.g_01158
OG0000012	Praq.g_00979	Praj.g_01066
OG0000013	Praq.g_01675	Praj.g_00362
OG0000014	Praq.g_01696	Praj.g_00341
OG0000015	Praq.g_00065	Praj.g_01113
OG0000017	Praq.g_01004	Praj.g_00592
OG0000018	Praq.g_01314	Praj.g_01482
OG0000018	Praq.g_01425	Praj.g_00798
OG0000019	Praq.g_00649	Praj.g_00747
OG0000020	Praq.g_01281	Praj.g_01025
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Praj.g_01139
OG0000021	Praq.g_01179	Praj.g_01859
OG0000022	Praq.g_00635	Praj.g_01189
OG0000022	Praq.g_01296	Praj.g_01216
OG0000023	Praq.g_01184	Praj.g_01365, Praj.g_01329
OG0000024	Praq.g_00618	Praj.g_01134
OG0000024	Praq.g_00804	Praj.g_00666
OG0000025	Praq.g_01432, Praq.g_01671	Praj.g_00805
OG0000026	Praq.g_01234, Praq.g_01633	Praj.g_00031
OG0000027	Praq.g_00521	Praj.g_01331
OG0000028	Praq.g_00103	Praj.g_01571
OG0000029	Praq.g_00627	Praj.g_01745
OG0000030	Praq.g_00772	Praj.g_02024
OG0000031	Praq.g_00209	Praj.g_00371
OG0000033	Praq.g_01833	Praj.g_00209
OG0000034	Praq.g_00143	Praj.g_01538
OG0000035	Praq.g_00294	Praj.g_01632
OG0000037	Praq.g_01894	Praj.g_00147
OG0000038	Praq.g_00716	Praj.g_02089
OG0000039	Praq.g_00815	Praj.g_00679
OG0000040	Praq.g_01955	Praj.g_01735
OG0000041	Praq.g_00451	Praj.g_01813
OG0000042	Praq.g_00770	Praj.g_02020
OG0000043	Praq.g_01469	Praj.g_00864
OG0000045	Praq.g_00567	Praj.g_01303
OG0000045	Praq.g_01172	Praj.g_01049
OG0000047	Praq.g_01137	Praj.g_00408
OG0000047	Praq.g_01672	Praj.g_00370
OG0000048	Praq.g_01169	Praj.g_00308
OG0000050	Praq.g_01654	Praj.g_00099
OG0000053	Praq.g_01246, Praq.g_00314	Praj.g_01651
OG0000054	Praq.g_00996	Praj.g_00594
OG0000055	Praq.g_00650	Praj.g_00733
OG0000057	Praq.g_00827	Praj.g_00691, Praj.g_01313
OG0000058	Praq.g_00218, Praq.g_00271	Praj.g_00839
OG0000059	Praq.g_00927	Praj.g_01892
OG0000061	Praq.g_01333	Praj.g_01461
OG0000062	Praq.g_00372	Praj.g_01714
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Praj.g_01867
OG0000065	Praq.g_01896	Praj.g_00145
OG0000066	Praq.g_01063	Praj.g_00530
OG0000067	Praq.g_00670	Praj.g_00769
OG0000068	Praq.g_00175	Praj.g_01575
OG0000069	Praq.g_00056, Praq.g_00018	Praj.g_01276, Praj.g_01675
OG0000070	Praq.g_01107	Praj.g_00444
OG0000071	Praq.g_00133	Praj.g_01528
OG0000072	Praq.g_01831	Praj.g_00211
OG0000073	Praq.g_01103	Praj.g_00491
OG0000074	Praq.g_00811	Praj.g_00674
OG0000075	Praq.g_00739	Praj.g_01987
OG0000076	Praq.g_01243, Praq.g_00763	Praj.g_02012
OG0000077	Praq.g_01925	Praj.g_00116
OG0000078	Praq.g_01763	Praj.g_00280
OG0000081	Praq.g_01071	Praj.g_00522
OG0000082	Praq.g_01018	Praj.g_01827
OG0000083	Praq.g_00614, Praq.g_00607	Praj.g_01121, Praj.g_00411
OG0000084	Praq.g_00290	Praj.g_01628
OG0000086	Praq.g_01915	Praj.g_00126
OG0000087	Praq.g_01864	Praj.g_00179
OG0000088	Praq.g_01836	Praj.g_00206
OG0000089	Praq.g_01188	Praj.g_00403
OG0000090	Praq.g_01069	Praj.g_00524
OG0000091	Praq.g_00960	Praj.g_00630
OG0000092	Praq.g_01495	Praj.g_00892
OG0000093	Praq.g_01516	Praj.g_00754
OG0000094	Praq.g_01600	Praj.g_00846
OG0000095	Praq.g_01619	Praj.g_01024
OG0000096	Praq.g_00081, Praq.g_01283, Praq.g_00097	Praj.g_01249
OG0000097	Praq.g_01374	Praj.g_01416
OG0000098	Praq.g_00157	Praj.g_01546
OG0000099	Praq.g_00216	Praj.g_00372
OG0000100	Praq.g_00368	Praj.g_01709
OG0000101	Praq.g_00879	Praj.g_01952
OG0000102	Praq.g_00768	Praj.g_02017
OG0000103	Praq.g_00414	Praj.g_02135
OG0000104	Praq.g_00422	Praj.g_02145
OG0000105	Praq.g_01729	Praj.g_00310
OG0000106	Praq.g_01173	Praj.g_01156, Praj.g_01282
OG0000107	Praq.g_01158	Praj.g_01869
OG0000108	Praq.g_00531	Praj.g_00473
OG0000109	Praq.g_00545	Praj.g_00486
OG0000110	Praq.g_01028	Praj.g_00565
OG0000111	Praq.g_00828	Praj.g_00692
OG0000112	Praq.g_00638	Praj.g_00938
OG0000113	Praq.g_01420	Praj.g_00793, Praj.g_01176
OG0000114	Praq.g_01490	Praj.g_00887
OG0000115	Praq.g_01278	Praj.g_01725
OG0000116	Praq.g_01323	Praj.g_01471
OG0000117	Praq.g_00084	Praj.g_01355
OG0000118	Praq.g_00145	Praj.g_01540
OG0000119	Praq.g_00171	Praj.g_01568
OG0000120	Praq.g_00208	Praj.g_00664
OG0000121	Praq.g_00296	Praj.g_01634
OG0000122	Praq.g_00334	Praj.g_01673
OG0000123	Praq.g_00873	Praj.g_01959
OG0000124	Praq.g_00682	Praj.g_02031
OG0000125	Praq.g_00718	Praj.g_02091
OG0000126	Praq.g_00421	Praj.g_02144
OG0000128	Praq.g_00437	Praj.g_00011
OG0000129	Praq.g_01259	Praj.g_00048
OG0000130	Praq.g_01934	Praj.g_00107
OG0000131	Praq.g_01857	Praj.g_00185
OG0000132	Praq.g_01838	Praj.g_00204
OG0000133	Praq.g_01680	Praj.g_00357
OG0000134	Praq.g_01187	Praj.g_00405
OG0000135	Praq.g_01160	Praj.g_01279
OG0000136	Praq.g_01116	Praj.g_00435
OG0000137	Praq.g_00526	Praj.g_00467
OG0000138	Praq.g_00546	Praj.g_00487
OG0000139	Praq.g_01065	Praj.g_00528
OG0000140	Praq.g_01064	Praj.g_00529
OG0000141	Praq.g_00995	Praj.g_00595
OG0000142	Praq.g_00967	Praj.g_00623
OG0000143	Praq.g_00963	Praj.g_00627
OG0000144	Praq.g_00781	Praj.g_00640
OG0000145	Praq.g_00637	Praj.g_01054
OG0000146	Praq.g_00639	Praj.g_00937
OG0000147	Praq.g_00640	Praj.g_00936
OG0000148	Praq.g_01414	Praj.g_00787
OG0000149	Praq.g_01444	Praj.g_00819
OG0000150	Praq.g_01452	Praj.g_00828
OG0000151	Praq.g_01500	Praj.g_00898
OG0000152	Praq.g_01548	Praj.g_01601, Praj.g_00946
OG0000153	Praq.g_01567	Praj.g_00965
OG0000154	Praq.g_01593	Praj.g_00995
OG0000155	Praq.g_01353	Praj.g_01440
OG0000156	Praq.g_00122	Praj.g_01517
OG0000157	Praq.g_00123	Praj.g_01518
OG0000158	Praq.g_00258	Praj.g_01995
OG0000159	Praq.g_00253	Praj.g_02043
OG0000160	Praq.g_00295	Praj.g_01633
OG0000161	Praq.g_00301	Praj.g_01639
OG0000162	Praq.g_00307	Praj.g_01645
OG0000163	Praq.g_00341	Praj.g_01681
OG0000164	Praq.g_00473	Praj.g_01790
OG0000165	Praq.g_00466	Praj.g_01798
OG0000166	Praq.g_00915	Praj.g_01915
OG0000167	Praq.g_00737	Praj.g_01985
OG0000168	Praq.g_00747	Praj.g_01996
OG0000169	Praq.g_00757	Praj.g_02006
OG0000170	Praq.g_00759	Praj.g_02008
OG0000171	Praq.g_00681	Praj.g_02030
OG0000172	Praq.g_00689	Praj.g_02061
OG0000173	Praq.g_00704	Praj.g_02076
OG0000174	Praq.g_00396	Praj.g_02107
OG0000175	Praq.g_00406	Praj.g_02125
OG0000176	Praq.g_00430	Praj.g_00004
OG0000177	Praq.g_00431	Praj.g_00005
OG0000178	Praq.g_00432	Praj.g_00006
OG0000179	Praq.g_01219	Praj.g_00016
