Orthogroup	Praq	Prat
OG0000000	Praq.g_00117	Prat.g_01191
OG0000000	Praq.g_00026	Prat.g_01549
OG0000002	Praq.g_00168	Prat.g_00977
OG0000002	Praq.g_00807	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Praq.g_00824	Prat.g_00772
OG0000004	Praq.g_01770	Prat.g_00236
OG0000005	Praq.g_00370	Prat.g_01440
OG0000006	Praq.g_01761	Prat.g_00248
OG0000007	Praq.g_01105	Prat.g_00458
OG0000007	Praq.g_00497	Prat.g_01592
OG0000008	Praq.g_00071	Prat.g_00376
OG0000010	Praq.g_00525	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000011	Praq.g_00100	Prat.g_01532
OG0000012	Praq.g_00979	Prat.g_00586
OG0000013	Praq.g_01675	Prat.g_00334
OG0000014	Praq.g_01696	Prat.g_00314
OG0000015	Praq.g_00065	Prat.g_00701
OG0000017	Praq.g_01004	Prat.g_00560
OG0000018	Praq.g_01314	Prat.g_01177
OG0000018	Praq.g_01425	Prat.g_01009
OG0000019	Praq.g_01753	Prat.g_00255
OG0000019	Praq.g_00649	Prat.g_01180
OG0000020	Praq.g_01281	Prat.g_01470
OG0000020	Praq.g_00073	Prat.g_00617
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Prat.g_00648
OG0000021	Praq.g_01179	Prat.g_00854
OG0000022	Praq.g_00635	Prat.g_01192
OG0000022	Praq.g_01296	Prat.g_01448
OG0000023	Praq.g_01184	Prat.g_00834
OG0000024	Praq.g_00618	Prat.g_00622
OG0000024	Praq.g_00804	Prat.g_00749
OG0000025	Praq.g_01432, Praq.g_01671	Prat.g_01003
OG0000026	Praq.g_01234, Praq.g_01633	Prat.g_00033
OG0000027	Praq.g_00521	Prat.g_01474
OG0000028	Praq.g_01682	Prat.g_00327
OG0000028	Praq.g_00103	Prat.g_00380
OG0000030	Praq.g_00772	Prat.g_01799
OG0000031	Praq.g_00209	Prat.g_01266
OG0000033	Praq.g_01833	Prat.g_00170
OG0000034	Praq.g_00143	Prat.g_01259
OG0000035	Praq.g_00294	Prat.g_01353
OG0000037	Praq.g_01894	Prat.g_00106
OG0000038	Praq.g_00716	Prat.g_01839
OG0000039	Praq.g_00815	Prat.g_00760
OG0000040	Praq.g_01955	Prat.g_01578
OG0000041	Praq.g_00451	Prat.g_01640
OG0000042	Praq.g_00770	Prat.g_01796
OG0000043	Praq.g_01469	Prat.g_01176
OG0000045	Praq.g_01172	Prat.g_01203
OG0000047	Praq.g_01137	Prat.g_00374
OG0000048	Praq.g_01169	Prat.g_00278
OG0000053	Praq.g_01246, Praq.g_00314	Prat.g_01375
OG0000054	Praq.g_00996	Prat.g_00569
OG0000055	Praq.g_00650	Prat.g_00852
OG0000057	Praq.g_00827	Prat.g_00775
OG0000058	Praq.g_00218, Praq.g_00271	Prat.g_01311
OG0000059	Praq.g_00927	Prat.g_01679
OG0000061	Praq.g_01333	Prat.g_01156
OG0000062	Praq.g_00372	Prat.g_01442
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Prat.g_01516
OG0000065	Praq.g_01896	Prat.g_00104
OG0000066	Praq.g_01063	Prat.g_01499
OG0000067	Praq.g_00670	Prat.g_01037
OG0000068	Praq.g_00175	Prat.g_01291
OG0000069	Praq.g_00056, Praq.g_00018	Prat.g_01400
OG0000070	Praq.g_01107	Prat.g_00412
OG0000071	Praq.g_00133	Prat.g_01249
OG0000072	Praq.g_01831	Prat.g_00172
OG0000073	Praq.g_01103	Prat.g_00462
OG0000074	Praq.g_00811	Prat.g_00755
OG0000075	Praq.g_00739	Prat.g_01761
OG0000076	Praq.g_01243, Praq.g_00763	Prat.g_01788
OG0000077	Praq.g_01925	Prat.g_00075
OG0000078	Praq.g_01763	Prat.g_00245
OG0000081	Praq.g_01071	Prat.g_00493
OG0000082	Praq.g_01018	Prat.g_01507
OG0000083	Praq.g_00614, Praq.g_00607	Prat.g_00824
OG0000084	Praq.g_00290	Prat.g_01348
OG0000086	Praq.g_01915	Prat.g_00086
OG0000087	Praq.g_01864	Prat.g_00138
OG0000088	Praq.g_01836	Prat.g_00166
OG0000089	Praq.g_01188	Prat.g_00370
OG0000090	Praq.g_01069	Prat.g_00495
OG0000091	Praq.g_00960	Prat.g_01082
OG0000092	Praq.g_01495	Prat.g_00721
OG0000092	Praq.g_00725	Prat.g_01275
OG0000093	Praq.g_01516	Prat.g_01053
OG0000094	Praq.g_01600	Prat.g_00943
OG0000095	Praq.g_01619	Prat.g_00965
OG0000096	Praq.g_00081, Praq.g_01283, Praq.g_00097	Prat.g_00634
OG0000097	Praq.g_01374	Prat.g_01111
OG0000098	Praq.g_00157	Prat.g_01282
OG0000099	Praq.g_00216	Prat.g_01312
OG0000100	Praq.g_00368	Prat.g_01437
OG0000101	Praq.g_00879	Prat.g_01726
OG0000102	Praq.g_00768	Prat.g_01793
OG0000103	Praq.g_00414	Prat.g_01880
OG0000104	Praq.g_00422	Prat.g_01889
OG0000105	Praq.g_01729	Prat.g_00281
OG0000106	Praq.g_01173	Prat.g_00637
OG0000107	Praq.g_01158	Prat.g_01656
OG0000108	Praq.g_00531	Prat.g_00440
OG0000109	Praq.g_00545	Prat.g_00455
OG0000110	Praq.g_01028	Prat.g_00539
OG0000111	Praq.g_00828	Prat.g_00776
OG0000112	Praq.g_00638	Prat.g_00888
OG0000113	Praq.g_01420	Prat.g_01014
OG0000114	Praq.g_01490	Prat.g_00716
OG0000115	Praq.g_01278	Prat.g_01373
OG0000116	Praq.g_01323	Prat.g_01166
OG0000117	Praq.g_00084	Prat.g_01129
OG0000118	Praq.g_00145	Prat.g_01261
OG0000119	Praq.g_00171	Prat.g_00647, Prat.g_01452
OG0000120	Praq.g_00208	Prat.g_00344
OG0000121	Praq.g_00296	Prat.g_01355
OG0000122	Praq.g_00334	Prat.g_00781, Prat.g_01398
OG0000123	Praq.g_00873	Prat.g_01733
OG0000124	Praq.g_00682	Prat.g_01805
OG0000125	Praq.g_00718	Prat.g_01841
OG0000126	Praq.g_00421	Prat.g_01888
OG0000128	Praq.g_00437	Prat.g_00012, Prat.g_00011
OG0000129	Praq.g_01259	Prat.g_00047
OG0000130	Praq.g_01934	Prat.g_00066
OG0000131	Praq.g_01857	Prat.g_00144
OG0000132	Praq.g_01838	Prat.g_00164
OG0000133	Praq.g_01680	Prat.g_00329
OG0000134	Praq.g_01187	Prat.g_00372
OG0000135	Praq.g_01160	Prat.g_01477
OG0000136	Praq.g_01116	Prat.g_00401
OG0000137	Praq.g_00526	Prat.g_00434
OG0000138	Praq.g_00546	Prat.g_00456
OG0000139	Praq.g_01065	Prat.g_00499
OG0000140	Praq.g_01064	Prat.g_00500
OG0000141	Praq.g_00995	Prat.g_00570
OG0000142	Praq.g_00967	Prat.g_01090
OG0000143	Praq.g_00963	Prat.g_01086
OG0000144	Praq.g_00781	Prat.g_01072
OG0000145	Praq.g_00637	Prat.g_01472
OG0000146	Praq.g_00639	Prat.g_00887
OG0000147	Praq.g_00640	Prat.g_00886
OG0000148	Praq.g_01414	Prat.g_01020
OG0000149	Praq.g_01444	Prat.g_00991
OG0000150	Praq.g_01452	Prat.g_00981
OG0000151	Praq.g_01500	Prat.g_00726
OG0000152	Praq.g_01548	Prat.g_01277
OG0000153	Praq.g_01567	Prat.g_00915
OG0000154	Praq.g_01593	Prat.g_00934
OG0000155	Praq.g_01353	Prat.g_01135
OG0000156	Praq.g_00122	Prat.g_01238
OG0000157	Praq.g_00123	Prat.g_01239
OG0000158	Praq.g_00258	Prat.g_01769
OG0000160	Praq.g_00295	Prat.g_01354
OG0000161	Praq.g_00301	Prat.g_01360
OG0000162	Praq.g_00307	Prat.g_01366
OG0000163	Praq.g_00341	Prat.g_01409
OG0000164	Praq.g_00473	Prat.g_01615
OG0000165	Praq.g_00466	Prat.g_01623
OG0000166	Praq.g_00915	Prat.g_01690
OG0000167	Praq.g_00737	Prat.g_01759
OG0000168	Praq.g_00747	Prat.g_01770
OG0000169	Praq.g_00757	Prat.g_01781
OG0000170	Praq.g_00759	Prat.g_01784
OG0000171	Praq.g_00681	Prat.g_01804
OG0000172	Praq.g_00689	Prat.g_01811
OG0000173	Praq.g_00704	Prat.g_01826
OG0000174	Praq.g_00396	Prat.g_01858
OG0000175	Praq.g_00406	Prat.g_01870
OG0000176	Praq.g_00430	Prat.g_00004
OG0000177	Praq.g_00431	Prat.g_00005
OG0000178	Praq.g_00432	Prat.g_00006
OG0000179	Praq.g_01219	Prat.g_00017
OG0000180	Praq.g_01220	Prat.g_00018
OG0000181	Praq.g_01221	Prat.g_00019
OG0000182	Praq.g_01222	Prat.g_00020
OG0000183	Praq.g_01226	Prat.g_01314, Prat.g_00024
OG0000184	Praq.g_01262	Prat.g_00051
OG0000185	Praq.g_01265	Prat.g_00054
OG0000186	Praq.g_01939	Prat.g_00060
OG0000187	Praq.g_01938	Prat.g_00061
OG0000188	Praq.g_01921	Prat.g_00080
OG0000189	Praq.g_01907	Prat.g_00093
OG0000190	Praq.g_01906	Prat.g_00094
OG0000191	Praq.g_01886	Prat.g_00116
OG0000192	Praq.g_01882	Prat.g_00121
OG0000193	Praq.g_01856	Prat.g_00145
OG0000194	Praq.g_01853	Prat.g_00148
OG0000195	Praq.g_01851	Prat.g_00150
OG0000196	Praq.g_01841	Prat.g_00161
OG0000197	Praq.g_01840	Prat.g_00162
OG0000198	Praq.g_01839	Prat.g_00163
OG0000199	Praq.g_01832	Prat.g_00171
OG0000200	Praq.g_01818	Prat.g_00185
OG0000201	Praq.g_01810	Prat.g_00194
OG0000202	Praq.g_01809	Prat.g_00195
OG0000203	Praq.g_01808	Prat.g_00196
OG0000204	Praq.g_01807	Prat.g_00197
OG0000205	Praq.g_01800	Prat.g_00204
OG0000206	Praq.g_01795	Prat.g_00209
OG0000207	Praq.g_01793	Prat.g_00211
OG0000208	Praq.g_01792	Prat.g_00212
OG0000209	Praq.g_01783	Prat.g_00221
OG0000210	Praq.g_01782	Prat.g_00222
OG0000211	Praq.g_01769	Prat.g_00238
OG0000212	Praq.g_01762	Prat.g_00246
OG0000213	Praq.g_01746	Prat.g_00264
OG0000214	Praq.g_01736	Prat.g_00274
OG0000215	Praq.g_01710	Prat.g_00300
OG0000216	Praq.g_01708	Prat.g_00302
OG0000217	Praq.g_01705	Prat.g_00305
OG0000218	Praq.g_01703	Prat.g_00307
OG0000219	Praq.g_01702	Prat.g_00308
OG0000220	Praq.g_01701	Prat.g_00309
OG0000221	Praq.g_01700	Prat.g_00310
OG0000222	Praq.g_01692	Prat.g_00317
