Orthogroup	Praq	Syap
OG0000004	Praq.g_01770	Syap.g_01987
OG0000005	Praq.g_00484	Syap.g_01773
OG0000005	Praq.g_00370	Syap.g_01218
OG0000007	Praq.g_01105	Syap.g_00275
OG0000007	Praq.g_00497	Syap.g_00621
OG0000009	Praq.g_01898	Syap.g_02081
OG0000010	Praq.g_00552, Praq.g_01626, Praq.g_00525	Syap.g_02757
OG0000013	Praq.g_01675	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praq.g_01696	Syap.g_01675
OG0000017	Praq.g_01004	Syap.g_00449
OG0000018	Praq.g_01314, Praq.g_01425	Syap.g_02010
OG0000019	Praq.g_01753, Praq.g_00649	Syap.g_01586
OG0000025	Praq.g_01432, Praq.g_01671	Syap.g_01846
OG0000027	Praq.g_00521	Syap.g_01440
OG0000028	Praq.g_01682, Praq.g_00103	Syap.g_01658
OG0000030	Praq.g_00772	Syap.g_00787, Syap.g_00788
OG0000031	Praq.g_00209	Syap.g_00722
OG0000032	Praq.g_00202	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Praq.g_01833	Syap.g_01198
OG0000034	Praq.g_00143	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praq.g_00294	Syap.g_02465
OG0000037	Praq.g_01894	Syap.g_02492
OG0000038	Praq.g_00716	Syap.g_00139
OG0000039	Praq.g_00815	Syap.g_01749, Syap.g_01748
OG0000042	Praq.g_00770	Syap.g_01891, Syap.g_01120
OG0000043	Praq.g_01469	Syap.g_01998
OG0000044	Praq.g_00058	Syap.g_00378
OG0000045	Praq.g_00567, Praq.g_01172	Syap.g_02525
OG0000048	Praq.g_01169	Syap.g_02340
OG0000053	Praq.g_01246, Praq.g_00314	Syap.g_02006
OG0000054	Praq.g_00996	Syap.g_00678
OG0000059	Praq.g_00927	Syap.g_01082, Syap.g_02478
OG0000061	Praq.g_01333	Syap.g_00228
OG0000062	Praq.g_00372	Syap.g_01365
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syap.g_01796
OG0000066	Praq.g_01063	Syap.g_01972
OG0000067	Praq.g_00670	Syap.g_00194
OG0000068	Praq.g_00175	Syap.g_00108, Syap.g_00144
OG0000070	Praq.g_01107	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Praq.g_01831	Syap.g_00555
OG0000073	Praq.g_01103	Syap.g_00273, Syap.g_01020
OG0000075	Praq.g_00739	Syap.g_01064, Syap.g_00664
OG0000076	Praq.g_01243, Praq.g_00763	Syap.g_01111
OG0000087	Praq.g_01864	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praq.g_01836	Syap.g_01202
OG0000089	Praq.g_01188	Syap.g_00115, Syap.g_02042
OG0000090	Praq.g_01069	Syap.g_01451
OG0000091	Praq.g_00960	Syap.g_01861
OG0000094	Praq.g_01600	Syap.g_02781
OG0000095	Praq.g_01619	Syap.g_01556
OG0000098	Praq.g_00157	Syap.g_01975
OG0000099	Praq.g_00216	Syap.g_01385
OG0000101	Praq.g_00879	Syap.g_00472
OG0000102	Praq.g_00768	Syap.g_01116
OG0000103	Praq.g_00414	Syap.g_02607, Syap.g_02608
OG0000104	Praq.g_00422	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praq.g_01729	Syap.g_01369, Syap.g_01368
OG0000107	Praq.g_01158	Syap.g_02496
OG0000108	Praq.g_00531	Syap.g_00733, Syap.g_02255
OG0000109	Praq.g_00545	Syap.g_00279, Syap.g_02237
OG0000110	Praq.g_01028	Syap.g_01313
OG0000111	Praq.g_00828	Syap.g_01566, Syap.g_01568
OG0000112	Praq.g_00638	Syap.g_02023
OG0000113	Praq.g_01420	Syap.g_02714
OG0000114	Praq.g_01490	Syap.g_01255
OG0000115	Praq.g_01278	Syap.g_02004
OG0000116	Praq.g_01323	Syap.g_00241
OG0000117	Praq.g_00084	Syap.g_01889
OG0000118	Praq.g_00145	Syap.g_02286
OG0000120	Praq.g_00208	Syap.g_02075
OG0000121	Praq.g_00296	Syap.g_02471
OG0000123	Praq.g_00873	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praq.g_00682	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praq.g_00718	Syap.g_01046, Syap.g_01047
OG0000126	Praq.g_00421	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Praq.g_00437	Syap.g_00069
OG0000129	Praq.g_01259	Syap.g_00130, Syap.g_00129
OG0000130	Praq.g_01934	Syap.g_01688, Syap.g_01689
OG0000131	Praq.g_01857	Syap.g_02189
OG0000132	Praq.g_01838	Syap.g_01205
OG0000133	Praq.g_01680	Syap.g_02017
OG0000134	Praq.g_01187	Syap.g_02047
OG0000135	Praq.g_01160	Syap.g_02090
OG0000136	Praq.g_01116	Syap.g_00089
OG0000137	Praq.g_00526	Syap.g_02756
OG0000138	Praq.g_00546	Syap.g_00278
OG0000139	Praq.g_01065	Syap.g_00410
OG0000140	Praq.g_01064	Syap.g_01976
OG0000141	Praq.g_00995	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praq.g_00967	Syap.g_00895, Syap.g_00894
OG0000143	Praq.g_00963	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praq.g_00781	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praq.g_00637	Syap.g_01860, Syap.g_01859
OG0000146	Praq.g_00639	Syap.g_02024
OG0000147	Praq.g_00640	Syap.g_02025
OG0000148	Praq.g_01414	Syap.g_02720
OG0000149	Praq.g_01444	Syap.g_00824
OG0000150	Praq.g_01452	Syap.g_01540
OG0000151	Praq.g_01500	Syap.g_00142
OG0000152	Praq.g_01548	Syap.g_02012
OG0000153	Praq.g_01567	Syap.g_02682
OG0000154	Praq.g_01593	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praq.g_01353	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praq.g_00122	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praq.g_00123	Syap.g_00249, Syap.g_00286
OG0000158	Praq.g_00258	Syap.g_01075
OG0000159	Praq.g_00253, Praq.g_00217	Syap.g_00852
OG0000160	Praq.g_00295	Syap.g_02470, Syap.g_02469
OG0000161	Praq.g_00301	Syap.g_02476
OG0000162	Praq.g_00307	Syap.g_02531
OG0000164	Praq.g_00473	Syap.g_01391, Syap.g_01392
OG0000165	Praq.g_00466	Syap.g_01381, Syap.g_01382
OG0000166	Praq.g_00915	Syap.g_00512, Syap.g_01238
OG0000167	Praq.g_00737	Syap.g_02080
OG0000168	Praq.g_00747	Syap.g_01076
OG0000169	Praq.g_00757	Syap.g_01049, Syap.g_01093
OG0000170	Praq.g_00759	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praq.g_00681	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praq.g_00689	Syap.g_01143, Syap.g_00635
OG0000173	Praq.g_00704	Syap.g_00982, Syap.g_00983
OG0000174	Praq.g_00396	Syap.g_02092
OG0000175	Praq.g_00406	Syap.g_02654
OG0000176	Praq.g_00430	Syap.g_00059
OG0000177	Praq.g_00431	Syap.g_00061, Syap.g_00060
OG0000178	Praq.g_00432	Syap.g_00062
OG0000179	Praq.g_01219	Syap.g_00077, Syap.g_02638
OG0000180	Praq.g_01220	Syap.g_00078, Syap.g_02640
OG0000181	Praq.g_01221	Syap.g_00079, Syap.g_02641
OG0000182	Praq.g_01222	Syap.g_00080, Syap.g_02642
OG0000183	Praq.g_01226	Syap.g_00084
OG0000184	Praq.g_01262	Syap.g_01337
OG0000185	Praq.g_01265	Syap.g_01322
OG0000186	Praq.g_01939	Syap.g_01684
OG0000187	Praq.g_01938	Syap.g_01686
OG0000188	Praq.g_01921	Syap.g_02547
OG0000191	Praq.g_01886	Syap.g_02233
OG0000192	Praq.g_01882	Syap.g_02224
OG0000193	Praq.g_01856	Syap.g_02187, Syap.g_02188
OG0000194	Praq.g_01853	Syap.g_02183
OG0000195	Praq.g_01851	Syap.g_02180
OG0000196	Praq.g_01841	Syap.g_01208, Syap.g_02167
OG0000197	Praq.g_01840	Syap.g_01207, Syap.g_02166
OG0000198	Praq.g_01839	Syap.g_01206
OG0000199	Praq.g_01832	Syap.g_01197
OG0000200	Praq.g_01818	Syap.g_01181
OG0000201	Praq.g_01810	Syap.g_02265
OG0000202	Praq.g_01809	Syap.g_02264
OG0000203	Praq.g_01808	Syap.g_01601
OG0000204	Praq.g_01807	Syap.g_01602
OG0000205	Praq.g_01800	Syap.g_01616
OG0000206	Praq.g_01795	Syap.g_01628
OG0000207	Praq.g_01793	Syap.g_01426, Syap.g_00424
OG0000208	Praq.g_01792	Syap.g_00426, Syap.g_01425
OG0000209	Praq.g_01783	Syap.g_01906
OG0000210	Praq.g_01782	Syap.g_01905
OG0000211	Praq.g_01769	Syap.g_01160
OG0000212	Praq.g_01762	Syap.g_02664
OG0000213	Praq.g_01746	Syap.g_00107, Syap.g_01599
OG0000214	Praq.g_01736	Syap.g_02344, Syap.g_02345
OG0000215	Praq.g_01710	Syap.g_01347, Syap.g_01629
OG0000216	Praq.g_01708	Syap.g_01634
OG0000217	Praq.g_01705	Syap.g_01638
OG0000218	Praq.g_01703	Syap.g_01641, Syap.g_01640
OG0000219	Praq.g_01702	Syap.g_01642, Syap.g_01643
OG0000220	Praq.g_01701	Syap.g_01645
OG0000221	Praq.g_01700	Syap.g_01646
OG0000222	Praq.g_01692	Syap.g_01669
OG0000223	Praq.g_01679	Syap.g_02072, Syap.g_02073
OG0000224	Praq.g_01677	Syap.g_02064
OG0000225	Praq.g_01199	Syap.g_00553, Syap.g_00552
OG0000226	Praq.g_01195	Syap.g_02029, Syap.g_02144
OG0000227	Praq.g_01193	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Praq.g_01189	Syap.g_00116, Syap.g_02041
OG0000229	Praq.g_01121	Syap.g_02059
OG0000230	Praq.g_01119	Syap.g_02061
OG0000231	Praq.g_01108	Syap.g_02533
OG0000232	Praq.g_00507	Syap.g_02510, Syap.g_02511
OG0000233	Praq.g_00513	Syap.g_02133
OG0000234	Praq.g_00527	Syap.g_02755
OG0000235	Praq.g_00530	Syap.g_00732, Syap.g_02258
OG0000236	Praq.g_00544	Syap.g_02238
OG0000237	Praq.g_01096	Syap.g_00262, Syap.g_00263
OG0000238	Praq.g_01090	Syap.g_00257, Syap.g_00258
OG0000239	Praq.g_01077	Syap.g_02744
OG0000240	Praq.g_01076	Syap.g_02742
OG0000241	Praq.g_01072	Syap.g_00888
OG0000242	Praq.g_01070	Syap.g_01455
OG0000243	Praq.g_01059	Syap.g_01938
OG0000244	Praq.g_01056	Syap.g_01146, Syap.g_01145
OG0000245	Praq.g_01054	Syap.g_01148
OG0000246	Praq.g_01050	Syap.g_00308
OG0000247	Praq.g_01040	Syap.g_00288, Syap.g_00293
OG0000248	Praq.g_01038	Syap.g_00290
OG0000249	Praq.g_01036	Syap.g_01296, Syap.g_01295
OG0000250	Praq.g_01031	Syap.g_01306
OG0000251	Praq.g_01012	Syap.g_00442
OG0000252	Praq.g_01008	Syap.g_01857
OG0000253	Praq.g_01007	Syap.g_00443
OG0000254	Praq.g_00991	Syap.g_01527, Syap.g_01528
OG0000256	Praq.g_00975	Syap.g_01287
OG0000257	Praq.g_00972	Syap.g_00886
OG0000258	Praq.g_00959	Syap.g_00907
OG0000260	Praq.g_00792	Syap.g_01970
OG0000261	Praq.g_00794	Syap.g_01962, Syap.g_01961
OG0000262	Praq.g_00798	Syap.g_01954
OG0000263	Praq.g_00810	Syap.g_00432, Syap.g_00433
OG0000266	Praq.g_00593	Syap.g_00519
OG0000267	Praq.g_00604	Syap.g_02333, Syap.g_02332
OG0000268	Praq.g_00605	Syap.g_00646
OG0000269	Praq.g_00665	Syap.g_00188
OG0000270	Praq.g_00668	Syap.g_00192
OG0000271	Praq.g_00676	Syap.g_00200, Syap.g_00201
OG0000272	Praq.g_00677	Syap.g_00202
OG0000273	Praq.g_01428	Syap.g_02703
OG0000274	Praq.g_01429	Syap.g_02702
OG0000275	Praq.g_01431	Syap.g_01847
OG0000276	Praq.g_01436	Syap.g_01838, Syap.g_01839
OG0000277	Praq.g_01437	Syap.g_01837
OG0000278	Praq.g_01440	Syap.g_01834
OG0000279	Praq.g_01447	Syap.g_00829, Syap.g_00830
OG0000280	Praq.g_01448	Syap.g_00365
OG0000281	Praq.g_01454	Syap.g_01977
OG0000282	Praq.g_01492	Syap.g_01252
OG0000283	Praq.g_01525	Syap.g_01728
OG0000284	Praq.g_01530	Syap.g_01736
OG0000285	Praq.g_01535	Syap.g_01746, Syap.g_01744
OG0000286	Praq.g_01547	Syap.g_02014, Syap.g_02013
OG0000288	Praq.g_01592	Syap.g_02764, Syap.g_02763
OG0000289	Praq.g_01603	Syap.g_02784
OG0000290	Praq.g_01616	Syap.g_01552
OG0000292	Praq.g_01667	Syap.g_02314
OG0000293	Praq.g_01324	Syap.g_00240
OG0000294	Praq.g_01325	Syap.g_00239
OG0000295	Praq.g_01345	Syap.g_00206
OG0000296	Praq.g_01347	Syap.g_00204
OG0000299	Praq.g_01373	Syap.g_02620
OG0000302	Praq.g_01379	Syap.g_02444, Syap.g_02445
OG0000303	Praq.g_01386	Syap.g_02435
OG0000304	Praq.g_01390	Syap.g_02430
OG0000305	Praq.g_00167	Syap.g_01557
OG0000306	Praq.g_00170	Syap.g_01966
OG0000307	Praq.g_00186	Syap.g_02517
OG0000308	Praq.g_00187	Syap.g_02514, Syap.g_02515
OG0000309	Praq.g_00191	Syap.g_02198, Syap.g_02446
OG0000310	Praq.g_00279	Syap.g_02660, Syap.g_02661
OG0000311	Praq.g_00281	Syap.g_02657
OG0000312	Praq.g_00284	Syap.g_02114
OG0000313	Praq.g_00298	Syap.g_02473
OG0000315	Praq.g_00331	Syap.g_00017
OG0000316	Praq.g_00351	Syap.g_00030
OG0000317	Praq.g_01954, Praq.g_00499	Syap.g_00618
OG0000318	Praq.g_00496	Syap.g_00622, Syap.g_02786
OG0000319	Praq.g_00483	Syap.g_01764, Syap.g_01771
OG0000320	Praq.g_00481	Syap.g_01761, Syap.g_01769
OG0000321	Praq.g_00480	Syap.g_01760, Syap.g_01768
OG0000322	Praq.g_00479	Syap.g_01759, Syap.g_01767
OG0000323	Praq.g_00470	Syap.g_01389
OG0000324	Praq.g_00444	Syap.g_01503
OG0000325	Praq.g_00950	Syap.g_02680
OG0000326	Praq.g_00944	Syap.g_00544
OG0000327	Praq.g_00920	Syap.g_01233, Syap.g_01913
OG0000328	Praq.g_00919	Syap.g_01234, Syap.g_01912
OG0000329	Praq.g_00902	Syap.g_00498
OG0000330	Praq.g_00901	Syap.g_00497
OG0000331	Praq.g_00900	Syap.g_00496
OG0000332	Praq.g_00886	Syap.g_00481
OG0000333	Praq.g_00884	Syap.g_00478
OG0000334	Praq.g_00876	Syap.g_00468
OG0000335	Praq.g_00872	Syap.g_00101, Syap.g_00463
OG0000336	Praq.g_00868	Syap.g_00417, Syap.g_00607
OG0000337	Praq.g_00735	Syap.g_01054
OG0000338	Praq.g_00736	Syap.g_01059
OG0000339	Praq.g_00740	Syap.g_01068
OG0000340	Praq.g_00748	Syap.g_01077
OG0000341	Praq.g_00750	Syap.g_01079
OG0000342	Praq.g_00751	Syap.g_01080, Syap.g_02477
OG0000343	Praq.g_00752	Syap.g_01086, Syap.g_02078
OG0000344	Praq.g_00755	Syap.g_01091
OG0000345	Praq.g_00760	Syap.g_01107, Syap.g_01470
OG0000346	Praq.g_00764	Syap.g_01113
OG0000347	Praq.g_00683	Syap.g_01131, Syap.g_02459
OG0000348	Praq.g_00692	Syap.g_00632
OG0000349	Praq.g_00709	Syap.g_00110, Syap.g_01813
OG0000351	Praq.g_00409	Syap.g_02594
OG0000352	Praq.g_00410	Syap.g_02596, Syap.g_02597
OG0000353	Praq.g_00425	Syap.g_00054
OG0000355	Praq.g_00427	Syap.g_00056
OG0000356	Praq.g_00428	Syap.g_00057
OG0000357	Praq.g_00429	Syap.g_00058
OG0000358	Praq.g_00433	Syap.g_00063
OG0000359	Praq.g_00434	Syap.g_00065
OG0000360	Praq.g_00435	Syap.g_00067
OG0000361	Praq.g_00436	Syap.g_00068
OG0000362	Praq.g_00438	Syap.g_00070
OG0000363	Praq.g_01217	Syap.g_00072
OG0000364	Praq.g_01218	Syap.g_00620
OG0000365	Praq.g_01223	Syap.g_00081
OG0000366	Praq.g_01224	Syap.g_00082
OG0000367	Praq.g_01225	Syap.g_00083
OG0000368	Praq.g_01227	Syap.g_00085
OG0000369	Praq.g_01228	Syap.g_00086
OG0000370	Praq.g_01229	Syap.g_00087
OG0000372	Praq.g_01239	Syap.g_01805
OG0000373	Praq.g_01240	Syap.g_01806
OG0000374	Praq.g_01241	Syap.g_01807
OG0000375	Praq.g_01255	Syap.g_01808
OG0000376	Praq.g_01257	Syap.g_01811
OG0000377	Praq.g_01261	Syap.g_00128
OG0000378	Praq.g_01263	Syap.g_01326
