Orthogroup	Praq	Prac
OG0000000	Praq.g_00117	Prac.g_00159
OG0000000	Praq.g_01956	Prac.g_00277
OG0000000	Praq.g_00026	Prac.g_00292
OG0000000	Praq.g_00025	Prac.g_00926
OG0000000	Praq.g_01392	Prac.g_00926
OG0000000	Praq.g_00115	Prac.g_00157
OG0000000	Praq.g_00028	Prac.g_00290
OG0000001	Praq.g_00160	Prac.g_00202
OG0000001	Praq.g_01394	Prac.g_00924
OG0000001	Praq.g_01393	Prac.g_00925
OG0000002	Praq.g_00168	Prac.g_00210
OG0000002	Praq.g_00807	Prac.g_00693
OG0000004	Praq.g_00824	Prac.g_00676
OG0000004	Praq.g_01770	Prac.g_01698
OG0000005	Praq.g_00484	Prac.g_00612
OG0000005	Praq.g_00370	Prac.g_00335
OG0000006	Praq.g_01761	Prac.g_01689
OG0000007	Praq.g_01105	Prac.g_00874
OG0000007	Praq.g_00497	Prac.g_00625
OG0000008	Praq.g_00071	Prac.g_00904
OG0000008	Praq.g_00801	Prac.g_00699
OG0000009	Praq.g_00017	Prac.g_00301
OG0000009	Praq.g_01898	Prac.g_01826
OG0000010	Praq.g_00552	Prac.g_01592
OG0000010	Praq.g_01626	Prac.g_01248
OG0000010	Praq.g_00525	Prac.g_01070
OG0000011	Praq.g_00110	Prac.g_00152
OG0000011	Praq.g_00100	Prac.g_00142
OG0000012	Praq.g_00979	Prac.g_00748
OG0000013	Praq.g_01675	Prac.g_01604
OG0000014	Praq.g_01696	Prac.g_01625
OG0000015	Praq.g_00065	Prac.g_00898
OG0000017	Praq.g_01004	Prac.g_00773
OG0000018	Praq.g_01314	Prac.g_01004
OG0000018	Praq.g_01425	Prac.g_01448
OG0000019	Praq.g_01753	Prac.g_01681
OG0000019	Praq.g_00649	Prac.g_01496
OG0000020	Praq.g_01281	Prac.g_01037
OG0000020	Praq.g_00073	Prac.g_00906
OG0000020	Praq.g_00041	Prac.g_00875
OG0000020	Praq.g_00080	Prac.g_00875
OG0000020	Praq.g_00547	Prac.g_01598
OG0000021	Praq.g_01179	Prac.g_01169
OG0000022	Praq.g_00635	Prac.g_01510
OG0000022	Praq.g_01296	Prac.g_01022
OG0000023	Praq.g_01184	Prac.g_01174
OG0000024	Praq.g_00618	Prac.g_01525
OG0000024	Praq.g_00804	Prac.g_00696
OG0000025	Praq.g_01432	Prac.g_01441
OG0000025	Praq.g_01671	Prac.g_01600
OG0000026	Praq.g_01234	Prac.g_01916
OG0000026	Praq.g_01633	Prac.g_01241
OG0000027	Praq.g_00521	Prac.g_01074
OG0000028	Praq.g_01682	Prac.g_01611
OG0000028	Praq.g_00103	Prac.g_00145
OG0000029	Praq.g_01168	Prac.g_01158
OG0000030	Praq.g_00772	Prac.g_00050
OG0000031	Praq.g_00209	Prac.g_00249
OG0000032	Praq.g_00202	Prac.g_00242
OG0000033	Praq.g_01833	Prac.g_01761
OG0000034	Praq.g_00143	Prac.g_00185
OG0000035	Praq.g_00294	Prac.g_00411
OG0000037	Praq.g_01894	Prac.g_01822
OG0000038	Praq.g_00716	Prac.g_00090
OG0000039	Praq.g_00815	Prac.g_00685
OG0000040	Praq.g_01955	Prac.g_00279
OG0000040	Praq.g_01313	Prac.g_01005
OG0000041	Praq.g_00451	Prac.g_00579
OG0000042	Praq.g_00770	Prac.g_00048
OG0000043	Praq.g_01469	Prac.g_01405
OG0000044	Praq.g_00058	Prac.g_00892
OG0000045	Praq.g_00567	Prac.g_01576
OG0000045	Praq.g_01172	Prac.g_01162
OG0000047	Praq.g_01137	Prac.g_01127
OG0000047	Praq.g_01672	Prac.g_01601
OG0000048	Praq.g_01169	Prac.g_01159
OG0000049	Praq.g_01159	Prac.g_01149
OG0000049	Praq.g_00059	Prac.g_00893
OG0000049	Praq.g_00085	Prac.g_01954
OG0000049	Praq.g_00046	Prac.g_00880
OG0000050	Praq.g_01654	Prac.g_01220
OG0000053	Praq.g_01246	Prac.g_01901
OG0000053	Praq.g_00314	Prac.g_00391
OG0000054	Praq.g_00996	Prac.g_00765
OG0000055	Praq.g_00650	Prac.g_01495
OG0000057	Praq.g_00827	Prac.g_00673
OG0000058	Praq.g_00218	Prac.g_00258
OG0000058	Praq.g_00271	Prac.g_00434
OG0000059	Praq.g_00927	Prac.g_00500
OG0000061	Praq.g_01333	Prac.g_00985
OG0000062	Praq.g_00372	Prac.g_00333
OG0000063	Praq.g_01237	Prac.g_01913
OG0000063	Praq.g_01236	Prac.g_01914
OG0000063	Praq.g_00075	Prac.g_00908
OG0000065	Praq.g_01896	Prac.g_01824
OG0000066	Praq.g_01063	Prac.g_00833
OG0000067	Praq.g_00670	Prac.g_01475
OG0000068	Praq.g_00175	Prac.g_00217
OG0000069	Praq.g_00056	Prac.g_00890
