Orthogroup	Praq	Syad
OG0000001	Praq.g_00160, Praq.g_01394, Praq.g_01393	Syad.g_00628
OG0000002	Praq.g_00168, Praq.g_00807	Syad.g_00619
OG0000004	Praq.g_00824	Syad.g_01304
OG0000004	Praq.g_01770	Syad.g_02184, Syad.g_00810
OG0000005	Praq.g_00484	Syad.g_02639
OG0000005	Praq.g_00370	Syad.g_02596
OG0000006	Praq.g_01761	Syad.g_00588, Syad.g_00829
OG0000007	Praq.g_01105	Syad.g_00923
OG0000007	Praq.g_00497	Syad.g_02623
OG0000009	Praq.g_00017	Syad.g_01952, Syad.g_00868
OG0000009	Praq.g_01898	Syad.g_02799
OG0000010	Praq.g_00552, Praq.g_01626, Praq.g_00525	Syad.g_02354
OG0000011	Praq.g_00110	Syad.g_02006
OG0000012	Praq.g_00979	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Praq.g_01675	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Praq.g_01696	Syad.g_00480
OG0000015	Praq.g_00065	Syad.g_01600, Syad.g_01601
OG0000017	Praq.g_01004	Syad.g_01084
OG0000018	Praq.g_01314, Praq.g_01425	Syad.g_02306
OG0000019	Praq.g_01753, Praq.g_00649	Syad.g_00569
OG0000020	Praq.g_01281, Praq.g_00073, Praq.g_00041, Praq.g_00080, Praq.g_00547	Syad.g_00845
OG0000022	Praq.g_00635, Praq.g_01296	Syad.g_02090
OG0000023	Praq.g_01184	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Praq.g_00618, Praq.g_00804	Syad.g_01374
OG0000025	Praq.g_01432, Praq.g_01671	Syad.g_01241
OG0000026	Praq.g_01234, Praq.g_01633	Syad.g_00198
OG0000027	Praq.g_00521	Syad.g_01257
OG0000028	Praq.g_01682, Praq.g_00103	Syad.g_00463
OG0000029	Praq.g_01168, Praq.g_00627	Syad.g_02099
OG0000030	Praq.g_00772	Syad.g_00328, Syad.g_00327
OG0000031	Praq.g_00209	Syad.g_00294
OG0000033	Praq.g_01833	Syad.g_02903
OG0000034	Praq.g_00143	Syad.g_02420, Syad.g_02872
OG0000035	Praq.g_00294	Syad.g_02275
OG0000037	Praq.g_01894	Syad.g_02805
