Orthogroup	Praq	Pran
OG0000000	Praq.g_00117	Pran.g_00582
OG0000000	Praq.g_00026	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Praq.g_00025	Pran.g_00001
OG0000000	Praq.g_01392	Pran.g_00001
OG0000000	Praq.g_00025	Pran.g_00602
OG0000000	Praq.g_01392	Pran.g_00602
OG0000000	Praq.g_00028	Pran.g_00894
OG0000002	Praq.g_00807	Pran.g_01500
OG0000004	Praq.g_00824	Pran.g_01483
OG0000004	Praq.g_01770	Pran.g_00200
OG0000005	Praq.g_00484	Pran.g_00983
OG0000005	Praq.g_00370	Pran.g_00657
OG0000006	Praq.g_01761	Pran.g_01951
OG0000007	Praq.g_01105	Pran.g_01681
OG0000007	Praq.g_00497	Pran.g_00970
OG0000008	Praq.g_00801	Pran.g_01506
OG0000009	Praq.g_00017	Pran.g_00615
OG0000009	Praq.g_01898	Pran.g_00328
OG0000010	Praq.g_00552, Praq.g_01626	Pran.g_00175
OG0000010	Praq.g_00525	Pran.g_01704
OG0000011	Praq.g_00100	Pran.g_01384
OG0000012	Praq.g_00979	Pran.g_01555
OG0000013	Praq.g_01675	Pran.g_01867
OG0000014	Praq.g_01696	Pran.g_01888
OG0000015	Praq.g_00065	Pran.g_01394
OG0000017	Praq.g_01004	Pran.g_01580
OG0000018	Praq.g_01314	Pran.g_00078
OG0000018	Praq.g_01425	Pran.g_01316
OG0000019	Praq.g_01753	Pran.g_01943
OG0000019	Praq.g_00649	Pran.g_01363
OG0000020	Praq.g_01281	Pran.g_00117
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Pran.g_01804
OG0000021	Praq.g_01179	Pran.g_01829
OG0000022	Praq.g_00635	Pran.g_01401
OG0000022	Praq.g_01296	Pran.g_00097
OG0000023	Praq.g_01184	Pran.g_01834
OG0000024	Praq.g_00618	Pran.g_01420
OG0000024	Praq.g_00804	Pran.g_01503
OG0000025	Praq.g_01432	Pran.g_01309
OG0000025	Praq.g_01671	Pran.g_01863
OG0000026	Praq.g_01234	Pran.g_00393
OG0000026	Praq.g_01633	Pran.g_00168
OG0000027	Praq.g_00521	Pran.g_00583
OG0000028	Praq.g_01682	Pran.g_01874
OG0000029	Praq.g_00627	Pran.g_01410
OG0000030	Praq.g_00772	Pran.g_01170
OG0000031	Praq.g_00209	Pran.g_00753
OG0000033	Praq.g_01833	Pran.g_00263
OG0000034	Praq.g_00143	Pran.g_00866
OG0000035	Praq.g_00294	Pran.g_00733
OG0000037	Praq.g_01894	Pran.g_00324
OG0000038	Praq.g_00716	Pran.g_01210
OG0000039	Praq.g_00815	Pran.g_01492
OG0000040	Praq.g_01955	Pran.g_00923
OG0000040	Praq.g_01313	Pran.g_00079
OG0000041	Praq.g_00451	Pran.g_01016
OG0000042	Praq.g_00770	Pran.g_01167
OG0000043	Praq.g_01469	Pran.g_00179
OG0000044	Praq.g_00058	Pran.g_00949
OG0000045	Praq.g_01172	Pran.g_01823
OG0000047	Praq.g_01672	Pran.g_01864
OG0000048	Praq.g_01169	Pran.g_01820
OG0000049	Praq.g_01159	Pran.g_01811
OG0000049	Praq.g_00059	Pran.g_00586
OG0000049	Praq.g_00085	Pran.g_00526
OG0000050	Praq.g_01654	Pran.g_00149
OG0000053	Praq.g_01246, Praq.g_00314	Pran.g_00713
OG0000054	Praq.g_00996	Pran.g_01572
OG0000055	Praq.g_00650	Pran.g_01362
OG0000057	Praq.g_00827	Pran.g_01480
OG0000058	Praq.g_00218	Pran.g_00807
OG0000059	Praq.g_00927	Pran.g_01056
OG0000061	Praq.g_01333	Pran.g_00060
OG0000062	Praq.g_00372	Pran.g_00655
OG0000063	Praq.g_01237, Praq.g_01236	Pran.g_00391
OG0000065	Praq.g_01896	Pran.g_00326
OG0000066	Praq.g_01063	Pran.g_01639
OG0000067	Praq.g_00670	Pran.g_01343
OG0000068	Praq.g_00175	Pran.g_00841
OG0000069	Praq.g_00018	Pran.g_00614
OG0000070	Praq.g_01107	Pran.g_01727
OG0000071	Praq.g_00133	Pran.g_00938, Pran.g_00876
OG0000072	Praq.g_01831	Pran.g_00261
OG0000073	Praq.g_01103	Pran.g_01679
OG0000074	Praq.g_00811	Pran.g_01496
OG0000075	Praq.g_00739	Pran.g_01137
OG0000076	Praq.g_01243, Praq.g_00763	Pran.g_01160
OG0000077	Praq.g_01925	Pran.g_00354
OG0000078	Praq.g_01763	Pran.g_00194
OG0000081	Praq.g_01071	Pran.g_01647
OG0000082	Praq.g_01018	Pran.g_01593
OG0000083	Praq.g_00607	Pran.g_00576
OG0000084	Praq.g_00290	Pran.g_00737
OG0000086	Praq.g_01915	Pran.g_00344
OG0000087	Praq.g_01864	Pran.g_00295
OG0000088	Praq.g_01836	Pran.g_00266
OG0000089	Praq.g_01188	Pran.g_01839
OG0000090	Praq.g_01069	Pran.g_01645
OG0000091	Praq.g_00960	Pran.g_01536
OG0000092	Praq.g_01495	Pran.g_00434
OG0000093	Praq.g_01516	Pran.g_00455
OG0000094	Praq.g_01600	Pran.g_00549
OG0000095	Praq.g_01619	Pran.g_00903, Pran.g_00568
OG0000096	Praq.g_00081	Pran.g_00603
OG0000096	Praq.g_01283	Pran.g_00114
OG0000097	Praq.g_01374	Pran.g_00019
OG0000098	Praq.g_00157	Pran.g_00855
OG0000099	Praq.g_00216	Pran.g_00806
OG0000100	Praq.g_00368	Pran.g_00659
OG0000101	Praq.g_00879	Pran.g_01105
OG0000102	Praq.g_00768	Pran.g_01165
OG0000103	Praq.g_00414	Pran.g_01244
OG0000104	Praq.g_00422	Pran.g_01253
OG0000105	Praq.g_01729	Pran.g_01920
OG0000106	Praq.g_01173	Pran.g_01824
OG0000107	Praq.g_01158	Pran.g_01808
OG0000108	Praq.g_00531	Pran.g_01698
OG0000109	Praq.g_00545	Pran.g_01684
OG0000110	Praq.g_01028	Pran.g_01603
OG0000111	Praq.g_00828	Pran.g_01479
OG0000112	Praq.g_00638	Pran.g_01378
OG0000113	Praq.g_01420	Pran.g_01321
OG0000114	Praq.g_01490	Pran.g_00429
OG0000115	Praq.g_01278	Pran.g_00123
OG0000116	Praq.g_01323	Pran.g_00070
OG0000117	Praq.g_00084	Pran.g_01466
OG0000118	Praq.g_00145	Pran.g_00864
OG0000119	Praq.g_00171	Pran.g_00845
OG0000120	Praq.g_00208	Pran.g_00752
OG0000121	Praq.g_00296	Pran.g_00731
OG0000122	Praq.g_00334	Pran.g_00693
OG0000123	Praq.g_00873	Pran.g_01112
OG0000124	Praq.g_00682	Pran.g_01176
OG0000125	Praq.g_00718	Pran.g_01212
OG0000126	Praq.g_00421	Pran.g_01252
OG0000128	Praq.g_00437	Pran.g_01268
OG0000129	Praq.g_01259	Pran.g_00381
OG0000130	Praq.g_01934	Pran.g_00363
OG0000131	Praq.g_01857	Pran.g_00288
OG0000132	Praq.g_01838	Pran.g_00268
OG0000133	Praq.g_01680	Pran.g_01872
OG0000134	Praq.g_01187	Pran.g_01838
OG0000135	Praq.g_01160	Pran.g_01812
OG0000136	Praq.g_01116	Pran.g_01739
OG0000137	Praq.g_00526	Pran.g_01703
OG0000138	Praq.g_00546	Pran.g_01683
OG0000139	Praq.g_01065	Pran.g_01641
OG0000140	Praq.g_01064	Pran.g_01640
OG0000141	Praq.g_00995	Pran.g_01571
OG0000142	Praq.g_00967	Pran.g_01543
OG0000143	Praq.g_00963	Pran.g_01539
OG0000144	Praq.g_00781	Pran.g_01526
OG0000145	Praq.g_00637	Pran.g_01400
OG0000146	Praq.g_00639	Pran.g_01377
OG0000147	Praq.g_00640	Pran.g_01376
OG0000148	Praq.g_01414	Pran.g_01327
OG0000149	Praq.g_01444	Pran.g_01297
OG0000150	Praq.g_01452	Pran.g_01289
OG0000151	Praq.g_01500	Pran.g_00439
OG0000152	Praq.g_01548	Pran.g_00487
OG0000153	Praq.g_01567	Pran.g_00506
OG0000154	Praq.g_01593	Pran.g_00542
OG0000155	Praq.g_01353	Pran.g_00040
OG0000156	Praq.g_00122	Pran.g_00887
OG0000157	Praq.g_00123	Pran.g_00886
OG0000158	Praq.g_00258	Pran.g_00822
OG0000159	Praq.g_00253, Praq.g_00217	Pran.g_00808
OG0000160	Praq.g_00295	Pran.g_00732
OG0000161	Praq.g_00301	Pran.g_00726
OG0000162	Praq.g_00307	Pran.g_00720
OG0000163	Praq.g_00341	Pran.g_00686
OG0000164	Praq.g_00473	Pran.g_00994
OG0000165	Praq.g_00466	Pran.g_01001
OG0000166	Praq.g_00915	Pran.g_01069, Pran.g_01068
OG0000167	Praq.g_00737	Pran.g_01135
OG0000168	Praq.g_00747	Pran.g_01144
OG0000169	Praq.g_00757	Pran.g_01154
OG0000170	Praq.g_00759	Pran.g_01156
OG0000171	Praq.g_00681	Pran.g_01175
OG0000172	Praq.g_00689	Pran.g_01184
OG0000173	Praq.g_00704	Pran.g_01199
OG0000174	Praq.g_00396	Pran.g_01226
OG0000175	Praq.g_00406	Pran.g_01236
OG0000176	Praq.g_00430	Pran.g_01261
OG0000177	Praq.g_00431	Pran.g_01262
OG0000178	Praq.g_00432	Pran.g_01263
OG0000179	Praq.g_01219	Pran.g_00408
OG0000180	Praq.g_01220	Pran.g_00407
OG0000181	Praq.g_01221	Pran.g_00406
OG0000182	Praq.g_01222	Pran.g_00405
OG0000183	Praq.g_01226	Pran.g_00401
OG0000184	Praq.g_01262	Pran.g_00379
OG0000185	Praq.g_01265	Pran.g_00376
OG0000186	Praq.g_01939	Pran.g_00368
OG0000187	Praq.g_01938	Pran.g_00367
OG0000188	Praq.g_01921	Pran.g_00350
OG0000189	Praq.g_01907	Pran.g_00337
OG0000190	Praq.g_01906	Pran.g_00336
OG0000191	Praq.g_01886	Pran.g_00316
OG0000192	Praq.g_01882	Pran.g_00312
OG0000193	Praq.g_01856	Pran.g_00287
OG0000194	Praq.g_01853	Pran.g_00283
OG0000195	Praq.g_01851	Pran.g_00281
OG0000196	Praq.g_01841	Pran.g_00271
OG0000197	Praq.g_01840	Pran.g_00270
OG0000198	Praq.g_01839	Pran.g_00269
OG0000199	Praq.g_01832	Pran.g_00262
OG0000200	Praq.g_01818	Pran.g_00248
OG0000201	Praq.g_01810	Pran.g_00240
OG0000202	Praq.g_01809	Pran.g_00239
OG0000203	Praq.g_01808	Pran.g_00238
OG0000204	Praq.g_01807	Pran.g_00237
OG0000205	Praq.g_01800	Pran.g_00230
OG0000206	Praq.g_01795	Pran.g_00225
OG0000207	Praq.g_01793	Pran.g_00223
OG0000208	Praq.g_01792	Pran.g_00222
OG0000209	Praq.g_01783	Pran.g_00213
OG0000210	Praq.g_01782	Pran.g_00212
OG0000211	Praq.g_01769	Pran.g_00199
OG0000212	Praq.g_01762	Pran.g_00193
OG0000213	Praq.g_01746	Pran.g_01935
OG0000214	Praq.g_01736	Pran.g_01926
OG0000215	Praq.g_01710	Pran.g_01902
OG0000216	Praq.g_01708	Pran.g_01900
OG0000217	Praq.g_01705	Pran.g_01897
OG0000218	Praq.g_01703	Pran.g_01895
OG0000219	Praq.g_01702	Pran.g_01894
OG0000220	Praq.g_01701	Pran.g_01893
OG0000221	Praq.g_01700	Pran.g_01892
OG0000222	Praq.g_01692	Pran.g_01884
OG0000223	Praq.g_01679	Pran.g_01871
OG0000224	Praq.g_01677	Pran.g_01869
OG0000225	Praq.g_01199	Pran.g_01849
OG0000226	Praq.g_01195	Pran.g_01845
OG0000227	Praq.g_01193	Pran.g_01843
OG0000228	Praq.g_01189	Pran.g_01840
OG0000229	Praq.g_01121	Pran.g_01744
OG0000230	Praq.g_01119	Pran.g_01742
OG0000231	Praq.g_01108	Pran.g_01728
OG0000232	Praq.g_00507	Pran.g_01720
OG0000233	Praq.g_00513	Pran.g_01715
OG0000234	Praq.g_00527	Pran.g_01702
OG0000235	Praq.g_00530	Pran.g_01699
OG0000236	Praq.g_00544	Pran.g_01685
OG0000237	Praq.g_01096	Pran.g_01672
OG0000238	Praq.g_01090	Pran.g_01666
OG0000239	Praq.g_01077	Pran.g_01653
OG0000240	Praq.g_01076	Pran.g_01652
OG0000241	Praq.g_01072	Pran.g_01648
OG0000242	Praq.g_01070	Pran.g_01646
OG0000243	Praq.g_01059	Pran.g_01635
OG0000244	Praq.g_01056	Pran.g_01632
OG0000245	Praq.g_01054	Pran.g_01630
OG0000246	Praq.g_01050	Pran.g_01626
OG0000247	Praq.g_01040	Pran.g_01616
OG0000248	Praq.g_01038	Pran.g_01613
OG0000249	Praq.g_01036	Pran.g_01611
OG0000250	Praq.g_01031	Pran.g_01606
OG0000251	Praq.g_01012	Pran.g_01587
OG0000252	Praq.g_01008	Pran.g_01584
OG0000253	Praq.g_01007	Pran.g_01583
OG0000254	Praq.g_00991	Pran.g_01567
OG0000255	Praq.g_00985	Pran.g_01561
OG0000256	Praq.g_00975	Pran.g_01551
OG0000257	Praq.g_00972	Pran.g_01548
OG0000258	Praq.g_00959	Pran.g_01535
OG0000259	Praq.g_00789	Pran.g_01518
OG0000260	Praq.g_00792	Pran.g_01515
OG0000261	Praq.g_00794	Pran.g_01513
OG0000262	Praq.g_00798	Pran.g_01509
OG0000263	Praq.g_00810	Pran.g_01497
OG0000264	Praq.g_00820	Pran.g_01487
OG0000265	Praq.g_00583	Pran.g_01460
OG0000266	Praq.g_00593	Pran.g_01450
OG0000267	Praq.g_00604	Pran.g_01439
OG0000268	Praq.g_00605	Pran.g_01438
OG0000269	Praq.g_00665	Pran.g_01348
OG0000270	Praq.g_00668	Pran.g_01345
OG0000271	Praq.g_00676	Pran.g_01337
OG0000272	Praq.g_00677	Pran.g_01336
OG0000273	Praq.g_01428	Pran.g_01313
OG0000274	Praq.g_01429	Pran.g_01312
OG0000275	Praq.g_01431	Pran.g_01310
OG0000276	Praq.g_01436	Pran.g_01305
