Orthogroup	Praq	Prae
OG0000000	Praq.g_00117	Prae.g_01310
OG0000000	Praq.g_00026	Prae.g_01580
OG0000000	Praq.g_00025	Prae.g_01222
OG0000000	Praq.g_01392	Prae.g_01222
OG0000000	Praq.g_00025	Prae.g_01579
OG0000000	Praq.g_01392	Prae.g_01579
OG0000000	Praq.g_00028	Prae.g_01308
OG0000001	Praq.g_00160	Prae.g_01353
OG0000001	Praq.g_01394	Prae.g_01223, Prae.g_01224
OG0000002	Praq.g_00168	Prae.g_01361
OG0000002	Praq.g_00807	Prae.g_00652
OG0000004	Praq.g_00824	Prae.g_00669
OG0000004	Praq.g_01770	Prae.g_00235
OG0000005	Praq.g_00484	Prae.g_01636
OG0000005	Praq.g_00370	Prae.g_01535
OG0000006	Praq.g_01761	Prae.g_00244
OG0000007	Praq.g_01105	Prae.g_00471
OG0000007	Praq.g_00497	Prae.g_01623
OG0000008	Praq.g_00801	Prae.g_00646
OG0000009	Praq.g_00017	Prae.g_01572
OG0000010	Praq.g_01626	Prae.g_01048
OG0000010	Praq.g_00525	Prae.g_00448
OG0000011	Praq.g_00110	Prae.g_01291
OG0000011	Praq.g_00100	Prae.g_01245
OG0000012	Praq.g_00979	Prae.g_00597
OG0000013	Praq.g_01675	Prae.g_00328
OG0000014	Praq.g_01696	Prae.g_00307
OG0000015	Praq.g_00065	Prae.g_01235
OG0000017	Praq.g_01004	Prae.g_00572
OG0000018	Praq.g_01314	Prae.g_01144
OG0000018	Praq.g_01425	Prae.g_00833
OG0000019	Praq.g_01753	Prae.g_00252
OG0000019	Praq.g_00649	Prae.g_00786
OG0000020	Praq.g_01281	Prae.g_01107
OG0000021	Praq.g_01179	Prae.g_00364
OG0000022	Praq.g_00635	Prae.g_00764
OG0000022	Praq.g_01296	Prae.g_01125
OG0000023	Praq.g_01184	Prae.g_00359
OG0000024	Praq.g_00618	Prae.g_00748
OG0000024	Praq.g_00804	Prae.g_00649
OG0000025	Praq.g_01432	Prae.g_00840
OG0000025	Praq.g_01671	Prae.g_00332
OG0000026	Praq.g_01234	Prae.g_00031
OG0000026	Praq.g_01633	Prae.g_01056
OG0000027	Praq.g_00521	Prae.g_00444
OG0000028	Praq.g_01682	Prae.g_00321
OG0000029	Praq.g_01168	Prae.g_00375
OG0000029	Praq.g_00627	Prae.g_00755
OG0000030	Praq.g_00772	Prae.g_01825
OG0000031	Praq.g_00209	Prae.g_01402, Prae.g_01391
OG0000033	Praq.g_01833	Prae.g_00172
OG0000034	Praq.g_00143	Prae.g_01339
OG0000035	Praq.g_00294	Prae.g_01459
OG0000037	Praq.g_01894	Prae.g_00108
OG0000038	Praq.g_00716	Prae.g_01865
