Orthogroup	Prat	Syaj
OG0000001	Prat.g_01285, Prat.g_01286	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Syaj.g_02667
OG0000004	Prat.g_00772	Syaj.g_00441
OG0000004	Prat.g_00236	Syaj.g_01314, Syaj.g_02853
OG0000005	Prat.g_01440	Syaj.g_01698
OG0000006	Prat.g_00248	Syaj.g_02635
OG0000007	Prat.g_00458	Syaj.g_00091
OG0000007	Prat.g_01592	Syaj.g_01721
OG0000008	Prat.g_00376	Syaj.g_00496
OG0000008	Prat.g_00377	Syaj.g_00497
OG0000009	Prat.g_01451	Syaj.g_01069
OG0000010	Prat.g_00682, Prat.g_00662	Syaj.g_01445
OG0000012	Prat.g_00586	Syaj.g_01306
OG0000013	Prat.g_00334	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prat.g_00314	Syaj.g_02522
OG0000014	Prat.g_01267	Syaj.g_02344
OG0000015	Prat.g_00701	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prat.g_00014	Syaj.g_02276
OG0000016	Prat.g_01219	Syaj.g_00590, Syaj.g_01191
OG0000017	Prat.g_00560	Syaj.g_00248
OG0000017	Prat.g_00567	Syaj.g_00255
OG0000018	Prat.g_01177	Syaj.g_01413
OG0000019	Prat.g_00255, Prat.g_01180	Syaj.g_02613
OG0000021	Prat.g_00854, Prat.g_00461	Syaj.g_00042
OG0000022	Prat.g_01448	Syaj.g_01220
OG0000023	Prat.g_00834	Syaj.g_00829, Syaj.g_01791
OG0000024	Prat.g_00622, Prat.g_00749	Syaj.g_00500
OG0000025	Prat.g_01003	Syaj.g_00383
OG0000026	Prat.g_00033	Syaj.g_02298
OG0000027	Prat.g_01474, Prat.g_01548	Syaj.g_00396
OG0000028	Prat.g_00380, Prat.g_00327	Syaj.g_02506
OG0000030	Prat.g_01799	Syaj.g_02396, Syaj.g_02395
OG0000032	Prat.g_01394	Syaj.g_01432
OG0000033	Prat.g_01265	Syaj.g_01990
OG0000034	Prat.g_01259	Syaj.g_01959
OG0000035	Prat.g_01353, Prat.g_01352	Syaj.g_01378
OG0000037	Prat.g_00106	Syaj.g_01891, Syaj.g_02902
OG0000038	Prat.g_01839	Syaj.g_02115
OG0000039	Prat.g_00760	Syaj.g_00392, Syaj.g_00275
OG0000041	Prat.g_01640	Syaj.g_01602, Syaj.g_00418
OG0000042	Prat.g_01796	Syaj.g_02399
OG0000043	Prat.g_01176	Syaj.g_01085, Syaj.g_01247
OG0000044	Prat.g_00619	Syaj.g_01344
OG0000045	Prat.g_01203	Syaj.g_00132
OG0000046	Prat.g_00335	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768
OG0000047	Prat.g_00374	Syaj.g_02799
OG0000048	Prat.g_00278	Syaj.g_02578
OG0000050	Prat.g_00685	Syaj.g_01242
OG0000052	Prat.g_00058	Syaj.g_02476
OG0000053	Prat.g_01375	Syaj.g_01409
OG0000054	Prat.g_00569	Syaj.g_01341
OG0000056	Prat.g_01571	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962, Syaj.g_00985, Syaj.g_02864, Syaj.g_01794
OG0000057	Prat.g_00775	Syaj.g_00438
OG0000058	Prat.g_01311	Syaj.g_02495
OG0000059	Prat.g_01679	Syaj.g_02686
OG0000061	Prat.g_01156	Syaj.g_00302
OG0000062	Prat.g_01442	Syaj.g_01700
OG0000063	Prat.g_01516	Syaj.g_02302
OG0000064	Prat.g_00064	Syaj.g_00041, Syaj.g_01253
OG0000065	Prat.g_00104	Syaj.g_01887, Syaj.g_00007
OG0000066	Prat.g_01499	Syaj.g_00157
OG0000067	Prat.g_01037	Syaj.g_01023
OG0000068	Prat.g_01291	Syaj.g_00059
OG0000070	Prat.g_00412	Syaj.g_01529
OG0000071	Prat.g_01249	Syaj.g_01511
OG0000072	Prat.g_00172	Syaj.g_01992
OG0000073	Prat.g_00462	Syaj.g_00093
OG0000075	Prat.g_01761	Syaj.g_02457
OG0000076	Prat.g_01788	Syaj.g_02417
OG0000077	Prat.g_00075	Syaj.g_01831
OG0000078	Prat.g_00245	Syaj.g_02880
OG0000079	Prat.g_00258	Syaj.g_02609
OG0000081	Prat.g_00493	Syaj.g_02888
OG0000082	Prat.g_01507	Syaj.g_00229
OG0000084	Prat.g_01348	Syaj.g_01375
OG0000085	Prat.g_01584	Syaj.g_01707
OG0000086	Prat.g_00086	Syaj.g_01848
OG0000087	Prat.g_00138	Syaj.g_01945
OG0000088	Prat.g_00166	Syaj.g_01986
OG0000089	Prat.g_00370	Syaj.g_02829, Syaj.g_01915
OG0000090	Prat.g_00495	Syaj.g_00144
OG0000091	Prat.g_01082	Syaj.g_01275
OG0000092	Prat.g_01275	Syaj.g_00339
OG0000093	Prat.g_01053	Syaj.g_01042
OG0000094	Prat.g_00943	Syaj.g_00804
OG0000095	Prat.g_00965	Syaj.g_00427
OG0000097	Prat.g_01111	Syaj.g_00589
OG0000098	Prat.g_01282	Syaj.g_02671
OG0000099	Prat.g_01312	Syaj.g_02503
OG0000100	Prat.g_01437	Syaj.g_00987
OG0000101	Prat.g_01726	Syaj.g_02738
OG0000102	Prat.g_01793	Syaj.g_02411
OG0000103	Prat.g_01880	Syaj.g_02243
OG0000104	Prat.g_01889	Syaj.g_02258
OG0000105	Prat.g_00281	Syaj.g_02573
OG0000106	Prat.g_00637	Syaj.g_01130
OG0000107	Prat.g_01656	Syaj.g_02637
OG0000108	Prat.g_00440	Syaj.g_00072
OG0000109	Prat.g_00455	Syaj.g_00087
OG0000110	Prat.g_00539	Syaj.g_00215
OG0000111	Prat.g_00776	Syaj.g_00437
OG0000112	Prat.g_00888	Syaj.g_00907
OG0000113	Prat.g_01014	Syaj.g_00992
OG0000114	Prat.g_00716	Syaj.g_00741
OG0000115	Prat.g_01373	Syaj.g_01402
OG0000116	Prat.g_01166	Syaj.g_00289
OG0000117	Prat.g_01129	Syaj.g_00637
OG0000118	Prat.g_01261	Syaj.g_00267
OG0000119	Prat.g_00647, Prat.g_01452	Syaj.g_00317
OG0000120	Prat.g_00344	Syaj.g_02502
OG0000121	Prat.g_01355	Syaj.g_01383
OG0000122	Prat.g_00781, Prat.g_01398	Syaj.g_01250
OG0000123	Prat.g_01733	Syaj.g_02745
OG0000124	Prat.g_01805	Syaj.g_02388
OG0000125	Prat.g_01841	Syaj.g_02117
OG0000126	Prat.g_01888	Syaj.g_02256
OG0000128	Prat.g_00012, Prat.g_00011	Syaj.g_02274
OG0000129	Prat.g_00047	Syaj.g_02106
OG0000130	Prat.g_00066	Syaj.g_01818
OG0000131	Prat.g_00144	Syaj.g_01964
OG0000132	Prat.g_00164	Syaj.g_00688, Syaj.g_01984
OG0000133	Prat.g_00329	Syaj.g_00902
OG0000134	Prat.g_00372	Syaj.g_02832
OG0000135	Prat.g_01477	Syaj.g_02167
OG0000136	Prat.g_00401	Syaj.g_01550
OG0000137	Prat.g_00434	Syaj.g_01444
OG0000138	Prat.g_00456	Syaj.g_00088
OG0000139	Prat.g_00499	Syaj.g_00150
OG0000140	Prat.g_00500	Syaj.g_00153
OG0000141	Prat.g_00570	Syaj.g_01340
OG0000142	Prat.g_01090	Syaj.g_01283
OG0000143	Prat.g_01086	Syaj.g_01279
OG0000144	Prat.g_01072	Syaj.g_01151
OG0000145	Prat.g_01472	Syaj.g_00094
OG0000146	Prat.g_00887	Syaj.g_00908
OG0000147	Prat.g_00886	Syaj.g_00909
OG0000148	Prat.g_01020	Syaj.g_01003
OG0000149	Prat.g_00991	Syaj.g_00369
OG0000150	Prat.g_00981	Syaj.g_01339, Syaj.g_00154
OG0000151	Prat.g_00726	Syaj.g_01074
OG0000152	Prat.g_00896	Syaj.g_00898
OG0000153	Prat.g_00915	Syaj.g_00842
OG0000154	Prat.g_00934	Syaj.g_00814
OG0000155	Prat.g_01135	Syaj.g_00338
OG0000156	Prat.g_01238	Syaj.g_00282
OG0000157	Prat.g_01239	Syaj.g_00281
OG0000158	Prat.g_01769	Syaj.g_02445
OG0000160	Prat.g_01354	Syaj.g_01382
OG0000161	Prat.g_01360	Syaj.g_01389
OG0000162	Prat.g_01366	Syaj.g_01395
OG0000163	Prat.g_01409	Syaj.g_01639
OG0000164	Prat.g_01615	Syaj.g_01758
OG0000165	Prat.g_01623	Syaj.g_01582
OG0000166	Prat.g_01690	Syaj.g_02698
OG0000167	Prat.g_01759	Syaj.g_02460
OG0000168	Prat.g_01770	Syaj.g_02444
OG0000169	Prat.g_01781	Syaj.g_02431, Syaj.g_02429
OG0000170	Prat.g_01784	Syaj.g_02422
OG0000171	Prat.g_01804	Syaj.g_02389
OG0000172	Prat.g_01811	Syaj.g_02365
OG0000173	Prat.g_01826	Syaj.g_02321
OG0000174	Prat.g_01858	Syaj.g_02169
OG0000175	Prat.g_01870	Syaj.g_02229
OG0000176	Prat.g_00004	Syaj.g_02266
OG0000177	Prat.g_00005	Syaj.g_02267
OG0000178	Prat.g_00006	Syaj.g_02268
OG0000179	Prat.g_00017	Syaj.g_02283
OG0000180	Prat.g_00018	Syaj.g_02284
OG0000181	Prat.g_00019	Syaj.g_02285
OG0000182	Prat.g_00020	Syaj.g_02286
OG0000183	Prat.g_00024, Prat.g_01314	Syaj.g_02290
OG0000184	Prat.g_00051	Syaj.g_02098
OG0000185	Prat.g_00054	Syaj.g_02087
OG0000186	Prat.g_00060	Syaj.g_01812
OG0000187	Prat.g_00061	Syaj.g_01814
OG0000188	Prat.g_00080	Syaj.g_01837
OG0000189	Prat.g_00093	Syaj.g_01874
OG0000190	Prat.g_00094	Syaj.g_01876
OG0000191	Prat.g_00116	Syaj.g_01910
OG0000192	Prat.g_00121	Syaj.g_01919
OG0000193	Prat.g_00145	Syaj.g_01965
OG0000194	Prat.g_00148	Syaj.g_01968
OG0000195	Prat.g_00150	Syaj.g_01971
OG0000196	Prat.g_00161	Syaj.g_01981
OG0000197	Prat.g_00162	Syaj.g_01982
OG0000198	Prat.g_00163	Syaj.g_01983
OG0000199	Prat.g_00171	Syaj.g_01991
OG0000200	Prat.g_00185	Syaj.g_02008
OG0000201	Prat.g_00194	Syaj.g_02024
OG0000202	Prat.g_00195	Syaj.g_02025
OG0000203	Prat.g_00196	Syaj.g_02026
OG0000204	Prat.g_00197	Syaj.g_02027
OG0000205	Prat.g_00204	Syaj.g_02035
OG0000206	Prat.g_00209	Syaj.g_02043
OG0000207	Prat.g_00211	Syaj.g_02045
OG0000208	Prat.g_00212	Syaj.g_02046
