Orthogroup	Prat	Syap
OG0000001	Prat.g_01285, Prat.g_01286	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prat.g_00236	Syap.g_01987
OG0000005	Prat.g_01440	Syap.g_01218
OG0000006	Prat.g_00248	Syap.g_02770
OG0000007	Prat.g_00458	Syap.g_00275
OG0000007	Prat.g_01592	Syap.g_00621
OG0000010	Prat.g_00682, Prat.g_00662	Syap.g_02757
OG0000013	Prat.g_00334	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prat.g_00314	Syap.g_01675
OG0000014	Prat.g_01267	Syap.g_00813
OG0000015	Prat.g_00701	Syap.g_02606, Syap.g_00786
OG0000016	Prat.g_00014	Syap.g_00071
OG0000016	Prat.g_01219	Syap.g_00404
OG0000018	Prat.g_01009	Syap.g_02708
OG0000018	Prat.g_01177	Syap.g_02010
OG0000019	Prat.g_00255, Prat.g_01180	Syap.g_01586
OG0000025	Prat.g_01003	Syap.g_01846
OG0000027	Prat.g_01474, Prat.g_01548	Syap.g_01440
OG0000028	Prat.g_00380, Prat.g_00327	Syap.g_01658
OG0000030	Prat.g_01799	Syap.g_00787, Syap.g_00788
OG0000033	Prat.g_01265	Syap.g_01198
OG0000034	Prat.g_01259	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prat.g_01353, Prat.g_01352	Syap.g_02125, Syap.g_02465
OG0000037	Prat.g_00106	Syap.g_02492
OG0000038	Prat.g_01839	Syap.g_00139
OG0000039	Prat.g_00760	Syap.g_01749, Syap.g_01748
OG0000041	Prat.g_01640	Syap.g_01510
OG0000042	Prat.g_01796	Syap.g_01891, Syap.g_01120
OG0000043	Prat.g_01176	Syap.g_01998
OG0000044	Prat.g_00619	Syap.g_00378
OG0000045	Prat.g_01203	Syap.g_02525
OG0000046	Prat.g_00335	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prat.g_00278	Syap.g_02340
OG0000053	Prat.g_01375	Syap.g_02006
OG0000054	Prat.g_00569	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prat.g_00775	Syap.g_01569
OG0000058	Prat.g_01311	Syap.g_02074
OG0000059	Prat.g_01679	Syap.g_01918
OG0000061	Prat.g_01156	Syap.g_00228
OG0000062	Prat.g_01442	Syap.g_01220
OG0000063	Prat.g_01516	Syap.g_01796
OG0000066	Prat.g_01499	Syap.g_01972
OG0000067	Prat.g_01037	Syap.g_00194
OG0000068	Prat.g_01291	Syap.g_00108, Syap.g_00144
OG0000069	Prat.g_01400	Syap.g_01936, Syap.g_01543, Syap.g_01545
