Orthogroup	Prat	Syat
OG0000001	Prat.g_01285, Prat.g_01286	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prat.g_01440	Syat.g_03105
OG0000006	Prat.g_00248	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prat.g_00458	Syat.g_03191
OG0000007	Prat.g_01592	Syat.g_03124
OG0000008	Prat.g_00376	Syat.g_02626
OG0000008	Prat.g_00377	Syat.g_02627
OG0000010	Prat.g_00682, Prat.g_00662	Syat.g_01372
OG0000013	Prat.g_00334	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prat.g_00314	Syat.g_02104
OG0000014	Prat.g_01267	Syat.g_02250
OG0000015	Prat.g_00701	Syat.g_00775, Syat.g_01677
OG0000016	Prat.g_00014	Syat.g_02329
OG0000016	Prat.g_01219	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000018	Prat.g_01177	Syat.g_01334
OG0000019	Prat.g_00255, Prat.g_01180	Syat.g_01876
OG0000021	Prat.g_00854, Prat.g_00461	Syat.g_00964
OG0000022	Prat.g_01448	Syat.g_00210
OG0000024	Prat.g_00622, Prat.g_00749	Syat.g_03394
OG0000025	Prat.g_01003	Syat.g_00719
OG0000026	Prat.g_00033	Syat.g_02306
OG0000027	Prat.g_01474, Prat.g_01548	Syat.g_00850
OG0000028	Prat.g_00380, Prat.g_00327	Syat.g_02126
OG0000030	Prat.g_01799	Syat.g_00307, Syat.g_00308
OG0000032	Prat.g_01394	Syat.g_01354
OG0000033	Prat.g_01265	Syat.g_02858
OG0000034	Prat.g_01259	Syat.g_01165, Syat.g_02902
OG0000035	Prat.g_01353, Prat.g_01352	Syat.g_01227, Syat.g_01226
OG0000037	Prat.g_00106	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prat.g_01839	Syat.g_02688, Syat.g_02686
OG0000039	Prat.g_00760	Syat.g_01278
OG0000041	Prat.g_01640	Syat.g_00785, Syat.g_03006
OG0000042	Prat.g_01796	Syat.g_00223, Syat.g_02222
OG0000044	Prat.g_00619	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prat.g_01203	Syat.g_00935
OG0000046	Prat.g_00335	Syat.g_01626, Syat.g_01026
OG0000048	Prat.g_00278	Syat.g_02046
OG0000052	Prat.g_00058	Syat.g_02140
OG0000053	Prat.g_01375	Syat.g_01330
OG0000054	Prat.g_00569	Syat.g_00987, Syat.g_03390
OG0000057	Prat.g_00775	Syat.g_00817, Syat.g_02055
OG0000058	Prat.g_01311	Syat.g_02133, Syat.g_02238
OG0000059	Prat.g_01679	Syat.g_01832
OG0000061	Prat.g_01156	Syat.g_03260
OG0000062	Prat.g_01442	Syat.g_03107
OG0000063	Prat.g_01516	Syat.g_02303
OG0000064	Prat.g_00064	Syat.g_01568
OG0000065	Prat.g_00104	Syat.g_01571
OG0000066	Prat.g_01499	Syat.g_03283
OG0000067	Prat.g_01037	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prat.g_01291	Syat.g_00085, Syat.g_01295
OG0000069	Prat.g_01400	Syat.g_00090, Syat.g_00879
OG0000070	Prat.g_00412	Syat.g_01032, Syat.g_01040
OG0000071	Prat.g_01249	Syat.g_01153
OG0000072	Prat.g_00172	Syat.g_02856, Syat.g_01597
OG0000073	Prat.g_00462	Syat.g_03201
OG0000075	Prat.g_01761	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prat.g_01788	Syat.g_02206
OG0000077	Prat.g_00075	Syat.g_01481
OG0000078	Prat.g_00245	Syat.g_00184
OG0000079	Prat.g_00258	Syat.g_01879
OG0000080	Prat.g_01323	Syat.g_02246, Syat.g_02282, Syat.g_01200
OG0000081	Prat.g_00493	Syat.g_00980
OG0000082	Prat.g_01507	Syat.g_00035
OG0000085	Prat.g_01584	Syat.g_03113
OG0000086	Prat.g_00086	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prat.g_00138	Syat.g_02912
OG0000088	Prat.g_00166	Syat.g_02862
OG0000089	Prat.g_00370	Syat.g_02953
OG0000090	Prat.g_00495	Syat.g_03270
OG0000091	Prat.g_01082	Syat.g_00939, Syat.g_00862
OG0000092	Prat.g_01275	Syat.g_00825
OG0000094	Prat.g_00943	Syat.g_00698, Syat.g_01034
OG0000095	Prat.g_00965	Syat.g_00808
OG0000097	Prat.g_01111	Syat.g_00907, Syat.g_00535
OG0000098	Prat.g_01282	Syat.g_03281
OG0000099	Prat.g_01312	Syat.g_02130
OG0000100	Prat.g_01437	Syat.g_00517
OG0000101	Prat.g_01726	Syat.g_01661
OG0000102	Prat.g_01793	Syat.g_00974
OG0000103	Prat.g_01880	Syat.g_02399
OG0000104	Prat.g_01889	Syat.g_02385
OG0000105	Prat.g_00281	Syat.g_02052
OG0000106	Prat.g_00637	Syat.g_00957
OG0000107	Prat.g_01656	Syat.g_02009, Syat.g_01862
OG0000108	Prat.g_00440	Syat.g_03170
OG0000109	Prat.g_00455	Syat.g_03187
OG0000110	Prat.g_00539	Syat.g_00049
OG0000111	Prat.g_00776	Syat.g_00816
OG0000112	Prat.g_00888	Syat.g_00593
OG0000113	Prat.g_01014	Syat.g_00509
OG0000114	Prat.g_00716	Syat.g_00426
OG0000115	Prat.g_01373	Syat.g_01328
OG0000116	Prat.g_01166	Syat.g_02641
OG0000117	Prat.g_01129	Syat.g_00224
OG0000118	Prat.g_01261	Syat.g_01168
OG0000119	Prat.g_00647, Prat.g_01452	Syat.g_00309
OG0000120	Prat.g_00344	Syat.g_02132
OG0000121	Prat.g_01355	Syat.g_01223
OG0000123	Prat.g_01733	Syat.g_01653
OG0000124	Prat.g_01805	Syat.g_02231
OG0000125	Prat.g_01841	Syat.g_02684
OG0000126	Prat.g_01888	Syat.g_00976
OG0000128	Prat.g_00012, Prat.g_00011	Syat.g_02331
OG0000129	Prat.g_00047	Syat.g_02693, Syat.g_02694
OG0000130	Prat.g_00066	Syat.g_01469
OG0000131	Prat.g_00144	Syat.g_02898
OG0000132	Prat.g_00164	Syat.g_02864
OG0000133	Prat.g_00329	Syat.g_00588
OG0000134	Prat.g_00372	Syat.g_02956
OG0000135	Prat.g_01477	Syat.g_02501
OG0000136	Prat.g_00401	Syat.g_01292
OG0000137	Prat.g_00434	Syat.g_01371
OG0000138	Prat.g_00456	Syat.g_03188
OG0000139	Prat.g_00499	Syat.g_03276
OG0000140	Prat.g_00500	Syat.g_03280
OG0000141	Prat.g_00570	Syat.g_03398
OG0000142	Prat.g_01090	Syat.g_00117
OG0000143	Prat.g_01086	Syat.g_00130
OG0000144	Prat.g_01072	Syat.g_00369
OG0000145	Prat.g_01472	Syat.g_03202
OG0000146	Prat.g_00887	Syat.g_00594
OG0000147	Prat.g_00886	Syat.g_00595
OG0000148	Prat.g_01020	Syat.g_00503
OG0000149	Prat.g_00991	Syat.g_00747
OG0000150	Prat.g_00981	Syat.g_03399
OG0000151	Prat.g_00726	Syat.g_00801, Syat.g_00440
OG0000152	Prat.g_00896	Syat.g_00578
OG0000153	Prat.g_00915	Syat.g_00542
OG0000154	Prat.g_00934	Syat.g_00708
OG0000155	Prat.g_01135	Syat.g_00287
OG0000156	Prat.g_01238	Syat.g_03228
OG0000157	Prat.g_01239	Syat.g_02012, Syat.g_03227
OG0000158	Prat.g_01769	Syat.g_02163
OG0000160	Prat.g_01354	Syat.g_01224
OG0000161	Prat.g_01360	Syat.g_01180
OG0000162	Prat.g_01366	Syat.g_01281
OG0000163	Prat.g_01409	Syat.g_02979
OG0000164	Prat.g_01615	Syat.g_03040
OG0000165	Prat.g_01623	Syat.g_03033
OG0000166	Prat.g_01690	Syat.g_01822
OG0000167	Prat.g_01759	Syat.g_02148
OG0000168	Prat.g_01770	Syat.g_02164
OG0000169	Prat.g_01781	Syat.g_02192
