Orthogroup	Prat	Syar
OG0000001	Prat.g_01285, Prat.g_01286	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prat.g_00772	Syar.g_02051
OG0000004	Prat.g_00236	Syar.g_02225, Syar.g_00842
OG0000005	Prat.g_01440	Syar.g_02909
OG0000006	Prat.g_00248	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prat.g_00458	Syar.g_01491
OG0000007	Prat.g_01592	Syar.g_02929
OG0000008	Prat.g_00376	Syar.g_02097
OG0000008	Prat.g_00377	Syar.g_02098
OG0000010	Prat.g_00682, Prat.g_00662	Syar.g_01272
OG0000013	Prat.g_00334	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prat.g_00314	Syar.g_00825
OG0000014	Prat.g_01267	Syar.g_02736
OG0000015	Prat.g_00701	Syar.g_00451, Syar.g_00180
OG0000016	Prat.g_00014, Prat.g_01219	Syar.g_02859
OG0000017	Prat.g_00560	Syar.g_03181
OG0000017	Prat.g_00567	Syar.g_02180
OG0000018	Prat.g_01177	Syar.g_01409
OG0000019	Prat.g_00255, Prat.g_01180	Syar.g_00163
OG0000022	Prat.g_01448	Syar.g_00835
OG0000025	Prat.g_01003	Syar.g_01811
OG0000026	Prat.g_00033	Syar.g_00505
OG0000027	Prat.g_01474, Prat.g_01548	Syar.g_02055, Syar.g_02835
OG0000028	Prat.g_00380, Prat.g_00327	Syar.g_00718
OG0000032	Prat.g_01394	Syar.g_01390
OG0000033	Prat.g_01265	Syar.g_00105
OG0000034	Prat.g_01259	Syar.g_00074, Syar.g_02790
OG0000035	Prat.g_01353, Prat.g_01352	Syar.g_02809
OG0000037	Prat.g_00106	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prat.g_01839	Syar.g_00334, Syar.g_00336
OG0000039	Prat.g_00760	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prat.g_01578	Syar.g_02831
OG0000041	Prat.g_01640	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prat.g_01796	Syar.g_00595, Syar.g_01970
OG0000044	Prat.g_00619	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prat.g_01203	Syar.g_02592
OG0000046	Prat.g_00335	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prat.g_00278	Syar.g_00213
OG0000052	Prat.g_00058	Syar.g_00281
OG0000053	Prat.g_01375	Syar.g_01413
OG0000054	Prat.g_00569	Syar.g_02265
OG0000056	Prat.g_01571	Syar.g_01662
OG0000057	Prat.g_00775	Syar.g_01941, Syar.g_00006
OG0000058	Prat.g_01311	Syar.g_00648
OG0000059	Prat.g_01679	Syar.g_01024
OG0000061	Prat.g_01156	Syar.g_01539
