Orthogroup	Prat	Syah
OG0000001	Prat.g_01285, Prat.g_01286	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Syah.g_01829
OG0000004	Prat.g_00772	Syah.g_02017
OG0000004	Prat.g_00236	Syah.g_01967, Syah.g_00901
OG0000005	Prat.g_01440	Syah.g_02363
OG0000006	Prat.g_00248	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prat.g_00458	Syah.g_01016
OG0000007	Prat.g_01592	Syah.g_02384
OG0000008	Prat.g_00376	Syah.g_01994
OG0000008	Prat.g_00377	Syah.g_01993
OG0000009	Prat.g_01451	Syah.g_02457
OG0000010	Prat.g_00682, Prat.g_00662	Syah.g_01220
OG0000011	Prat.g_01532	Syah.g_01991
OG0000012	Prat.g_00586	Syah.g_01960
OG0000013	Prat.g_00334	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prat.g_00314	Syah.g_00127
OG0000014	Prat.g_01267	Syah.g_00323
OG0000015	Prat.g_00701	Syah.g_01511, Syah.g_01510
OG0000016	Prat.g_00014	Syah.g_00359
OG0000016	Prat.g_01219	Syah.g_01402, Syah.g_01859
OG0000017	Prat.g_00560	Syah.g_01152
OG0000017	Prat.g_00567	Syah.g_01159
OG0000018	Prat.g_01177	Syah.g_01264
OG0000019	Prat.g_00255, Prat.g_01180	Syah.g_00669
OG0000022	Prat.g_01448	Syah.g_01881
OG0000023	Prat.g_00834	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prat.g_00622, Prat.g_00749	Syah.g_01990
OG0000025	Prat.g_01003	Syah.g_02082
OG0000026	Prat.g_00033	Syah.g_00340
OG0000027	Prat.g_01474, Prat.g_01548	Syah.g_01541
OG0000028	Prat.g_00380, Prat.g_00327	Syah.g_00141
OG0000030	Prat.g_01799	Syah.g_00264, Syah.g_00265
OG0000031	Prat.g_01266	Syah.g_00322
OG0000032	Prat.g_01394	Syah.g_01246
OG0000033	Prat.g_01265	Syah.g_00078
OG0000034	Prat.g_01259	Syah.g_00048, Syah.g_02213
OG0000035	Prat.g_01353, Prat.g_01352	Syah.g_01293
OG0000037	Prat.g_00106	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prat.g_01839	Syah.g_00508, Syah.g_00506
OG0000039	Prat.g_00760	Syah.g_02074
OG0000040	Prat.g_01578	Syah.g_01908
OG0000041	Prat.g_01640	Syah.g_02271, Syah.g_02039
OG0000042	Prat.g_01796	Syah.g_00261
OG0000043	Prat.g_01176	Syah.g_02119, Syah.g_01546
OG0000044	Prat.g_00619	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000045	Prat.g_01203	Syah.g_02356
OG0000046	Prat.g_00335	Syah.g_00823, Syah.g_00830, Syah.g_00816
OG0000047	Prat.g_00374	Syah.g_00847
OG0000048	Prat.g_00278	Syah.g_00637
OG0000052	Prat.g_00058	Syah.g_00171
OG0000053	Prat.g_01375	Syah.g_01267
OG0000054	Prat.g_00569	Syah.g_01982, Syah.g_01862
OG0000057	Prat.g_00775	Syah.g_02020
OG0000058	Prat.g_01311	Syah.g_00152
OG0000059	Prat.g_01679	Syah.g_00737
OG0000061	Prat.g_01156	Syah.g_02158
OG0000062	Prat.g_01442	Syah.g_02365
OG0000063	Prat.g_01516	Syah.g_00337
OG0000064	Prat.g_00064	Syah.g_02357, Syah.g_01353
OG0000065	Prat.g_00104	Syah.g_02537, Syah.g_02443
OG0000066	Prat.g_01499	Syah.g_01073
OG0000067	Prat.g_01037	Syah.g_01779
OG0000068	Prat.g_01291	Syah.g_00986
OG0000069	Prat.g_01400	Syah.g_01715
OG0000070	Prat.g_00412	Syah.g_02217
OG0000071	Prat.g_01249	Syah.g_01863, Syah.g_02199
OG0000072	Prat.g_00172	Syah.g_00080
OG0000073	Prat.g_00462	Syah.g_01018
OG0000074	Prat.g_01577	Syah.g_00951
OG0000075	Prat.g_01761	Syah.g_00186
OG0000076	Prat.g_01788	Syah.g_00250
OG0000077	Prat.g_00075	Syah.g_02494
OG0000078	Prat.g_00245	Syah.g_00912
OG0000079	Prat.g_00258	Syah.g_00665
OG0000080	Prat.g_01323	Syah.g_00290
OG0000081	Prat.g_00493	Syah.g_00922, Syah.g_02471
OG0000082	Prat.g_01507	Syah.g_01136
OG0000084	Prat.g_01348	Syah.g_02105, Syah.g_01296
OG0000085	Prat.g_01584	Syah.g_02372
OG0000086	Prat.g_00086	Syah.g_02511
OG0000087	Prat.g_00138	Syah.g_00038
OG0000088	Prat.g_00166	Syah.g_00074
OG0000089	Prat.g_00370	Syah.g_00888
OG0000090	Prat.g_00495	Syah.g_01064
OG0000091	Prat.g_01082	Syah.g_01927
OG0000093	Prat.g_01053	Syah.g_01794
OG0000094	Prat.g_00943	Syah.g_01692
OG0000095	Prat.g_00965	Syah.g_02030
OG0000097	Prat.g_01111	Syah.g_01400
OG0000098	Prat.g_01282	Syah.g_00723
OG0000099	Prat.g_01312	Syah.g_00144
OG0000100	Prat.g_01437	Syah.g_01747
OG0000101	Prat.g_01726	Syah.g_00785
OG0000102	Prat.g_01793	Syah.g_00255
OG0000103	Prat.g_01880	Syah.g_00391
OG0000104	Prat.g_01889	Syah.g_00377
OG0000105	Prat.g_00281	Syah.g_00632
OG0000106	Prat.g_00637	Syah.g_01544
OG0000107	Prat.g_01656	Syah.g_00688
OG0000108	Prat.g_00440	Syah.g_00997
OG0000109	Prat.g_00455	Syah.g_01012
OG0000110	Prat.g_00539	Syah.g_01124
OG0000111	Prat.g_00776	Syah.g_02021
OG0000112	Prat.g_00888	Syah.g_01613
OG0000113	Prat.g_01014	Syah.g_01752
OG0000114	Prat.g_00716	Syah.g_01529
OG0000115	Prat.g_01373	Syah.g_01269
OG0000116	Prat.g_01166	Syah.g_02175
OG0000117	Prat.g_01129	Syah.g_01425
OG0000118	Prat.g_01261	Syah.g_01173
OG0000120	Prat.g_00344	Syah.g_00145
OG0000121	Prat.g_01355	Syah.g_01287
OG0000122	Prat.g_00781, Prat.g_01398	Syah.g_01900
OG0000123	Prat.g_01733	Syah.g_00793
OG0000124	Prat.g_01805	Syah.g_00272
OG0000125	Prat.g_01841	Syah.g_00504
OG0000126	Prat.g_01888	Syah.g_00379
OG0000128	Prat.g_00012, Prat.g_00011	Syah.g_00361
OG0000129	Prat.g_00047	Syah.g_00516
OG0000130	Prat.g_00066	Syah.g_02483
OG0000131	Prat.g_00144	Syah.g_00052
OG0000132	Prat.g_00164	Syah.g_00072
OG0000133	Prat.g_00329	Syah.g_01618
OG0000134	Prat.g_00372	Syah.g_00891
OG0000135	Prat.g_01477	Syah.g_00465
OG0000136	Prat.g_00401	Syah.g_02227
OG0000137	Prat.g_00434	Syah.g_01221
OG0000138	Prat.g_00456	Syah.g_01013
OG0000139	Prat.g_00499	Syah.g_01070
OG0000140	Prat.g_00500	Syah.g_01071
OG0000141	Prat.g_00570	Syah.g_01981
OG0000142	Prat.g_01090	Syah.g_01935
OG0000143	Prat.g_01086	Syah.g_01931
OG0000144	Prat.g_01072	Syah.g_01824
OG0000145	Prat.g_01472	Syah.g_01019
OG0000146	Prat.g_00887	Syah.g_01612
OG0000147	Prat.g_00886	Syah.g_01611
OG0000148	Prat.g_01020	Syah.g_01758
OG0000149	Prat.g_00991	Syah.g_02096
OG0000150	Prat.g_00981	Syah.g_01980
OG0000151	Prat.g_00726	Syah.g_01820
OG0000152	Prat.g_00896	Syah.g_01622
OG0000153	Prat.g_00915	Syah.g_01656
OG0000154	Prat.g_00934	Syah.g_01682
OG0000155	Prat.g_01135	Syah.g_02123
OG0000156	Prat.g_01238	Syah.g_02185
OG0000157	Prat.g_01239	Syah.g_02186
OG0000158	Prat.g_01769	Syah.g_00204
OG0000160	Prat.g_01354	Syah.g_01289
OG0000161	Prat.g_01360	Syah.g_01282
OG0000162	Prat.g_01366	Syah.g_01276
OG0000163	Prat.g_01409	Syah.g_02315
OG0000164	Prat.g_01615	Syah.g_02423
OG0000165	Prat.g_01623	Syah.g_02251
OG0000166	Prat.g_01690	Syah.g_00747
OG0000167	Prat.g_01759	Syah.g_00183
OG0000168	Prat.g_01770	Syah.g_00205
OG0000169	Prat.g_01781	Syah.g_00237
