locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syac.g_00001	gene	1158	dnaN			
Syac.g_00001	CDS	1158	dnaN			Beta sliding clamp
Syac.g_00002	gene	750				
Syac.g_00002	CDS	750				hypothetical protein
Syac.g_00003	gene	2301	purL			
Syac.g_00003	CDS	2301	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
Syac.g_00004	gene	1506	purF			
Syac.g_00004	CDS	1506	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
Syac.g_00005	gene	2463	gyrA_1			
Syac.g_00005	CDS	2463	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
Syac.g_00006	gene	882	lapB			
Syac.g_00006	CDS	882	lapB			Lipopolysaccharide assembly protein B
Syac.g_00007	gene	966	queG			
Syac.g_00007	CDS	966	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
Syac.g_00008	gene	648				
Syac.g_00008	CDS	648				hypothetical protein
Syac.g_00009	gene	765				
Syac.g_00009	CDS	765				hypothetical protein
Syac.g_00010	gene	636	nusB			
Syac.g_00010	CDS	636	nusB			Transcription antitermination protein NusB
Syac.g_00011	gene	1569	ftsY			
Syac.g_00011	CDS	1569	ftsY			Signal recognition particle receptor FtsY
Syac.g_00012	gene	1341				
Syac.g_00012	CDS	1341				hypothetical protein
Syac.g_00013	gene	1419	argH			
Syac.g_00013	CDS	1419	argH	4.3.2.1	COG0165	Argininosuccinate lyase
Syac.g_00014	gene	681				
Syac.g_00014	CDS	681				hypothetical protein
Syac.g_00015	gene	948	dusA			
Syac.g_00015	CDS	948	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Syac.g_00016	gene	549	msrB_1			
Syac.g_00016	CDS	549	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
Syac.g_00017	gene	1218	baiN			
Syac.g_00017	CDS	1218	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
Syac.g_00018	gene	168				
Syac.g_00018	CDS	168				hypothetical protein
Syac.g_00019	gene	675	grpE			
Syac.g_00019	CDS	675	grpE			Protein GrpE
Syac.g_00020	gene	1131	dnaJ_1			
