Orthogroup	Syal	Pran
OG0000000	Syal.g_01111, Syal.g_01832	Pran.g_00582, Pran.g_01423, Pran.g_00931, Pran.g_00601, Pran.g_00579, Pran.g_00001, Pran.g_00602, Pran.g_00593, Pran.g_00580, Pran.g_00894
OG0000001	Syal.g_02193	Pran.g_01395
OG0000004	Syal.g_01809	Pran.g_01483
OG0000004	Syal.g_02718, Syal.g_00691	Pran.g_00200
OG0000005	Syal.g_00606	Pran.g_00983
OG0000005	Syal.g_00565	Pran.g_00657
OG0000006	Syal.g_00674	Pran.g_01951
OG0000007	Syal.g_02918	Pran.g_01681
OG0000007	Syal.g_00587	Pran.g_00970
OG0000009	Syal.g_02089	Pran.g_00615
OG0000009	Syal.g_00818	Pran.g_00328
OG0000010	Syal.g_00464	Pran.g_00175, Pran.g_01704
OG0000012	Syal.g_02535, Syal.g_01639	Pran.g_01555
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Pran.g_01867
OG0000014	Syal.g_01305	Pran.g_01888
OG0000014	Syal.g_01393	Pran.g_00755, Pran.g_00754
OG0000017	Syal.g_02752	Pran.g_01580
OG0000018	Syal.g_00410	Pran.g_00078, Pran.g_01316
OG0000019	Syal.g_01209	Pran.g_01943, Pran.g_01363
OG0000022	Syal.g_02587	Pran.g_01401, Pran.g_00097
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Pran.g_01834
OG0000024	Syal.g_02597	Pran.g_01420, Pran.g_01503
OG0000025	Syal.g_02459	Pran.g_01309, Pran.g_01863
OG0000026	Syal.g_00132	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syal.g_02543	Pran.g_00583
OG0000028	Syal.g_01319	Pran.g_01874
OG0000029	Syal.g_03014	Pran.g_01410
OG0000030	Syal.g_01511, Syal.g_01512	Pran.g_01170
OG0000033	Syal.g_00912	Pran.g_00263
OG0000034	Syal.g_00881, Syal.g_01586	Pran.g_00866
OG0000035	Syal.g_00370	Pran.g_00733
OG0000037	Syal.g_00824	Pran.g_00324
OG0000038	Syal.g_01071, Syal.g_01073	Pran.g_01210
OG0000039	Syal.g_01097	Pran.g_01492
OG0000040	Syal.g_01187	Pran.g_00923
OG0000041	Syal.g_00649	Pran.g_01016
OG0000042	Syal.g_01705, Syal.g_01508	Pran.g_01167
OG0000043	Syal.g_02183	Pran.g_00179
OG0000044	Syal.g_01853	Pran.g_00949
OG0000047	Syal.g_01568	Pran.g_01864
OG0000048	Syal.g_01250	Pran.g_01772, Pran.g_01820
OG0000051	Syal.g_01550	Pran.g_00898
OG0000052	Syal.g_01338	Pran.g_00777
OG0000053	Syal.g_00406	Pran.g_00713
OG0000054	Syal.g_02739	Pran.g_01572
OG0000055	Syal.g_01845	Pran.g_01362
OG0000057	Syal.g_01812	Pran.g_01480
OG0000058	Syal.g_01326	Pran.g_00807
OG0000059	Syal.g_00225	Pran.g_01056
OG0000060	Syal.g_02214	Pran.g_01399
OG0000061	Syal.g_01653	Pran.g_00060
OG0000062	Syal.g_02113	Pran.g_00655
OG0000063	Syal.g_00136	Pran.g_00391
OG0000065	Syal.g_00820, Syal.g_02528	Pran.g_00326
OG0000066	Syal.g_02828	Pran.g_01639
OG0000067	Syal.g_02414	Pran.g_01343
OG0000068	Syal.g_02888	Pran.g_00841
OG0000070	Syal.g_00509	Pran.g_01727
OG0000071	Syal.g_01601	Pran.g_00938, Pran.g_00876
OG0000072	Syal.g_00914	Pran.g_00261
OG0000073	Syal.g_02920	Pran.g_01679
OG0000075	Syal.g_01350	Pran.g_01137
OG0000076	Syal.g_01459	Pran.g_01160
OG0000077	Syal.g_00763	Pran.g_00354
OG0000078	Syal.g_00680	Pran.g_00194
OG0000079	Syal.g_01213	Pran.g_01940
OG0000080	Syal.g_01394	Pran.g_01806, Pran.g_00796, Pran.g_00794
OG0000081	Syal.g_02555	Pran.g_01647
OG0000082	Syal.g_02769	Pran.g_01593
OG0000084	Syal.g_00023	Pran.g_00737
OG0000085	Syal.g_00575	Pran.g_00963
OG0000086	Syal.g_00784	Pran.g_00344
OG0000087	Syal.g_00871	Pran.g_00295
OG0000088	Syal.g_00908	Pran.g_00266
OG0000089	Syal.g_00555	Pran.g_01839
OG0000090	Syal.g_02838	Pran.g_01645
OG0000091	Syal.g_02628	Pran.g_01536
OG0000092	Syal.g_00470	Pran.g_00434
OG0000094	Syal.g_01907	Pran.g_00549
OG0000097	Syal.g_01735, Syal.g_01553	Pran.g_00019
OG0000098	Syal.g_02196	Pran.g_00855
OG0000099	Syal.g_01323	Pran.g_00806
