Orthogroup	Syal	Syar
OG0000001	Syal.g_02193, Syal.g_02215	Syar.g_00069
OG0000001	Syal.g_00874, Syal.g_01184	Syar.g_00070
OG0000004	Syal.g_01809	Syar.g_02051
OG0000004	Syal.g_02718	Syar.g_02225
OG0000004	Syal.g_00691	Syar.g_00842
OG0000005	Syal.g_00606	Syar.g_02952
OG0000005	Syal.g_00565	Syar.g_02909
OG0000005	Syal.g_01664	Syar.g_01752
OG0000006	Syal.g_00674	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000006	Syal.g_02611	Syar.g_02439
OG0000007	Syal.g_02918	Syar.g_01491
OG0000007	Syal.g_00587	Syar.g_02929
OG0000008	Syal.g_02512	Syar.g_02097
OG0000008	Syal.g_01783	Syar.g_02098
OG0000009	Syal.g_00818	Syar.g_03116
OG0000010	Syal.g_00464	Syar.g_01272
OG0000013	Syal.g_00310	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syal.g_01305	Syar.g_00825
OG0000015	Syal.g_02210, Syal.g_01183	Syar.g_00451
OG0000016	Syal.g_00111, Syal.g_01734	Syar.g_02859
OG0000017	Syal.g_02745	Syar.g_02180
OG0000017	Syal.g_02752	Syar.g_02188
OG0000018	Syal.g_00410	Syar.g_01409
OG0000019	Syal.g_01209	Syar.g_00163
OG0000022	Syal.g_02587	Syar.g_00835
OG0000025	Syal.g_02459	Syar.g_01811
OG0000026	Syal.g_00132	Syar.g_00505
OG0000027	Syal.g_02543	Syar.g_02055
OG0000028	Syal.g_01319	Syar.g_00718
OG0000031	Syal.g_01404, Syal.g_01432	Syar.g_00714
OG0000032	Syal.g_00428	Syar.g_01390
OG0000032	Syal.g_00183	Syar.g_00543
OG0000033	Syal.g_00912	Syar.g_00105
OG0000034	Syal.g_00881, Syal.g_01586	Syar.g_00074, Syar.g_02790
OG0000035	Syal.g_00020, Syal.g_00370	Syar.g_02809
OG0000037	Syal.g_00824	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syal.g_01071	Syar.g_00334
OG0000038	Syal.g_01073	Syar.g_00336
OG0000039	Syal.g_01097	Syar.g_02151
OG0000040	Syal.g_01149	Syar.g_00858
OG0000042	Syal.g_01705, Syal.g_01508	Syar.g_00595, Syar.g_01970
OG0000044	Syal.g_01853, Syal.g_01847	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syal.g_01563	Syar.g_02592
OG0000046	Syal.g_00321	Syar.g_03233
OG0000048	Syal.g_01250	Syar.g_00213
OG0000051	Syal.g_01550	Syar.g_01597
OG0000052	Syal.g_01338	Syar.g_02742, Syar.g_02751
OG0000053	Syal.g_00406	Syar.g_01413
OG0000054	Syal.g_02098	Syar.g_02265
OG0000055	Syal.g_01845	Syar.g_01386
OG0000056	Syal.g_02054	Syar.g_01662
OG0000057	Syal.g_01812	Syar.g_00006
OG0000060	Syal.g_00480, Syal.g_02895	Syar.g_01260
OG0000061	Syal.g_01653	Syar.g_01539
OG0000062	Syal.g_00567	Syar.g_02911
