Orthogroup	Syal	Prbh
OG0000000	Syal.g_01111, Syal.g_01832	Prbh.g_01853, Prbh.g_01901, Prbh.g_01319, Prbh.g_01903, Prbh.g_01902, Prbh.g_01858
OG0000001	Syal.g_02193	Prbh.g_00001, Prbh.g_00863
OG0000004	Syal.g_01809	Prbh.g_00933
OG0000004	Syal.g_02718, Syal.g_00691	Prbh.g_00548
OG0000005	Syal.g_00565	Prbh.g_00182
OG0000006	Syal.g_00674	Prbh.g_00538
OG0000007	Syal.g_02918	Prbh.g_00334
OG0000007	Syal.g_00587	Prbh.g_01782
OG0000008	Syal.g_02512	Prbh.g_01406
OG0000008	Syal.g_01783	Prbh.g_01405
OG0000009	Syal.g_02089	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Syal.g_00464	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prbh.g_00452
OG0000014	Syal.g_01305	Prbh.g_00472
OG0000016	Syal.g_01734	Prbh.g_01336
OG0000017	Syal.g_02745	Prbh.g_00225
OG0000017	Syal.g_02752	Prbh.g_00232
OG0000018	Syal.g_00410	Prbh.g_01305, Prbh.g_00981
OG0000019	Syal.g_01209	Prbh.g_00530, Prbh.g_01307
OG0000022	Syal.g_02587	Prbh.g_00190
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbh.g_00833
OG0000024	Syal.g_02597	Prbh.g_01147, Prbh.g_00909
OG0000025	Syal.g_02459	Prbh.g_00988
OG0000026	Syal.g_00132	Prbh.g_00749
OG0000028	Syal.g_01319	Prbh.g_00459, Prbh.g_00404
OG0000029	Syal.g_03014	Prbh.g_01691, Prbh.g_01885
OG0000030	Syal.g_01511, Syal.g_01512	Prbh.g_01570
OG0000031	Syal.g_01404, Syal.g_01432	Prbh.g_00064
OG0000032	Syal.g_00428	Prbh.g_00138
OG0000033	Syal.g_00912	Prbh.g_00613
OG0000034	Syal.g_00881, Syal.g_01586	Prbh.g_01383
OG0000035	Syal.g_00370	Prbh.g_00099, Prbh.g_00096
OG0000037	Syal.g_00824	Prbh.g_00674
OG0000038	Syal.g_01071, Syal.g_01073	Prbh.g_01530
OG0000039	Syal.g_01097	Prbh.g_00921
OG0000040	Syal.g_01187	Prbh.g_01815
OG0000041	Syal.g_00649	Prbh.g_01734
OG0000042	Syal.g_01705, Syal.g_01508	Prbh.g_01573
OG0000043	Syal.g_02183	Prbh.g_01304
OG0000044	Syal.g_01853	Prbh.g_01794
OG0000046	Syal.g_00309, Syal.g_00316, Syal.g_00321	Prbh.g_00451
OG0000047	Syal.g_01568	Prbh.g_00408
OG0000048	Syal.g_01250	Prbh.g_00508
OG0000052	Syal.g_01338	Prbh.g_00041
OG0000053	Syal.g_00406	Prbh.g_01834, Prbh.g_00120
OG0000054	Syal.g_02739	Prbh.g_00223
OG0000055	Syal.g_01845	Prbh.g_01332
OG0000056	Syal.g_02054	Prbh.g_01803, Prbh.g_01417
OG0000057	Syal.g_01812	Prbh.g_00936
OG0000058	Syal.g_01326	Prbh.g_00030
OG0000059	Syal.g_00225	Prbh.g_01695
OG0000061	Syal.g_01653	Prbh.g_01283
OG0000062	Syal.g_00567, Syal.g_02113	Prbh.g_00184
OG0000063	Syal.g_00136	Prbh.g_01401
OG0000064	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545	Prbh.g_00715
OG0000065	Syal.g_00820, Syal.g_02528	Prbh.g_00676
OG0000066	Syal.g_02828	Prbh.g_01856
OG0000067	Syal.g_02414	Prbh.g_00953
OG0000068	Syal.g_02888	Prbh.g_00009
OG0000070	Syal.g_00509	Prbh.g_00382
OG0000071	Syal.g_01601	Prbh.g_01373
OG0000072	Syal.g_00914	Prbh.g_00611
OG0000073	Syal.g_02920	Prbh.g_00330
OG0000075	Syal.g_01350	Prbh.g_01607
OG0000076	Syal.g_01459	Prbh.g_01581
OG0000077	Syal.g_00763	Prbh.g_00704
OG0000078	Syal.g_00680	Prbh.g_00540
OG0000079	Syal.g_01213	Prbh.g_00527
OG0000080	Syal.g_01394	Prbh.g_00069
OG0000081	Syal.g_02555	Prbh.g_00298
OG0000082	Syal.g_02769	Prbh.g_01855
OG0000084	Syal.g_00023	Prbh.g_00093
OG0000085	Syal.g_00575	Prbh.g_01408
OG0000086	Syal.g_00784	Prbh.g_00695
OG0000087	Syal.g_00871	Prbh.g_00642
OG0000088	Syal.g_00908	Prbh.g_00616
OG0000089	Syal.g_00555	Prbh.g_00415
OG0000090	Syal.g_02838	Prbh.g_00296
OG0000091	Syal.g_02628	Prbh.g_01211
OG0000092	Syal.g_00470	Prbh.g_00883
OG0000097	Syal.g_01735, Syal.g_01553	Prbh.g_01236
OG0000098	Syal.g_02196	Prbh.g_01935
OG0000099	Syal.g_01323	Prbh.g_00032
OG0000100	Syal.g_02448	Prbh.g_00179
OG0000101	Syal.g_00275	Prbh.g_01644
OG0000102	Syal.g_01488	Prbh.g_01576
OG0000103	Syal.g_01897, Syal.g_00077	Prbh.g_01489
OG0000104	Syal.g_00092	Prbh.g_01480
OG0000105	Syal.g_01255	Prbh.g_00505
OG0000106	Syal.g_02577	Prbh.g_00821
OG0000107	Syal.g_00194	Prbh.g_01718
OG0000108	Syal.g_02897	Prbh.g_00351
OG0000109	Syal.g_02913	Prbh.g_00337
OG0000110	Syal.g_02782	Prbh.g_00254
OG0000111	Syal.g_01813	Prbh.g_00937
OG0000112	Syal.g_02000	Prbh.g_01078
OG0000113	Syal.g_02443	Prbh.g_00976
OG0000114	Syal.g_02286	Prbh.g_00878
OG0000115	Syal.g_00404	Prbh.g_01344
OG0000116	Syal.g_01630	Prbh.g_01294
OG0000117	Syal.g_01704	Prbh.g_01255
OG0000118	Syal.g_01583	Prbh.g_01385
OG0000119	Syal.g_02056	Prbh.g_01333, Prbh.g_00194
OG0000120	Syal.g_01324	Prbh.g_00031
OG0000121	Syal.g_00374	Prbh.g_00101
OG0000122	Syal.g_02602	Prbh.g_01347, Prbh.g_00143
OG0000123	Syal.g_00283	Prbh.g_01637
OG0000124	Syal.g_01519	Prbh.g_01564
OG0000125	Syal.g_01075	Prbh.g_01528
OG0000126	Syal.g_00090	Prbh.g_01481
OG0000127	Syal.g_00720	Prbh.g_01938
OG0000128	Syal.g_00109	Prbh.g_01953
OG0000129	Syal.g_01062	Prbh.g_00738
OG0000130	Syal.g_00751	Prbh.g_00713
OG0000131	Syal.g_00886	Prbh.g_00637
OG0000132	Syal.g_00906	Prbh.g_00618
OG0000133	Syal.g_01995	Prbh.g_00457
OG0000134	Syal.g_00552	Prbh.g_00413
OG0000135	Syal.g_01119	Prbh.g_01825
OG0000136	Syal.g_00520	Prbh.g_00391
OG0000137	Syal.g_00463	Prbh.g_00356
OG0000138	Syal.g_02914	Prbh.g_00336
OG0000139	Syal.g_02832	Prbh.g_00292
OG0000140	Syal.g_02830	Prbh.g_00291
OG0000141	Syal.g_02738	Prbh.g_00222
OG0000142	Syal.g_02636	Prbh.g_01218
OG0000143	Syal.g_02632	Prbh.g_01215
OG0000144	Syal.g_02515	Prbh.g_01201
OG0000145	Syal.g_02921	Prbh.g_01880
