Orthogroup	Syal	Syai
OG0000001	Syal.g_02193	Syai.g_01716
OG0000001	Syal.g_02215	Syai.g_01197, Syai.g_02594
OG0000001	Syal.g_00874, Syal.g_01184	Syai.g_02595
OG0000004	Syal.g_01809	Syai.g_01994
OG0000004	Syal.g_02718	Syai.g_01062
OG0000004	Syal.g_00691	Syai.g_00530
OG0000005	Syal.g_00606	Syai.g_02393
OG0000005	Syal.g_00565	Syai.g_02356
OG0000005	Syal.g_01664	Syai.g_02068, Syai.g_01611
OG0000006	Syal.g_00674	Syai.g_00317, Syai.g_00547
OG0000006	Syal.g_02611	Syai.g_01126
OG0000007	Syal.g_02918	Syai.g_00657
OG0000007	Syal.g_00587	Syai.g_02378
OG0000008	Syal.g_02512	Syai.g_01956
OG0000008	Syal.g_01783	Syai.g_01955
OG0000009	Syal.g_02089	Syai.g_01626
OG0000009	Syal.g_00818	Syai.g_02541
OG0000010	Syal.g_00464	Syai.g_00864
OG0000012	Syal.g_02535, Syal.g_01639	Syai.g_01529, Syai.g_01650
OG0000013	Syal.g_00322	Syai.g_00450
OG0000013	Syal.g_00310	Syai.g_00436
OG0000013	Syal.g_00315	Syai.g_00442
OG0000014	Syal.g_01305	Syai.g_00220
OG0000016	Syal.g_00111	Syai.g_00014
OG0000016	Syal.g_01734	Syai.g_01785
OG0000017	Syal.g_02745	Syai.g_00808
OG0000017	Syal.g_02752	Syai.g_00801
OG0000018	Syal.g_00410	Syai.g_00915
OG0000019	Syal.g_01209	Syai.g_00304
OG0000022	Syal.g_02587	Syai.g_01159
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syai.g_02318
OG0000024	Syal.g_02597	Syai.g_01951
OG0000025	Syal.g_02459	Syai.g_02044
OG0000026	Syal.g_00132	Syai.g_00038
OG0000027	Syal.g_02543	Syai.g_01654
OG0000028	Syal.g_01319	Syai.g_00205
OG0000029	Syal.g_03014	Syai.g_01584
OG0000030	Syal.g_01511	Syai.g_00096
OG0000030	Syal.g_01512	Syai.g_00095
OG0000031	Syal.g_01404, Syal.g_01432	Syai.g_00197
OG0000032	Syal.g_00428	Syai.g_00895
OG0000033	Syal.g_00912	Syai.g_02634
OG0000034	Syal.g_00881, Syal.g_01586	Syai.g_02192, Syai.g_02604
OG0000035	Syal.g_00370	Syai.g_00955
OG0000037	Syal.g_00824	Syai.g_02544, Syai.g_02815
OG0000038	Syal.g_01071	Syai.g_02780
OG0000040	Syal.g_01149	Syai.g_02876
