Orthogroup	Syal	Prag
OG0000000	Syal.g_01111, Syal.g_01832	Prag.g_01647, Prag.g_00719, Prag.g_01335, Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348, Prag.g_00722, Prag.g_01213, Prag.g_01607, Prag.g_01650, Prag.g_01626, Prag.g_01333, Prag.g_01649, Prag.g_01610
OG0000001	Syal.g_02193	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000004	Syal.g_01809	Prag.g_00673
OG0000004	Syal.g_02718, Syal.g_00691	Prag.g_00225
OG0000005	Syal.g_00606	Prag.g_01682
OG0000005	Syal.g_00565	Prag.g_01566
OG0000006	Syal.g_00674	Prag.g_00234, Prag.g_01231
OG0000007	Syal.g_02918	Prag.g_00476
OG0000007	Syal.g_00587	Prag.g_01669
OG0000008	Syal.g_02512	Prag.g_01655
OG0000008	Syal.g_01783	Prag.g_01656
OG0000009	Syal.g_02089	Prag.g_01600
OG0000009	Syal.g_00818	Prag.g_00098
OG0000010	Syal.g_00464	Prag.g_01043, Prag.g_00453
OG0000012	Syal.g_02535, Syal.g_01639	Prag.g_00601
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prag.g_00318
OG0000014	Syal.g_01305	Prag.g_00297
OG0000016	Syal.g_00111	Prag.g_00013
OG0000017	Syal.g_02752	Prag.g_00576
OG0000018	Syal.g_00410	Prag.g_01134, Prag.g_00833
OG0000019	Syal.g_01209	Prag.g_00242, Prag.g_00786
OG0000022	Syal.g_02587	Prag.g_00757, Prag.g_01116
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prag.g_00354
OG0000024	Syal.g_02597	Prag.g_00740, Prag.g_00653
OG0000025	Syal.g_02459	Prag.g_00839, Prag.g_00322
OG0000026	Syal.g_00132	Prag.g_00031, Prag.g_01050
OG0000027	Syal.g_02543	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syal.g_01319	Prag.g_00311, Prag.g_01270
OG0000029	Syal.g_03014	Prag.g_00748
OG0000030	Syal.g_01511, Syal.g_01512	Prag.g_01871
OG0000032	Syal.g_00183	Prag.g_01416
OG0000033	Syal.g_00912	Prag.g_00162
OG0000034	Syal.g_00881, Syal.g_01586	Prag.g_01365
OG0000035	Syal.g_00370	Prag.g_01490, Prag.g_01488
OG0000037	Syal.g_00824	Prag.g_00102
OG0000038	Syal.g_01071, Syal.g_01073	Prag.g_01911
OG0000039	Syal.g_01097	Prag.g_00664
OG0000040	Syal.g_01187	Prag.g_01630
OG0000041	Syal.g_00649	Prag.g_01716
OG0000042	Syal.g_01705, Syal.g_01508	Prag.g_01868
OG0000043	Syal.g_02183	Prag.g_00876
OG0000047	Syal.g_01568	Prag.g_00321
OG0000048	Syal.g_01250	Prag.g_01658, Prag.g_00368
OG0000051	Syal.g_01550	Prag.g_01329
OG0000052	Syal.g_01338	Prag.g_01444
OG0000053	Syal.g_00406	Prag.g_01510
OG0000054	Syal.g_02739	Prag.g_00584
OG0000055	Syal.g_01845	Prag.g_00787
OG0000057	Syal.g_01812	Prag.g_00676
OG0000058	Syal.g_01326	Prag.g_01428
OG0000059	Syal.g_00225	Prag.g_01755
OG0000060	Syal.g_02214	Prag.g_00760
OG0000061	Syal.g_01653	Prag.g_01153
OG0000062	Syal.g_02113	Prag.g_01568
OG0000063	Syal.g_00136	Prag.g_00033
OG0000065	Syal.g_00820, Syal.g_02528	Prag.g_00100
OG0000066	Syal.g_02828	Prag.g_00518
OG0000067	Syal.g_02414	Prag.g_00806
OG0000068	Syal.g_02888	Prag.g_01389
OG0000070	Syal.g_00509	Prag.g_00429
OG0000071	Syal.g_01601	Prag.g_01355
OG0000072	Syal.g_00914	Prag.g_00164
OG0000073	Syal.g_02920	Prag.g_00478
OG0000075	Syal.g_01350	Prag.g_01836
OG0000076	Syal.g_01459	Prag.g_01861
OG0000077	Syal.g_00763	Prag.g_00072
OG0000078	Syal.g_00680	Prag.g_00232
OG0000081	Syal.g_02555	Prag.g_00510
OG0000082	Syal.g_02769	Prag.g_00563
OG0000084	Syal.g_00023	Prag.g_01484
OG0000085	Syal.g_00575	Prag.g_01662
OG0000086	Syal.g_00784	Prag.g_00082
OG0000087	Syal.g_00871	Prag.g_00132
OG0000088	Syal.g_00908	Prag.g_00159
OG0000089	Syal.g_00555	Prag.g_00350
OG0000090	Syal.g_02838	Prag.g_00512
OG0000091	Syal.g_02628	Prag.g_00620
OG0000092	Syal.g_00470	Prag.g_00911
OG0000094	Syal.g_01907	Prag.g_01017
OG0000097	Syal.g_01735, Syal.g_01553	Prag.g_01194
OG0000098	Syal.g_02196	Prag.g_01371
OG0000099	Syal.g_01323	Prag.g_01424
OG0000100	Syal.g_02448	Prag.g_01564
OG0000101	Syal.g_00275	Prag.g_01804
OG0000102	Syal.g_01488	Prag.g_01866
OG0000103	Syal.g_01897, Syal.g_00077	Prag.g_01945
OG0000104	Syal.g_00092	Prag.g_01953
OG0000105	Syal.g_01255	Prag.g_00265
OG0000106	Syal.g_02577	Prag.g_00364
OG0000107	Syal.g_00194	Prag.g_00378
OG0000108	Syal.g_02897	Prag.g_00459
OG0000109	Syal.g_02913	Prag.g_00473
OG0000110	Syal.g_02782	Prag.g_00553
OG0000111	Syal.g_01813	Prag.g_00677
OG0000112	Syal.g_02000	Prag.g_00771
OG0000113	Syal.g_02443	Prag.g_00828
OG0000114	Syal.g_02286	Prag.g_00906
OG0000115	Syal.g_00404	Prag.g_01097
OG0000116	Syal.g_01630	Prag.g_01143
OG0000117	Syal.g_01704	Prag.g_01298
OG0000118	Syal.g_01583	Prag.g_01367
OG0000119	Syal.g_02056	Prag.g_01385
OG0000120	Syal.g_01324	Prag.g_01423
OG0000121	Syal.g_00374	Prag.g_01492
OG0000122	Syal.g_02602	Prag.g_01530
OG0000123	Syal.g_00283	Prag.g_01811
OG0000124	Syal.g_01519	Prag.g_01877
OG0000125	Syal.g_01075	Prag.g_01913
OG0000126	Syal.g_00090	Prag.g_01952
OG0000128	Syal.g_00109	Prag.g_00011
OG0000129	Syal.g_01062	Prag.g_00044
OG0000130	Syal.g_00751	Prag.g_00063
OG0000131	Syal.g_00886	Prag.g_00138
OG0000132	Syal.g_00906	Prag.g_00157
OG0000133	Syal.g_01995	Prag.g_00313
OG0000134	Syal.g_00552	Prag.g_00351
OG0000135	Syal.g_01119	Prag.g_00375
OG0000136	Syal.g_00520	Prag.g_00420
OG0000137	Syal.g_00463	Prag.g_00454
OG0000138	Syal.g_02914	Prag.g_00474
OG0000139	Syal.g_02832	Prag.g_00516
OG0000140	Syal.g_02830	Prag.g_00517
OG0000141	Syal.g_02738	Prag.g_00585
OG0000142	Syal.g_02636	Prag.g_00613
OG0000143	Syal.g_02632	Prag.g_00617
OG0000144	Syal.g_02515	Prag.g_00630
OG0000145	Syal.g_02921	Prag.g_00758
OG0000146	Syal.g_02001	Prag.g_00772
OG0000147	Syal.g_02002	Prag.g_00773
OG0000148	Syal.g_02437	Prag.g_00822
OG0000149	Syal.g_02475	Prag.g_00851
OG0000150	Syal.g_02737	Prag.g_00859
