Orthogroup	Syal	Prba
OG0000000	Syal.g_01111, Syal.g_01832	Prba.g_01174, Prba.g_00243, Prba.g_00269, Prba.g_00003, Prba.g_00270, Prba.g_01172, Prba.g_00268
OG0000001	Syal.g_02193	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000004	Syal.g_01809	Prba.g_01622
OG0000004	Syal.g_02718, Syal.g_00691	Prba.g_00451
OG0000005	Syal.g_00606	Prba.g_00607
OG0000005	Syal.g_00565	Prba.g_00312
OG0000006	Syal.g_00674	Prba.g_00460
OG0000007	Syal.g_02918	Prba.g_00964
OG0000007	Syal.g_00587	Prba.g_00226
OG0000008	Syal.g_02512	Prba.g_01131
OG0000009	Syal.g_02089	Prba.g_01142, Prba.g_00276
OG0000009	Syal.g_00818	Prba.g_01893
OG0000010	Syal.g_00464	Prba.g_01256, Prba.g_00987
OG0000012	Syal.g_02535, Syal.g_01639	Prba.g_01694
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prba.g_00543
OG0000014	Syal.g_01305	Prba.g_00522
OG0000016	Syal.g_00111	Prba.g_01806
OG0000017	Syal.g_02752	Prba.g_01719
OG0000018	Syal.g_00410	Prba.g_00083, Prba.g_01472
OG0000019	Syal.g_01209	Prba.g_00468, Prba.g_01519
OG0000022	Syal.g_02587	Prba.g_01543, Prba.g_00101
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prba.g_00854
OG0000024	Syal.g_02597	Prba.g_01558, Prba.g_01642
OG0000025	Syal.g_02459	Prba.g_01464, Prba.g_00547
OG0000026	Syal.g_00132	Prba.g_01824, Prba.g_01249
OG0000027	Syal.g_02543	Prba.g_00991, Prba.g_01175
OG0000028	Syal.g_01319	Prba.g_00536, Prba.g_01126
OG0000029	Syal.g_03014	Prba.g_00869, Prba.g_01551
OG0000030	Syal.g_01511, Syal.g_01512	Prba.g_00778
OG0000033	Syal.g_00912	Prba.g_00625
OG0000034	Syal.g_00881, Syal.g_01586	Prba.g_01202
OG0000035	Syal.g_00370	Prba.g_00713
OG0000037	Syal.g_00824	Prba.g_01897
OG0000038	Syal.g_01071, Syal.g_01073	Prba.g_00819
OG0000039	Syal.g_01097	Prba.g_01631
