Orthogroup	Syal	Prak
OG0000000	Syal.g_01111, Syal.g_01832	Prak.g_01210, Prak.g_01562, Prak.g_01209, Prak.g_01563, Prak.g_01578
OG0000001	Syal.g_02193	Prak.g_01302, Prak.g_00755
OG0000004	Syal.g_01809	Prak.g_00826
OG0000004	Syal.g_02718, Syal.g_00691	Prak.g_00248
OG0000005	Syal.g_00565	Prak.g_01474
OG0000006	Syal.g_00674	Prak.g_00258
OG0000007	Syal.g_02918	Prak.g_00458
OG0000007	Syal.g_00587	Prak.g_01645
OG0000008	Syal.g_02512	Prak.g_01544
OG0000008	Syal.g_01783	Prak.g_01545, Prak.g_01546
OG0000009	Syal.g_02089	Prak.g_01486
OG0000010	Syal.g_00464	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syal.g_00702	Prak.g_00660
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prak.g_00343
OG0000014	Syal.g_01305	Prak.g_00325
OG0000016	Syal.g_00111	Prak.g_00013
OG0000016	Syal.g_01734	Prak.g_01230
OG0000017	Syal.g_02745	Prak.g_00566
OG0000017	Syal.g_02752	Prak.g_00559
OG0000018	Syal.g_00410	Prak.g_01194, Prak.g_00873
OG0000019	Syal.g_01209	Prak.g_00266, Prak.g_01196
OG0000022	Syal.g_02587	Prak.g_01482
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prak.g_00721
OG0000024	Syal.g_02597	Prak.g_01038, Prak.g_00802
OG0000025	Syal.g_02459	Prak.g_00881
OG0000026	Syal.g_00132	Prak.g_00032
OG0000027	Syal.g_02543	Prak.g_01564, Prak.g_01521
OG0000028	Syal.g_01319	Prak.g_01543
OG0000029	Syal.g_03014	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syal.g_01511, Syal.g_01512	Prak.g_01853
OG0000032	Syal.g_00428	Prak.g_01430
OG0000033	Syal.g_00912	Prak.g_00181
OG0000034	Syal.g_00881, Syal.g_01586	Prak.g_01288
OG0000035	Syal.g_00370	Prak.g_01391
OG0000037	Syal.g_00824	Prak.g_00115
OG0000038	Syal.g_01071, Syal.g_01073	Prak.g_01893
