Orthogroup	Syal	Syah
OG0000001	Syal.g_02193	Syah.g_00726
OG0000001	Syal.g_02215	Syah.g_01516
OG0000001	Syal.g_00874, Syal.g_01184	Syah.g_00040, Syah.g_00041
OG0000004	Syal.g_01809	Syah.g_02017
OG0000004	Syal.g_02718	Syah.g_01967
OG0000004	Syal.g_00691	Syah.g_00901
OG0000005	Syal.g_00606	Syah.g_02403
OG0000005	Syal.g_00565	Syah.g_02363
OG0000005	Syal.g_01664	Syah.g_01827
OG0000006	Syal.g_00674	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000006	Syal.g_02611	Syah.g_01912
OG0000007	Syal.g_02918	Syah.g_01016
OG0000007	Syal.g_00587	Syah.g_02384
OG0000008	Syal.g_02512	Syah.g_01994
OG0000008	Syal.g_01783	Syah.g_01993
OG0000009	Syal.g_02089	Syah.g_02457
OG0000009	Syal.g_00818	Syah.g_01910, Syah.g_02535
OG0000010	Syal.g_00464	Syah.g_01220
OG0000012	Syal.g_02535, Syal.g_01639	Syah.g_01340
OG0000013	Syal.g_00322	Syah.g_00831
OG0000013	Syal.g_00310	Syah.g_00817
OG0000013	Syal.g_00315	Syah.g_00822
OG0000014	Syal.g_01305	Syah.g_00127
OG0000016	Syal.g_00111	Syah.g_00359
OG0000016	Syal.g_01734	Syah.g_01402
OG0000017	Syal.g_02745	Syah.g_01159
OG0000017	Syal.g_02752	Syah.g_01152
OG0000018	Syal.g_00410	Syah.g_01264
OG0000019	Syal.g_01209	Syah.g_00669
OG0000022	Syal.g_02587	Syah.g_01881
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syah.g_00930
OG0000024	Syal.g_02597	Syah.g_01990
OG0000025	Syal.g_02459	Syah.g_02082
OG0000026	Syal.g_00132	Syah.g_00340
OG0000027	Syal.g_02543	Syah.g_01541
OG0000028	Syal.g_01319	Syah.g_00141
OG0000030	Syal.g_01511	Syah.g_00264
OG0000030	Syal.g_01512	Syah.g_00265
OG0000031	Syal.g_01404, Syal.g_01432	Syah.g_00146
OG0000032	Syal.g_00428	Syah.g_01246
OG0000033	Syal.g_00912	Syah.g_00078
OG0000034	Syal.g_00881, Syal.g_01586	Syah.g_00048, Syah.g_02213
OG0000035	Syal.g_00370	Syah.g_01293
OG0000037	Syal.g_00824	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Syal.g_01071	Syah.g_00508
OG0000038	Syal.g_01073	Syah.g_00506
OG0000040	Syal.g_01149	Syah.g_00431
OG0000040	Syal.g_01187	Syah.g_01908
OG0000041	Syal.g_00649	Syah.g_02271
OG0000042	Syal.g_01705, Syal.g_01508	Syah.g_00261
OG0000043	Syal.g_01110	Syah.g_02119
OG0000043	Syal.g_02547	Syah.g_01546
OG0000044	Syal.g_01853	Syah.g_01194
OG0000044	Syal.g_01847	Syah.g_02072
OG0000045	Syal.g_01563	Syah.g_02356
OG0000046	Syal.g_00309	Syah.g_00816
OG0000046	Syal.g_00316	Syah.g_00823
OG0000046	Syal.g_00321	Syah.g_00830
OG0000047	Syal.g_01568	Syah.g_00847
OG0000048	Syal.g_01250	Syah.g_00637
OG0000050	Syal.g_01549	Syah.g_00941
OG0000051	Syal.g_01550	Syah.g_02473
OG0000052	Syal.g_01338	Syah.g_00171
OG0000053	Syal.g_00406	Syah.g_01267
OG0000054	Syal.g_02739	Syah.g_01982
OG0000054	Syal.g_02098	Syah.g_01862
OG0000055	Syal.g_01845	Syah.g_02071
OG0000057	Syal.g_01812	Syah.g_02020
OG0000058	Syal.g_01326	Syah.g_00152
OG0000059	Syal.g_00225	Syah.g_00737
OG0000060	Syal.g_02214	Syah.g_01515
OG0000061	Syal.g_01653	Syah.g_02158
OG0000062	Syal.g_00567	Syah.g_02365
OG0000063	Syal.g_00136	Syah.g_00337
OG0000064	Syal.g_01681	Syah.g_01353
OG0000064	Syal.g_01545	Syah.g_02357
OG0000065	Syal.g_02528	Syah.g_02443
OG0000066	Syal.g_02828	Syah.g_01073
OG0000067	Syal.g_02414	Syah.g_01779
OG0000068	Syal.g_02888	Syah.g_00986
OG0000070	Syal.g_00509	Syah.g_02217
OG0000071	Syal.g_01601	Syah.g_02199
OG0000071	Syal.g_02099	Syah.g_01863
OG0000072	Syal.g_00914	Syah.g_00080
OG0000073	Syal.g_02920	Syah.g_01018
OG0000075	Syal.g_01350	Syah.g_00186
OG0000076	Syal.g_01459	Syah.g_00250
OG0000077	Syal.g_00763, Syal.g_00506	Syah.g_02494
OG0000078	Syal.g_00680	Syah.g_00912
OG0000079	Syal.g_01213	Syah.g_00665
OG0000080	Syal.g_01394	Syah.g_00290
OG0000081	Syal.g_02555	Syah.g_02471, Syah.g_00922
OG0000082	Syal.g_02769	Syah.g_01136
OG0000084	Syal.g_01896	Syah.g_02105
OG0000084	Syal.g_00023	Syah.g_01296
OG0000085	Syal.g_00575	Syah.g_02372
OG0000086	Syal.g_00784	Syah.g_02511
OG0000087	Syal.g_00871	Syah.g_00038
OG0000088	Syal.g_00908	Syah.g_00074
OG0000089	Syal.g_00555	Syah.g_00888
OG0000090	Syal.g_02838	Syah.g_01064
OG0000091	Syal.g_02628	Syah.g_01927
OG0000093	Syal.g_02233	Syah.g_01794
OG0000094	Syal.g_01907	Syah.g_01692
OG0000095	Syal.g_01823	Syah.g_02030
OG0000097	Syal.g_01735	Syah.g_01400
OG0000098	Syal.g_02196	Syah.g_00723
OG0000099	Syal.g_01323	Syah.g_00144
OG0000100	Syal.g_02448	Syah.g_01747
OG0000101	Syal.g_00275	Syah.g_00785
OG0000102	Syal.g_01488	Syah.g_00255
OG0000103	Syal.g_00077	Syah.g_00391
OG0000104	Syal.g_00092	Syah.g_00377
OG0000105	Syal.g_01255	Syah.g_00632
OG0000106	Syal.g_02577	Syah.g_01544
OG0000107	Syal.g_00194	Syah.g_00688
OG0000108	Syal.g_02897	Syah.g_00997
OG0000109	Syal.g_02913	Syah.g_01012
OG0000110	Syal.g_02782	Syah.g_01124
OG0000112	Syal.g_02000	Syah.g_01613
OG0000113	Syal.g_02443	Syah.g_01752
OG0000114	Syal.g_02286	Syah.g_01529
OG0000115	Syal.g_00404	Syah.g_01269
OG0000116	Syal.g_01630	Syah.g_02175
OG0000117	Syal.g_01704	Syah.g_01425
OG0000118	Syal.g_01583	Syah.g_01173
OG0000120	Syal.g_01324	Syah.g_00145
OG0000121	Syal.g_00374	Syah.g_01287
OG0000122	Syal.g_02602	Syah.g_01900
OG0000123	Syal.g_00283	Syah.g_00793
OG0000124	Syal.g_01519	Syah.g_00272
OG0000125	Syal.g_01075	Syah.g_00504
OG0000126	Syal.g_00090	Syah.g_00379
OG0000128	Syal.g_00109	Syah.g_00361
OG0000129	Syal.g_01062	Syah.g_00516
