Orthogroup	Syal	Pray
OG0000000	Syal.g_01111, Syal.g_01832	Pray.g_01888, Pray.g_01576, Pray.g_01603, Pray.g_00003, Pray.g_01604, Pray.g_01890, Pray.g_01602
OG0000001	Syal.g_02193	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000004	Syal.g_01809	Pray.g_01068
OG0000004	Syal.g_02718, Syal.g_00691	Pray.g_00713
OG0000005	Syal.g_00606	Pray.g_01546
OG0000005	Syal.g_00565	Pray.g_01646
OG0000006	Syal.g_00674	Pray.g_00722
OG0000007	Syal.g_02918	Pray.g_00988, Pray.g_00987
OG0000007	Syal.g_00587	Pray.g_01559
OG0000008	Syal.g_02512	Pray.g_01931
OG0000009	Syal.g_02089	Pray.g_01920, Pray.g_01610
OG0000009	Syal.g_00818	Pray.g_00184
OG0000010	Syal.g_00464	Pray.g_00592, Pray.g_00964
OG0000012	Syal.g_02535, Syal.g_01639	Pray.g_01140
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Pray.g_00805
OG0000014	Syal.g_01305	Pray.g_00784
OG0000016	Syal.g_00111	Pray.g_01475
OG0000017	Syal.g_02752	Pray.g_01165
OG0000018	Syal.g_00410	Pray.g_00083, Pray.g_00375
OG0000019	Syal.g_01209	Pray.g_00730, Pray.g_00328
OG0000022	Syal.g_02587	Pray.g_00304, Pray.g_00101
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Pray.g_00838
OG0000024	Syal.g_02597	Pray.g_00289, Pray.g_01088
OG0000025	Syal.g_02459	Pray.g_00383, Pray.g_00809
OG0000026	Syal.g_00132	Pray.g_01493, Pray.g_00599
OG0000027	Syal.g_02543	Pray.g_00960, Pray.g_01887
OG0000028	Syal.g_01319	Pray.g_00798, Pray.g_01935
OG0000029	Syal.g_03014	Pray.g_00853, Pray.g_00296
OG0000030	Syal.g_01511, Syal.g_01512	Pray.g_01374
OG0000033	Syal.g_00912	Pray.g_00650
OG0000034	Syal.g_00881, Syal.g_01586	Pray.g_01860
OG0000035	Syal.g_00370	Pray.g_01722
OG0000037	Syal.g_00824	Pray.g_00180
OG0000038	Syal.g_01071, Syal.g_01073	Pray.g_01415
OG0000039	Syal.g_01097	Pray.g_01077
OG0000040	Syal.g_01187	Pray.g_01585
OG0000042	Syal.g_01705, Syal.g_01508	Pray.g_01371
OG0000043	Syal.g_02183	Pray.g_00420
OG0000043	Syal.g_02547	Pray.g_01924
OG0000044	Syal.g_01853	Pray.g_00002
OG0000047	Syal.g_01568	Pray.g_00897, Pray.g_00808
OG0000048	Syal.g_01250	Pray.g_00852
OG0000051	Syal.g_01550	Pray.g_01894
OG0000052	Syal.g_01338	Pray.g_01793
OG0000053	Syal.g_00406	Pray.g_01702
OG0000054	Syal.g_02739	Pray.g_01157
OG0000055	Syal.g_01845	Pray.g_00329
OG0000056	Syal.g_02054	Pray.g_01942
OG0000057	Syal.g_01812	Pray.g_01065
OG0000058	Syal.g_01326	Pray.g_01786
OG0000059	Syal.g_00225	Pray.g_01258, Pray.g_01761
OG0000061	Syal.g_01653	Pray.g_00064
OG0000062	Syal.g_02113	Pray.g_01644
