Orthogroup	Syal	Syap
OG0000001	Syal.g_00874, Syal.g_01184	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syal.g_00691	Syap.g_01987
OG0000005	Syal.g_00606	Syap.g_01773
OG0000005	Syal.g_00565	Syap.g_01218
OG0000006	Syal.g_02611	Syap.g_02770
OG0000007	Syal.g_02918	Syap.g_00275
OG0000007	Syal.g_00587	Syap.g_00621
OG0000009	Syal.g_00818	Syap.g_02081
OG0000010	Syal.g_00464	Syap.g_02757
OG0000013	Syal.g_00310	Syap.g_00972
OG0000014	Syal.g_01305	Syap.g_01675
OG0000015	Syal.g_02210, Syal.g_01183	Syap.g_02606
OG0000016	Syal.g_00111	Syap.g_00071
OG0000017	Syal.g_02752	Syap.g_00449
OG0000018	Syal.g_00410	Syap.g_02708, Syap.g_02010
OG0000019	Syal.g_01209	Syap.g_01586
OG0000025	Syal.g_02459	Syap.g_01846
OG0000028	Syal.g_01319	Syap.g_01658
OG0000030	Syal.g_01511	Syap.g_00787
OG0000030	Syal.g_01512	Syap.g_00788
OG0000031	Syal.g_01404, Syal.g_01432	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000032	Syal.g_00183	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syal.g_00912	Syap.g_01198
OG0000034	Syal.g_00881, Syal.g_01586	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syal.g_00020, Syal.g_00370	Syap.g_02465
OG0000037	Syal.g_00824	Syap.g_02492
OG0000038	Syal.g_01073	Syap.g_00139
OG0000040	Syal.g_01149	Syap.g_01819
OG0000042	Syal.g_01705, Syal.g_01508	Syap.g_01891, Syap.g_01120
OG0000043	Syal.g_01110, Syal.g_02183, Syal.g_02547	Syap.g_01998
OG0000044	Syal.g_01853, Syal.g_01847	Syap.g_00378
OG0000045	Syal.g_01563	Syap.g_02525
OG0000048	Syal.g_01250	Syap.g_02340
OG0000051	Syal.g_01550	Syap.g_01574
OG0000053	Syal.g_00406	Syap.g_02006
OG0000054	Syal.g_02739	Syap.g_00678
OG0000054	Syal.g_02098	Syap.g_02652, Syap.g_00774
OG0000059	Syal.g_00225	Syap.g_01082, Syap.g_02478
OG0000060	Syal.g_02214	Syap.g_00795
OG0000061	Syal.g_01653	Syap.g_00228
OG0000062	Syal.g_00567	Syap.g_01220
OG0000062	Syal.g_02113	Syap.g_01365
OG0000063	Syal.g_00136	Syap.g_01796
OG0000066	Syal.g_02828	Syap.g_01972
OG0000067	Syal.g_02414	Syap.g_00194
OG0000068	Syal.g_02888	Syap.g_00108, Syap.g_00144
OG0000070	Syal.g_00509	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syal.g_02099	Syap.g_01483
OG0000073	Syal.g_02920	Syap.g_00273
OG0000075	Syal.g_01350	Syap.g_01064, Syap.g_00664
OG0000076	Syal.g_01459	Syap.g_01111
OG0000077	Syal.g_00506	Syap.g_00416
OG0000079	Syal.g_01213	Syap.g_01589
OG0000080	Syal.g_01394	Syap.g_00630, Syap.g_01035, Syap.g_01707, Syap.g_01003
OG0000085	Syal.g_00575	Syap.g_00611
OG0000087	Syal.g_00871	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syal.g_00908	Syap.g_01202
OG0000089	Syal.g_00555	Syap.g_00115, Syap.g_02042
OG0000090	Syal.g_02838	Syap.g_01451
OG0000091	Syal.g_02628	Syap.g_01861
OG0000094	Syal.g_01907	Syap.g_02781
OG0000095	Syal.g_01823	Syap.g_01556
OG0000098	Syal.g_02196	Syap.g_01975
OG0000099	Syal.g_01323	Syap.g_01385
OG0000102	Syal.g_01488	Syap.g_01116
OG0000103	Syal.g_01897	Syap.g_02607, Syap.g_02608
OG0000104	Syal.g_00092	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syal.g_01255	Syap.g_01369, Syap.g_01368
OG0000107	Syal.g_00194	Syap.g_02496
OG0000108	Syal.g_02897	Syap.g_00733, Syap.g_02255, Syap.g_02256
OG0000109	Syal.g_02913	Syap.g_00279, Syap.g_02237
OG0000110	Syal.g_02782	Syap.g_01313
OG0000111	Syal.g_01813	Syap.g_01566, Syap.g_01568
OG0000112	Syal.g_02000	Syap.g_02023
OG0000113	Syal.g_02443	Syap.g_02714
OG0000114	Syal.g_02286	Syap.g_01255
OG0000115	Syal.g_00404	Syap.g_02004
OG0000116	Syal.g_01630	Syap.g_00241
OG0000117	Syal.g_01704	Syap.g_01889
OG0000118	Syal.g_01583	Syap.g_02286
OG0000120	Syal.g_01324	Syap.g_02075
OG0000121	Syal.g_00374	Syap.g_02471
OG0000123	Syal.g_00283	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syal.g_01519	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syal.g_01075	Syap.g_01046, Syap.g_01047
OG0000126	Syal.g_00090	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Syal.g_00720	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Syal.g_00109	Syap.g_00069
OG0000129	Syal.g_01062	Syap.g_00130, Syap.g_00129
OG0000130	Syal.g_00751	Syap.g_01688, Syap.g_01689
OG0000131	Syal.g_00886	Syap.g_02189
OG0000132	Syal.g_00906	Syap.g_01205
OG0000133	Syal.g_01995	Syap.g_02017
OG0000134	Syal.g_00552	Syap.g_02047
OG0000135	Syal.g_01119	Syap.g_02090
OG0000136	Syal.g_00520	Syap.g_00089
OG0000137	Syal.g_00463	Syap.g_02756
OG0000138	Syal.g_02914	Syap.g_00278
OG0000139	Syal.g_02832	Syap.g_00410
OG0000140	Syal.g_02830	Syap.g_01976
OG0000141	Syal.g_02738	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syal.g_02636	Syap.g_00895, Syap.g_00894
OG0000143	Syal.g_02632	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syal.g_02515	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syal.g_02921	Syap.g_01860, Syap.g_01859
OG0000146	Syal.g_02001	Syap.g_02024
OG0000147	Syal.g_02002	Syap.g_02025
OG0000148	Syal.g_02437	Syap.g_02720
OG0000149	Syal.g_02475	Syap.g_00824
OG0000150	Syal.g_02737	Syap.g_01540
OG0000151	Syal.g_02263	Syap.g_00142
OG0000152	Syal.g_01991	Syap.g_02012
OG0000153	Syal.g_01958	Syap.g_02682
OG0000154	Syal.g_01918	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syal.g_01695	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syal.g_01620	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syal.g_01619	Syap.g_00249, Syap.g_00286
OG0000158	Syal.g_01431	Syap.g_01075
OG0000159	Syal.g_01400	Syap.g_00852
OG0000160	Syal.g_00372	Syap.g_02470, Syap.g_02469
OG0000161	Syal.g_00384	Syap.g_02476
OG0000162	Syal.g_00396	Syap.g_02531
OG0000164	Syal.g_00623	Syap.g_01391, Syap.g_01392
OG0000165	Syal.g_00632	Syap.g_01381, Syap.g_01382
OG0000166	Syal.g_00236	Syap.g_00512, Syap.g_01238
OG0000167	Syal.g_01347	Syap.g_02080
OG0000168	Syal.g_01433	Syap.g_01076
OG0000169	Syal.g_01447	Syap.g_01049, Syap.g_01093
OG0000170	Syal.g_01454	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syal.g_01518	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syal.g_00174, Syal.g_00173	Syap.g_01143, Syap.g_00635
OG0000173	Syal.g_00155	Syap.g_00982, Syap.g_00983, Syap.g_01213
OG0000174	Syal.g_01121	Syap.g_02092
OG0000175	Syal.g_01172	Syap.g_02654
OG0000176	Syal.g_00101	Syap.g_00059
OG0000177	Syal.g_00102	Syap.g_00061, Syap.g_00060
OG0000178	Syal.g_00103	Syap.g_00062
OG0000179	Syal.g_00118	Syap.g_00077, Syap.g_02638
OG0000180	Syal.g_00119	Syap.g_00078, Syap.g_02640
OG0000181	Syal.g_00120	Syap.g_00079, Syap.g_02641
OG0000182	Syal.g_00121	Syap.g_00080, Syap.g_02642
