Orthogroup	Syal	Syag
OG0000001	Syal.g_02193	Syag.g_00575
OG0000001	Syal.g_02215	Syag.g_01942
OG0000001	Syal.g_00874, Syal.g_01184	Syag.g_01943
OG0000003	Syal.g_00009	Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561
OG0000003	Syal.g_01214	Syag.g_01569
OG0000003	Syal.g_02153	Syag.g_00691
OG0000004	Syal.g_01809	Syag.g_00988
OG0000004	Syal.g_02718	Syag.g_00370
OG0000004	Syal.g_00691	Syag.g_01790
OG0000005	Syal.g_00606	Syag.g_01708
OG0000005	Syal.g_00565	Syag.g_01667
OG0000006	Syal.g_00674	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syal.g_02611	Syag.g_00435
OG0000007	Syal.g_02918	Syag.g_01507
OG0000007	Syal.g_00587	Syag.g_01687
OG0000008	Syal.g_02512	Syag.g_00496
OG0000008	Syal.g_01783	Syag.g_01017
OG0000009	Syal.g_02089	Syag.g_00220, Syag.g_00231
OG0000009	Syal.g_00818	Syag.g_01883
OG0000010	Syal.g_00464	Syag.g_01355
OG0000011	Syal.g_00702	Syag.g_01299
OG0000012	Syal.g_02535	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syal.g_00322	Syag.g_02820
OG0000013	Syal.g_00310	Syag.g_02806
OG0000013	Syal.g_00315	Syag.g_02811
OG0000014	Syal.g_01305	Syag.g_02559
OG0000015	Syal.g_02210, Syal.g_01183	Syag.g_02252
OG0000016	Syal.g_00111	Syag.g_02286
OG0000016	Syal.g_01734	Syag.g_01066
OG0000017	Syal.g_02745	Syag.g_00344
OG0000017	Syal.g_02752	Syag.g_00336
OG0000018	Syal.g_00410	Syag.g_01387
OG0000019	Syal.g_01209	Syag.g_02663
OG0000022	Syal.g_02587	Syag.g_00458
OG0000023	Syal.g_02485, Syal.g_02858	Syag.g_00261
OG0000023	Syal.g_01894	Syag.g_00234
OG0000024	Syal.g_02597	Syag.g_00455
OG0000025	Syal.g_02459	Syag.g_00718
OG0000026	Syal.g_00132	Syag.g_02309
OG0000027	Syal.g_02543	Syag.g_00165
OG0000028	Syal.g_01319	Syag.g_02540
OG0000029	Syal.g_03014	Syag.g_00195
OG0000030	Syal.g_01511	Syag.g_02375
OG0000030	Syal.g_01512	Syag.g_02374
OG0000031	Syal.g_01404, Syal.g_01432	Syag.g_02510
OG0000032	Syal.g_00428	Syag.g_01366
OG0000032	Syal.g_00183	Syag.g_02480
OG0000033	Syal.g_00912	Syag.g_01978
OG0000034	Syal.g_00881, Syal.g_01586	Syag.g_01225, Syag.g_01947
OG0000035	Syal.g_00020, Syal.g_00370	Syag.g_01420
OG0000037	Syal.g_00824	Syag.g_00173
OG0000038	Syal.g_01071	Syag.g_02130
OG0000038	Syal.g_01073	Syag.g_02132
OG0000039	Syal.g_01097	Syag.g_02155
OG0000040	Syal.g_01149	Syag.g_02215
OG0000041	Syal.g_00649	Syag.g_01750
OG0000042	Syal.g_01705, Syal.g_01508	Syag.g_01094, Syag.g_02378
OG0000043	Syal.g_02183	Syag.g_00564
OG0000044	Syal.g_01847	Syag.g_00945
OG0000045	Syal.g_01563	Syag.g_00225
OG0000046	Syal.g_00309	Syag.g_02805
OG0000046	Syal.g_00316	Syag.g_02812
OG0000046	Syal.g_00321	Syag.g_02819
OG0000047	Syal.g_01568	Syag.g_00768
OG0000048	Syal.g_01250	Syag.g_02611
OG0000051	Syal.g_01550	Syag.g_01026
OG0000052	Syal.g_01338	Syag.g_02451
OG0000053	Syal.g_00406	Syag.g_01391
OG0000054	Syal.g_02739	Syag.g_00350
OG0000055	Syal.g_01845	Syag.g_00946
OG0000057	Syal.g_01812	Syag.g_00985
OG0000058	Syal.g_01326	Syag.g_02477
OG0000059	Syal.g_00225, Syal.g_01332	Syag.g_02721
