Orthogroup	Syal	Praz
OG0000000	Syal.g_01111, Syal.g_01832	Praz.g_01198, Praz.g_00894, Praz.g_00921, Praz.g_00694, Praz.g_00922, Praz.g_01200, Praz.g_00920
OG0000001	Syal.g_02193	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000004	Syal.g_01809	Praz.g_01635
OG0000004	Syal.g_02718, Syal.g_00691	Praz.g_00592
OG0000005	Syal.g_00606	Praz.g_00864
OG0000005	Syal.g_00565	Praz.g_00965
OG0000006	Syal.g_00674	Praz.g_00601
OG0000007	Syal.g_02918	Praz.g_01831
OG0000007	Syal.g_00587	Praz.g_00877
OG0000008	Syal.g_02512	Praz.g_01241
OG0000009	Syal.g_02089	Praz.g_01230, Praz.g_00929
OG0000009	Syal.g_00818	Praz.g_00465
OG0000010	Syal.g_00464	Praz.g_00074, Praz.g_01854
OG0000012	Syal.g_02535, Syal.g_01639	Praz.g_01707
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Praz.g_00684
OG0000014	Syal.g_01305	Praz.g_00663
OG0000016	Syal.g_00111	Praz.g_00378
OG0000017	Syal.g_02752	Praz.g_01732
OG0000018	Syal.g_00410	Praz.g_00011, Praz.g_01485
OG0000019	Syal.g_01209	Praz.g_00609, Praz.g_01532
OG0000022	Syal.g_02587	Praz.g_01556, Praz.g_00029
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Praz.g_00814
OG0000024	Syal.g_02597	Praz.g_01571, Praz.g_01655
OG0000025	Syal.g_02459	Praz.g_01477, Praz.g_00688
OG0000026	Syal.g_00132	Praz.g_00396, Praz.g_00081
OG0000027	Syal.g_02543	Praz.g_01858, Praz.g_01197
OG0000028	Syal.g_01319	Praz.g_00677, Praz.g_01246
OG0000029	Syal.g_03014	Praz.g_00799, Praz.g_01564
OG0000030	Syal.g_01511, Syal.g_01512	Praz.g_00195
OG0000033	Syal.g_00912	Praz.g_00529
OG0000034	Syal.g_00881, Syal.g_01586	Praz.g_01170
OG0000035	Syal.g_00370	Praz.g_01041
OG0000037	Syal.g_00824	Praz.g_00469
OG0000038	Syal.g_01071, Syal.g_01073	Praz.g_00154
OG0000039	Syal.g_01097	Praz.g_01644
OG0000040	Syal.g_01187	Praz.g_00903
OG0000042	Syal.g_01705, Syal.g_01508	Praz.g_00198
OG0000043	Syal.g_02183	Praz.g_01440
OG0000043	Syal.g_02547	Praz.g_01234
OG0000044	Syal.g_01853	Praz.g_00693
OG0000047	Syal.g_01568	Praz.g_01921, Praz.g_00687
OG0000048	Syal.g_01250	Praz.g_00800
OG0000051	Syal.g_01550	Praz.g_01204
OG0000052	Syal.g_01338	Praz.g_01103
OG0000053	Syal.g_00406	Praz.g_01021
OG0000054	Syal.g_02739	Praz.g_01724
OG0000055	Syal.g_01845	Praz.g_01531
OG0000056	Syal.g_02054	Praz.g_01253
OG0000057	Syal.g_01812	Praz.g_01632
OG0000058	Syal.g_01326	Praz.g_01096
OG0000059	Syal.g_00225	Praz.g_00311, Praz.g_01071
OG0000061	Syal.g_01653	Praz.g_00755
OG0000062	Syal.g_02113	Praz.g_00963
OG0000063	Syal.g_00136	Praz.g_00398
OG0000065	Syal.g_00820, Syal.g_02528	Praz.g_00467
OG0000066	Syal.g_02828	Praz.g_01789
OG0000067	Syal.g_02414	Praz.g_01512
OG0000068	Syal.g_02888	Praz.g_01139
OG0000070	Syal.g_00509	Praz.g_01878
OG0000071	Syal.g_01601	Praz.g_01180
OG0000072	Syal.g_00914	Praz.g_00531
OG0000073	Syal.g_02920	Praz.g_01829
OG0000075	Syal.g_01350	Praz.g_00230
OG0000076	Syal.g_01459	Praz.g_00205
OG0000077	Syal.g_00763	Praz.g_00438
OG0000078	Syal.g_00680	Praz.g_00599
OG0000079	Syal.g_01213	Praz.g_00612
OG0000081	Syal.g_02555	Praz.g_01797
OG0000082	Syal.g_02769	Praz.g_01744
OG0000084	Syal.g_00023	Praz.g_01045
OG0000085	Syal.g_00575	Praz.g_00884
OG0000086	Syal.g_00784	Praz.g_00448
OG0000087	Syal.g_00871	Praz.g_00499
OG0000088	Syal.g_00908	Praz.g_00526
OG0000089	Syal.g_00555	Praz.g_00818
OG0000090	Syal.g_02838	Praz.g_01795
OG0000091	Syal.g_02628	Praz.g_01688
OG0000092	Syal.g_00470	Praz.g_01403, Praz.g_00244
OG0000094	Syal.g_01907	Praz.g_01296
OG0000097	Syal.g_01735, Syal.g_01553	Praz.g_00713
OG0000098	Syal.g_02196	Praz.g_01157
OG0000099	Syal.g_01323	Praz.g_01098
OG0000100	Syal.g_02448	Praz.g_00967
OG0000101	Syal.g_00275	Praz.g_00263
OG0000102	Syal.g_01488	Praz.g_00200
OG0000103	Syal.g_01897, Syal.g_00077	Praz.g_00120
OG0000104	Syal.g_00092	Praz.g_00361
OG0000105	Syal.g_01255	Praz.g_00632
OG0000106	Syal.g_02577	Praz.g_00804
OG0000107	Syal.g_00194	Praz.g_00788
OG0000108	Syal.g_02897	Praz.g_01848
OG0000109	Syal.g_02913	Praz.g_01834
OG0000110	Syal.g_02782	Praz.g_01754
OG0000111	Syal.g_01813	Praz.g_01631
OG0000112	Syal.g_02000	Praz.g_01547
OG0000113	Syal.g_02443	Praz.g_01490
OG0000114	Syal.g_02286	Praz.g_01408
OG0000115	Syal.g_00404	Praz.g_00054
OG0000116	Syal.g_01630	Praz.g_00002
OG0000117	Syal.g_01704	Praz.g_01237
OG0000118	Syal.g_01583	Praz.g_01168
OG0000119	Syal.g_02056	Praz.g_01143
OG0000120	Syal.g_01324	Praz.g_01118
OG0000121	Syal.g_00374	Praz.g_01039
OG0000122	Syal.g_02602	Praz.g_01001
OG0000123	Syal.g_00283	Praz.g_00256
OG0000124	Syal.g_01519	Praz.g_00189
OG0000125	Syal.g_01075	Praz.g_00152
OG0000126	Syal.g_00090	Praz.g_00360
OG0000127	Syal.g_00720	Praz.g_01255
OG0000128	Syal.g_00109	Praz.g_00376
OG0000129	Syal.g_01062	Praz.g_00410
OG0000130	Syal.g_00751	Praz.g_00429
OG0000131	Syal.g_00886	Praz.g_00505
OG0000132	Syal.g_00906	Praz.g_00524
OG0000133	Syal.g_01995	Praz.g_00679
OG0000134	Syal.g_00552	Praz.g_00817
OG0000135	Syal.g_01119	Praz.g_00791
OG0000136	Syal.g_00520	Praz.g_01887
OG0000137	Syal.g_00463	Praz.g_01853
OG0000138	Syal.g_02914	Praz.g_01833
OG0000139	Syal.g_02832	Praz.g_01791
OG0000140	Syal.g_02830	Praz.g_01790
OG0000141	Syal.g_02738	Praz.g_01723
OG0000142	Syal.g_02636	Praz.g_01695
OG0000143	Syal.g_02632	Praz.g_01691
OG0000144	Syal.g_02515	Praz.g_01678
OG0000145	Syal.g_02921	Praz.g_01554
OG0000146	Syal.g_02001	Praz.g_01546
OG0000147	Syal.g_02002	Praz.g_01545
OG0000148	Syal.g_02437	Praz.g_01496
OG0000149	Syal.g_02475	Praz.g_01465
OG0000150	Syal.g_02737	Praz.g_01457
OG0000151	Syal.g_02263	Praz.g_01398
OG0000152	Syal.g_01991	Praz.g_01350
OG0000153	Syal.g_01958	Praz.g_01331
OG0000154	Syal.g_01918	Praz.g_01303
OG0000155	Syal.g_01695	Praz.g_00734
OG0000156	Syal.g_01620	Praz.g_01191
OG0000157	Syal.g_01619	Praz.g_01190
OG0000158	Syal.g_01431	Praz.g_01097
OG0000160	Syal.g_00372	Praz.g_01040
OG0000161	Syal.g_00384	Praz.g_01034
OG0000162	Syal.g_00396	Praz.g_01028
OG0000163	Syal.g_02971	Praz.g_00994
OG0000164	Syal.g_00623	Praz.g_00853
OG0000165	Syal.g_00632	Praz.g_00846
OG0000166	Syal.g_00236	Praz.g_00299
OG0000167	Syal.g_01347	Praz.g_00232
OG0000168	Syal.g_01433	Praz.g_00222
OG0000169	Syal.g_01447	Praz.g_00212
OG0000170	Syal.g_01454	Praz.g_00210
OG0000171	Syal.g_01518	Praz.g_00190
OG0000172	Syal.g_00174, Syal.g_00173	Praz.g_00181
OG0000173	Syal.g_00155	Praz.g_00166
OG0000174	Syal.g_01121	Praz.g_00138
OG0000175	Syal.g_01172	Praz.g_00128
OG0000176	Syal.g_00101	Praz.g_00369
OG0000177	Syal.g_00102	Praz.g_00370
OG0000178	Syal.g_00103	Praz.g_00371
OG0000179	Syal.g_00118	Praz.g_00381
OG0000180	Syal.g_00119	Praz.g_00382
OG0000181	Syal.g_00120	Praz.g_00383
OG0000182	Syal.g_00121	Praz.g_00384
OG0000183	Syal.g_00125	Praz.g_00388
OG0000184	Syal.g_01050	Praz.g_00412
OG0000185	Syal.g_01025	Praz.g_00415
OG0000186	Syal.g_02684, Syal.g_00747	Praz.g_00424
OG0000187	Syal.g_02685, Syal.g_00748	Praz.g_00425
OG0000188	Syal.g_00771	Praz.g_00442
OG0000189	Syal.g_00807	Praz.g_00456
OG0000190	Syal.g_01364	Praz.g_00457
OG0000191	Syal.g_00841	Praz.g_00477
OG0000192	Syal.g_00847	Praz.g_00481
OG0000193	Syal.g_00887	Praz.g_00506
OG0000194	Syal.g_00890	Praz.g_00509
OG0000195	Syal.g_00892	Praz.g_00511
OG0000196	Syal.g_00903	Praz.g_00521
OG0000197	Syal.g_00904	Praz.g_00522
OG0000198	Syal.g_00905	Praz.g_00523
OG0000199	Syal.g_00913	Praz.g_00530
OG0000200	Syal.g_00932	Praz.g_00544
OG0000201	Syal.g_00949	Praz.g_00552
OG0000202	Syal.g_00950	Praz.g_00553
OG0000203	Syal.g_00951	Praz.g_00554
OG0000204	Syal.g_00952	Praz.g_00555
OG0000205	Syal.g_00959	Praz.g_00562
OG0000206	Syal.g_00971	Praz.g_00567
OG0000207	Syal.g_00974	Praz.g_00569
OG0000208	Syal.g_00975	Praz.g_00570
OG0000209	Syal.g_01000	Praz.g_00579
OG0000210	Syal.g_01001	Praz.g_00580
OG0000212	Syal.g_00679	Praz.g_00600
OG0000213	Syal.g_01229	Praz.g_00617
OG0000214	Syal.g_01246	Praz.g_00626
OG0000215	Syal.g_01277	Praz.g_00650
OG0000216	Syal.g_01281	Praz.g_00651
OG0000217	Syal.g_01285	Praz.g_00654
OG0000218	Syal.g_01287	Praz.g_00656
OG0000219	Syal.g_01288	Praz.g_00657
OG0000220	Syal.g_01289	Praz.g_00658
