Orthogroup	Syal	Syae
OG0000001	Syal.g_02193	Syae.g_02061
OG0000001	Syal.g_02215	Syae.g_01416
OG0000001	Syal.g_00874, Syal.g_01184	Syae.g_01417
OG0000004	Syal.g_01809	Syae.g_00779
OG0000004	Syal.g_02718	Syae.g_00042
OG0000004	Syal.g_00691	Syae.g_02231
OG0000005	Syal.g_00606	Syae.g_01179
OG0000005	Syal.g_00565	Syae.g_01143
OG0000005	Syal.g_01664	Syae.g_00257
OG0000006	Syal.g_00674	Syae.g_02030, Syae.g_02248
OG0000006	Syal.g_02611	Syae.g_00096
OG0000007	Syal.g_02918	Syae.g_02328
OG0000007	Syal.g_00587	Syae.g_01163
OG0000008	Syal.g_02512	Syae.g_00753
OG0000008	Syal.g_01783	Syae.g_00752
OG0000009	Syal.g_02089	Syae.g_00561, Syae.g_00171
OG0000009	Syal.g_00818	Syae.g_00100, Syae.g_01361
OG0000010	Syal.g_00464	Syae.g_02529
OG0000012	Syal.g_02535	Syae.g_02397
OG0000012	Syal.g_01639	Syae.g_02562
OG0000013	Syal.g_00322	Syae.g_02169
OG0000013	Syal.g_00310	Syae.g_02155
OG0000013	Syal.g_00315	Syae.g_02160
OG0000014	Syal.g_01305	Syae.g_01930
OG0000015	Syal.g_02210, Syal.g_01183	Syae.g_01693
OG0000016	Syal.g_00111	Syae.g_01726
OG0000016	Syal.g_01734	Syae.g_00681
OG0000017	Syal.g_02745	Syae.g_02469
OG0000017	Syal.g_02752	Syae.g_02462
OG0000018	Syal.g_00410	Syae.g_02625
OG0000019	Syal.g_01209	Syae.g_02015
OG0000022	Syal.g_02587	Syae.g_00144
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syae.g_00930
OG0000025	Syal.g_02459	Syae.g_00833
OG0000026	Syal.g_00132	Syae.g_01748
OG0000027	Syal.g_02543	Syae.g_00814
OG0000028	Syal.g_01319	Syae.g_01916
OG0000029	Syal.g_03014	Syae.g_00136
OG0000030	Syal.g_01511	Syae.g_01817
OG0000030	Syal.g_01512	Syae.g_01816
OG0000031	Syal.g_01404, Syal.g_01432	Syae.g_01911
OG0000032	Syal.g_00428	Syae.g_02607
OG0000033	Syal.g_00912	Syae.g_01453
OG0000034	Syal.g_00881, Syal.g_01586	Syae.g_00975, Syae.g_01424
OG0000035	Syal.g_00370	Syae.g_02653
OG0000037	Syal.g_00824	Syae.g_01367
OG0000038	Syal.g_01071	Syae.g_01571
OG0000039	Syal.g_01097	Syae.g_02495
OG0000040	Syal.g_01149	Syae.g_01653
OG0000041	Syal.g_00649	Syae.g_01042
OG0000042	Syal.g_01705, Syal.g_01508	Syae.g_01821
OG0000043	Syal.g_02183, Syal.g_02547	Syae.g_00117
OG0000044	Syal.g_01853	Syae.g_01067
OG0000045	Syal.g_01563	Syae.g_00732
OG0000046	Syal.g_00309	Syae.g_02154
OG0000046	Syal.g_00316	Syae.g_02161
OG0000046	Syal.g_00321	Syae.g_02168
OG0000047	Syal.g_01568	Syae.g_02184
OG0000048	Syal.g_01250	Syae.g_01982
OG0000050	Syal.g_01549	Syae.g_01023
OG0000051	Syal.g_01550	Syae.g_00438
OG0000052	Syal.g_01338	Syae.g_01886
OG0000053	Syal.g_00406	Syae.g_02629
OG0000054	Syal.g_02739	Syae.g_00014
OG0000054	Syal.g_02098	Syae.g_00221
OG0000055	Syal.g_01845	Syae.g_00817
OG0000057	Syal.g_01812	Syae.g_00782
OG0000058	Syal.g_01326	Syae.g_01905
OG0000059	Syal.g_00225	Syae.g_02074
OG0000060	Syal.g_00480	Syae.g_02514
OG0000060	Syal.g_02895	Syae.g_02306
OG0000060	Syal.g_02214	Syae.g_00649
OG0000061	Syal.g_01653	Syae.g_00921
OG0000062	Syal.g_00567	Syae.g_01145
OG0000063	Syal.g_00136	Syae.g_01752
OG0000064	Syal.g_01115	Syae.g_00012
OG0000064	Syal.g_02544	Syae.g_01631
OG0000064	Syal.g_01681	Syae.g_00194
OG0000064	Syal.g_01545	Syae.g_01137
OG0000065	Syal.g_02528	Syae.g_00722
OG0000066	Syal.g_02828	Syae.g_02386
OG0000067	Syal.g_02414	Syae.g_00521
OG0000068	Syal.g_02888	Syae.g_02299
OG0000070	Syal.g_00509	Syae.g_00979
OG0000071	Syal.g_01601	Syae.g_00961
OG0000072	Syal.g_00914	Syae.g_01455
OG0000073	Syal.g_02920	Syae.g_02330
OG0000075	Syal.g_01350	Syae.g_01871
OG0000076	Syal.g_01459	Syae.g_01829
OG0000077	Syal.g_00763	Syae.g_01297
OG0000078	Syal.g_00680	Syae.g_02243
OG0000079	Syal.g_01213	Syae.g_02011
OG0000081	Syal.g_02555	Syae.g_02261
OG0000082	Syal.g_02769	Syae.g_02447
OG0000084	Syal.g_01896	Syae.g_00857
OG0000084	Syal.g_00023	Syae.g_02656
OG0000085	Syal.g_00575	Syae.g_01152
OG0000086	Syal.g_00784	Syae.g_01333
OG0000087	Syal.g_00871	Syae.g_01414
OG0000088	Syal.g_00908	Syae.g_01449
OG0000089	Syal.g_00555	Syae.g_02219
OG0000090	Syal.g_02838	Syae.g_02374
OG0000091	Syal.g_02628	Syae.g_00082
OG0000092	Syal.g_00470	Syae.g_00884
OG0000093	Syal.g_02233	Syae.g_00537
OG0000094	Syal.g_01907	Syae.g_00430
OG0000095	Syal.g_01823	Syae.g_00793
OG0000097	Syal.g_01735	Syae.g_00683
OG0000098	Syal.g_02196	Syae.g_02058
OG0000099	Syal.g_01323	Syae.g_01913
OG0000100	Syal.g_02448	Syae.g_00489
OG0000101	Syal.g_00275	Syae.g_02125
OG0000102	Syal.g_01488	Syae.g_01824
OG0000103	Syal.g_00077	Syae.g_01694
OG0000104	Syal.g_00092	Syae.g_01708
OG0000105	Syal.g_01255	Syae.g_01977
OG0000106	Syal.g_02577	Syae.g_00272
OG0000107	Syal.g_00194	Syae.g_02032
OG0000108	Syal.g_02897	Syae.g_02309
OG0000109	Syal.g_02913	Syae.g_02324
OG0000110	Syal.g_02782	Syae.g_02435
OG0000111	Syal.g_01813	Syae.g_00783
OG0000112	Syal.g_02000	Syae.g_00351
OG0000113	Syal.g_02443	Syae.g_00494
OG0000114	Syal.g_02286	Syae.g_00575
OG0000115	Syal.g_00404	Syae.g_02631
OG0000116	Syal.g_01630	Syae.g_00939
OG0000117	Syal.g_01704	Syae.g_00647
OG0000118	Syal.g_01583	Syae.g_02479
OG0000119	Syal.g_02056	Syae.g_00904
OG0000120	Syal.g_01324	Syae.g_01912
OG0000121	Syal.g_00374	Syae.g_02649
OG0000122	Syal.g_02602	Syae.g_00112
OG0000123	Syal.g_00283	Syae.g_02131
OG0000124	Syal.g_01519	Syae.g_01809
OG0000125	Syal.g_01075	Syae.g_01573
OG0000126	Syal.g_00090	Syae.g_01706
OG0000128	Syal.g_00109	Syae.g_01724
OG0000129	Syal.g_01062	Syae.g_01562
OG0000130	Syal.g_00751	Syae.g_01284
OG0000131	Syal.g_00886	Syae.g_01428
OG0000132	Syal.g_00906	Syae.g_01447
OG0000133	Syal.g_01995	Syae.g_00356
OG0000134	Syal.g_00552	Syae.g_02222
OG0000135	Syal.g_01119	Syae.g_01608
OG0000136	Syal.g_00520	Syae.g_00989
OG0000137	Syal.g_00463	Syae.g_02530
OG0000138	Syal.g_02914	Syae.g_02325
OG0000139	Syal.g_02832	Syae.g_02380
OG0000140	Syal.g_02830	Syae.g_02383
OG0000141	Syal.g_02738	Syae.g_00016
OG0000142	Syal.g_02636	Syae.g_00074
OG0000143	Syal.g_02632	Syae.g_00078
OG0000144	Syal.g_02515	Syae.g_00261
OG0000145	Syal.g_02921	Syae.g_02331
OG0000146	Syal.g_02001	Syae.g_00350
OG0000147	Syal.g_02002	Syae.g_00349
OG0000148	Syal.g_02437	Syae.g_00500
OG0000149	Syal.g_02475	Syae.g_00847
OG0000150	Syal.g_02737	Syae.g_00017
OG0000151	Syal.g_02263	Syae.g_00563
OG0000152	Syal.g_01991	Syae.g_00360
OG0000153	Syal.g_01958	Syae.g_00394
OG0000154	Syal.g_01918	Syae.g_00420
OG0000155	Syal.g_01695	Syae.g_00885
OG0000156	Syal.g_01620	Syae.g_00945
OG0000157	Syal.g_01619	Syae.g_00946
OG0000158	Syal.g_01431	Syae.g_01858
OG0000160	Syal.g_00372	Syae.g_02650
OG0000161	Syal.g_00384	Syae.g_02644
