Orthogroup	Syal	Prbc
OG0000000	Syal.g_01111, Syal.g_01832	Prbc.g_02163, Prbc.g_00103, Prbc.g_00609, Prbc.g_00812, Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165, Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808, Prbc.g_00525
OG0000001	Syal.g_02193	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000004	Syal.g_01809	Prbc.g_01381
OG0000004	Syal.g_02718, Syal.g_00691	Prbc.g_00339
OG0000005	Syal.g_00606	Prbc.g_00098
OG0000005	Syal.g_00565	Prbc.g_00788
OG0000006	Syal.g_00674	Prbc.g_02202
OG0000007	Syal.g_02918	Prbc.g_01556
OG0000007	Syal.g_00587	Prbc.g_00832
OG0000008	Syal.g_02512	Prbc.g_00893
OG0000008	Syal.g_01783	Prbc.g_00894
OG0000009	Syal.g_02089	Prbc.g_01344
OG0000010	Syal.g_00464	Prbc.g_02115, Prbc.g_01533
OG0000011	Syal.g_00702	Prbc.g_00066
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prbc.g_01219
OG0000014	Syal.g_01305	Prbc.g_01198
OG0000014	Syal.g_01393	Prbc.g_00680
OG0000016	Syal.g_00111	Prbc.g_01083
OG0000016	Syal.g_01734	Prbc.g_00929
OG0000017	Syal.g_02752	Prbc.g_01681
OG0000018	Syal.g_00410	Prbc.g_01468, Prbc.g_01887
OG0000019	Syal.g_01209	Prbc.g_01836
OG0000022	Syal.g_02587	Prbc.g_00166, Prbc.g_01288
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syal.g_02597	Prbc.g_00598, Prbc.g_01755
OG0000025	Syal.g_02459	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syal.g_00132	Prbc.g_01101
OG0000027	Syal.g_02543	Prbc.g_00072
OG0000028	Syal.g_01319	Prbc.g_00653
OG0000030	Syal.g_01511, Syal.g_01512	Prbc.g_00199
OG0000032	Syal.g_00428	Prbc.g_00746
OG0000033	Syal.g_00912	Prbc.g_00402
OG0000034	Syal.g_00881, Syal.g_01586	Prbc.g_00575
OG0000035	Syal.g_00370	Prbc.g_00709
OG0000037	Syal.g_00824	Prbc.g_00464
OG0000038	Syal.g_01071, Syal.g_01073	Prbc.g_00995
OG0000039	Syal.g_01097	Prbc.g_01768
OG0000040	Syal.g_01187	Prbc.g_00909, Prbc.g_00811
OG0000041	Syal.g_00649	Prbc.g_00877
OG0000042	Syal.g_01705, Syal.g_01508	Prbc.g_00203
OG0000043	Syal.g_02183	Prbc.g_01953
OG0000043	Syal.g_02547	Prbc.g_00135
OG0000044	Syal.g_01853	Prbc.g_00533
OG0000046	Syal.g_00309, Syal.g_00316, Syal.g_00321	Prbc.g_01220
OG0000047	Syal.g_01568	Prbc.g_01273, Prbc.g_01227
OG0000048	Syal.g_01250	Prbc.g_01165
OG0000053	Syal.g_00406	Prbc.g_00728
OG0000054	Syal.g_02739	Prbc.g_01683
OG0000055	Syal.g_01845	Prbc.g_01822
OG0000056	Syal.g_02054	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532
OG0000057	Syal.g_01812	Prbc.g_01780, Prbc.g_00055
OG0000058	Syal.g_01326	Prbc.g_01928
OG0000059	Syal.g_00225	Prbc.g_00958
OG0000061	Syal.g_01653	Prbc.g_01446
OG0000062	Syal.g_02113	Prbc.g_00790
OG0000063	Syal.g_00136	Prbc.g_00932
OG0000065	Syal.g_00820, Syal.g_02528	Prbc.g_00466
OG0000066	Syal.g_02828	Prbc.g_01618
OG0000067	Syal.g_02414	Prbc.g_01858
OG0000068	Syal.g_02888	Prbc.g_00657
OG0000070	Syal.g_00509	Prbc.g_01511
OG0000071	Syal.g_01601	Prbc.g_00566
OG0000072	Syal.g_00914	Prbc.g_00400
OG0000073	Syal.g_02920	Prbc.g_01579
OG0000075	Syal.g_01350	Prbc.g_00236
OG0000076	Syal.g_01459	Prbc.g_00211
OG0000077	Syal.g_00763, Syal.g_00506	Prbc.g_00495
OG0000078	Syal.g_00680	Prbc.g_00330
OG0000079	Syal.g_01213	Prbc.g_01148
OG0000080	Syal.g_01394	Prbc.g_00679
OG0000081	Syal.g_02555	Prbc.g_01610
OG0000082	Syal.g_02769	Prbc.g_00891
OG0000084	Syal.g_00023	Prbc.g_00705
OG0000085	Syal.g_00575	Prbc.g_00826
OG0000086	Syal.g_00784	Prbc.g_00485
OG0000087	Syal.g_00871	Prbc.g_00432
OG0000088	Syal.g_00908	Prbc.g_00405
OG0000089	Syal.g_00555	Prbc.g_01268
OG0000090	Syal.g_02838	Prbc.g_01612
OG0000091	Syal.g_02628	Prbc.g_01719
OG0000092	Syal.g_00470	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000097	Syal.g_01735, Syal.g_01553	Prbc.g_01400
OG0000098	Syal.g_02196	Prbc.g_00585
OG0000099	Syal.g_01323	Prbc.g_01229
OG0000100	Syal.g_02448	Prbc.g_00785
OG0000101	Syal.g_00275	Prbc.g_00284
OG0000102	Syal.g_01488	Prbc.g_00206
OG0000103	Syal.g_01897, Syal.g_00077	Prbc.g_01053
OG0000104	Syal.g_00092	Prbc.g_01065
OG0000105	Syal.g_01255	Prbc.g_01167
OG0000106	Syal.g_02577	Prbc.g_00134, Prbc.g_00641
OG0000107	Syal.g_00194	Prbc.g_00934
OG0000108	Syal.g_02897	Prbc.g_01540
OG0000109	Syal.g_02913	Prbc.g_01553
OG0000110	Syal.g_02782	Prbc.g_01654
OG0000111	Syal.g_01813	Prbc.g_01781
OG0000112	Syal.g_02000	Prbc.g_02028
OG0000113	Syal.g_02443	Prbc.g_01882, Prbc.g_00153
OG0000114	Syal.g_02286	Prbc.g_01977
OG0000115	Syal.g_00404	Prbc.g_00801
OG0000116	Syal.g_01630	Prbc.g_01457
OG0000117	Syal.g_01704	Prbc.g_00102
OG0000118	Syal.g_01583	Prbc.g_00577
OG0000119	Syal.g_02056	Prbc.g_00650
OG0000120	Syal.g_01324	Prbc.g_01753
OG0000121	Syal.g_00374	Prbc.g_00711
OG0000122	Syal.g_02602	Prbc.g_00750
OG0000123	Syal.g_00283	Prbc.g_00277
OG0000124	Syal.g_01519	Prbc.g_00193
OG0000125	Syal.g_01075	Prbc.g_00997
OG0000126	Syal.g_00090	Prbc.g_01063
OG0000127	Syal.g_00720	Prbc.g_01367
OG0000128	Syal.g_00109	Prbc.g_01081
OG0000129	Syal.g_01062	Prbc.g_01122
OG0000130	Syal.g_00751	Prbc.g_00504
OG0000131	Syal.g_00886	Prbc.g_00426
OG0000132	Syal.g_00906	Prbc.g_00407
OG0000133	Syal.g_01995	Prbc.g_01214
OG0000134	Syal.g_00552	Prbc.g_01270
OG0000135	Syal.g_01119	Prbc.g_02198, Prbc.g_02183
OG0000136	Syal.g_00520	Prbc.g_01502
OG0000137	Syal.g_00463	Prbc.g_01534
OG0000138	Syal.g_02914	Prbc.g_01554
OG0000139	Syal.g_02832	Prbc.g_01616
OG0000140	Syal.g_02830	Prbc.g_01617
OG0000141	Syal.g_02738	Prbc.g_01684
OG0000142	Syal.g_02636	Prbc.g_01712
OG0000143	Syal.g_02632	Prbc.g_01716
OG0000144	Syal.g_02515	Prbc.g_01729
OG0000145	Syal.g_02921	Prbc.g_02142
OG0000146	Syal.g_02001	Prbc.g_02027
OG0000147	Syal.g_02002	Prbc.g_02026
OG0000148	Syal.g_02437	Prbc.g_01876
OG0000149	Syal.g_02475	Prbc.g_01908
OG0000150	Syal.g_02737	Prbc.g_01916
OG0000151	Syal.g_02263	Prbc.g_01988
OG0000152	Syal.g_01991	Prbc.g_02036
OG0000153	Syal.g_01958	Prbc.g_02054
OG0000154	Syal.g_01918	Prbc.g_02083
OG0000155	Syal.g_01695	Prbc.g_01424
OG0000156	Syal.g_01620	Prbc.g_00555
OG0000157	Syal.g_01619	Prbc.g_00556
OG0000158	Syal.g_01431	Prbc.g_00228
OG0000160	Syal.g_00372	Prbc.g_00710
OG0000161	Syal.g_00384	Prbc.g_00716
OG0000162	Syal.g_00396	Prbc.g_00722
OG0000163	Syal.g_02971	Prbc.g_00758
OG0000164	Syal.g_00623	Prbc.g_00854
OG0000165	Syal.g_00632	Prbc.g_00862
OG0000166	Syal.g_00236	Prbc.g_00321
OG0000167	Syal.g_01347	Prbc.g_00238
OG0000168	Syal.g_01433	Prbc.g_00227
OG0000169	Syal.g_01447	Prbc.g_00217
OG0000170	Syal.g_01454	Prbc.g_00215
OG0000171	Syal.g_01518	Prbc.g_00194
OG0000172	Syal.g_00174, Syal.g_00173	Prbc.g_00967
OG0000173	Syal.g_00155	Prbc.g_00982
OG0000174	Syal.g_01121	Prbc.g_01013
OG0000175	Syal.g_01172	Prbc.g_01044
OG0000176	Syal.g_00101	Prbc.g_01074
OG0000177	Syal.g_00102	Prbc.g_01075
OG0000178	Syal.g_00103	Prbc.g_01076
OG0000179	Syal.g_00118	Prbc.g_01086
OG0000180	Syal.g_00119	Prbc.g_01087
OG0000181	Syal.g_00120	Prbc.g_01088
OG0000182	Syal.g_00121	Prbc.g_01089
OG0000183	Syal.g_00125	Prbc.g_01093
OG0000184	Syal.g_01050	Prbc.g_01124
OG0000185	Syal.g_01025	Prbc.g_01127
OG0000186	Syal.g_02684, Syal.g_00747	Prbc.g_00509
OG0000187	Syal.g_02685, Syal.g_00748	Prbc.g_00508
OG0000188	Syal.g_00771	Prbc.g_00491
OG0000189	Syal.g_00807	Prbc.g_00477
OG0000190	Syal.g_01364	Prbc.g_00476
OG0000191	Syal.g_00841	Prbc.g_00453
OG0000192	Syal.g_00847	Prbc.g_00449
OG0000193	Syal.g_00887	Prbc.g_00425
OG0000194	Syal.g_00890	Prbc.g_00422
OG0000195	Syal.g_00892	Prbc.g_00420
OG0000196	Syal.g_00903	Prbc.g_00410
OG0000197	Syal.g_00904	Prbc.g_00409
OG0000198	Syal.g_00905	Prbc.g_00408
OG0000199	Syal.g_00913	Prbc.g_00401
OG0000200	Syal.g_00932	Prbc.g_00388
OG0000201	Syal.g_00949	Prbc.g_00379
OG0000202	Syal.g_00950	Prbc.g_00378
OG0000203	Syal.g_00951	Prbc.g_00377
OG0000204	Syal.g_00952	Prbc.g_00376
OG0000205	Syal.g_00959	Prbc.g_00369
OG0000206	Syal.g_00971	Prbc.g_00365
OG0000207	Syal.g_00974	Prbc.g_00363
OG0000208	Syal.g_00975	Prbc.g_00362
OG0000209	Syal.g_01000	Prbc.g_00352
OG0000210	Syal.g_01001	Prbc.g_00351
OG0000212	Syal.g_00679	Prbc.g_00329
OG0000213	Syal.g_01229	Prbc.g_01153
OG0000214	Syal.g_01246	Prbc.g_01161
OG0000215	Syal.g_01277	Prbc.g_01185
OG0000216	Syal.g_01281	Prbc.g_01186
OG0000217	Syal.g_01285	Prbc.g_01189
OG0000218	Syal.g_01287	Prbc.g_01191
OG0000219	Syal.g_01288	Prbc.g_01192
OG0000220	Syal.g_01289	Prbc.g_01193
OG0000221	Syal.g_01297	Prbc.g_01194
OG0000222	Syal.g_01309	Prbc.g_01202
OG0000223	Syal.g_01327	Prbc.g_01215
OG0000224	Syal.g_01329	Prbc.g_01217
OG0000225	Syal.g_00363	Prbc.g_01257
OG0000226	Syal.g_00367	Prbc.g_01261
OG0000227	Syal.g_00369	Prbc.g_01263
OG0000228	Syal.g_00556	Prbc.g_01267
OG0000229	Syal.g_00525	Prbc.g_01497
OG0000230	Syal.g_00523	Prbc.g_01499
OG0000231	Syal.g_00510	Prbc.g_01510
OG0000232	Syal.g_00495	Prbc.g_01518
OG0000233	Syal.g_00487	Prbc.g_01526
OG0000234	Syal.g_00461	Prbc.g_01535
OG0000235	Syal.g_02896	Prbc.g_01539
OG0000236	Syal.g_02912	Prbc.g_01552
OG0000237	Syal.g_02930	Prbc.g_01586
OG0000238	Syal.g_02935	Prbc.g_01592
OG0000239	Syal.g_02951	Prbc.g_01604
OG0000240	Syal.g_02952	Prbc.g_01605
OG0000241	Syal.g_02696	Prbc.g_01609
OG0000242	Syal.g_02840	Prbc.g_01611
OG0000243	Syal.g_02822	Prbc.g_01622
OG0000244	Syal.g_02815	Prbc.g_01626
OG0000245	Syal.g_02813	Prbc.g_01628
OG0000246	Syal.g_02809	Prbc.g_01632
OG0000247	Syal.g_02797	Prbc.g_01642
OG0000248	Syal.g_02794	Prbc.g_01644
OG0000249	Syal.g_02792	Prbc.g_01646
OG0000250	Syal.g_02786	Prbc.g_01651
OG0000251	Syal.g_02760	Prbc.g_01667
OG0000252	Syal.g_02757	Prbc.g_01669
OG0000253	Syal.g_02755	Prbc.g_01671
OG0000254	Syal.g_02732	Prbc.g_01688
OG0000255	Syal.g_02719	Prbc.g_01694
OG0000256	Syal.g_02705	Prbc.g_01704
OG0000257	Syal.g_02697	Prbc.g_01707
OG0000258	Syal.g_02623	Prbc.g_01720
OG0000259	Syal.g_02182	Prbc.g_01737
OG0000260	Syal.g_02188	Prbc.g_01740
OG0000261	Syal.g_02199	Prbc.g_01743
OG0000262	Syal.g_02204	Prbc.g_01748
OG0000263	Syal.g_01720	Prbc.g_01762
OG0000264	Syal.g_01788	Prbc.g_01773
OG0000265	Syal.g_02534	Prbc.g_01787
OG0000266	Syal.g_02421	Prbc.g_01797
OG0000267	Syal.g_02043	Prbc.g_01810
OG0000268	Syal.g_02042	Prbc.g_01811
OG0000269	Syal.g_02409	Prbc.g_01853
OG0000270	Syal.g_02412	Prbc.g_01856
OG0000271	Syal.g_01871	Prbc.g_01864
OG0000272	Syal.g_01872	Prbc.g_01865
OG0000274	Syal.g_02455	Prbc.g_01891
OG0000275	Syal.g_02458	Prbc.g_01893
OG0000276	Syal.g_02467	Prbc.g_01899
OG0000277	Syal.g_02468	Prbc.g_01900
OG0000278	Syal.g_02471	Prbc.g_01904
OG0000279	Syal.g_02479	Prbc.g_01911
OG0000280	Syal.g_02493	Prbc.g_00068
OG0000281	Syal.g_02190	Prbc.g_01917
OG0000282	Syal.g_02284	Prbc.g_01979
OG0000283	Syal.g_02028	Prbc.g_02010
OG0000284	Syal.g_02023	Prbc.g_02015
OG0000285	Syal.g_02012	Prbc.g_02020
OG0000286	Syal.g_01992	Prbc.g_02035
OG0000287	Syal.g_01965	Prbc.g_02190
OG0000288	Syal.g_01919	Prbc.g_02082
OG0000289	Syal.g_01904	Prbc.g_02094
OG0000290	Syal.g_01826	Prbc.g_02110
OG0000291	Syal.g_01824	Prbc.g_02112
OG0000292	Syal.g_00089	Prbc.g_00173
OG0000293	Syal.g_01631	Prbc.g_01456
OG0000294	Syal.g_01632	Prbc.g_01455
OG0000295	Syal.g_01687	Prbc.g_01431
OG0000296	Syal.g_01689	Prbc.g_01429
OG0000297	Syal.g_01702	Prbc.g_01421
OG0000298	Syal.g_01703	Prbc.g_01420
OG0000299	Syal.g_01732	Prbc.g_01401
OG0000300	Syal.g_01738	Prbc.g_01398
OG0000301	Syal.g_01739	Prbc.g_01397
OG0000302	Syal.g_01740	Prbc.g_01395
OG0000303	Syal.g_01763	Prbc.g_01390
OG0000304	Syal.g_01756	Prbc.g_01387
OG0000305	Syal.g_01821	Prbc.g_00810
OG0000306	Syal.g_02579	Prbc.g_01921
OG0000307	Syal.g_02880	Prbc.g_00666
OG0000308	Syal.g_02878	Prbc.g_00667
OG0000309	Syal.g_02873	Prbc.g_00671
OG0000310	Syal.g_01537	Prbc.g_00693
OG0000311	Syal.g_00061	Prbc.g_00695
OG0000312	Syal.g_00031	Prbc.g_00698
OG0000313	Syal.g_00381	Prbc.g_00713
OG0000314	Syal.g_00416	Prbc.g_00734
OG0000315	Syal.g_00426	Prbc.g_00744
OG0000316	Syal.g_02987	Prbc.g_00768
OG0000317	Syal.g_00583	Prbc.g_00830
OG0000318	Syal.g_00588	Prbc.g_00833
OG0000319	Syal.g_00608	Prbc.g_00844
OG0000320	Syal.g_00610	Prbc.g_00846
OG0000321	Syal.g_00611	Prbc.g_00847
OG0000322	Syal.g_00612	Prbc.g_00848
OG0000323	Syal.g_00626	Prbc.g_00857
OG0000324	Syal.g_00656	Prbc.g_00884
OG0000325	Syal.g_00195	Prbc.g_00935
OG0000326	Syal.g_00202	Prbc.g_00941
OG0000327	Syal.g_00230	Prbc.g_00326
OG0000328	Syal.g_00231	Prbc.g_00325
OG0000329	Syal.g_00249	Prbc.g_00308
OG0000330	Syal.g_00250	Prbc.g_00307
OG0000331	Syal.g_00251	Prbc.g_00306
OG0000332	Syal.g_00266	Prbc.g_00292
OG0000333	Syal.g_00269	Prbc.g_00290
OG0000334	Syal.g_00279	Prbc.g_00281
OG0000335	Syal.g_00284	Prbc.g_00276
OG0000336	Syal.g_00288	Prbc.g_00272
OG0000337	Syal.g_01343	Prbc.g_00241
OG0000338	Syal.g_01345	Prbc.g_00240
OG0000339	Syal.g_01351	Prbc.g_00235
OG0000340	Syal.g_01434	Prbc.g_00226
OG0000341	Syal.g_01436	Prbc.g_00224
OG0000342	Syal.g_01437	Prbc.g_00223
OG0000343	Syal.g_01441	Prbc.g_00222
OG0000344	Syal.g_01445	Prbc.g_00219
OG0000345	Syal.g_01455	Prbc.g_00214
OG0000346	Syal.g_01460	Prbc.g_00210
OG0000347	Syal.g_01525	Prbc.g_00190
OG0000348	Syal.g_00170	Prbc.g_00970
OG0000349	Syal.g_00148	Prbc.g_00988
OG0000350	Syal.g_00209	Prbc.g_01009
OG0000351	Syal.g_01175	Prbc.g_01047
OG0000352	Syal.g_01176	Prbc.g_01048
OG0000353	Syal.g_00095	Prbc.g_01068
OG0000355	Syal.g_00098	Prbc.g_01071
OG0000356	Syal.g_00099	Prbc.g_01072
OG0000357	Syal.g_00100	Prbc.g_01073
OG0000358	Syal.g_00104	Prbc.g_01077
OG0000359	Syal.g_00106	Prbc.g_01078
OG0000360	Syal.g_00107	Prbc.g_01079
OG0000361	Syal.g_00108	Prbc.g_01080
OG0000362	Syal.g_00110	Prbc.g_01082
OG0000363	Syal.g_00112	Prbc.g_01084
OG0000364	Syal.g_00113	Prbc.g_01085
OG0000365	Syal.g_00122	Prbc.g_01090
OG0000366	Syal.g_00123	Prbc.g_01091
OG0000367	Syal.g_00124	Prbc.g_01092
OG0000368	Syal.g_00126	Prbc.g_01094
OG0000369	Syal.g_00127	Prbc.g_01095
OG0000370	Syal.g_00128	Prbc.g_01096
OG0000371	Syal.g_00135	Prbc.g_01102
OG0000372	Syal.g_00141	Prbc.g_01104
OG0000373	Syal.g_00142	Prbc.g_01105
OG0000374	Syal.g_00143	Prbc.g_01106
OG0000375	Syal.g_00144	Prbc.g_01118
OG0000376	Syal.g_00146	Prbc.g_01120
OG0000377	Syal.g_01061	Prbc.g_01123
OG0000378	Syal.g_01027	Prbc.g_01125
OG0000379	Syal.g_01024	Prbc.g_01128
OG0000380	Syal.g_00749	Prbc.g_00507
OG0000381	Syal.g_00752	Prbc.g_00503
OG0000382	Syal.g_00770	Prbc.g_00492
OG0000383	Syal.g_00775	Prbc.g_00490
OG0000384	Syal.g_00776	Prbc.g_00489
OG0000385	Syal.g_00777	Prbc.g_00488
OG0000386	Syal.g_00778	Prbc.g_00487
OG0000387	Syal.g_00811	Prbc.g_00474
OG0000388	Syal.g_00815	Prbc.g_00470
OG0000389	Syal.g_00819	Prbc.g_00467
OG0000390	Syal.g_00835	Prbc.g_00458
OG0000391	Syal.g_00840	Prbc.g_00454
OG0000392	Syal.g_00846	Prbc.g_00451
OG0000393	Syal.g_00849	Prbc.g_00448
OG0000394	Syal.g_00850	Prbc.g_00447
OG0000395	Syal.g_00851	Prbc.g_00446
OG0000396	Syal.g_00854	Prbc.g_00443
OG0000397	Syal.g_00857	Prbc.g_00441
OG0000398	Syal.g_00862	Prbc.g_00438
OG0000399	Syal.g_00863	Prbc.g_00437
OG0000400	Syal.g_00864	Prbc.g_00436
OG0000401	Syal.g_00865	Prbc.g_00435
OG0000402	Syal.g_00867	Prbc.g_02145
OG0000403	Syal.g_00868	Prbc.g_00434
OG0000404	Syal.g_00870	Prbc.g_00433
OG0000405	Syal.g_00883	Prbc.g_00428
OG0000406	Syal.g_00888	Prbc.g_00424
OG0000407	Syal.g_00889	Prbc.g_00423
OG0000408	Syal.g_00891	Prbc.g_00421
OG0000409	Syal.g_00893	Prbc.g_00419
OG0000410	Syal.g_00894	Prbc.g_00418
OG0000411	Syal.g_00895	Prbc.g_00417
OG0000412	Syal.g_00896	Prbc.g_00416
OG0000413	Syal.g_00898	Prbc.g_00415
OG0000414	Syal.g_00899	Prbc.g_00414
OG0000415	Syal.g_00900	Prbc.g_00413
OG0000416	Syal.g_00901	Prbc.g_00412
OG0000417	Syal.g_00902	Prbc.g_00411
OG0000418	Syal.g_00907	Prbc.g_00406
OG0000419	Syal.g_00909	Prbc.g_00404
OG0000420	Syal.g_00911	Prbc.g_00403
OG0000421	Syal.g_00916	Prbc.g_00399
OG0000422	Syal.g_00917	Prbc.g_00398
OG0000423	Syal.g_00918	Prbc.g_00397
OG0000424	Syal.g_00919	Prbc.g_00396
OG0000425	Syal.g_00920	Prbc.g_00395
OG0000426	Syal.g_00921	Prbc.g_00394
OG0000427	Syal.g_00922	Prbc.g_00393
OG0000428	Syal.g_00925	Prbc.g_00391
OG0000429	Syal.g_00929	Prbc.g_00390
OG0000430	Syal.g_00931	Prbc.g_00389
OG0000431	Syal.g_00934	Prbc.g_00387
OG0000432	Syal.g_00940	Prbc.g_00383
OG0000433	Syal.g_00943	Prbc.g_00382
OG0000434	Syal.g_00944	Prbc.g_00381
OG0000435	Syal.g_00946	Prbc.g_00380
OG0000436	Syal.g_00953	Prbc.g_00375
OG0000437	Syal.g_00954	Prbc.g_00374
OG0000438	Syal.g_00955	Prbc.g_00373
OG0000439	Syal.g_00957	Prbc.g_00371
OG0000440	Syal.g_00958	Prbc.g_00370
OG0000441	Syal.g_00962	Prbc.g_00368
OG0000442	Syal.g_00964	Prbc.g_00367
OG0000443	Syal.g_00966	Prbc.g_00366
OG0000444	Syal.g_00978	Prbc.g_00361
OG0000445	Syal.g_00979	Prbc.g_00360
OG0000446	Syal.g_00981	Prbc.g_00358
OG0000447	Syal.g_00989	Prbc.g_00357
OG0000448	Syal.g_00990	Prbc.g_00356
OG0000449	Syal.g_00991	Prbc.g_00355
OG0000450	Syal.g_00997	Prbc.g_00354
OG0000451	Syal.g_00998	Prbc.g_00353
OG0000452	Syal.g_01002	Prbc.g_00350
OG0000453	Syal.g_01003	Prbc.g_00349
OG0000454	Syal.g_01004	Prbc.g_00348
OG0000455	Syal.g_01005	Prbc.g_00347
OG0000456	Syal.g_01006	Prbc.g_00346
OG0000457	Syal.g_01008	Prbc.g_00345
OG0000458	Syal.g_01009	Prbc.g_00344
OG0000459	Syal.g_01010	Prbc.g_00343
OG0000460	Syal.g_00686	Prbc.g_00335
OG0000461	Syal.g_01199	Prbc.g_01140
OG0000462	Syal.g_01202	Prbc.g_01142
OG0000463	Syal.g_01203	Prbc.g_01143
OG0000464	Syal.g_01204	Prbc.g_01144
OG0000465	Syal.g_01205	Prbc.g_01145
OG0000466	Syal.g_01210	Prbc.g_01146
OG0000467	Syal.g_01212	Prbc.g_01147
OG0000468	Syal.g_01225	Prbc.g_01149
OG0000469	Syal.g_01240	Prbc.g_01156
OG0000470	Syal.g_01242	Prbc.g_01158
OG0000471	Syal.g_01243	Prbc.g_01159
OG0000472	Syal.g_01245	Prbc.g_01160
OG0000473	Syal.g_01247	Prbc.g_01162
OG0000474	Syal.g_01248	Prbc.g_01163
OG0000475	Syal.g_01249	Prbc.g_01164
OG0000476	Syal.g_01251	Prbc.g_01166
OG0000477	Syal.g_01257	Prbc.g_01168
OG0000478	Syal.g_01258	Prbc.g_01169
OG0000479	Syal.g_01259	Prbc.g_01170
OG0000480	Syal.g_01266	Prbc.g_01175
OG0000481	Syal.g_01268	Prbc.g_01177
OG0000482	Syal.g_01269	Prbc.g_01178
OG0000483	Syal.g_01273	Prbc.g_01181
OG0000484	Syal.g_01274	Prbc.g_01182
OG0000485	Syal.g_01275	Prbc.g_01183
OG0000486	Syal.g_01276	Prbc.g_01184
OG0000487	Syal.g_01282	Prbc.g_01187
OG0000488	Syal.g_01286	Prbc.g_01190
OG0000489	Syal.g_01298	Prbc.g_01195
OG0000490	Syal.g_01307	Prbc.g_01200
OG0000491	Syal.g_01308	Prbc.g_01201
OG0000492	Syal.g_01310	Prbc.g_01203
OG0000493	Syal.g_01311	Prbc.g_01204
OG0000494	Syal.g_01312	Prbc.g_01205
OG0000495	Syal.g_01313	Prbc.g_01206
OG0000496	Syal.g_01314	Prbc.g_01207
OG0000497	Syal.g_01315	Prbc.g_01208
OG0000498	Syal.g_01316	Prbc.g_01209
OG0000499	Syal.g_01317	Prbc.g_01210
OG0000500	Syal.g_01318	Prbc.g_01211
OG0000501	Syal.g_01321	Prbc.g_01213
OG0000502	Syal.g_01328	Prbc.g_01216
OG0000503	Syal.g_00347	Prbc.g_01246
OG0000504	Syal.g_00349	Prbc.g_01248
OG0000505	Syal.g_00350	Prbc.g_01249
OG0000506	Syal.g_00352	Prbc.g_01250
OG0000507	Syal.g_00358	Prbc.g_01253
OG0000508	Syal.g_00362	Prbc.g_01256
OG0000509	Syal.g_00364	Prbc.g_01258
OG0000510	Syal.g_00365	Prbc.g_01259
OG0000511	Syal.g_00366	Prbc.g_01260
OG0000512	Syal.g_00368	Prbc.g_01262
OG0000513	Syal.g_00551	Prbc.g_01271
OG0000514	Syal.g_00539	Prbc.g_01492
OG0000515	Syal.g_00538	Prbc.g_01493
OG0000516	Syal.g_00534	Prbc.g_01494
OG0000517	Syal.g_00526	Prbc.g_01496
OG0000518	Syal.g_00514	Prbc.g_01507
OG0000519	Syal.g_00513	Prbc.g_01508
OG0000520	Syal.g_00512	Prbc.g_01509
OG0000521	Syal.g_00502	Prbc.g_01514
OG0000522	Syal.g_00500	Prbc.g_01516
OG0000523	Syal.g_00499	Prbc.g_01517
OG0000524	Syal.g_00491	Prbc.g_01524
OG0000525	Syal.g_00473	Prbc.g_01528
