Orthogroup	Syal	Praa
OG0000000	Syal.g_01111, Syal.g_01832	Praa.g_01300, Praa.g_00413, Praa.g_01235, Praa.g_01598, Praa.g_01244, Praa.g_01597, Praa.g_01297, Praa.g_01298, Praa.g_01599
OG0000001	Syal.g_02193	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000004	Syal.g_01809	Praa.g_00695
OG0000004	Syal.g_02718, Syal.g_00691	Praa.g_00232
OG0000005	Syal.g_00606	Praa.g_01648
OG0000005	Syal.g_00565	Praa.g_01553
OG0000006	Syal.g_00674	Praa.g_00241, Praa.g_01245
OG0000007	Syal.g_02918	Praa.g_00497
OG0000007	Syal.g_00587	Praa.g_01635
OG0000008	Syal.g_02512	Praa.g_01241
OG0000009	Syal.g_02089	Praa.g_01264, Praa.g_01589
OG0000009	Syal.g_00818	Praa.g_00105
OG0000010	Syal.g_00464	Praa.g_01047, Praa.g_00474
OG0000011	Syal.g_00702	Praa.g_00396
OG0000012	Syal.g_02535, Syal.g_01639	Praa.g_00623
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Praa.g_00327
OG0000014	Syal.g_01305	Praa.g_00306
OG0000014	Syal.g_01393	Praa.g_01409
OG0000016	Syal.g_00111	Praa.g_00013
OG0000017	Syal.g_02752	Praa.g_00598
OG0000018	Syal.g_00410	Praa.g_01141, Praa.g_00831
OG0000019	Syal.g_01209	Praa.g_00249, Praa.g_00782
OG0000022	Syal.g_02587	Praa.g_00763, Praa.g_01124
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Praa.g_00359
OG0000024	Syal.g_02597	Praa.g_00747, Praa.g_00675
OG0000025	Syal.g_02459	Praa.g_00839, Praa.g_00331
OG0000026	Syal.g_00132	Praa.g_00031, Praa.g_01054
OG0000027	Syal.g_02543	Praa.g_00470, Praa.g_01301
OG0000028	Syal.g_01319	Praa.g_00320, Praa.g_01248
OG0000029	Syal.g_03014	Praa.g_00374, Praa.g_00754
OG0000030	Syal.g_01511, Syal.g_01512	Praa.g_01842
OG0000033	Syal.g_00912	Praa.g_00169
OG0000034	Syal.g_00881, Syal.g_01586	Praa.g_01328
OG0000035	Syal.g_00370	Praa.g_01476
OG0000037	Syal.g_00824	Praa.g_00109
OG0000038	Syal.g_01071, Syal.g_01073	Praa.g_01883
OG0000039	Syal.g_01097	Praa.g_00686
OG0000040	Syal.g_01187	Praa.g_01618
OG0000041	Syal.g_00649	Praa.g_01683
OG0000042	Syal.g_01705, Syal.g_01508	Praa.g_01839
OG0000043	Syal.g_02183	Praa.g_00876
OG0000043	Syal.g_02547	Praa.g_01259
OG0000047	Syal.g_01568	Praa.g_00330
OG0000048	Syal.g_01250	Praa.g_00373
OG0000051	Syal.g_01550	Praa.g_01291
OG0000052	Syal.g_01338	Praa.g_01447, Praa.g_01407
OG0000053	Syal.g_00406	Praa.g_01496
OG0000054	Syal.g_02739	Praa.g_00606
OG0000055	Syal.g_01845	Praa.g_00783
OG0000057	Syal.g_01812	Praa.g_00698
OG0000058	Syal.g_01326	Praa.g_01425
OG0000059	Syal.g_00225	Praa.g_01723
OG0000061	Syal.g_01653	Praa.g_01415, Praa.g_01159
OG0000062	Syal.g_02113	Praa.g_01555
OG0000063	Syal.g_00136	Praa.g_00033
OG0000065	Syal.g_00820, Syal.g_02528	Praa.g_00107
OG0000066	Syal.g_02828	Praa.g_00539
OG0000067	Syal.g_02414	Praa.g_00803
OG0000068	Syal.g_02888	Praa.g_01366
OG0000070	Syal.g_00509	Praa.g_00449
OG0000071	Syal.g_01601	Praa.g_01318
OG0000072	Syal.g_00914	Praa.g_00171
OG0000073	Syal.g_02920	Praa.g_00499
OG0000075	Syal.g_01350	Praa.g_01808
OG0000076	Syal.g_01459	Praa.g_01832
OG0000077	Syal.g_00763	Praa.g_00078
OG0000078	Syal.g_00680	Praa.g_00239
OG0000079	Syal.g_01213	Praa.g_00252
OG0000080	Syal.g_01394	Praa.g_01423, Praa.g_00385, Praa.g_01392, Praa.g_01390
OG0000081	Syal.g_02555	Praa.g_00531
OG0000082	Syal.g_02769	Praa.g_00585
OG0000084	Syal.g_00023	Praa.g_01472
OG0000085	Syal.g_00575	Praa.g_01628
OG0000086	Syal.g_00784	Praa.g_00088
OG0000087	Syal.g_00871	Praa.g_00139
OG0000088	Syal.g_00908	Praa.g_00166
OG0000089	Syal.g_00555	Praa.g_00355
OG0000090	Syal.g_02838	Praa.g_00533
OG0000091	Syal.g_02628	Praa.g_00642
OG0000092	Syal.g_00470	Praa.g_00912
OG0000094	Syal.g_01907	Praa.g_01020
OG0000097	Syal.g_01735, Syal.g_01553	Praa.g_01200
OG0000098	Syal.g_02196	Praa.g_01348
OG0000099	Syal.g_01323	Praa.g_01394
OG0000100	Syal.g_02448	Praa.g_01551
OG0000101	Syal.g_00275	Praa.g_01775
OG0000102	Syal.g_01488	Praa.g_01837
OG0000103	Syal.g_01897, Syal.g_00077	Praa.g_01916
OG0000104	Syal.g_00092	Praa.g_01924
OG0000105	Syal.g_01255	Praa.g_00274
OG0000106	Syal.g_02577	Praa.g_00369
OG0000107	Syal.g_00194	Praa.g_00383
OG0000108	Syal.g_02897	Praa.g_00480
OG0000109	Syal.g_02913	Praa.g_00494
OG0000110	Syal.g_02782	Praa.g_00575
OG0000111	Syal.g_01813	Praa.g_00699
OG0000112	Syal.g_02000	Praa.g_00766
OG0000113	Syal.g_02443	Praa.g_00826
OG0000114	Syal.g_02286	Praa.g_00907
OG0000115	Syal.g_00404	Praa.g_01101
OG0000116	Syal.g_01630	Praa.g_01150
OG0000117	Syal.g_01704	Praa.g_01255
OG0000118	Syal.g_01583	Praa.g_01330
OG0000119	Syal.g_02056	Praa.g_01362
OG0000120	Syal.g_01324	Praa.g_01387
OG0000121	Syal.g_00374	Praa.g_01478
OG0000122	Syal.g_02602	Praa.g_01516
OG0000123	Syal.g_00283	Praa.g_01782
OG0000124	Syal.g_01519	Praa.g_01848
OG0000125	Syal.g_01075	Praa.g_01885
OG0000126	Syal.g_00090	Praa.g_01923
OG0000128	Syal.g_00109	Praa.g_00011
OG0000129	Syal.g_01062	Praa.g_00044
OG0000130	Syal.g_00751	Praa.g_00069
OG0000131	Syal.g_00886	Praa.g_00145
OG0000132	Syal.g_00906	Praa.g_00164
OG0000133	Syal.g_01995	Praa.g_00322
OG0000134	Syal.g_00552	Praa.g_00356
OG0000135	Syal.g_01119	Praa.g_00381
OG0000136	Syal.g_00520	Praa.g_00440
