Orthogroup	Syal	Prat
OG0000000	Syal.g_01111, Syal.g_01832	Prat.g_00680, Prat.g_01191, Prat.g_01190, Prat.g_01549, Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Syal.g_02193	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000004	Syal.g_01809	Prat.g_00772
OG0000004	Syal.g_02718, Syal.g_00691	Prat.g_00236
OG0000005	Syal.g_00565	Prat.g_01440
OG0000006	Syal.g_00674	Prat.g_00248
OG0000007	Syal.g_02918	Prat.g_00458
OG0000007	Syal.g_00587	Prat.g_01592
OG0000008	Syal.g_02512	Prat.g_00376
OG0000008	Syal.g_01783	Prat.g_00377
OG0000009	Syal.g_02089	Prat.g_01451
OG0000010	Syal.g_00464	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prat.g_00334
OG0000014	Syal.g_01305	Prat.g_00314
OG0000016	Syal.g_00111	Prat.g_00014
OG0000016	Syal.g_01734	Prat.g_01219
OG0000017	Syal.g_02745	Prat.g_00567
OG0000017	Syal.g_02752	Prat.g_00560
OG0000018	Syal.g_00410	Prat.g_01177, Prat.g_01009
OG0000019	Syal.g_01209	Prat.g_00255, Prat.g_01180
OG0000022	Syal.g_02587	Prat.g_01192, Prat.g_01448
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prat.g_00834
OG0000024	Syal.g_02597	Prat.g_00622, Prat.g_00749
OG0000025	Syal.g_02459	Prat.g_01003
OG0000026	Syal.g_00132	Prat.g_00033
OG0000027	Syal.g_02543	Prat.g_01548, Prat.g_01474
OG0000028	Syal.g_01319	Prat.g_00327, Prat.g_00380
OG0000030	Syal.g_01511, Syal.g_01512	Prat.g_01799
OG0000032	Syal.g_00428	Prat.g_01394
OG0000033	Syal.g_00912	Prat.g_00170
OG0000034	Syal.g_00881, Syal.g_01586	Prat.g_01259
OG0000035	Syal.g_00370	Prat.g_01352, Prat.g_01353
OG0000037	Syal.g_00824	Prat.g_00106
OG0000038	Syal.g_01071, Syal.g_01073	Prat.g_01839
OG0000039	Syal.g_01097	Prat.g_00760
OG0000040	Syal.g_01187	Prat.g_01578
OG0000041	Syal.g_00649	Prat.g_01640
OG0000042	Syal.g_01705, Syal.g_01508	Prat.g_01796
OG0000043	Syal.g_02183	Prat.g_01176
OG0000044	Syal.g_01853	Prat.g_00619
OG0000046	Syal.g_00309, Syal.g_00316, Syal.g_00321	Prat.g_00335
OG0000047	Syal.g_01568	Prat.g_00374
OG0000048	Syal.g_01250	Prat.g_00278
OG0000053	Syal.g_00406	Prat.g_01375
OG0000054	Syal.g_02739	Prat.g_00569
OG0000055	Syal.g_01845	Prat.g_00852
OG0000056	Syal.g_02054	Prat.g_01571
OG0000057	Syal.g_01812	Prat.g_00775
OG0000058	Syal.g_01326	Prat.g_01311
OG0000059	Syal.g_00225	Prat.g_01679
OG0000061	Syal.g_01653	Prat.g_01156
OG0000062	Syal.g_00567, Syal.g_02113	Prat.g_01442
OG0000063	Syal.g_00136	Prat.g_01516
OG0000064	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545	Prat.g_00064
OG0000065	Syal.g_00820, Syal.g_02528	Prat.g_00104
OG0000066	Syal.g_02828	Prat.g_01499
OG0000067	Syal.g_02414	Prat.g_01037
OG0000068	Syal.g_02888	Prat.g_01291
OG0000070	Syal.g_00509	Prat.g_00412
OG0000071	Syal.g_01601	Prat.g_01249
OG0000072	Syal.g_00914	Prat.g_00172
OG0000073	Syal.g_02920	Prat.g_00462
OG0000075	Syal.g_01350	Prat.g_01761
OG0000076	Syal.g_01459	Prat.g_01788
OG0000077	Syal.g_00763, Syal.g_00506	Prat.g_00075
OG0000078	Syal.g_00680	Prat.g_00245
OG0000079	Syal.g_01213	Prat.g_00258
OG0000080	Syal.g_01394	Prat.g_01323
OG0000081	Syal.g_02555	Prat.g_00493
OG0000082	Syal.g_02769	Prat.g_01507
OG0000084	Syal.g_00023	Prat.g_01348
OG0000085	Syal.g_00575	Prat.g_01584
OG0000086	Syal.g_00784	Prat.g_00086
OG0000087	Syal.g_00871	Prat.g_00138
OG0000088	Syal.g_00908	Prat.g_00166
OG0000089	Syal.g_00555	Prat.g_00370
OG0000090	Syal.g_02838	Prat.g_00495
OG0000091	Syal.g_02628	Prat.g_01082
OG0000092	Syal.g_00470	Prat.g_00721, Prat.g_01275
OG0000093	Syal.g_02233	Prat.g_01053
OG0000097	Syal.g_01735, Syal.g_01553	Prat.g_01111
OG0000098	Syal.g_02196	Prat.g_01282
OG0000099	Syal.g_01323	Prat.g_01312
OG0000100	Syal.g_02448	Prat.g_01437
OG0000101	Syal.g_00275	Prat.g_01726
OG0000102	Syal.g_01488	Prat.g_01793
OG0000103	Syal.g_01897, Syal.g_00077	Prat.g_01880
OG0000104	Syal.g_00092	Prat.g_01889
OG0000105	Syal.g_01255	Prat.g_00281
OG0000106	Syal.g_02577	Prat.g_00637
OG0000107	Syal.g_00194	Prat.g_01656
OG0000108	Syal.g_02897	Prat.g_00440
OG0000109	Syal.g_02913	Prat.g_00455
OG0000110	Syal.g_02782	Prat.g_00539
OG0000111	Syal.g_01813	Prat.g_00776
OG0000112	Syal.g_02000	Prat.g_00888
OG0000113	Syal.g_02443	Prat.g_01014
OG0000114	Syal.g_02286	Prat.g_00716
OG0000115	Syal.g_00404	Prat.g_01373
OG0000116	Syal.g_01630	Prat.g_01166
OG0000117	Syal.g_01704	Prat.g_01129
OG0000118	Syal.g_01583	Prat.g_01261
OG0000119	Syal.g_02056	Prat.g_00647, Prat.g_01452
OG0000120	Syal.g_01324	Prat.g_00344
OG0000121	Syal.g_00374	Prat.g_01355
OG0000122	Syal.g_02602	Prat.g_00781, Prat.g_01398
OG0000123	Syal.g_00283	Prat.g_01733
OG0000124	Syal.g_01519	Prat.g_01805
OG0000125	Syal.g_01075	Prat.g_01841
OG0000126	Syal.g_00090	Prat.g_01888
OG0000128	Syal.g_00109	Prat.g_00012, Prat.g_00011
OG0000129	Syal.g_01062	Prat.g_00047
OG0000130	Syal.g_00751	Prat.g_00066
OG0000131	Syal.g_00886	Prat.g_00144
OG0000132	Syal.g_00906	Prat.g_00164
OG0000133	Syal.g_01995	Prat.g_00329
OG0000134	Syal.g_00552	Prat.g_00372
OG0000135	Syal.g_01119	Prat.g_01477
OG0000136	Syal.g_00520	Prat.g_00401
OG0000137	Syal.g_00463	Prat.g_00434
OG0000138	Syal.g_02914	Prat.g_00456
OG0000139	Syal.g_02832	Prat.g_00499
OG0000140	Syal.g_02830	Prat.g_00500
OG0000141	Syal.g_02738	Prat.g_00570
OG0000142	Syal.g_02636	Prat.g_01090
OG0000143	Syal.g_02632	Prat.g_01086
OG0000144	Syal.g_02515	Prat.g_01072
OG0000145	Syal.g_02921	Prat.g_01472
OG0000146	Syal.g_02001	Prat.g_00887
OG0000147	Syal.g_02002	Prat.g_00886
OG0000148	Syal.g_02437	Prat.g_01020
OG0000149	Syal.g_02475	Prat.g_00991
OG0000150	Syal.g_02737	Prat.g_00981
OG0000151	Syal.g_02263	Prat.g_00726
OG0000152	Syal.g_01991	Prat.g_00896, Prat.g_01277
OG0000153	Syal.g_01958	Prat.g_00915
OG0000154	Syal.g_01918	Prat.g_00934
OG0000155	Syal.g_01695	Prat.g_01135
OG0000156	Syal.g_01620	Prat.g_01238
OG0000157	Syal.g_01619	Prat.g_01239
OG0000158	Syal.g_01431	Prat.g_01769
OG0000160	Syal.g_00372	Prat.g_01354
OG0000161	Syal.g_00384	Prat.g_01360
OG0000162	Syal.g_00396	Prat.g_01366
OG0000163	Syal.g_02971	Prat.g_01409
OG0000164	Syal.g_00623	Prat.g_01615
OG0000165	Syal.g_00632	Prat.g_01623
OG0000166	Syal.g_00236	Prat.g_01690
OG0000167	Syal.g_01347	Prat.g_01759
OG0000168	Syal.g_01433	Prat.g_01770
OG0000169	Syal.g_01447	Prat.g_01781
OG0000170	Syal.g_01454	Prat.g_01784
OG0000171	Syal.g_01518	Prat.g_01804
OG0000172	Syal.g_00174, Syal.g_00173	Prat.g_01811
OG0000173	Syal.g_00155	Prat.g_01826
OG0000174	Syal.g_01121	Prat.g_01858
OG0000175	Syal.g_01172	Prat.g_01870
OG0000176	Syal.g_00101	Prat.g_00004
OG0000177	Syal.g_00102	Prat.g_00005
OG0000178	Syal.g_00103	Prat.g_00006
OG0000179	Syal.g_00118	Prat.g_00017
OG0000180	Syal.g_00119	Prat.g_00018
OG0000181	Syal.g_00120	Prat.g_00019
OG0000182	Syal.g_00121	Prat.g_00020
OG0000183	Syal.g_00125	Prat.g_01314, Prat.g_00024
OG0000184	Syal.g_01050	Prat.g_00051
OG0000185	Syal.g_01025	Prat.g_00054
OG0000186	Syal.g_02684, Syal.g_00747	Prat.g_00060
OG0000187	Syal.g_02685, Syal.g_00748	Prat.g_00061
OG0000188	Syal.g_00771	Prat.g_00080
OG0000189	Syal.g_00807	Prat.g_00093
OG0000190	Syal.g_01364	Prat.g_00094
OG0000191	Syal.g_00841	Prat.g_00116
OG0000192	Syal.g_00847	Prat.g_00121
OG0000193	Syal.g_00887	Prat.g_00145
OG0000194	Syal.g_00890	Prat.g_00148
OG0000195	Syal.g_00892	Prat.g_00150
OG0000196	Syal.g_00903	Prat.g_00161
OG0000197	Syal.g_00904	Prat.g_00162
OG0000198	Syal.g_00905	Prat.g_00163
OG0000199	Syal.g_00913	Prat.g_00171
OG0000200	Syal.g_00932	Prat.g_00185
OG0000201	Syal.g_00949	Prat.g_00194
OG0000202	Syal.g_00950	Prat.g_00195
OG0000203	Syal.g_00951	Prat.g_00196
OG0000204	Syal.g_00952	Prat.g_00197
OG0000205	Syal.g_00959	Prat.g_00204
OG0000206	Syal.g_00971	Prat.g_00209
OG0000207	Syal.g_00974	Prat.g_00211
