Orthogroup	Syal	Prbi
OG0000000	Syal.g_01111, Syal.g_01832	Prbi.g_01373, Prbi.g_01709, Prbi.g_01268, Prbi.g_01708, Prbi.g_01370, Prbi.g_01371, Prbi.g_01710
OG0000001	Syal.g_02193	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000004	Syal.g_01809	Prbi.g_00698
OG0000004	Syal.g_02718, Syal.g_00691	Prbi.g_00256
OG0000005	Syal.g_00606	Prbi.g_01800
OG0000005	Syal.g_00565	Prbi.g_01666
OG0000006	Syal.g_00674	Prbi.g_00265
OG0000007	Syal.g_02918	Prbi.g_00500
OG0000007	Syal.g_00587	Prbi.g_01787
OG0000008	Syal.g_02512	Prbi.g_01764
OG0000008	Syal.g_01783	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syal.g_02089	Prbi.g_01338, Prbi.g_01701
OG0000009	Syal.g_00818	Prbi.g_00112
OG0000010	Syal.g_00464	Prbi.g_01094, Prbi.g_00477
OG0000011	Syal.g_00702	Prbi.g_00426
OG0000012	Syal.g_02535, Syal.g_01639	Prbi.g_00625
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prbi.g_00351
OG0000014	Syal.g_01305	Prbi.g_00330
OG0000014	Syal.g_01393	Prbi.g_01502
OG0000016	Syal.g_00111	Prbi.g_00013
OG0000017	Syal.g_02752	Prbi.g_00600
OG0000018	Syal.g_00410	Prbi.g_01188, Prbi.g_00874
OG0000019	Syal.g_01209	Prbi.g_00273, Prbi.g_00827
OG0000022	Syal.g_02587	Prbi.g_00805, Prbi.g_01170
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbi.g_00384
OG0000024	Syal.g_02597	Prbi.g_00788, Prbi.g_00678
OG0000025	Syal.g_02459	Prbi.g_00882, Prbi.g_00355
OG0000026	Syal.g_00132	Prbi.g_00031, Prbi.g_01101
OG0000027	Syal.g_02543	Prbi.g_00472, Prbi.g_01374
OG0000028	Syal.g_01319	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000029	Syal.g_03014	Prbi.g_00399, Prbi.g_00796
OG0000030	Syal.g_01511, Syal.g_01512	Prbi.g_02004
OG0000032	Syal.g_00183	Prbi.g_01497
OG0000033	Syal.g_00912	Prbi.g_00193
OG0000034	Syal.g_00881, Syal.g_01586	Prbi.g_01401
OG0000035	Syal.g_00370	Prbi.g_01589, Prbi.g_01591
OG0000037	Syal.g_00824	Prbi.g_00116
OG0000038	Syal.g_01071, Syal.g_01073	Prbi.g_02057
OG0000039	Syal.g_01097	Prbi.g_00689
