Orthogroup	Syal	Prbf
OG0000000	Syal.g_01111, Syal.g_01832	Prbf.g_00880, Prbf.g_00776, Prbf.g_00775, Prbf.g_00881, Prbf.g_00760
OG0000001	Syal.g_02193	Prbf.g_00068, Prbf.g_00831
OG0000004	Syal.g_01809	Prbf.g_01264
OG0000004	Syal.g_02718, Syal.g_00691	Prbf.g_01570
OG0000005	Syal.g_00565	Prbf.g_00240
OG0000006	Syal.g_00674	Prbf.g_01580
OG0000007	Syal.g_02918	Prbf.g_01780
OG0000007	Syal.g_00587	Prbf.g_00693
OG0000008	Syal.g_02512	Prbf.g_00793
OG0000008	Syal.g_01783	Prbf.g_00792
OG0000009	Syal.g_02089	Prbf.g_00252
OG0000010	Syal.g_00464	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000011	Syal.g_00702	Prbf.g_00347
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prbf.g_01665
OG0000014	Syal.g_01305	Prbf.g_01647
OG0000016	Syal.g_01734	Prbf.g_00860
OG0000017	Syal.g_02745	Prbf.g_01887
OG0000017	Syal.g_02752	Prbf.g_01880
OG0000018	Syal.g_00410	Prbf.g_00896, Prbf.g_01217
OG0000019	Syal.g_01209	Prbf.g_01588, Prbf.g_00894
OG0000022	Syal.g_02587	Prbf.g_00248
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbf.g_00287
OG0000024	Syal.g_02597	Prbf.g_01052, Prbf.g_01288
OG0000025	Syal.g_02459	Prbf.g_01209
OG0000026	Syal.g_00132	Prbf.g_01354
OG0000027	Syal.g_02543	Prbf.g_00774, Prbf.g_00817
OG0000028	Syal.g_01319	Prbf.g_00794
OG0000029	Syal.g_03014	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762
OG0000030	Syal.g_01511, Syal.g_01512	Prbf.g_00484
OG0000032	Syal.g_00428	Prbf.g_00196
OG0000033	Syal.g_00912	Prbf.g_01503
OG0000034	Syal.g_00881, Syal.g_01586	Prbf.g_00015
OG0000035	Syal.g_00370	Prbf.g_00157
OG0000037	Syal.g_00824	Prbf.g_01437
OG0000038	Syal.g_01071, Syal.g_01073	Prbf.g_00445
OG0000039	Syal.g_01097	Prbf.g_01276
OG0000041	Syal.g_00649	Prbf.g_00646
OG0000042	Syal.g_01705, Syal.g_01508	Prbf.g_00487
OG0000043	Syal.g_02183	Prbf.g_00897
OG0000046	Syal.g_00309, Syal.g_00316, Syal.g_00321	Prbf.g_01666
OG0000047	Syal.g_01568	Prbf.g_01707
OG0000048	Syal.g_01250	Prbf.g_00039, Prbf.g_01611
OG0000052	Syal.g_01338	Prbf.g_00135
OG0000053	Syal.g_00406	Prbf.g_00748, Prbf.g_00178
OG0000054	Syal.g_02739	Prbf.g_01889
OG0000055	Syal.g_01845	Prbf.g_00869
OG0000057	Syal.g_01812	Prbf.g_01261
OG0000058	Syal.g_01326	Prbf.g_00117
OG0000059	Syal.g_00225	Prbf.g_00606
OG0000061	Syal.g_01653	Prbf.g_00918
OG0000062	Syal.g_00567, Syal.g_02113	Prbf.g_00242
OG0000063	Syal.g_00136	Prbf.g_00808
OG0000064	Syal.g_01115, Syal.g_02544, Syal.g_01681, Syal.g_01545	Prbf.g_01394
