Orthogroup	Syal	Prau
OG0000000	Syal.g_01111, Syal.g_01832	Prau.g_01352, Prau.g_01300, Prau.g_01665, Prau.g_01648, Prau.g_01266, Prau.g_01647, Prau.g_01350, Prau.g_01650
OG0000001	Syal.g_02193	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000004	Syal.g_01809	Prau.g_00735
OG0000004	Syal.g_02718, Syal.g_00691	Prau.g_00233
OG0000005	Syal.g_00606	Prau.g_01745
OG0000005	Syal.g_00565	Prau.g_01607
OG0000006	Syal.g_00674	Prau.g_01316
OG0000007	Syal.g_02918	Prau.g_00538
OG0000007	Syal.g_00587	Prau.g_01732
OG0000008	Syal.g_02512	Prau.g_00781
OG0000009	Syal.g_02089	Prau.g_01324, Prau.g_01641
OG0000009	Syal.g_00818	Prau.g_00106
OG0000010	Syal.g_00464	Prau.g_01698, Prau.g_01096, Prau.g_00515
OG0000012	Syal.g_02535, Syal.g_01639	Prau.g_00663
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prau.g_00329
OG0000014	Syal.g_01305	Prau.g_00308
OG0000016	Syal.g_00111	Prau.g_00013
OG0000017	Syal.g_02752	Prau.g_00636
OG0000018	Syal.g_00410	Prau.g_01188, Prau.g_00881
OG0000019	Syal.g_01209	Prau.g_00251, Prau.g_00834
OG0000022	Syal.g_02587	Prau.g_00814, Prau.g_01170
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prau.g_00362
OG0000024	Syal.g_02597	Prau.g_00796, Prau.g_00715
OG0000025	Syal.g_02459	Prau.g_00888, Prau.g_00333
OG0000026	Syal.g_00132	Prau.g_00030, Prau.g_01103
OG0000027	Syal.g_02543	Prau.g_01353
OG0000028	Syal.g_01319	Prau.g_00322, Prau.g_01338
OG0000029	Syal.g_03014	Prau.g_00378, Prau.g_00804
OG0000030	Syal.g_01511, Syal.g_01512	Prau.g_01935
OG0000032	Syal.g_00183	Prau.g_01475, Prau.g_01446
OG0000033	Syal.g_00912	Prau.g_00170
OG0000034	Syal.g_00881, Syal.g_01586	Prau.g_01381
OG0000035	Syal.g_00370	Prau.g_01531, Prau.g_01528
OG0000037	Syal.g_00824	Prau.g_00110
OG0000038	Syal.g_01071, Syal.g_01073	Prau.g_01976
OG0000039	Syal.g_01097	Prau.g_00726
OG0000040	Syal.g_01187	Prau.g_01662
OG0000041	Syal.g_00649	Prau.g_01778
OG0000042	Syal.g_01705, Syal.g_01508	Prau.g_01932
OG0000043	Syal.g_02183	Prau.g_00926
OG0000043	Syal.g_02547	Prau.g_01321
OG0000045	Syal.g_01563	Prau.g_01682
OG0000047	Syal.g_01568	Prau.g_00414, Prau.g_00332
OG0000048	Syal.g_01250	Prau.g_00377
OG0000051	Syal.g_01550	Prau.g_01347
OG0000052	Syal.g_01338	Prau.g_01489, Prau.g_01448
OG0000053	Syal.g_00406	Prau.g_00040, Prau.g_01551
OG0000054	Syal.g_02739	Prau.g_00644
OG0000055	Syal.g_01845	Prau.g_00835
OG0000057	Syal.g_01812	Prau.g_00738
OG0000058	Syal.g_01326	Prau.g_01432, Prau.g_01460
OG0000059	Syal.g_00225	Prau.g_01818
OG0000061	Syal.g_01653	Prau.g_01206
OG0000062	Syal.g_02113	Prau.g_01609
OG0000063	Syal.g_00136	Prau.g_00032, Prau.g_01295
OG0000065	Syal.g_00820, Syal.g_02528	Prau.g_00108
OG0000066	Syal.g_02828	Prau.g_00579
OG0000067	Syal.g_02414	Prau.g_00854
OG0000068	Syal.g_02888	Prau.g_01409
OG0000070	Syal.g_00509	Prau.g_00491
OG0000071	Syal.g_01601	Prau.g_01371
OG0000072	Syal.g_00914	Prau.g_00172
OG0000073	Syal.g_02920	Prau.g_00540
OG0000075	Syal.g_01350	Prau.g_01901
OG0000076	Syal.g_01459	Prau.g_00037, Prau.g_01925
OG0000077	Syal.g_00763	Prau.g_00079
OG0000078	Syal.g_00680	Prau.g_00240
OG0000079	Syal.g_01213	Prau.g_00254
OG0000080	Syal.g_01394	Prau.g_01440
OG0000081	Syal.g_02555	Prau.g_00571
OG0000082	Syal.g_02769	Prau.g_00624
OG0000084	Syal.g_00023	Prau.g_01524
OG0000085	Syal.g_00575	Prau.g_01725
OG0000086	Syal.g_00784	Prau.g_00089
OG0000087	Syal.g_00871	Prau.g_00140
OG0000088	Syal.g_00908	Prau.g_00167
OG0000089	Syal.g_00555	Prau.g_00358
OG0000090	Syal.g_02838	Prau.g_00573
OG0000091	Syal.g_02628	Prau.g_00682
OG0000092	Syal.g_00470	Prau.g_00451, Prau.g_00961, Prau.g_00052
OG0000094	Syal.g_01907	Prau.g_01070
OG0000097	Syal.g_01735, Syal.g_01553	Prau.g_01247
OG0000098	Syal.g_02196	Prau.g_01391
OG0000099	Syal.g_01323	Prau.g_01434, Prau.g_01435
OG0000100	Syal.g_02448	Prau.g_01605
OG0000101	Syal.g_00275	Prau.g_01869
OG0000102	Syal.g_01488	Prau.g_01930
