Orthogroup	Prbh	Prab
OG0000000	Prbh.g_01853	Prab.g_00915, Prab.g_01617
OG0000000	Prbh.g_01903	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000002	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Prab.g_00683
OG0000004	Prbh.g_00933	Prab.g_00700
OG0000004	Prbh.g_00548	Prab.g_00223
OG0000005	Prbh.g_00182	Prab.g_01542
OG0000006	Prbh.g_00538	Prab.g_00231
OG0000007	Prbh.g_00334	Prab.g_00501
OG0000007	Prbh.g_01782	Prab.g_01669
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Prab.g_01584
OG0000010	Prbh.g_00357	Prab.g_00478
OG0000010	Prbh.g_00848, Prbh.g_01143	Prab.g_01104
OG0000011	Prbh.g_01835	Prab.g_00799
OG0000012	Prbh.g_01460	Prab.g_00627
OG0000013	Prbh.g_00452	Prab.g_00315
OG0000014	Prbh.g_00472	Prab.g_00294
OG0000015	Prbh.g_00840, Prbh.g_01869	Prab.g_00789
OG0000016	Prbh.g_01336	Prab.g_01579
OG0000017	Prbh.g_00232, Prbh.g_00225	Prab.g_00602
OG0000018	Prbh.g_00981	Prab.g_00867
OG0000018	Prbh.g_01305	Prab.g_01201
OG0000019	Prbh.g_00530	Prab.g_00239
OG0000019	Prbh.g_01307	Prab.g_00820
OG0000020	Prbh.g_01898	Prab.g_00379
OG0000021	Prbh.g_00203, Prbh.g_00938	Prab.g_00354
OG0000022	Prbh.g_00190	Prab.g_00782
OG0000023	Prbh.g_00833	Prab.g_00348
OG0000024	Prbh.g_01147	Prab.g_00763
OG0000024	Prbh.g_00909	Prab.g_00680
OG0000025	Prbh.g_00988	Prab.g_00319, Prab.g_00874
OG0000026	Prbh.g_00749	Prab.g_01111
OG0000028	Prbh.g_00459	Prab.g_00308
OG0000029	Prbh.g_01885	Prab.g_00773
OG0000030	Prbh.g_01570	Prab.g_01867
