Orthogroup	Prbh	Syat
OG0000001	Prbh.g_00001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prbh.g_00182	Syat.g_03105
OG0000006	Prbh.g_00538	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prbh.g_00334	Syat.g_03191
OG0000007	Prbh.g_01782	Syat.g_03124
OG0000008	Prbh.g_01406	Syat.g_02626
OG0000008	Prbh.g_01405	Syat.g_02627
OG0000010	Prbh.g_00848, Prbh.g_01143	Syat.g_01372
OG0000013	Prbh.g_00452	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbh.g_00472	Syat.g_02104
OG0000015	Prbh.g_00840, Prbh.g_01869	Syat.g_00775, Syat.g_01677
OG0000016	Prbh.g_01336	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000018	Prbh.g_01305	Syat.g_01334
OG0000019	Prbh.g_00530, Prbh.g_01307	Syat.g_01876
OG0000021	Prbh.g_00203, Prbh.g_00938	Syat.g_00964
OG0000024	Prbh.g_01147, Prbh.g_00909	Syat.g_03394
OG0000025	Prbh.g_00988	Syat.g_00719
OG0000026	Prbh.g_00749	Syat.g_02306
OG0000028	Prbh.g_00404, Prbh.g_00459	Syat.g_02126
OG0000030	Prbh.g_01570	Syat.g_00307, Syat.g_00308
OG0000031	Prbh.g_00064	Syat.g_02131
OG0000032	Prbh.g_00138	Syat.g_01354
OG0000034	Prbh.g_01383	Syat.g_01165, Syat.g_02902
OG0000035	Prbh.g_00096, Prbh.g_00099	Syat.g_01227, Syat.g_01226
OG0000037	Prbh.g_00674	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prbh.g_01530	Syat.g_02688, Syat.g_02686
OG0000039	Prbh.g_00921	Syat.g_01278
OG0000041	Prbh.g_01734	Syat.g_00785, Syat.g_03006
OG0000042	Prbh.g_01573	Syat.g_00223, Syat.g_02222
OG0000044	Prbh.g_01794	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbh.g_01327	Syat.g_00935
OG0000046	Prbh.g_00451	Syat.g_01626, Syat.g_01026
