Orthogroup	Prbh	Syae
OG0000001	Prbh.g_00001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prbh.g_00933	Syae.g_00779
OG0000004	Prbh.g_00548	Syae.g_00042, Syae.g_02231
OG0000005	Prbh.g_00182	Syae.g_01143
OG0000006	Prbh.g_00538	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prbh.g_00334	Syae.g_02328
OG0000007	Prbh.g_01782	Syae.g_01163
OG0000008	Prbh.g_01406	Syae.g_00753
OG0000008	Prbh.g_01405	Syae.g_00752
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Syae.g_00561, Syae.g_00171
OG0000010	Prbh.g_00848, Prbh.g_01143	Syae.g_02529
OG0000011	Prbh.g_01835	Syae.g_00750
OG0000012	Prbh.g_01460	Syae.g_00049
OG0000013	Prbh.g_00452	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prbh.g_00472	Syae.g_01930
OG0000015	Prbh.g_00840, Prbh.g_01869	Syae.g_01693, Syae.g_00590
OG0000016	Prbh.g_01336	Syae.g_00681, Syae.g_00233
OG0000017	Prbh.g_00232	Syae.g_02462
OG0000017	Prbh.g_00225	Syae.g_02469
OG0000018	Prbh.g_01305	Syae.g_02625
OG0000019	Prbh.g_00530, Prbh.g_01307	Syae.g_02015
OG0000021	Prbh.g_00203, Prbh.g_00938	Syae.g_00481
OG0000023	Prbh.g_00833	Syae.g_00439, Syae.g_00930
OG0000025	Prbh.g_00988	Syae.g_00833
OG0000026	Prbh.g_00749	Syae.g_01748
OG0000028	Prbh.g_00404, Prbh.g_00459	Syae.g_01916
OG0000029	Prbh.g_01885, Prbh.g_01691	Syae.g_00136
OG0000030	Prbh.g_01570	Syae.g_01817, Syae.g_01816
OG0000031	Prbh.g_00064	Syae.g_01911
OG0000032	Prbh.g_00138	Syae.g_02607
OG0000034	Prbh.g_01383	Syae.g_00975, Syae.g_01424
OG0000035	Prbh.g_00096, Prbh.g_00099	Syae.g_02653
OG0000037	Prbh.g_00674	Syae.g_01367
OG0000038	Prbh.g_01530	Syae.g_01571
OG0000039	Prbh.g_00921	Syae.g_00822, Syae.g_02495
OG0000041	Prbh.g_01734	Syae.g_01042, Syae.g_00802
OG0000042	Prbh.g_01573	Syae.g_01821
OG0000043	Prbh.g_01304	Syae.g_00117
OG0000044	Prbh.g_01794	Syae.g_00098, Syae.g_01067
OG0000046	Prbh.g_00451	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Prbh.g_00408	Syae.g_02184
OG0000048	Prbh.g_00508	Syae.g_01982
OG0000050	Prbh.g_01445, Prbh.g_00850	Syae.g_00122
OG0000052	Prbh.g_00727	Syae.g_01886
OG0000053	Prbh.g_00120, Prbh.g_01834	Syae.g_02629
OG0000054	Prbh.g_00223	Syae.g_00014, Syae.g_00221
OG0000057	Prbh.g_00936	Syae.g_00782
OG0000059	Prbh.g_01695	Syae.g_02074
OG0000061	Prbh.g_01283	Syae.g_00921
OG0000062	Prbh.g_00184	Syae.g_01145
OG0000063	Prbh.g_01401	Syae.g_01752
OG0000064	Prbh.g_00715	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194
OG0000065	Prbh.g_00676	Syae.g_01363, Syae.g_00722
OG0000066	Prbh.g_01856	Syae.g_02386
OG0000067	Prbh.g_00953	Syae.g_00521
OG0000068	Prbh.g_00009	Syae.g_02299
OG0000069	Prbh.g_00376	Syae.g_00458
OG0000070	Prbh.g_00382	Syae.g_00979
OG0000071	Prbh.g_01373	Syae.g_00961
OG0000072	Prbh.g_00611	Syae.g_01455
OG0000073	Prbh.g_00330	Syae.g_02330
OG0000074	Prbh.g_00828	Syae.g_00719
OG0000075	Prbh.g_01607	Syae.g_01871
OG0000076	Prbh.g_01581	Syae.g_01829
OG0000077	Prbh.g_00704	Syae.g_01297
OG0000078	Prbh.g_00540	Syae.g_02243
OG0000079	Prbh.g_00527	Syae.g_02011
OG0000081	Prbh.g_00298	Syae.g_02261
OG0000082	Prbh.g_01855	Syae.g_02447
OG0000084	Prbh.g_00093	Syae.g_00857, Syae.g_02656
OG0000085	Prbh.g_01408	Syae.g_01152
OG0000086	Prbh.g_00695	Syae.g_01333
OG0000087	Prbh.g_00642	Syae.g_01414
OG0000088	Prbh.g_00616	Syae.g_01449
OG0000089	Prbh.g_00415	Syae.g_02219
OG0000090	Prbh.g_00296	Syae.g_02374
OG0000091	Prbh.g_01211	Syae.g_00082
OG0000093	Prbh.g_01181	Syae.g_00537
OG0000094	Prbh.g_01130	Syae.g_00430
OG0000095	Prbh.g_01031	Syae.g_00793, Syae.g_00259
OG0000097	Prbh.g_01236	Syae.g_00683
OG0000098	Prbh.g_01935	Syae.g_02384, Syae.g_02058
OG0000099	Prbh.g_00032	Syae.g_01913, Syae.g_01226
OG0000100	Prbh.g_00179	Syae.g_00489
OG0000101	Prbh.g_01644	Syae.g_02125
OG0000102	Prbh.g_01576	Syae.g_01824
OG0000103	Prbh.g_01489	Syae.g_01694
OG0000104	Prbh.g_01480	Syae.g_01708
OG0000105	Prbh.g_00505	Syae.g_01977
OG0000106	Prbh.g_00821	Syae.g_00272
OG0000107	Prbh.g_01718	Syae.g_02032
OG0000108	Prbh.g_00351	Syae.g_02309
OG0000109	Prbh.g_00337	Syae.g_02324
OG0000110	Prbh.g_00254	Syae.g_02435
OG0000111	Prbh.g_00937	Syae.g_00783
OG0000112	Prbh.g_01078	Syae.g_00351
OG0000113	Prbh.g_00976	Syae.g_00494
OG0000114	Prbh.g_00878	Syae.g_00575
OG0000115	Prbh.g_01344	Syae.g_02631
OG0000116	Prbh.g_01294	Syae.g_00939
OG0000117	Prbh.g_01255	Syae.g_00647
OG0000118	Prbh.g_01385	Syae.g_02479
OG0000119	Prbh.g_01333, Prbh.g_00194	Syae.g_00904
OG0000120	Prbh.g_00031	Syae.g_01912
OG0000121	Prbh.g_00101	Syae.g_02649
OG0000122	Prbh.g_01347, Prbh.g_00143	Syae.g_00112
OG0000123	Prbh.g_01637	Syae.g_02131
OG0000124	Prbh.g_01564	Syae.g_01809
OG0000125	Prbh.g_01528	Syae.g_01573
