Orthogroup	Prbh	Syai
OG0000001	Prbh.g_00001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912	Syai.g_01728
OG0000004	Prbh.g_00933	Syai.g_01994
OG0000004	Prbh.g_00548	Syai.g_01062, Syai.g_00530
OG0000005	Prbh.g_00182	Syai.g_02356
OG0000006	Prbh.g_00538	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbh.g_00334	Syai.g_00657
OG0000007	Prbh.g_01782	Syai.g_02378
OG0000008	Prbh.g_01406	Syai.g_01956
OG0000008	Prbh.g_01405	Syai.g_01955
OG0000009	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841	Syai.g_01626
OG0000010	Prbh.g_00848, Prbh.g_01143	Syai.g_00864
OG0000011	Prbh.g_01835	Syai.g_01952
OG0000012	Prbh.g_01460	Syai.g_01068
OG0000013	Prbh.g_00452	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbh.g_00472	Syai.g_00220
OG0000015	Prbh.g_00840, Prbh.g_01869	Syai.g_01246, Syai.g_01245
OG0000016	Prbh.g_01336	Syai.g_01785, Syai.g_01632
OG0000017	Prbh.g_00232	Syai.g_00801
OG0000017	Prbh.g_00225	Syai.g_00808
OG0000018	Prbh.g_01305	Syai.g_00915
OG0000019	Prbh.g_00530, Prbh.g_01307	Syai.g_00304
OG0000020	Prbh.g_00202, Prbh.g_01819, Prbh.g_01898	Syai.g_00476
OG0000021	Prbh.g_00203, Prbh.g_00938	Syai.g_00556
OG0000023	Prbh.g_00833	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbh.g_01147, Prbh.g_00909	Syai.g_01951
OG0000025	Prbh.g_00988	Syai.g_02044
OG0000026	Prbh.g_00749	Syai.g_00038
OG0000028	Prbh.g_00404, Prbh.g_00459	Syai.g_00205
OG0000029	Prbh.g_01885, Prbh.g_01691	Syai.g_01035, Syai.g_01584
OG0000030	Prbh.g_01570	Syai.g_00096, Syai.g_00095
OG0000031	Prbh.g_00064	Syai.g_00197
OG0000032	Prbh.g_00138	Syai.g_00895
OG0000034	Prbh.g_01383	Syai.g_02192, Syai.g_02604
OG0000035	Prbh.g_00096, Prbh.g_00099	Syai.g_00955
OG0000037	Prbh.g_00674	Syai.g_02544, Syai.g_02815
OG0000038	Prbh.g_01530	Syai.g_02780
OG0000039	Prbh.g_00921	Syai.g_02034
OG0000041	Prbh.g_01734	Syai.g_02265, Syai.g_02016
OG0000042	Prbh.g_01573	Syai.g_00099
OG0000043	Prbh.g_01304	Syai.g_01599
OG0000044	Prbh.g_01794	Syai.g_00833
OG0000046	Prbh.g_00451	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbh.g_00408	Syai.g_00462
OG0000048	Prbh.g_00508	Syai.g_00272
OG0000050	Prbh.g_01445	Syai.g_01893
OG0000052	Prbh.g_00727	Syai.g_00176
OG0000053	Prbh.g_00120, Prbh.g_01834	Syai.g_00930
OG0000054	Prbh.g_00223	Syai.g_01040
OG0000057	Prbh.g_00936	Syai.g_01997
OG0000059	Prbh.g_01695	Syai.g_00351
OG0000061	Prbh.g_01283	Syai.g_02144
OG0000062	Prbh.g_00184	Syai.g_02358
OG0000063	Prbh.g_01401	Syai.g_00042
OG0000064	Prbh.g_00715	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668
OG0000066	Prbh.g_01856	Syai.g_01709, Syai.g_00719
OG0000067	Prbh.g_00953	Syai.g_01321
OG0000068	Prbh.g_00009	Syai.g_00628
OG0000070	Prbh.g_00382	Syai.g_02196
OG0000071	Prbh.g_01373	Syai.g_02179
OG0000072	Prbh.g_00611	Syai.g_02636
OG0000073	Prbh.g_00330	Syai.g_00659
OG0000075	Prbh.g_01607	Syai.g_00161
OG0000076	Prbh.g_01581	Syai.g_00111
OG0000077	Prbh.g_00704	Syai.g_02486
OG0000078	Prbh.g_00540	Syai.g_00543
OG0000079	Prbh.g_00527	Syai.g_00300
OG0000081	Prbh.g_00298	Syai.g_00553, Syai.g_02292
OG0000082	Prbh.g_01855	Syai.g_00781
OG0000084	Prbh.g_00093	Syai.g_01196, Syai.g_00958
OG0000085	Prbh.g_01408	Syai.g_02365
OG0000086	Prbh.g_00695	Syai.g_02507
OG0000087	Prbh.g_00642	Syai.g_02592
OG0000088	Prbh.g_00616	Syai.g_02630
OG0000089	Prbh.g_00415	Syai.g_00517
OG0000090	Prbh.g_00296	Syai.g_00707
OG0000091	Prbh.g_01211	Syai.g_01112
OG0000092	Prbh.g_00883	Syai.g_01358
OG0000093	Prbh.g_01181	Syai.g_01306
OG0000094	Prbh.g_01130	Syai.g_01424
OG0000095	Prbh.g_01031	Syai.g_02007
OG0000097	Prbh.g_01236	Syai.g_01787
OG0000098	Prbh.g_01935	Syai.g_01718
OG0000099	Prbh.g_00032	Syai.g_00199
OG0000100	Prbh.g_00179	Syai.g_01372
OG0000101	Prbh.g_01644	Syai.g_00404
OG0000102	Prbh.g_01576	Syai.g_00106
OG0000103	Prbh.g_01489	Syai.g_02912
OG0000104	Prbh.g_01480	Syai.g_02929
OG0000105	Prbh.g_00505	Syai.g_00267
OG0000106	Prbh.g_00821	Syai.g_01601
OG0000107	Prbh.g_01718	Syai.g_00319
OG0000108	Prbh.g_00351	Syai.g_00638
OG0000109	Prbh.g_00337	Syai.g_00653
OG0000110	Prbh.g_00254	Syai.g_00878, Syai.g_00766
OG0000111	Prbh.g_00937	Syai.g_00884, Syai.g_01998
OG0000112	Prbh.g_01078	Syai.g_01512
OG0000113	Prbh.g_00976	Syai.g_01367
OG0000114	Prbh.g_00878	Syai.g_01261
OG0000115	Prbh.g_01344	Syai.g_00932
OG0000116	Prbh.g_01294	Syai.g_02156
OG0000117	Prbh.g_01255	Syai.g_01756
OG0000118	Prbh.g_01385	Syai.g_00818
OG0000119	Prbh.g_01333, Prbh.g_00194	Syai.g_02127
OG0000120	Prbh.g_00031	Syai.g_00198
OG0000121	Prbh.g_00101	Syai.g_00951
OG0000122	Prbh.g_01347, Prbh.g_00143	Syai.g_01143
OG0000123	Prbh.g_01637	Syai.g_00411
OG0000124	Prbh.g_01564	Syai.g_00089
OG0000125	Prbh.g_01528	Syai.g_02782
OG0000126	Prbh.g_01481	Syai.g_02927
