Orthogroup	Prbh	Prbg
OG0000000	Prbh.g_01901	Prbg.g_01524
OG0000000	Prbh.g_01903	Prbg.g_01567
OG0000000	Prbh.g_01902	Prbg.g_01523
OG0000000	Prbh.g_01902	Prbg.g_01568
OG0000000	Prbh.g_01858	Prbg.g_01583
OG0000001	Prbh.g_00001	Prbg.g_00502
OG0000001	Prbh.g_00863	Prbg.g_01069
OG0000002	Prbh.g_01016	Prbg.g_01222
OG0000002	Prbh.g_01022	Prbg.g_01227
OG0000002	Prbh.g_01313	Prbg.g_01516
OG0000002	Prbh.g_00006	Prbg.g_00523
OG0000002	Prbh.g_01311	Prbg.g_01514
OG0000002	Prbh.g_01317	Prbg.g_01521
OG0000002	Prbh.g_00199	Prbg.g_00694
OG0000002	Prbh.g_00912	Prbg.g_01119
OG0000004	Prbh.g_00933	Prbg.g_01140
OG0000004	Prbh.g_00548	Prbg.g_01014
OG0000005	Prbh.g_00182	Prbg.g_00674
OG0000006	Prbh.g_00538	Prbg.g_01024
OG0000007	Prbh.g_00334	Prbg.g_00216
OG0000007	Prbh.g_01782	Prbg.g_01650
OG0000008	Prbh.g_01406	Prbg.g_00744
OG0000008	Prbh.g_01405	Prbg.g_00745
OG0000009	Prbh.g_00377	Prbg.g_00686
OG0000010	Prbh.g_00357	Prbg.g_00193
OG0000010	Prbh.g_00848	Prbg.g_01053
OG0000010	Prbh.g_01143	Prbg.g_01348
OG0000012	Prbh.g_01460	Prbg.g_00342
OG0000013	Prbh.g_00452	Prbg.g_00104
OG0000014	Prbh.g_00472	Prbg.g_00086
OG0000015	Prbh.g_01869	Prbg.g_01589, Prbg.g_01635
OG0000016	Prbh.g_01336	Prbg.g_01544
OG0000017	Prbh.g_00232	Prbg.g_00317
OG0000017	Prbh.g_00225	Prbg.g_00324
OG0000018	Prbh.g_00981	Prbg.g_01187
OG0000018	Prbh.g_01305	Prbg.g_01508
OG0000019	Prbh.g_00530	Prbg.g_01032
OG0000019	Prbh.g_01307	Prbg.g_01510
OG0000020	Prbh.g_00202	Prbg.g_00698
OG0000020	Prbh.g_01898	Prbg.g_00727
OG0000021	Prbh.g_00203	Prbg.g_00699
OG0000021	Prbh.g_00938	Prbg.g_01145
OG0000022	Prbh.g_00190	Prbg.g_00682
OG0000023	Prbh.g_00833	Prbg.g_00013
OG0000024	Prbh.g_01147	Prbg.g_01352
OG0000024	Prbh.g_00909	Prbg.g_01116
OG0000025	Prbh.g_00988	Prbg.g_01195
OG0000026	Prbh.g_00749	Prbg.g_00842
OG0000028	Prbh.g_00404	Prbg.g_00743
OG0000029	Prbh.g_01885	Prbg.g_00734, Prbg.g_01581
OG0000029	Prbh.g_01691	Prbg.g_01740
OG0000030	Prbh.g_01570	Prbg.g_01858
OG0000031	Prbh.g_00064	Prbg.g_00550
OG0000032	Prbh.g_00138	Prbg.g_00630
OG0000033	Prbh.g_00613	Prbg.g_00947
OG0000034	Prbh.g_01383	Prbg.g_00488
OG0000035	Prbh.g_00099	Prbg.g_00591
OG0000037	Prbh.g_00674	Prbg.g_00881
OG0000038	Prbh.g_01530	Prbg.g_01898
OG0000039	Prbh.g_00921	Prbg.g_01128
OG0000041	Prbh.g_01734	Prbg.g_01697
OG0000042	Prbh.g_01573	Prbg.g_01855
OG0000043	Prbh.g_01304	Prbg.g_01507
OG0000045	Prbh.g_01327	Prbg.g_01530
OG0000046	Prbh.g_00451	Prbg.g_00105
OG0000047	Prbh.g_00408	Prbg.g_00143
OG0000048	Prbh.g_00508	Prbg.g_00464, Prbg.g_00050
OG0000050	Prbh.g_00850	Prbg.g_01055
OG0000052	Prbh.g_00727	Prbg.g_00816
OG0000053	Prbh.g_00120	Prbg.g_00612
OG0000053	Prbh.g_01834	Prbg.g_01595
OG0000054	Prbh.g_00223	Prbg.g_00326
OG0000055	Prbh.g_01332	Prbg.g_01535
OG0000055	Prbh.g_01797	Prbg.g_01624
OG0000057	Prbh.g_00936	Prbg.g_01143
OG0000058	Prbh.g_00030	Prbg.g_00551
OG0000059	Prbh.g_01695	Prbg.g_01737
OG0000061	Prbh.g_01283	Prbg.g_01486
OG0000062	Prbh.g_00184	Prbg.g_00676
OG0000063	Prbh.g_01401	Prbg.g_00730
OG0000064	Prbh.g_00715	Prbg.g_00802
OG0000065	Prbh.g_00676	Prbg.g_00879
OG0000066	Prbh.g_01856	Prbg.g_00256
OG0000067	Prbh.g_00953	Prbg.g_01159
OG0000068	Prbh.g_00009	Prbg.g_00529
OG0000069	Prbh.g_00376	Prbg.g_00174
OG0000070	Prbh.g_00382	Prbg.g_00170
OG0000071	Prbh.g_01373	Prbg.g_00477
OG0000072	Prbh.g_00611	Prbg.g_00949
OG0000073	Prbh.g_00330	Prbg.g_00219
OG0000074	Prbh.g_00916	Prbg.g_01123
