Orthogroup	Prbg	Syaq
OG0000004	Prbg.g_01140	Syaq.g_02603
OG0000004	Prbg.g_01014	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbg.g_00674	Syaq.g_01692
OG0000006	Prbg.g_01024	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbg.g_00216	Syaq.g_01793
OG0000007	Prbg.g_01650	Syaq.g_01673
OG0000008	Prbg.g_00744	Syaq.g_02162
OG0000008	Prbg.g_00745	Syaq.g_02575
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syaq.g_00443
OG0000011	Prbg.g_00415	Syaq.g_01038
OG0000012	Prbg.g_00342	Syaq.g_02059
OG0000013	Prbg.g_00104	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbg.g_00086	Syaq.g_00862
OG0000015	Prbg.g_01589, Prbg.g_01635	Syaq.g_02255
OG0000016	Prbg.g_01544	Syaq.g_00169
OG0000017	Prbg.g_00324	Syaq.g_01999
OG0000017	Prbg.g_00317	Syaq.g_01992
OG0000018	Prbg.g_01508, Prbg.g_01187	Syaq.g_00401
OG0000019	Prbg.g_01032, Prbg.g_01510	Syaq.g_00717
OG0000022	Prbg.g_00682	Syaq.g_02126
OG0000023	Prbg.g_00013	Syaq.g_02540
OG0000025	Prbg.g_01195	Syaq.g_02381
OG0000026	Prbg.g_00842	Syaq.g_01114
OG0000028	Prbg.g_00743	Syaq.g_00878
OG0000030	Prbg.g_01858	Syaq.g_01047, Syaq.g_01048
OG0000031	Prbg.g_00550	Syaq.g_01009
OG0000032	Prbg.g_00630	Syaq.g_00421
OG0000033	Prbg.g_00947	Syaq.g_01399
OG0000034	Prbg.g_00488	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbg.g_00591	Syaq.g_00372
OG0000037	Prbg.g_00881	Syaq.g_01483
OG0000038	Prbg.g_01898	Syaq.g_01260, Syaq.g_01258
