Orthogroup	Prbg	Prag
OG0000000	Prbg.g_01567	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000002	Prbg.g_01222, Prbg.g_01227	Prag.g_01382
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Prag.g_00656
OG0000004	Prbg.g_01140	Prag.g_00673
OG0000004	Prbg.g_01014	Prag.g_00225
OG0000005	Prbg.g_00674	Prag.g_01566
OG0000006	Prbg.g_01024	Prag.g_00234, Prag.g_01231
OG0000007	Prbg.g_00216	Prag.g_00476
OG0000007	Prbg.g_01650	Prag.g_01669
OG0000008	Prbg.g_00744	Prag.g_01655
OG0000008	Prbg.g_00745	Prag.g_01656
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Prag.g_00453
OG0000012	Prbg.g_00706, Prbg.g_00342	Prag.g_00601
OG0000013	Prbg.g_00104	Prag.g_00318
OG0000014	Prbg.g_00086	Prag.g_00297
OG0000015	Prbg.g_01589, Prbg.g_01635	Prag.g_00765
OG0000016	Prbg.g_01544	Prag.g_01638
OG0000017	Prbg.g_00317	Prag.g_00576
OG0000018	Prbg.g_01508	Prag.g_01134
OG0000018	Prbg.g_01187	Prag.g_00833
OG0000019	Prbg.g_01032	Prag.g_00242
OG0000019	Prbg.g_01510	Prag.g_00786
OG0000020	Prbg.g_00698	Prag.g_01100
OG0000020	Prbg.g_00727	Prag.g_01637
OG0000021	Prbg.g_00699	Prag.g_01633, Prag.g_00359
OG0000022	Prbg.g_00682	Prag.g_00757
OG0000023	Prbg.g_00013	Prag.g_00354
OG0000024	Prbg.g_01352	Prag.g_00740
OG0000024	Prbg.g_01116	Prag.g_00653
OG0000025	Prbg.g_01195	Prag.g_00839, Prag.g_00322
OG0000026	Prbg.g_00842	Prag.g_00031, Prag.g_01050
OG0000027	Prbg.g_00721	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prbg.g_00743	Prag.g_01270
OG0000029	Prbg.g_00734, Prbg.g_01581	Prag.g_00748
OG0000030	Prbg.g_01858	Prag.g_01871
OG0000031	Prbg.g_00550	Prag.g_01446
OG0000033	Prbg.g_00947	Prag.g_00162
OG0000034	Prbg.g_00488	Prag.g_01365
OG0000037	Prbg.g_00881	Prag.g_00102
OG0000038	Prbg.g_01898	Prag.g_01911
OG0000039	Prbg.g_01128	Prag.g_00664
OG0000041	Prbg.g_01697	Prag.g_01716
OG0000042	Prbg.g_01855	Prag.g_01868
OG0000043	Prbg.g_01507	Prag.g_00876
OG0000045	Prbg.g_01530	Prag.g_00365
OG0000048	Prbg.g_00050	Prag.g_01658, Prag.g_00368
OG0000052	Prbg.g_00569	Prag.g_01444
OG0000053	Prbg.g_01595, Prbg.g_00612	Prag.g_01510
OG0000054	Prbg.g_00326	Prag.g_00584
OG0000055	Prbg.g_01535	Prag.g_00787
OG0000057	Prbg.g_01143	Prag.g_00676
OG0000058	Prbg.g_00551	Prag.g_01428
OG0000059	Prbg.g_01737	Prag.g_01755
OG0000061	Prbg.g_01486	Prag.g_01153
OG0000062	Prbg.g_00676	Prag.g_01568
OG0000063	Prbg.g_00730	Prag.g_00033
OG0000065	Prbg.g_00879	Prag.g_00100
OG0000066	Prbg.g_00256	Prag.g_00518
OG0000067	Prbg.g_01159	Prag.g_00806
OG0000068	Prbg.g_00529	Prag.g_01389
OG0000069	Prbg.g_00174	Prag.g_01601
OG0000070	Prbg.g_00170	Prag.g_00429
OG0000071	Prbg.g_00477	Prag.g_01355
OG0000072	Prbg.g_00949	Prag.g_00164
OG0000073	Prbg.g_00219	Prag.g_00478
OG0000074	Prbg.g_01123	Prag.g_00660
OG0000075	Prbg.g_01821	Prag.g_01836
OG0000076	Prbg.g_01847	Prag.g_01861
OG0000077	Prbg.g_00791	Prag.g_00072
OG0000078	Prbg.g_01022	Prag.g_00232
OG0000081	Prbg.g_00248	Prag.g_00510
OG0000082	Prbg.g_00304, Prbg.g_01639	Prag.g_00563
OG0000084	Prbg.g_00588	Prag.g_01484
OG0000085	Prbg.g_01642, Prbg.g_00716	Prag.g_01662
OG0000086	Prbg.g_00782	Prag.g_00082
OG0000087	Prbg.g_00913	Prag.g_00132
OG0000088	Prbg.g_00944	Prag.g_00159
OG0000089	Prbg.g_00137	Prag.g_00350
OG0000090	Prbg.g_00250	Prag.g_00512
OG0000091	Prbg.g_01414	Prag.g_00620
OG0000092	Prbg.g_01089	Prag.g_00911
OG0000093	Prbg.g_01385	Prag.g_00932
OG0000094	Prbg.g_01336	Prag.g_01017
OG0000095	Prbg.g_01234	Prag.g_01036
OG0000096	Prbg.g_00032	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000097	Prbg.g_01440	Prag.g_01194
OG0000098	Prbg.g_00505	Prag.g_01371
OG0000099	Prbg.g_00552	Prag.g_01424
OG0000100	Prbg.g_00670	Prag.g_01564
OG0000101	Prbg.g_01785	Prag.g_01804
OG0000102	Prbg.g_01852	Prag.g_01866
OG0000103	Prbg.g_01937	Prag.g_01945
OG0000104	Prbg.g_00763	Prag.g_01953
OG0000105	Prbg.g_00053	Prag.g_00265
OG0000106	Prbg.g_00388	Prag.g_00364
OG0000107	Prbg.g_01714	Prag.g_00378
OG0000108	Prbg.g_00199	Prag.g_00459
OG0000109	Prbg.g_00213	Prag.g_00473
OG0000110	Prbg.g_00293	Prag.g_00553
OG0000111	Prbg.g_01144	Prag.g_00677
OG0000112	Prbg.g_00366	Prag.g_00771
OG0000113	Prbg.g_01182	Prag.g_00828
OG0000114	Prbg.g_01084	Prag.g_00906
OG0000115	Prbg.g_01555	Prag.g_01097
OG0000116	Prbg.g_01497	Prag.g_01143
OG0000117	Prbg.g_01459	Prag.g_01298
OG0000118	Prbg.g_00490	Prag.g_01367
OG0000119	Prbg.g_01540, Prbg.g_00688	Prag.g_01385
OG0000120	Prbg.g_00549	Prag.g_01423
OG0000121	Prbg.g_00593	Prag.g_01492
OG0000122	Prbg.g_00448, Prbg.g_00634	Prag.g_01530
OG0000123	Prbg.g_01792	Prag.g_01811
OG0000124	Prbg.g_01864	Prag.g_01877
OG0000125	Prbg.g_01900	Prag.g_01913
OG0000126	Prbg.g_00762	Prag.g_01952
OG0000128	Prbg.g_00778	Prag.g_00011
OG0000129	Prbg.g_00829	Prag.g_00044
OG0000130	Prbg.g_00800	Prag.g_00063
OG0000131	Prbg.g_00922	Prag.g_00138
OG0000132	Prbg.g_00942	Prag.g_00157
OG0000133	Prbg.g_00100	Prag.g_00313
OG0000134	Prbg.g_00139	Prag.g_00351
OG0000135	Prbg.g_00459	Prag.g_00375
OG0000136	Prbg.g_00161	Prag.g_00420
OG0000137	Prbg.g_00194	Prag.g_00454
OG0000138	Prbg.g_00214	Prag.g_00474
OG0000139	Prbg.g_00254	Prag.g_00516
OG0000140	Prbg.g_00255	Prag.g_00517
OG0000141	Prbg.g_00327	Prag.g_00585
OG0000142	Prbg.g_01422	Prag.g_00613
OG0000143	Prbg.g_01418	Prag.g_00617
OG0000144	Prbg.g_01404	Prag.g_00630
OG0000145	Prbg.g_00461	Prag.g_00758
OG0000146	Prbg.g_00365	Prag.g_00772
OG0000147	Prbg.g_00364	Prag.g_00773
OG0000148	Prbg.g_01176	Prag.g_00822
OG0000149	Prbg.g_01208	Prag.g_00851
OG0000150	Prbg.g_01218	Prag.g_00859
OG0000151	Prbg.g_01094	Prag.g_00916
OG0000152	Prbg.g_01287	Prag.g_00964
OG0000153	Prbg.g_01306	Prag.g_00983
OG0000154	Prbg.g_01326	Prag.g_01010
OG0000155	Prbg.g_01465	Prag.g_01173
OG0000156	Prbg.g_00466	Prag.g_01342
OG0000157	Prbg.g_00467	Prag.g_01343
OG0000158	Prbg.g_01829	Prag.g_01425
OG0000159	Prbg.g_00809	Prag.g_01427
OG0000160	Prbg.g_00592	Prag.g_01491
OG0000161	Prbg.g_00598	Prag.g_01497
OG0000162	Prbg.g_00604	Prag.g_01503
OG0000163	Prbg.g_00643	Prag.g_01537
OG0000164	Prbg.g_01674	Prag.g_01693
OG0000165	Prbg.g_01681	Prag.g_01700
OG0000166	Prbg.g_01748	Prag.g_01768
OG0000167	Prbg.g_01819	Prag.g_01834
OG0000168	Prbg.g_01830	Prag.g_01844
OG0000169	Prbg.g_01840	Prag.g_01854
OG0000170	Prbg.g_01843	Prag.g_01856
OG0000171	Prbg.g_01863	Prag.g_01876
OG0000172	Prbg.g_01870	Prag.g_01884
OG0000173	Prbg.g_01885	Prag.g_01899
OG0000174	Prbg.g_01915	Prag.g_01927
OG0000175	Prbg.g_01928	Prag.g_01937
OG0000176	Prbg.g_00771	Prag.g_00004
OG0000177	Prbg.g_00772	Prag.g_00005
OG0000178	Prbg.g_00773	Prag.g_00006
OG0000179	Prbg.g_00858	Prag.g_00016
OG0000180	Prbg.g_00857	Prag.g_00017
OG0000181	Prbg.g_00856	Prag.g_00018
OG0000182	Prbg.g_00855	Prag.g_00019
OG0000183	Prbg.g_00851	Prag.g_00023
OG0000184	Prbg.g_00825	Prag.g_00046
OG0000185	Prbg.g_00822	Prag.g_00049
OG0000186	Prbg.g_00806	Prag.g_00058
OG0000187	Prbg.g_00805	Prag.g_00059
OG0000188	Prbg.g_00788	Prag.g_00076
OG0000189	Prbg.g_00866	Prag.g_00089
OG0000190	Prbg.g_00868	Prag.g_00090
OG0000191	Prbg.g_00891	Prag.g_00110
OG0000192	Prbg.g_00896	Prag.g_00114
OG0000193	Prbg.g_00923	Prag.g_00139
OG0000194	Prbg.g_00926	Prag.g_00142
OG0000195	Prbg.g_00928	Prag.g_00144
OG0000196	Prbg.g_00939	Prag.g_00154
OG0000197	Prbg.g_00940	Prag.g_00155
OG0000198	Prbg.g_00941	Prag.g_00156
OG0000199	Prbg.g_00948	Prag.g_00163
OG0000200	Prbg.g_00962	Prag.g_00177
OG0000201	Prbg.g_00971	Prag.g_00185
OG0000202	Prbg.g_00972	Prag.g_00186
OG0000203	Prbg.g_00973	Prag.g_00187
OG0000204	Prbg.g_00974	Prag.g_00188
OG0000205	Prbg.g_00981	Prag.g_00195
OG0000206	Prbg.g_00986	Prag.g_00200
OG0000207	Prbg.g_00989	Prag.g_00202
OG0000208	Prbg.g_00990	Prag.g_00203
OG0000209	Prbg.g_00999	Prag.g_00212
OG0000210	Prbg.g_01000	Prag.g_00213
OG0000211	Prbg.g_01015	Prag.g_00226
OG0000212	Prbg.g_01023	Prag.g_00233
OG0000213	Prbg.g_01041	Prag.g_00249
OG0000214	Prbg.g_00046	Prag.g_00258
OG0000215	Prbg.g_00073	Prag.g_00283
OG0000216	Prbg.g_00074	Prag.g_00285
OG0000217	Prbg.g_00077	Prag.g_00288
OG0000218	Prbg.g_00079	Prag.g_00290
OG0000219	Prbg.g_00080	Prag.g_00291
OG0000220	Prbg.g_00081	Prag.g_00292
OG0000221	Prbg.g_00082	Prag.g_00293
OG0000222	Prbg.g_00089	Prag.g_00301
OG0000223	Prbg.g_00101	Prag.g_00314
OG0000224	Prbg.g_00103	Prag.g_00316
OG0000225	Prbg.g_00129	Prag.g_00340
OG0000226	Prbg.g_01941	Prag.g_00344
OG0000227	Prbg.g_01943	Prag.g_00346
OG0000228	Prbg.g_00136	Prag.g_00349
OG0000229	Prbg.g_00156	Prag.g_00415
OG0000230	Prbg.g_00158	Prag.g_00417
OG0000231	Prbg.g_00169	Prag.g_00428
OG0000232	Prbg.g_00180	Prag.g_00437
OG0000233	Prbg.g_00186	Prag.g_00442
OG0000234	Prbg.g_00195	Prag.g_00455
OG0000235	Prbg.g_00198	Prag.g_00458
OG0000236	Prbg.g_00212	Prag.g_00472
OG0000237	Prbg.g_00225	Prag.g_00485
OG0000238	Prbg.g_00231	Prag.g_00491
