Orthogroup	Prbg	Syai
OG0000001	Prbg.g_00502, Prbg.g_01069	Syai.g_01716
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syai.g_01728
OG0000004	Prbg.g_01140	Syai.g_01994
OG0000004	Prbg.g_01014	Syai.g_01062, Syai.g_00530
OG0000005	Prbg.g_00674	Syai.g_02356
OG0000006	Prbg.g_01024	Syai.g_00317, Syai.g_00547
OG0000007	Prbg.g_00216	Syai.g_00657
OG0000007	Prbg.g_01650	Syai.g_02378
OG0000008	Prbg.g_00744	Syai.g_01956
OG0000008	Prbg.g_00745	Syai.g_01955
OG0000009	Prbg.g_00686	Syai.g_01626
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syai.g_00864
OG0000012	Prbg.g_00342	Syai.g_01068
OG0000013	Prbg.g_00104	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prbg.g_00086	Syai.g_00220
OG0000015	Prbg.g_01589, Prbg.g_01635	Syai.g_01246, Syai.g_01245
OG0000016	Prbg.g_01544	Syai.g_01785, Syai.g_01632
OG0000017	Prbg.g_00324	Syai.g_00808
OG0000017	Prbg.g_00317	Syai.g_00801
OG0000018	Prbg.g_01508, Prbg.g_01187	Syai.g_00915
OG0000019	Prbg.g_01032, Prbg.g_01510	Syai.g_00304
OG0000020	Prbg.g_00698, Prbg.g_00727	Syai.g_00476
OG0000021	Prbg.g_01145	Syai.g_00556
OG0000022	Prbg.g_00682	Syai.g_01159
OG0000023	Prbg.g_00013	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbg.g_01352, Prbg.g_01116	Syai.g_01951
OG0000025	Prbg.g_01195	Syai.g_02044
OG0000026	Prbg.g_00842	Syai.g_00038
OG0000027	Prbg.g_01569, Prbg.g_00721	Syai.g_01128, Syai.g_01654
OG0000028	Prbg.g_00743	Syai.g_00205
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syai.g_01035, Syai.g_01584
OG0000030	Prbg.g_01858	Syai.g_00096, Syai.g_00095
OG0000032	Prbg.g_00630	Syai.g_00895
OG0000033	Prbg.g_00947	Syai.g_02634
OG0000034	Prbg.g_00488	Syai.g_02192, Syai.g_02604
OG0000035	Prbg.g_00591	Syai.g_00955
OG0000037	Prbg.g_00881	Syai.g_02544, Syai.g_02815
OG0000038	Prbg.g_01898	Syai.g_02780
OG0000039	Prbg.g_01128	Syai.g_02034
OG0000041	Prbg.g_01697	Syai.g_02265
OG0000042	Prbg.g_01855	Syai.g_00099
OG0000045	Prbg.g_01530	Syai.g_02432
OG0000046	Prbg.g_00105	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prbg.g_00143	Syai.g_00462
OG0000048	Prbg.g_00464, Prbg.g_00050	Syai.g_00272
OG0000052	Prbg.g_00569	Syai.g_00176
OG0000053	Prbg.g_01595, Prbg.g_00612	Syai.g_00930
OG0000054	Prbg.g_00326	Syai.g_01040
OG0000055	Prbg.g_01535	Syai.g_02029
