Orthogroup	Prbg	Prao
OG0000000	Prbg.g_01567	Prao.g_01515
OG0000002	Prbg.g_01222, Prbg.g_01227	Prao.g_01246
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Prao.g_00116
OG0000004	Prbg.g_01140	Prao.g_00133
OG0000004	Prbg.g_01014	Prao.g_00370
OG0000005	Prbg.g_00674	Prao.g_01472
OG0000006	Prbg.g_01024	Prao.g_00379
OG0000007	Prbg.g_00216	Prao.g_00603
OG0000007	Prbg.g_01650	Prao.g_01552
OG0000009	Prbg.g_00686	Prao.g_01342
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Prao.g_00580
OG0000011	Prbg.g_00415	Prao.g_00529
OG0000012	Prbg.g_00706, Prbg.g_00342	Prao.g_00062
OG0000013	Prbg.g_00104	Prao.g_00463
OG0000014	Prbg.g_00086	Prao.g_01213
OG0000015	Prbg.g_01589, Prbg.g_01635	Prao.g_00703
OG0000017	Prbg.g_00317	Prao.g_00036
OG0000018	Prbg.g_01508	Prao.g_01108
OG0000018	Prbg.g_01187	Prao.g_00768
OG0000019	Prbg.g_01032	Prao.g_00387
OG0000019	Prbg.g_01510	Prao.g_00720
OG0000020	Prbg.g_00698	Prao.g_01145
OG0000021	Prbg.g_00699	Prao.g_01346, Prao.g_00500
OG0000022	Prbg.g_00682	Prao.g_00699
OG0000023	Prbg.g_00013	Prao.g_00494
OG0000024	Prbg.g_01352	Prao.g_00683
OG0000024	Prbg.g_01116	Prao.g_00114
OG0000025	Prbg.g_01195	Prao.g_00776, Prao.g_00467
OG0000026	Prbg.g_00842	Prao.g_00177, Prao.g_00992
OG0000027	Prbg.g_00721	Prao.g_00576, Prao.g_01293
OG0000028	Prbg.g_00743	Prao.g_01348
OG0000029	Prbg.g_01740	Prao.g_00510
OG0000029	Prbg.g_00734, Prbg.g_01581	Prao.g_00690
OG0000030	Prbg.g_01858	Prao.g_01753
OG0000031	Prbg.g_00550	Prao.g_01355, Prao.g_01364
OG0000033	Prbg.g_00947	Prao.g_00307
OG0000034	Prbg.g_00488	Prao.g_01266
OG0000037	Prbg.g_00881	Prao.g_00247
OG0000038	Prbg.g_01898	Prao.g_01794
OG0000039	Prbg.g_01128	Prao.g_00124
OG0000041	Prbg.g_01697	Prao.g_01598
OG0000042	Prbg.g_01855	Prao.g_01750
OG0000043	Prbg.g_01507	Prao.g_00812
OG0000045	Prbg.g_01530	Prao.g_00506
OG0000048	Prbg.g_00050	Prao.g_00509
OG0000052	Prbg.g_00816, Prbg.g_00569	Prao.g_01358
OG0000053	Prbg.g_01595, Prbg.g_00612	Prao.g_01417
OG0000054	Prbg.g_00326	Prao.g_00044
OG0000055	Prbg.g_01535	Prao.g_00721
OG0000057	Prbg.g_01143	Prao.g_00136
OG0000058	Prbg.g_00551	Prao.g_01191
OG0000059	Prbg.g_01737	Prao.g_01639
OG0000061	Prbg.g_01486	Prao.g_01089
OG0000062	Prbg.g_00676	Prao.g_01474
OG0000063	Prbg.g_00730	Prao.g_00179
OG0000065	Prbg.g_00879	Prao.g_00245
OG0000067	Prbg.g_01159	Prao.g_00741
OG0000068	Prbg.g_00529	Prao.g_01239
OG0000069	Prbg.g_00174	Prao.g_01508
OG0000070	Prbg.g_00170	Prao.g_00554
OG0000071	Prbg.g_00477	Prao.g_01276
OG0000072	Prbg.g_00949	Prao.g_00309
OG0000073	Prbg.g_00219	Prao.g_00605
OG0000074	Prbg.g_01123	Prao.g_00120
OG0000075	Prbg.g_01821	Prao.g_01719
OG0000076	Prbg.g_01847	Prao.g_01743
OG0000077	Prbg.g_00791	Prao.g_00217
OG0000078	Prbg.g_01022	Prao.g_00377
OG0000079	Prbg.g_01035	Prao.g_00390
OG0000081	Prbg.g_00248	Prao.g_01860
OG0000082	Prbg.g_00304, Prbg.g_01639	Prao.g_00024
OG0000084	Prbg.g_00588	Prao.g_01393
OG0000085	Prbg.g_01642, Prbg.g_00716	Prao.g_01545
OG0000086	Prbg.g_00782	Prao.g_00227
OG0000087	Prbg.g_00913	Prao.g_00277
OG0000088	Prbg.g_00944	Prao.g_00304
OG0000089	Prbg.g_00137	Prao.g_00490
OG0000090	Prbg.g_00250	Prao.g_01858
OG0000091	Prbg.g_01414	Prao.g_00081
OG0000092	Prbg.g_01089	Prao.g_00850
OG0000093	Prbg.g_01385	Prao.g_00870
OG0000094	Prbg.g_01336	Prao.g_00955
OG0000095	Prbg.g_01234	Prao.g_00974
OG0000096	Prbg.g_00032	Prao.g_01142, Prao.g_01316
OG0000097	Prbg.g_01440	Prao.g_01048
OG0000098	Prbg.g_00505	Prao.g_01257
OG0000099	Prbg.g_00552	Prao.g_01214
OG0000100	Prbg.g_00670	Prao.g_01470
OG0000101	Prbg.g_01785	Prao.g_01687
OG0000102	Prbg.g_01852	Prao.g_01748
OG0000103	Prbg.g_01937	Prao.g_01828
OG0000104	Prbg.g_00763	Prao.g_01837
OG0000105	Prbg.g_00053	Prao.g_01378
OG0000106	Prbg.g_00388	Prao.g_00505
