Orthogroup	Prbg	Syah
OG0000001	Prbg.g_00502, Prbg.g_01069	Syah.g_00726
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syah.g_01829
OG0000004	Prbg.g_01140	Syah.g_02017
OG0000004	Prbg.g_01014	Syah.g_01967, Syah.g_00901
OG0000005	Prbg.g_00674	Syah.g_02363
OG0000006	Prbg.g_01024	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prbg.g_00216	Syah.g_01016
OG0000007	Prbg.g_01650	Syah.g_02384
OG0000008	Prbg.g_00744	Syah.g_01994
OG0000008	Prbg.g_00745	Syah.g_01993
OG0000009	Prbg.g_00686	Syah.g_02457
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syah.g_01220
OG0000012	Prbg.g_00342	Syah.g_01960
OG0000013	Prbg.g_00104	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Prbg.g_00086	Syah.g_00127
OG0000015	Prbg.g_01589, Prbg.g_01635	Syah.g_01511, Syah.g_01510
OG0000016	Prbg.g_01544	Syah.g_01402, Syah.g_01859
OG0000017	Prbg.g_00324	Syah.g_01159
OG0000017	Prbg.g_00317	Syah.g_01152
OG0000018	Prbg.g_01508, Prbg.g_01187	Syah.g_01264
OG0000019	Prbg.g_01032, Prbg.g_01510	Syah.g_00669
OG0000022	Prbg.g_00682	Syah.g_01881
OG0000023	Prbg.g_00013	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prbg.g_01352, Prbg.g_01116	Syah.g_01990
OG0000025	Prbg.g_01195	Syah.g_02082
OG0000026	Prbg.g_00842	Syah.g_00340
OG0000027	Prbg.g_01569, Prbg.g_00721	Syah.g_01541
OG0000028	Prbg.g_00743	Syah.g_00141
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syah.g_01292
OG0000030	Prbg.g_01858	Syah.g_00264, Syah.g_00265
OG0000031	Prbg.g_00550	Syah.g_00226, Syah.g_00322
OG0000032	Prbg.g_00630	Syah.g_01246
OG0000033	Prbg.g_00557	Syah.g_00211
OG0000033	Prbg.g_00947	Syah.g_00078
OG0000034	Prbg.g_00488	Syah.g_00048, Syah.g_02213
OG0000035	Prbg.g_00591	Syah.g_01293
OG0000037	Prbg.g_00881	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prbg.g_01898	Syah.g_00508, Syah.g_00506
OG0000039	Prbg.g_01128	Syah.g_02074
OG0000041	Prbg.g_01697	Syah.g_02271
OG0000042	Prbg.g_01855	Syah.g_00261
OG0000045	Prbg.g_01530	Syah.g_01872
OG0000046	Prbg.g_00105	Syah.g_00816, Syah.g_00823, Syah.g_00830
OG0000047	Prbg.g_00143	Syah.g_00847
OG0000048	Prbg.g_00464, Prbg.g_00050	Syah.g_00637
OG0000052	Prbg.g_00569	Syah.g_00171
OG0000053	Prbg.g_01595, Prbg.g_00612	Syah.g_01267
OG0000054	Prbg.g_00326	Syah.g_01982
OG0000055	Prbg.g_01535	Syah.g_02071
OG0000055	Prbg.g_01624	Syah.g_01878
OG0000057	Prbg.g_01143	Syah.g_02020
OG0000058	Prbg.g_00551	Syah.g_00152
OG0000059	Prbg.g_01737	Syah.g_00737
OG0000061	Prbg.g_01486	Syah.g_02158
OG0000062	Prbg.g_00676	Syah.g_02365
OG0000063	Prbg.g_00730	Syah.g_00337
OG0000064	Prbg.g_00802	Syah.g_01353, Syah.g_02357
OG0000065	Prbg.g_00879	Syah.g_02443, Syah.g_02537
OG0000066	Prbg.g_00256	Syah.g_01073
OG0000067	Prbg.g_01159	Syah.g_01779
OG0000068	Prbg.g_00529	Syah.g_00986
OG0000069	Prbg.g_00174	Syah.g_01715
OG0000070	Prbg.g_00170	Syah.g_02217
OG0000071	Prbg.g_00477	Syah.g_02199
OG0000072	Prbg.g_00949	Syah.g_00080
OG0000073	Prbg.g_00219	Syah.g_01018
OG0000074	Prbg.g_00021, Prbg.g_01064, Prbg.g_01123	Syah.g_00951
OG0000075	Prbg.g_01821	Syah.g_00186
OG0000076	Prbg.g_01847	Syah.g_00250
OG0000077	Prbg.g_00791	Syah.g_02494
OG0000079	Prbg.g_01035	Syah.g_00665
OG0000081	Prbg.g_00248	Syah.g_00922
OG0000082	Prbg.g_00304, Prbg.g_01639	Syah.g_01136
OG0000084	Prbg.g_00588	Syah.g_01296
OG0000085	Prbg.g_01642, Prbg.g_00716	Syah.g_02372
OG0000086	Prbg.g_00782	Syah.g_02511
OG0000087	Prbg.g_00913	Syah.g_00038
OG0000088	Prbg.g_00944	Syah.g_00074
OG0000089	Prbg.g_00137	Syah.g_00888
OG0000090	Prbg.g_00250	Syah.g_01064
OG0000091	Prbg.g_01414	Syah.g_01927
OG0000097	Prbg.g_01440	Syah.g_01400
OG0000098	Prbg.g_00505	Syah.g_00723
OG0000099	Prbg.g_00552	Syah.g_00144
OG0000100	Prbg.g_00670	Syah.g_01747
OG0000101	Prbg.g_01785	Syah.g_00785
OG0000102	Prbg.g_01852	Syah.g_00255
OG0000103	Prbg.g_01937	Syah.g_00391
OG0000104	Prbg.g_00763	Syah.g_00377
OG0000105	Prbg.g_00053	Syah.g_00632
OG0000106	Prbg.g_00388	Syah.g_01544
OG0000107	Prbg.g_01714	Syah.g_00688
OG0000108	Prbg.g_00199	Syah.g_00997
OG0000109	Prbg.g_00213	Syah.g_01012
OG0000110	Prbg.g_00293	Syah.g_01124
OG0000112	Prbg.g_00366	Syah.g_01613
OG0000113	Prbg.g_01182	Syah.g_01752
OG0000114	Prbg.g_01084	Syah.g_01529
OG0000115	Prbg.g_01555	Syah.g_01269
OG0000116	Prbg.g_01497	Syah.g_02175
OG0000117	Prbg.g_01459	Syah.g_01425
OG0000118	Prbg.g_00490	Syah.g_01173
OG0000120	Prbg.g_00549	Syah.g_00145
OG0000121	Prbg.g_00593	Syah.g_01287
OG0000122	Prbg.g_00448, Prbg.g_00634	Syah.g_01900
