Orthogroup	Prbg	Prbe
OG0000000	Prbg.g_01524	Prbe.g_01587
OG0000000	Prbg.g_01567	Prbe.g_01119
OG0000000	Prbg.g_01523	Prbe.g_01120
OG0000000	Prbg.g_01568	Prbe.g_01120
OG0000000	Prbg.g_01583	Prbe.g_01052
OG0000001	Prbg.g_00502	Prbe.g_00400
OG0000001	Prbg.g_01069	Prbe.g_00112
OG0000002	Prbg.g_01222	Prbe.g_01285
OG0000002	Prbg.g_01227	Prbe.g_01290
OG0000002	Prbg.g_01516	Prbe.g_01579
OG0000002	Prbg.g_00523	Prbe.g_00379
OG0000002	Prbg.g_01514	Prbe.g_01577
OG0000002	Prbg.g_01521	Prbe.g_01584
OG0000002	Prbg.g_00694	Prbe.g_00208
OG0000002	Prbg.g_01119	Prbe.g_00452
OG0000004	Prbg.g_01140	Prbe.g_01203
OG0000004	Prbg.g_01014	Prbe.g_01784
OG0000005	Prbg.g_00674	Prbe.g_00228
OG0000006	Prbg.g_01024	Prbe.g_01794
OG0000007	Prbg.g_00216	Prbe.g_00636
OG0000007	Prbg.g_01650	Prbe.g_00985
OG0000008	Prbg.g_00744	Prbe.g_00036
OG0000008	Prbg.g_00745	Prbe.g_00037
OG0000009	Prbg.g_00686	Prbe.g_00216
OG0000010	Prbg.g_01053	Prbe.g_00096
OG0000010	Prbg.g_01348	Prbe.g_01411
OG0000010	Prbg.g_00193	Prbe.g_00659
OG0000011	Prbg.g_00415	Prbe.g_00713
OG0000012	Prbg.g_00706	Prbe.g_00196
OG0000012	Prbg.g_00342	Prbe.g_00511
OG0000013	Prbg.g_00104	Prbe.g_01879
OG0000014	Prbg.g_00086	Prbe.g_01861
OG0000015	Prbg.g_01589	Prbe.g_01046
OG0000015	Prbg.g_01635	Prbe.g_01000
OG0000016	Prbg.g_01544	Prbe.g_01607
OG0000017	Prbg.g_00324	Prbe.g_00529
OG0000017	Prbg.g_00317	Prbe.g_00536
OG0000018	Prbg.g_01508	Prbe.g_01571
OG0000018	Prbg.g_01187	Prbe.g_01250
OG0000019	Prbg.g_01032	Prbe.g_01802
OG0000019	Prbg.g_01510	Prbe.g_01573
OG0000020	Prbg.g_00698	Prbe.g_00204
OG0000020	Prbg.g_00727	Prbe.g_00018
OG0000021	Prbg.g_00699	Prbe.g_00203
OG0000021	Prbg.g_01145	Prbe.g_01208
OG0000022	Prbg.g_00682	Prbe.g_00220
OG0000023	Prbg.g_00013	Prbe.g_00062
OG0000024	Prbg.g_01352	Prbe.g_01415
OG0000024	Prbg.g_01116	Prbe.g_00449
OG0000025	Prbg.g_01195	Prbe.g_01258
OG0000026	Prbg.g_00842	Prbe.g_00132
