Orthogroup	Prbg	Syaa
OG0000004	Prbg.g_01140	Syaa.g_00892
OG0000004	Prbg.g_01014	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbg.g_00674	Syaa.g_00573
OG0000006	Prbg.g_01024	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbg.g_00216	Syaa.g_02032
OG0000007	Prbg.g_01650	Syaa.g_00551
OG0000008	Prbg.g_00744	Syaa.g_00918
OG0000008	Prbg.g_00745	Syaa.g_00919
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syaa.g_01843
OG0000012	Prbg.g_00342	Syaa.g_01660
OG0000013	Prbg.g_00104	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbg.g_00086	Syaa.g_00222
OG0000015	Prbg.g_01589, Prbg.g_01635	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbg.g_01544	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbg.g_00324	Syaa.g_01883
OG0000017	Prbg.g_00317	Syaa.g_01890
OG0000018	Prbg.g_01508, Prbg.g_01187	Syaa.g_01801
OG0000019	Prbg.g_01032, Prbg.g_01510	Syaa.g_00307
OG0000021	Prbg.g_01145	Syaa.g_02627
OG0000022	Prbg.g_00682	Syaa.g_01571
OG0000023	Prbg.g_00013	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbg.g_01352, Prbg.g_01116	Syaa.g_00922
OG0000025	Prbg.g_01195	Syaa.g_00839
OG0000026	Prbg.g_00842	Syaa.g_00038
OG0000027	Prbg.g_01569, Prbg.g_00721	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbg.g_00743	Syaa.g_00205
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syaa.g_01578
OG0000030	Prbg.g_01858	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbg.g_00550	Syaa.g_00480
OG0000032	Prbg.g_00630	Syaa.g_01818
OG0000033	Prbg.g_00557	Syaa.g_00485
OG0000033	Prbg.g_00947	Syaa.g_02478
OG0000034	Prbg.g_00488	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbg.g_00591	Syaa.g_01773
OG0000037	Prbg.g_00881	Syaa.g_02384
OG0000038	Prbg.g_01898	Syaa.g_02596
OG0000039	Prbg.g_01128	Syaa.g_00846
OG0000041	Prbg.g_01697	Syaa.g_00660
OG0000042	Prbg.g_01855	Syaa.g_00103
OG0000045	Prbg.g_01530	Syaa.g_01560
OG0000046	Prbg.g_00105	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbg.g_00143	Syaa.g_02189
OG0000048	Prbg.g_00464, Prbg.g_00050	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbg.g_01055	Syaa.g_01591
OG0000052	Prbg.g_00569	Syaa.g_00174
OG0000053	Prbg.g_01595, Prbg.g_00612	Syaa.g_01797
OG0000054	Prbg.g_00326	Syaa.g_01691
OG0000055	Prbg.g_01535	Syaa.g_00852
OG0000055	Prbg.g_01624	Syaa.g_01564
OG0000057	Prbg.g_01143	Syaa.g_00889
OG0000058	Prbg.g_00551	Syaa.g_00193
OG0000059	Prbg.g_01737	Syaa.g_02315
OG0000061	Prbg.g_01486	Syaa.g_00770
OG0000062	Prbg.g_00676	Syaa.g_00571
OG0000063	Prbg.g_00730	Syaa.g_00042
OG0000064	Prbg.g_00802	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prbg.g_00879	Syaa.g_02380
OG0000066	Prbg.g_00256	Syaa.g_01968
OG0000067	Prbg.g_01159	Syaa.g_01154
OG0000068	Prbg.g_00529	Syaa.g_02059
OG0000069	Prbg.g_00174	Syaa.g_01256
OG0000070	Prbg.g_00170	Syaa.g_00718
OG0000071	Prbg.g_00477	Syaa.g_00735
OG0000072	Prbg.g_00949	Syaa.g_02480
OG0000073	Prbg.g_00219	Syaa.g_02030
