Orthogroup	Prbg	Praf
OG0000000	Prbg.g_01567	Praf.g_00813
OG0000001	Prbg.g_00502, Prbg.g_01069	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000002	Prbg.g_01222, Prbg.g_01227	Praf.g_01631
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Praf.g_00948
OG0000004	Prbg.g_01140	Praf.g_01121
OG0000004	Prbg.g_01014	Praf.g_00743
OG0000005	Prbg.g_00674	Praf.g_00503
OG0000006	Prbg.g_01024	Praf.g_00396, Praf.g_01719
OG0000007	Prbg.g_00216	Praf.g_00614
OG0000007	Prbg.g_01650	Praf.g_00480
OG0000008	Prbg.g_00744	Praf.g_01223
OG0000008	Prbg.g_00745	Praf.g_01224
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Praf.g_01908
OG0000012	Prbg.g_00342	Praf.g_01668
OG0000013	Prbg.g_00104	Praf.g_02073
OG0000014	Prbg.g_00086	Praf.g_02319
OG0000015	Prbg.g_01589, Prbg.g_01635	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prbg.g_01544	Praf.g_00906
OG0000017	Prbg.g_00324	Praf.g_00760
OG0000017	Prbg.g_00317	Praf.g_00752
OG0000018	Prbg.g_01508, Prbg.g_01187	Praf.g_01832
OG0000019	Prbg.g_01032, Prbg.g_01510	Praf.g_00943
OG0000020	Prbg.g_00727	Praf.g_01095
OG0000021	Prbg.g_00699	Praf.g_00946, Praf.g_01089
OG0000021	Prbg.g_01145	Praf.g_00746
OG0000022	Prbg.g_00682	Praf.g_00201
OG0000024	Prbg.g_01352, Prbg.g_01116	Praf.g_01139
OG0000025	Prbg.g_01195	Praf.g_01591
OG0000026	Prbg.g_00842	Praf.g_00037
OG0000029	Prbg.g_01740	Praf.g_02647
OG0000029	Prbg.g_00734, Prbg.g_01581	Praf.g_02091
OG0000030	Prbg.g_01858	Praf.g_00160, Praf.g_00159
OG0000031	Prbg.g_00550	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000032	Prbg.g_00630	Praf.g_01851
OG0000033	Prbg.g_00557	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prbg.g_00947	Praf.g_02457
OG0000034	Prbg.g_00488	Praf.g_00783
OG0000035	Prbg.g_00591	Praf.g_01794
OG0000037	Prbg.g_00881	Praf.g_00240
OG0000038	Prbg.g_01898	Praf.g_02660, Praf.g_02662
OG0000039	Prbg.g_01128	Praf.g_00406, Praf.g_02541
