Orthogroup	Prbg	Syaf
OG0000001	Prbg.g_00502, Prbg.g_01069	Syaf.g_01640
OG0000004	Prbg.g_01140	Syaf.g_01455
OG0000004	Prbg.g_01014	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbg.g_00674	Syaf.g_01057
OG0000006	Prbg.g_01024	Syaf.g_00179, Syaf.g_02778
OG0000007	Prbg.g_00216	Syaf.g_02702
OG0000007	Prbg.g_01650	Syaf.g_01033
OG0000008	Prbg.g_00744	Syaf.g_01479
OG0000008	Prbg.g_00745	Syaf.g_01480
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syaf.g_02499
OG0000013	Prbg.g_00104	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prbg.g_00086	Syaf.g_00280
OG0000015	Prbg.g_01589, Prbg.g_01635	Syaf.g_02120, Syaf.g_02121
OG0000016	Prbg.g_01544	Syaf.g_01576, Syaf.g_01713
OG0000017	Prbg.g_00324	Syaf.g_02554
OG0000017	Prbg.g_00317	Syaf.g_02561
OG0000018	Prbg.g_01508, Prbg.g_01187	Syaf.g_02451
OG0000019	Prbg.g_01032, Prbg.g_01510	Syaf.g_00193
OG0000020	Prbg.g_00698, Prbg.g_00727	Syaf.g_02187
OG0000021	Prbg.g_00699	Syaf.g_01726
OG0000021	Prbg.g_01145	Syaf.g_02773
OG0000022	Prbg.g_00682	Syaf.g_02256
OG0000023	Prbg.g_00013	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbg.g_01352, Prbg.g_01116	Syaf.g_01484
OG0000025	Prbg.g_01195	Syaf.g_01385
OG0000026	Prbg.g_00842	Syaf.g_00461
OG0000027	Prbg.g_01569, Prbg.g_00721	Syaf.g_02284, Syaf.g_01688
OG0000028	Prbg.g_00743	Syaf.g_00297
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syaf.g_01761
OG0000030	Prbg.g_01858	Syaf.g_00406, Syaf.g_00407
OG0000031	Prbg.g_00550	Syaf.g_01143
OG0000032	Prbg.g_00630	Syaf.g_02471
OG0000033	Prbg.g_00947	Syaf.g_00807
OG0000034	Prbg.g_00488	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbg.g_00591	Syaf.g_02412
OG0000037	Prbg.g_00881	Syaf.g_00899
OG0000038	Prbg.g_01898	Syaf.g_00642
OG0000039	Prbg.g_01128	Syaf.g_01395
OG0000041	Prbg.g_01697	Syaf.g_01171
