Orthogroup	Prbg	Syam
OG0000001	Prbg.g_00502, Prbg.g_01069	Syam.g_00946
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syam.g_00931
OG0000004	Prbg.g_01140	Syam.g_00787
OG0000004	Prbg.g_01014	Syam.g_01499, Syam.g_00501
OG0000005	Prbg.g_00674	Syam.g_01970
OG0000006	Prbg.g_01024	Syam.g_00286, Syam.g_00518
OG0000007	Prbg.g_00216	Syam.g_00602
OG0000007	Prbg.g_01650	Syam.g_01990
OG0000008	Prbg.g_00744	Syam.g_00810
OG0000008	Prbg.g_00745	Syam.g_00811
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syam.g_01669
OG0000012	Prbg.g_00342	Syam.g_01492
OG0000013	Prbg.g_00104	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prbg.g_00086	Syam.g_00191
OG0000015	Prbg.g_01589, Prbg.g_01635	Syam.g_01218, Syam.g_01362
OG0000016	Prbg.g_01544	Syam.g_00876, Syam.g_01011
OG0000017	Prbg.g_00324	Syam.g_01708
OG0000017	Prbg.g_00317	Syam.g_01715
OG0000018	Prbg.g_01508, Prbg.g_01187	Syam.g_01640
OG0000019	Prbg.g_01032, Prbg.g_01510	Syam.g_00274
OG0000021	Prbg.g_01145	Syam.g_00523
OG0000022	Prbg.g_00682	Syam.g_01418
OG0000023	Prbg.g_00013	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbg.g_01352, Prbg.g_01116	Syam.g_00815
OG0000025	Prbg.g_01195	Syam.g_00740
OG0000026	Prbg.g_00842	Syam.g_00035
OG0000027	Prbg.g_01569, Prbg.g_00721	Syam.g_01442, Syam.g_00989
OG0000028	Prbg.g_00743	Syam.g_00176
