Orthogroup	Prbg	Syas
OG0000004	Prbg.g_01140	Syas.g_00176
OG0000004	Prbg.g_01014	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbg.g_00674	Syas.g_02704
OG0000006	Prbg.g_01024	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbg.g_00216	Syas.g_01232
OG0000007	Prbg.g_01650	Syas.g_02681
OG0000008	Prbg.g_00744	Syas.g_00886
OG0000008	Prbg.g_00745	Syas.g_00887
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syas.g_01334
OG0000013	Prbg.g_00104	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbg.g_00086	Syas.g_01816
OG0000016	Prbg.g_01544	Syas.g_01086, Syas.g_01050
OG0000017	Prbg.g_00324	Syas.g_00856
OG0000017	Prbg.g_00317	Syas.g_00849
OG0000018	Prbg.g_01508, Prbg.g_01187	Syas.g_01290
OG0000019	Prbg.g_01032, Prbg.g_01510	Syas.g_01696
OG0000022	Prbg.g_00682	Syas.g_02758
OG0000025	Prbg.g_01195	Syas.g_00231
OG0000026	Prbg.g_00842	Syas.g_02070
OG0000027	Prbg.g_01569, Prbg.g_00721	Syas.g_01480
OG0000028	Prbg.g_00743	Syas.g_01793
OG0000030	Prbg.g_01858	Syas.g_01644, Syas.g_01645
OG0000033	Prbg.g_00557, Prbg.g_00947	Syas.g_02328
OG0000034	Prbg.g_00488	Syas.g_02371, Syas.g_02838
OG0000035	Prbg.g_00591	Syas.g_02814, Syas.g_02818
OG0000037	Prbg.g_00881	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbg.g_01898	Syas.g_01885, Syas.g_01887
OG0000039	Prbg.g_01128	Syas.g_02795
OG0000042	Prbg.g_01855	Syas.g_01121, Syas.g_02147
OG0000046	Prbg.g_00105	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbg.g_00464, Prbg.g_00050	Syas.g_01734
OG0000051	Prbg.g_00408	Syas.g_01445
OG0000053	Prbg.g_01595, Prbg.g_00612	Syas.g_01287
OG0000054	Prbg.g_00326	Syas.g_00961
OG0000055	Prbg.g_01624	Syas.g_00203
OG0000058	Prbg.g_00551	Syas.g_01151
OG0000061	Prbg.g_01486	Syas.g_01184
OG0000062	Prbg.g_00676	Syas.g_02702, Syas.g_00070
OG0000063	Prbg.g_00730	Syas.g_02074
OG0000064	Prbg.g_00802	Syas.g_02423, Syas.g_00946
OG0000065	Prbg.g_00879	Syas.g_02420
OG0000066	Prbg.g_00256	Syas.g_00094
OG0000067	Prbg.g_01159	Syas.g_00596
OG0000068	Prbg.g_00529	Syas.g_00969, Syas.g_01261
OG0000070	Prbg.g_00170	Syas.g_00173
OG0000072	Prbg.g_00949	Syas.g_02326, Syas.g_01524
OG0000073	Prbg.g_00219	Syas.g_01230
OG0000075	Prbg.g_01821	Syas.g_01921, Syas.g_02194
OG0000076	Prbg.g_01847	Syas.g_02156
OG0000078	Prbg.g_01022	Syas.g_02308
OG0000079	Prbg.g_01035	Syas.g_01699
OG0000081	Prbg.g_00248	Syas.g_00391
OG0000082	Prbg.g_00304, Prbg.g_01639	Syas.g_00837
