Orthogroup	Prbg	Syag
OG0000001	Prbg.g_00502, Prbg.g_01069	Syag.g_00575
OG0000004	Prbg.g_01140	Syag.g_00988
OG0000004	Prbg.g_01014	Syag.g_00370, Syag.g_01790
OG0000005	Prbg.g_00674	Syag.g_01667
OG0000006	Prbg.g_01024	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbg.g_00216	Syag.g_01507
OG0000007	Prbg.g_01650	Syag.g_01687
OG0000008	Prbg.g_00744	Syag.g_00496
OG0000008	Prbg.g_00745	Syag.g_01017
OG0000009	Prbg.g_00686	Syag.g_00220, Syag.g_00231
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syag.g_01355
OG0000011	Prbg.g_00415	Syag.g_01299
OG0000012	Prbg.g_00342	Syag.g_00377
OG0000013	Prbg.g_00104	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbg.g_00086	Syag.g_02559
OG0000015	Prbg.g_01589, Prbg.g_01635	Syag.g_00596
OG0000016	Prbg.g_01544	Syag.g_01066
OG0000017	Prbg.g_00324	Syag.g_00344
OG0000017	Prbg.g_00317	Syag.g_00336
OG0000018	Prbg.g_01508, Prbg.g_01187	Syag.g_01387
OG0000019	Prbg.g_01032, Prbg.g_01510	Syag.g_02663
OG0000020	Prbg.g_00698, Prbg.g_00727	Syag.g_00085
OG0000021	Prbg.g_01145	Syag.g_00229
OG0000022	Prbg.g_00682	Syag.g_00458
OG0000023	Prbg.g_00013	Syag.g_00261, Syag.g_00234
OG0000024	Prbg.g_01352, Prbg.g_01116	Syag.g_00455
OG0000025	Prbg.g_01195	Syag.g_00718
OG0000026	Prbg.g_00842	Syag.g_02309
OG0000027	Prbg.g_01569, Prbg.g_00721	Syag.g_00950, Syag.g_00165
OG0000028	Prbg.g_00743	Syag.g_02540
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syag.g_00195
OG0000030	Prbg.g_01858	Syag.g_02375, Syag.g_02374
OG0000031	Prbg.g_00550	Syag.g_02486
OG0000032	Prbg.g_00630	Syag.g_01366
OG0000033	Prbg.g_00557	Syag.g_02481
OG0000033	Prbg.g_00947	Syag.g_01978
OG0000034	Prbg.g_00488	Syag.g_01225, Syag.g_01947
OG0000035	Prbg.g_00591	Syag.g_01420
OG0000037	Prbg.g_00881	Syag.g_00173
OG0000038	Prbg.g_01898	Syag.g_02130, Syag.g_02132
OG0000039	Prbg.g_01128	Syag.g_01325, Syag.g_02155
OG0000041	Prbg.g_01697	Syag.g_01750
OG0000042	Prbg.g_01855	Syag.g_01094, Syag.g_02378
