Orthogroup	Prbg	Praj
OG0000000	Prbg.g_01524	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbg.g_01567	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbg.g_01523	Praj.g_01307
OG0000000	Prbg.g_01568	Praj.g_01307
OG0000000	Prbg.g_01523	Praj.g_01359
OG0000000	Prbg.g_01568	Praj.g_01359
OG0000000	Prbg.g_01523	Praj.g_01732
OG0000000	Prbg.g_01568	Praj.g_01732
OG0000000	Prbg.g_01583	Praj.g_01100
OG0000001	Prbg.g_00502	Praj.g_01549
OG0000001	Prbg.g_01069	Praj.g_00463, Praj.g_01861
OG0000002	Prbg.g_01222	Praj.g_00832
OG0000002	Prbg.g_01516	Praj.g_01489
OG0000002	Prbg.g_00523, Prbg.g_01514	Praj.g_01488
OG0000002	Prbg.g_01521	Praj.g_01493, Praj.g_01487
OG0000002	Prbg.g_00694	Praj.g_01492
OG0000002	Prbg.g_01119	Praj.g_00670
OG0000004	Prbg.g_01140	Praj.g_01396
OG0000004	Prbg.g_01014	Praj.g_00271
OG0000005	Prbg.g_00674	Praj.g_01712
OG0000006	Prbg.g_01024	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Prbg.g_00216	Praj.g_00489
OG0000007	Prbg.g_01650	Praj.g_01768
OG0000008	Prbg.g_00744	Praj.g_01829
OG0000008	Prbg.g_00745	Praj.g_01830
OG0000010	Prbg.g_01053, Prbg.g_01348	Praj.g_01026
OG0000010	Prbg.g_00193	Praj.g_00466
OG0000011	Prbg.g_00415	Praj.g_01323
OG0000012	Prbg.g_00706	Praj.g_01066
OG0000013	Prbg.g_00104	Praj.g_00362
OG0000014	Prbg.g_00086	Praj.g_00341
OG0000015	Prbg.g_01589, Prbg.g_01635	Praj.g_01113
OG0000016	Prbg.g_01544	Praj.g_01865
OG0000017	Prbg.g_00317	Praj.g_00592
OG0000018	Prbg.g_01508	Praj.g_01482
OG0000018	Prbg.g_01187	Praj.g_00798
OG0000019	Prbg.g_01510	Praj.g_00747
OG0000020	Prbg.g_00698	Praj.g_01025
OG0000020	Prbg.g_00727	Praj.g_01139
OG0000021	Prbg.g_00699	Praj.g_01859
OG0000021	Prbg.g_01145	Praj.g_00084
OG0000022	Prbg.g_00682	Praj.g_01189
OG0000023	Prbg.g_00013	Praj.g_01365, Praj.g_01329
OG0000024	Prbg.g_01352	Praj.g_01134
OG0000024	Prbg.g_01116	Praj.g_00666
OG0000025	Prbg.g_01195	Praj.g_00805
OG0000026	Prbg.g_00842	Praj.g_00031
OG0000027	Prbg.g_00721	Praj.g_01331
OG0000028	Prbg.g_00743	Praj.g_01571
OG0000029	Prbg.g_00734, Prbg.g_01581	Praj.g_01745
OG0000030	Prbg.g_01858	Praj.g_02024
OG0000031	Prbg.g_00550	Praj.g_00371
OG0000032	Prbg.g_00630	Praj.g_01669
OG0000033	Prbg.g_00947	Praj.g_00209
OG0000034	Prbg.g_00488	Praj.g_01538
OG0000037	Prbg.g_00881	Praj.g_00147
OG0000038	Prbg.g_01898	Praj.g_02089
OG0000039	Prbg.g_01128	Praj.g_00679
OG0000041	Prbg.g_01697	Praj.g_01813
OG0000042	Prbg.g_01855	Praj.g_02020
OG0000043	Prbg.g_01507	Praj.g_00864
OG0000045	Prbg.g_01530	Praj.g_01049
OG0000046	Prbg.g_00105	Praj.g_00363
OG0000047	Prbg.g_00143	Praj.g_00408
OG0000048	Prbg.g_00464, Prbg.g_00050	Praj.g_00308
OG0000051	Prbg.g_00408	Praj.g_01339
OG0000052	Prbg.g_00816	Praj.g_00095
OG0000053	Prbg.g_01595, Prbg.g_00612	Praj.g_01651
OG0000054	Prbg.g_00326	Praj.g_00594
OG0000055	Prbg.g_01535	Praj.g_00733
OG0000055	Prbg.g_01624	Praj.g_01842
OG0000057	Prbg.g_01143	Praj.g_00691, Praj.g_01313
OG0000058	Prbg.g_00551	Praj.g_00839
OG0000059	Prbg.g_01737	Praj.g_01892
OG0000061	Prbg.g_01486	Praj.g_01461
OG0000062	Prbg.g_00676	Praj.g_01714
OG0000063	Prbg.g_00730	Praj.g_01867
OG0000065	Prbg.g_00879	Praj.g_00145
OG0000066	Prbg.g_00256	Praj.g_00530
OG0000067	Prbg.g_01159	Praj.g_00769
OG0000068	Prbg.g_00529	Praj.g_01575
OG0000069	Prbg.g_00174	Praj.g_01276, Praj.g_01675
OG0000070	Prbg.g_00170	Praj.g_00444
OG0000071	Prbg.g_00477	Praj.g_01528
OG0000072	Prbg.g_00949	Praj.g_00211
OG0000073	Prbg.g_00219	Praj.g_00491
OG0000074	Prbg.g_01064	Praj.g_00870
OG0000074	Prbg.g_01123	Praj.g_00674
OG0000075	Prbg.g_01821	Praj.g_01987
OG0000076	Prbg.g_01847	Praj.g_02012
OG0000077	Prbg.g_00791	Praj.g_00116
OG0000078	Prbg.g_01022	Praj.g_00280
OG0000079	Prbg.g_01035	Praj.g_00291
OG0000081	Prbg.g_00248	Praj.g_00522
OG0000082	Prbg.g_01639	Praj.g_01827
OG0000084	Prbg.g_00588	Praj.g_01628
OG0000085	Prbg.g_01642, Prbg.g_00716	Praj.g_01762
OG0000086	Prbg.g_00782	Praj.g_00126
OG0000087	Prbg.g_00913	Praj.g_00179
