Orthogroup	Prbg	Syad
OG0000001	Prbg.g_00502, Prbg.g_01069	Syad.g_00628
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syad.g_00619
OG0000004	Prbg.g_01140	Syad.g_01304
OG0000004	Prbg.g_01014	Syad.g_02184, Syad.g_00810
OG0000005	Prbg.g_00674	Syad.g_02596
OG0000006	Prbg.g_01024	Syad.g_00588, Syad.g_00829
OG0000007	Prbg.g_00216	Syad.g_00923
OG0000007	Prbg.g_01650	Syad.g_02623
OG0000008	Prbg.g_00745	Syad.g_01371
OG0000009	Prbg.g_00686	Syad.g_01952, Syad.g_00868
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syad.g_02354
OG0000011	Prbg.g_00415	Syad.g_02680
OG0000012	Prbg.g_00706	Syad.g_01702
OG0000012	Prbg.g_00342	Syad.g_02176
OG0000013	Prbg.g_00104	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbg.g_00086	Syad.g_00480
OG0000015	Prbg.g_01589, Prbg.g_01635	Syad.g_01600, Syad.g_01601
OG0000016	Prbg.g_01544	Syad.g_01460, Syad.g_02065
OG0000017	Prbg.g_00324	Syad.g_01091
OG0000017	Prbg.g_00317	Syad.g_01084
OG0000018	Prbg.g_01508, Prbg.g_01187	Syad.g_02306
OG0000019	Prbg.g_01032, Prbg.g_01510	Syad.g_00569
OG0000020	Prbg.g_00698, Prbg.g_00727	Syad.g_00845
OG0000021	Prbg.g_01145	Syad.g_00874
OG0000022	Prbg.g_00682	Syad.g_02090
OG0000023	Prbg.g_00013	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbg.g_01352, Prbg.g_01116	Syad.g_01374
OG0000025	Prbg.g_01195	Syad.g_01241
OG0000026	Prbg.g_00842	Syad.g_00198
OG0000027	Prbg.g_01569, Prbg.g_00721	Syad.g_01257
OG0000028	Prbg.g_00743	Syad.g_00463
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syad.g_02099
OG0000030	Prbg.g_01858	Syad.g_00328, Syad.g_00327
OG0000031	Prbg.g_00550	Syad.g_00294
OG0000032	Prbg.g_00630	Syad.g_02326
OG0000033	Prbg.g_00557	Syad.g_00289
OG0000033	Prbg.g_00947	Syad.g_02903
OG0000034	Prbg.g_00488	Syad.g_02420, Syad.g_02872
OG0000035	Prbg.g_00591	Syad.g_02275
OG0000037	Prbg.g_00881	Syad.g_02805
OG0000038	Prbg.g_01898	Syad.g_03038
OG0000039	Prbg.g_01128	Syad.g_01249, Syad.g_01111
OG0000041	Prbg.g_01697	Syad.g_02498
OG0000042	Prbg.g_01855	Syad.g_00333
OG0000043	Prbg.g_01507	Syad.g_02119
OG0000046	Prbg.g_00105	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Prbg.g_00143	Syad.g_00754
OG0000048	Prbg.g_00464, Prbg.g_00050	Syad.g_00534
OG0000050	Prbg.g_01055	Syad.g_02114
OG0000052	Prbg.g_00569	Syad.g_00434
OG0000053	Prbg.g_01595, Prbg.g_00612	Syad.g_02302
OG0000054	Prbg.g_00326	Syad.g_02209
OG0000055	Prbg.g_01535	Syad.g_01255
OG0000057	Prbg.g_01143	Syad.g_01301
OG0000058	Prbg.g_00551	Syad.g_00452
OG0000059	Prbg.g_01737	Syad.g_00642
OG0000061	Prbg.g_01486	Syad.g_01152
OG0000062	Prbg.g_00676	Syad.g_02598
OG0000063	Prbg.g_00730	Syad.g_00202
OG0000064	Prbg.g_00802	Syad.g_00873, Syad.g_00081, Syad.g_02125
OG0000065	Prbg.g_00879	Syad.g_02574, Syad.g_02801
OG0000066	Prbg.g_00256	Syad.g_00992
OG0000067	Prbg.g_01159	Syad.g_01889
OG0000068	Prbg.g_00529	Syad.g_00891
OG0000070	Prbg.g_00170	Syad.g_02424
OG0000071	Prbg.g_00477	Syad.g_02405
OG0000072	Prbg.g_00949	Syad.g_02905
OG0000073	Prbg.g_00219	Syad.g_00926
OG0000075	Prbg.g_01821	Syad.g_00416
OG0000076	Prbg.g_01847	Syad.g_00348
OG0000077	Prbg.g_00791	Syad.g_02741
OG0000078	Prbg.g_01022	Syad.g_00824
OG0000079	Prbg.g_01035	Syad.g_00565
OG0000081	Prbg.g_00248	Syad.g_00833
OG0000082	Prbg.g_00304, Prbg.g_01639	Syad.g_01063
OG0000084	Prbg.g_00588	Syad.g_02272
OG0000085	Prbg.g_01642, Prbg.g_00716	Syad.g_02612
OG0000086	Prbg.g_00782	Syad.g_02770
OG0000087	Prbg.g_00913	Syad.g_02860
OG0000088	Prbg.g_00944	Syad.g_02899
OG0000089	Prbg.g_00137	Syad.g_00785, Syad.g_02829
OG0000090	Prbg.g_00250	Syad.g_00977
OG0000091	Prbg.g_01414	Syad.g_02144
OG0000092	Prbg.g_01089	Syad.g_01190
OG0000097	Prbg.g_01440	Syad.g_01458
OG0000098	Prbg.g_00505	Syad.g_00625
OG0000099	Prbg.g_00552	Syad.g_00460
OG0000100	Prbg.g_00670	Syad.g_01846
OG0000101	Prbg.g_01785	Syad.g_00694
OG0000102	Prbg.g_01852	Syad.g_00343
OG0000103	Prbg.g_01937	Syad.g_00143
OG0000104	Prbg.g_00763	Syad.g_00158
OG0000105	Prbg.g_00053	Syad.g_00530
OG0000106	Prbg.g_00388	Syad.g_01993
OG0000107	Prbg.g_01714	Syad.g_00590
OG0000108	Prbg.g_00199	Syad.g_00904
OG0000109	Prbg.g_00213	Syad.g_00919
OG0000110	Prbg.g_00293	Syad.g_01048
OG0000111	Prbg.g_01144	Syad.g_01300
OG0000112	Prbg.g_00366	Syad.g_01766
OG0000113	Prbg.g_01182	Syad.g_01851
OG0000114	Prbg.g_01084	Syad.g_01617
OG0000115	Prbg.g_01555	Syad.g_02300
OG0000116	Prbg.g_01497	Syad.g_01123
OG0000117	Prbg.g_01459	Syad.g_01510
OG0000118	Prbg.g_00490	Syad.g_01104
OG0000119	Prbg.g_01540, Prbg.g_00688	Syad.g_01168
OG0000120	Prbg.g_00549	Syad.g_00459
OG0000121	Prbg.g_00593	Syad.g_02280
OG0000122	Prbg.g_00448, Prbg.g_00634	Syad.g_02122
OG0000123	Prbg.g_01792	Syad.g_00701
OG0000124	Prbg.g_01864	Syad.g_00320
OG0000125	Prbg.g_01900	Syad.g_03040
OG0000126	Prbg.g_00762	Syad.g_00156
OG0000128	Prbg.g_00778	Syad.g_00174
OG0000129	Prbg.g_00829	Syad.g_03028
OG0000130	Prbg.g_00800	Syad.g_02728
OG0000131	Prbg.g_00922	Syad.g_02876
OG0000132	Prbg.g_00942	Syad.g_02897
OG0000133	Prbg.g_00100	Syad.g_01761
OG0000134	Prbg.g_00139	Syad.g_00788
OG0000135	Prbg.g_00459	Syad.g_00063
OG0000136	Prbg.g_00161	Syad.g_02445
OG0000137	Prbg.g_00194	Syad.g_02353
OG0000138	Prbg.g_00214	Syad.g_00920
OG0000139	Prbg.g_00254	Syad.g_00983
OG0000140	Prbg.g_00255	Syad.g_00987
OG0000141	Prbg.g_00327	Syad.g_02208
OG0000142	Prbg.g_01422	Syad.g_02152
OG0000143	Prbg.g_01418	Syad.g_02148
OG0000144	Prbg.g_01404	Syad.g_02024
OG0000145	Prbg.g_00461	Syad.g_00927
OG0000146	Prbg.g_00365	Syad.g_01767
OG0000147	Prbg.g_00364	Syad.g_01768
OG0000148	Prbg.g_01176	Syad.g_01861
OG0000149	Prbg.g_01208	Syad.g_01221
OG0000150	Prbg.g_01218	Syad.g_02207, Syad.g_00989
OG0000151	Prbg.g_01094	Syad.g_01956
OG0000152	Prbg.g_01287	Syad.g_01757
OG0000153	Prbg.g_01306	Syad.g_01713
OG0000154	Prbg.g_01326	Syad.g_01686
OG0000155	Prbg.g_01465	Syad.g_01189
OG0000156	Prbg.g_00466	Syad.g_01116
OG0000157	Prbg.g_00467	Syad.g_01115
OG0000158	Prbg.g_01829	Syad.g_00374
OG0000160	Prbg.g_00592	Syad.g_02279
OG0000161	Prbg.g_00598	Syad.g_02287
OG0000162	Prbg.g_00604	Syad.g_02293
OG0000163	Prbg.g_00643	Syad.g_02542
OG0000164	Prbg.g_01674	Syad.g_02659
OG0000165	Prbg.g_01681	Syad.g_02476
OG0000166	Prbg.g_01748	Syad.g_00654
OG0000167	Prbg.g_01819	Syad.g_00419
OG0000168	Prbg.g_01830	Syad.g_00371
OG0000169	Prbg.g_01840	Syad.g_00360
OG0000170	Prbg.g_01843	Syad.g_00353
OG0000171	Prbg.g_01863	Syad.g_00321
OG0000172	Prbg.g_01870	Syad.g_00244
OG0000173	Prbg.g_01885	Syad.g_00220
OG0000174	Prbg.g_01915	Syad.g_00065
OG0000175	Prbg.g_01928	Syad.g_00129
OG0000176	Prbg.g_00771	Syad.g_00166
OG0000177	Prbg.g_00772	Syad.g_00167
OG0000178	Prbg.g_00773	Syad.g_00168
OG0000179	Prbg.g_00858	Syad.g_00183
OG0000180	Prbg.g_00857	Syad.g_00184
OG0000181	Prbg.g_00856	Syad.g_00185
OG0000182	Prbg.g_00855	Syad.g_00186
OG0000183	Prbg.g_00851	Syad.g_00190
OG0000184	Prbg.g_00825	Syad.g_03018
OG0000185	Prbg.g_00822	Syad.g_03006
OG0000186	Prbg.g_00806	Syad.g_02722
OG0000187	Prbg.g_00805	Syad.g_02724
OG0000188	Prbg.g_00788	Syad.g_02759
OG0000189	Prbg.g_00866	Syad.g_02788
OG0000190	Prbg.g_00868	Syad.g_02790
OG0000191	Prbg.g_00891	Syad.g_02824
OG0000192	Prbg.g_00896	Syad.g_02834
OG0000193	Prbg.g_00923	Syad.g_02877
OG0000194	Prbg.g_00926	Syad.g_02880
OG0000195	Prbg.g_00928	Syad.g_02884
OG0000196	Prbg.g_00939	Syad.g_02894
OG0000197	Prbg.g_00940	Syad.g_02895
OG0000198	Prbg.g_00941	Syad.g_02896
OG0000199	Prbg.g_00948	Syad.g_02904
OG0000200	Prbg.g_00962	Syad.g_02921
OG0000201	Prbg.g_00971	Syad.g_02937
OG0000202	Prbg.g_00972	Syad.g_02938
OG0000203	Prbg.g_00973	Syad.g_02939
OG0000204	Prbg.g_00974	Syad.g_02940
OG0000205	Prbg.g_00981	Syad.g_02948
OG0000206	Prbg.g_00986	Syad.g_02955
OG0000207	Prbg.g_00989	Syad.g_02957
OG0000208	Prbg.g_00990	Syad.g_02958
OG0000209	Prbg.g_00999	Syad.g_02981
OG0000210	Prbg.g_01000	Syad.g_02982
OG0000211	Prbg.g_01015	Syad.g_00813
OG0000212	Prbg.g_01023	Syad.g_00825
OG0000213	Prbg.g_01041	Syad.g_00556
OG0000214	Prbg.g_00046	Syad.g_00538
OG0000215	Prbg.g_00073	Syad.g_00508
OG0000216	Prbg.g_00074	Syad.g_00504, Syad.g_00285
OG0000217	Prbg.g_00077	Syad.g_00500
OG0000218	Prbg.g_00079	Syad.g_00498
OG0000219	Prbg.g_00080	Syad.g_00497
OG0000220	Prbg.g_00081	Syad.g_00496
OG0000221	Prbg.g_00082	Syad.g_00488
