Orthogroup	Prbg	Syae
OG0000001	Prbg.g_00502, Prbg.g_01069	Syae.g_02061
OG0000004	Prbg.g_01140	Syae.g_00779
OG0000004	Prbg.g_01014	Syae.g_00042, Syae.g_02231
OG0000005	Prbg.g_00674	Syae.g_01143
OG0000006	Prbg.g_01024	Syae.g_02030, Syae.g_02248
OG0000007	Prbg.g_00216	Syae.g_02328
OG0000007	Prbg.g_01650	Syae.g_01163
OG0000008	Prbg.g_00744	Syae.g_00753
OG0000008	Prbg.g_00745	Syae.g_00752
OG0000009	Prbg.g_00686	Syae.g_00561, Syae.g_00171
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Syae.g_02529
OG0000012	Prbg.g_00342	Syae.g_00049
OG0000013	Prbg.g_00104	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prbg.g_00086	Syae.g_01930
OG0000015	Prbg.g_01589, Prbg.g_01635	Syae.g_00590
OG0000016	Prbg.g_01544	Syae.g_00681, Syae.g_00233
OG0000017	Prbg.g_00324	Syae.g_02469
OG0000017	Prbg.g_00317	Syae.g_02462
OG0000018	Prbg.g_01508, Prbg.g_01187	Syae.g_02625
OG0000019	Prbg.g_01032, Prbg.g_01510	Syae.g_02015
OG0000021	Prbg.g_00699	Syae.g_01261
OG0000022	Prbg.g_00682	Syae.g_00144
OG0000023	Prbg.g_00013	Syae.g_00439, Syae.g_00930
OG0000025	Prbg.g_01195	Syae.g_00833
OG0000026	Prbg.g_00842	Syae.g_01748
OG0000027	Prbg.g_01569, Prbg.g_00721	Syae.g_00103, Syae.g_00814
OG0000028	Prbg.g_00743	Syae.g_01916
OG0000029	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581	Syae.g_00136
OG0000030	Prbg.g_01858	Syae.g_01817, Syae.g_01816
OG0000032	Prbg.g_00630	Syae.g_02607
OG0000033	Prbg.g_00947	Syae.g_01453
OG0000034	Prbg.g_00488	Syae.g_00975, Syae.g_01424
OG0000035	Prbg.g_00591	Syae.g_02653
OG0000037	Prbg.g_00881	Syae.g_01367
OG0000038	Prbg.g_01898	Syae.g_01571
OG0000039	Prbg.g_01128	Syae.g_00822, Syae.g_02495
OG0000041	Prbg.g_01697	Syae.g_01042
OG0000042	Prbg.g_01855	Syae.g_01821
OG0000043	Prbg.g_01507	Syae.g_00117
OG0000046	Prbg.g_00105	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Prbg.g_00143	Syae.g_02184
OG0000048	Prbg.g_00464, Prbg.g_00050	Syae.g_01982
OG0000050	Prbg.g_01055	Syae.g_00122
OG0000052	Prbg.g_00569	Syae.g_01886
