locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syad.g_00001	gene	702				
Syad.g_00001	CDS	702				hypothetical protein
Syad.g_00002	gene	489				
Syad.g_00002	CDS	489				hypothetical protein
Syad.g_00003	gene	417				
Syad.g_00003	CDS	417				hypothetical protein
Syad.g_00004	gene	522				
Syad.g_00004	CDS	522				hypothetical protein
Syad.g_00005	gene	492				
Syad.g_00005	CDS	492				hypothetical protein
Syad.g_00006	gene	96				
Syad.g_00006	CDS	96				hypothetical protein
Syad.g_00007	gene	435				
Syad.g_00007	CDS	435				hypothetical protein
Syad.g_00008	gene	420				
Syad.g_00008	CDS	420				hypothetical protein
Syad.g_00009	gene	2049	ligA			
Syad.g_00009	CDS	2049	ligA	6.5.1.2	COG0272	DNA ligase
Syad.g_00010	gene	939				
Syad.g_00010	CDS	939				hypothetical protein
Syad.g_00011	gene	720				
Syad.g_00011	CDS	720				hypothetical protein
Syad.g_00012	gene	183				
Syad.g_00012	CDS	183				hypothetical protein
Syad.g_00013	gene	591				
Syad.g_00013	CDS	591				hypothetical protein
Syad.g_00014	gene	789				
Syad.g_00014	CDS	789				hypothetical protein
Syad.g_00015	gene	798				
Syad.g_00015	CDS	798				hypothetical protein
Syad.g_00016	gene	98				
Syad.g_00016	tRNA	98				tRNA-Tyr(gta)
Syad.g_00017	gene	168				
Syad.g_00017	CDS	168				hypothetical protein
Syad.g_00018	gene	519				
Syad.g_00018	CDS	519				hypothetical protein
Syad.g_00019	gene	2385				
Syad.g_00019	CDS	2385				hypothetical protein
Syad.g_00020	gene	2820	valS			
Syad.g_00020	CDS	2820	valS	6.1.1.9	COG0525	Valine--tRNA ligase
Syad.g_00021	gene	1257				
Syad.g_00021	CDS	1257				hypothetical protein
Syad.g_00022	gene	1314				
Syad.g_00022	CDS	1314				hypothetical protein
Syad.g_00023	gene	624				
Syad.g_00023	CDS	624				hypothetical protein
Syad.g_00024	gene	462				
Syad.g_00024	CDS	462				hypothetical protein
Syad.g_00025	gene	258				
Syad.g_00025	CDS	258				hypothetical protein
Syad.g_00026	gene	915				
Syad.g_00026	CDS	915				hypothetical protein
Syad.g_00027	gene	1977	norR			
Syad.g_00027	CDS	1977	norR			Anaerobic nitric oxide reductase transcription regulator NorR
Syad.g_00028	gene	408	zur			
Syad.g_00028	CDS	408	zur		COG0735	Zinc uptake regulation protein
Syad.g_00029	gene	741				
Syad.g_00029	CDS	741				hypothetical protein
Syad.g_00030	gene	198				
Syad.g_00030	CDS	198				hypothetical protein
Syad.g_00031	gene	237				
Syad.g_00031	CDS	237				hypothetical protein
Syad.g_00032	gene	201				
Syad.g_00032	CDS	201				hypothetical protein
Syad.g_00033	gene	231				
Syad.g_00033	CDS	231				hypothetical protein
Syad.g_00034	gene	132				
Syad.g_00034	CDS	132				hypothetical protein
Syad.g_00035	gene	345				
