Orthogroup	Prbg	Syab
OG0000001	Prbg.g_00502	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syab.g_02285
OG0000004	Prbg.g_01140	Syab.g_00549, Syab.g_01193
OG0000004	Prbg.g_01014	Syab.g_01911, Syab.g_02377
OG0000005	Prbg.g_00674	Syab.g_02806, Syab.g_02232
OG0000006	Prbg.g_01024	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbg.g_00216	Syab.g_02117
OG0000007	Prbg.g_01650	Syab.g_02256
OG0000008	Prbg.g_00744	Syab.g_01755
OG0000008	Prbg.g_00745	Syab.g_01168
OG0000009	Prbg.g_00686	Syab.g_00995
OG0000010	Prbg.g_01053, Prbg.g_01348	Syab.g_00696
OG0000013	Prbg.g_00104	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prbg.g_00086	Syab.g_00249
OG0000015	Prbg.g_01589, Prbg.g_01635	Syab.g_02889
OG0000016	Prbg.g_01544	Syab.g_01049
OG0000017	Prbg.g_00317	Syab.g_01953
OG0000017	Prbg.g_00324	Syab.g_01945
OG0000018	Prbg.g_01508	Syab.g_00742
OG0000019	Prbg.g_01032, Prbg.g_01510	Syab.g_00344
OG0000020	Prbg.g_00698, Prbg.g_00727	Syab.g_02230
OG0000023	Prbg.g_00013	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbg.g_01352, Prbg.g_01116	Syab.g_01834
OG0000025	Prbg.g_01195	Syab.g_01705
OG0000026	Prbg.g_00842	Syab.g_00036
OG0000027	Prbg.g_00721, Prbg.g_01569	Syab.g_01782
OG0000028	Prbg.g_00743	Syab.g_00234
OG0000030	Prbg.g_01858	Syab.g_00096, Syab.g_00095
OG0000031	Prbg.g_00550	Syab.g_00160
OG0000032	Prbg.g_00630	Syab.g_00724
OG0000033	Prbg.g_00557	Syab.g_02590
OG0000034	Prbg.g_00488	Syab.g_00900, Syab.g_02560
OG0000035	Prbg.g_00591	Syab.g_00776, Syab.g_00778
OG0000037	Prbg.g_00881	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prbg.g_01898	Syab.g_02759, Syab.g_02761
OG0000039	Prbg.g_01128	Syab.g_02791
OG0000041	Prbg.g_01697	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prbg.g_01855	Syab.g_01019, Syab.g_00099
OG0000043	Prbg.g_01507	Syab.g_02802, Syab.g_01785, Syab.g_01539
OG0000046	Prbg.g_00105	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Prbg.g_00143	Syab.g_00876
OG0000048	Prbg.g_00464	Syab.g_00308
OG0000051	Prbg.g_00408	Syab.g_01073
OG0000052	Prbg.g_00816	Syab.g_00214
OG0000053	Prbg.g_00612, Prbg.g_01595	Syab.g_00746
OG0000054	Prbg.g_00326	Syab.g_01932
OG0000057	Prbg.g_01143	Syab.g_01200
OG0000058	Prbg.g_00551	Syab.g_00227
OG0000059	Prbg.g_01737	Syab.g_00397
OG0000061	Prbg.g_01486	Syab.g_00969
OG0000062	Prbg.g_00676	Syab.g_02234
OG0000063	Prbg.g_00730	Syab.g_00040
OG0000064	Prbg.g_00802	Syab.g_00824, Syab.g_02808, Syab.g_01783, Syab.g_00997
OG0000065	Prbg.g_00879	Syab.g_02500, Syab.g_01768
OG0000066	Prbg.g_00256	Syab.g_01516, Syab.g_02031
OG0000067	Prbg.g_01159	Syab.g_01659
OG0000068	Prbg.g_00529	Syab.g_02087
OG0000070	Prbg.g_00170	Syab.g_00614
OG0000071	Prbg.g_00477	Syab.g_00915
OG0000072	Prbg.g_00949	Syab.g_02593
OG0000073	Prbg.g_00219	Syab.g_02119
OG0000075	Prbg.g_01821	Syab.g_00202
OG0000076	Prbg.g_01847	Syab.g_00113
OG0000077	Prbg.g_00791	Syab.g_02446
OG0000078	Prbg.g_01022	Syab.g_02366
OG0000079	Prbg.g_01035	Syab.g_00340
OG0000080	Prbg.g_00563, Prbg.g_00565	Syab.g_00140
OG0000081	Prbg.g_00248	Syab.g_01793
OG0000082	Prbg.g_00304, Prbg.g_01639	Syab.g_01971
