Orthogroup	Prbg	Syac
OG0000001	Prbg.g_00502	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syac.g_01084
OG0000004	Prbg.g_01140	Syac.g_00898
OG0000004	Prbg.g_01014	Syac.g_00948, Syac.g_01975
OG0000005	Prbg.g_00674	Syac.g_00569
OG0000006	Prbg.g_01024	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prbg.g_00216	Syac.g_01885
OG0000007	Prbg.g_01650	Syac.g_00544
OG0000008	Prbg.g_00744	Syac.g_00921
OG0000008	Prbg.g_00745	Syac.g_00922
OG0000010	Prbg.g_01053, Prbg.g_01348	Syac.g_01701
OG0000012	Prbg.g_00342	Syac.g_00955
OG0000013	Prbg.g_00104	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prbg.g_00086	Syac.g_00253
OG0000015	Prbg.g_01589, Prbg.g_01635	Syac.g_01408
OG0000016	Prbg.g_01544	Syac.g_01505, Syac.g_01053
OG0000017	Prbg.g_00317	Syac.g_01749
OG0000017	Prbg.g_00324	Syac.g_01742
OG0000018	Prbg.g_01508	Syac.g_01660
OG0000019	Prbg.g_01032, Prbg.g_01510	Syac.g_02207
OG0000023	Prbg.g_00013	Syac.g_00760
OG0000024	Prbg.g_01352, Prbg.g_01116	Syac.g_00925
OG0000025	Prbg.g_01195	Syac.g_00847
OG0000026	Prbg.g_00842	Syac.g_00034
OG0000027	Prbg.g_00721, Prbg.g_01569	Syac.g_01095, Syac.g_01009
OG0000028	Prbg.g_00743	Syac.g_00237
OG0000029	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740	Syac.g_01942
OG0000030	Prbg.g_01858	Syac.g_00143, Syac.g_00142
OG0000031	Prbg.g_00550	Syac.g_00232
OG0000032	Prbg.g_00630	Syac.g_01677
OG0000033	Prbg.g_00557	Syac.g_00304
OG0000034	Prbg.g_00488	Syac.g_00334, Syac.g_00715
OG0000035	Prbg.g_00591	Syac.g_01630
OG0000037	Prbg.g_00881	Syac.g_01077
OG0000038	Prbg.g_01898	Syac.g_02357, Syac.g_02358
OG0000039	Prbg.g_01128	Syac.g_00856, Syac.g_02378
OG0000041	Prbg.g_01697	Syac.g_00655, Syac.g_00876
OG0000042	Prbg.g_01855	Syac.g_00146
OG0000043	Prbg.g_01507	Syac.g_00808, Syac.g_01100
OG0000046	Prbg.g_00105	Syac.g_02055, Syac.g_02047, Syac.g_02063
OG0000047	Prbg.g_00143	Syac.g_02031
OG0000048	Prbg.g_00464	Syac.g_02240
OG0000052	Prbg.g_00816	Syac.g_00207
OG0000053	Prbg.g_00612, Prbg.g_01595	Syac.g_01657
OG0000054	Prbg.g_00326	Syac.g_00933, Syac.g_01050
OG0000055	Prbg.g_01624	Syac.g_01034
OG0000057	Prbg.g_01143	Syac.g_00894
OG0000058	Prbg.g_00551	Syac.g_00226
OG0000059	Prbg.g_01737	Syac.g_02142
OG0000061	Prbg.g_01486	Syac.g_00769
OG0000062	Prbg.g_00676	Syac.g_00567
OG0000063	Prbg.g_00730	Syac.g_00037
OG0000064	Prbg.g_00802	Syac.g_00575, Syac.g_01567
OG0000065	Prbg.g_00879	Syac.g_00396, Syac.g_00490
OG0000066	Prbg.g_00256	Syac.g_01827
OG0000067	Prbg.g_01159	Syac.g_01341
OG0000068	Prbg.g_00529	Syac.g_01916
OG0000069	Prbg.g_00174	Syac.g_01272
OG0000070	Prbg.g_00170	Syac.g_00711
OG0000071	Prbg.g_00477	Syac.g_01049, Syac.g_00729
OG0000072	Prbg.g_00949	Syac.g_00302
OG0000073	Prbg.g_00219	Syac.g_01883
OG0000075	Prbg.g_01821	Syac.g_00191
OG0000076	Prbg.g_01847	Syac.g_00156
OG0000077	Prbg.g_00791	Syac.g_00439
OG0000078	Prbg.g_01022	Syac.g_01964
OG0000079	Prbg.g_01035	Syac.g_02211
OG0000081	Prbg.g_00248	Syac.g_01954, Syac.g_00461
OG0000082	Prbg.g_00304, Prbg.g_01639	Syac.g_01766
OG0000084	Prbg.g_00588	Syac.g_00822, Syac.g_01627
OG0000085	Prbg.g_00716, Prbg.g_01642	Syac.g_00560
OG0000086	Prbg.g_00782	Syac.g_00423
OG0000087	Prbg.g_00913	Syac.g_00343
