Orthogroup	Prbg	Prae
OG0000000	Prbg.g_01567	Prae.g_01580
OG0000001	Prbg.g_00502	Prae.g_01353
OG0000002	Prbg.g_01222, Prbg.g_01227	Prae.g_01361
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Prae.g_00652
OG0000004	Prbg.g_01140	Prae.g_00669
OG0000004	Prbg.g_01014	Prae.g_00235
OG0000005	Prbg.g_00674	Prae.g_01535
OG0000006	Prbg.g_01024	Prae.g_00244
OG0000007	Prbg.g_00216	Prae.g_00471
OG0000007	Prbg.g_01650	Prae.g_01623
OG0000009	Prbg.g_00686	Prae.g_01270
OG0000010	Prbg.g_00193	Prae.g_00448
OG0000010	Prbg.g_01053, Prbg.g_01348	Prae.g_01048
OG0000011	Prbg.g_00415	Prae.g_00398
OG0000012	Prbg.g_00342, Prbg.g_00706	Prae.g_00597
OG0000013	Prbg.g_00104	Prae.g_00328
OG0000014	Prbg.g_00086	Prae.g_00307
OG0000015	Prbg.g_01589, Prbg.g_01635	Prae.g_00769, Prae.g_01235
OG0000017	Prbg.g_00317, Prbg.g_00324	Prae.g_00572
OG0000018	Prbg.g_01187	Prae.g_00833
OG0000018	Prbg.g_01508	Prae.g_01144
OG0000019	Prbg.g_01032	Prae.g_00252
OG0000019	Prbg.g_01510	Prae.g_00786
OG0000021	Prbg.g_00699, Prbg.g_01145	Prae.g_01600, Prae.g_00364
OG0000022	Prbg.g_00682	Prae.g_00764
OG0000023	Prbg.g_00013	Prae.g_00359
OG0000024	Prbg.g_01352	Prae.g_00748
OG0000024	Prbg.g_01116	Prae.g_00649
OG0000025	Prbg.g_01195	Prae.g_00332, Prae.g_00840
OG0000026	Prbg.g_00842	Prae.g_00031, Prae.g_01056
OG0000027	Prbg.g_00721, Prbg.g_01569	Prae.g_00444, Prae.g_01311
OG0000029	Prbg.g_00734, Prbg.g_01581	Prae.g_00755
OG0000029	Prbg.g_01740	Prae.g_00375
OG0000030	Prbg.g_01858	Prae.g_01825
OG0000031	Prbg.g_00550	Prae.g_01402, Prae.g_01391
OG0000033	Prbg.g_00557	Prae.g_01396
OG0000034	Prbg.g_00488	Prae.g_01339
OG0000035	Prbg.g_00591	Prae.g_01459
OG0000037	Prbg.g_00881	Prae.g_00108
OG0000038	Prbg.g_01898	Prae.g_01865
OG0000039	Prbg.g_01128	Prae.g_00660
OG0000041	Prbg.g_01697	Prae.g_01669
OG0000042	Prbg.g_01855	Prae.g_01822
OG0000043	Prbg.g_01507	Prae.g_00876
OG0000048	Prbg.g_00464, Prbg.g_00050	Prae.g_00374
OG0000052	Prbg.g_00569	Prae.g_01416
OG0000053	Prbg.g_00612, Prbg.g_01595	Prae.g_01479
OG0000054	Prbg.g_00326	Prae.g_00580
OG0000055	Prbg.g_01535, Prbg.g_01624	Prae.g_00787
OG0000057	Prbg.g_01143	Prae.g_00672
OG0000058	Prbg.g_00551	Prae.g_01417, Prae.g_01406
OG0000059	Prbg.g_01737	Prae.g_01710
OG0000061	Prbg.g_01486	Prae.g_01163
OG0000062	Prbg.g_00676	Prae.g_01537
OG0000065	Prbg.g_00879	Prae.g_00106
OG0000066	Prbg.g_00256	Prae.g_00514
OG0000067	Prbg.g_01159	Prae.g_00806
OG0000068	Prbg.g_00529	Prae.g_01368
OG0000069	Prbg.g_00174	Prae.g_01573
OG0000070	Prbg.g_00170	Prae.g_00424
OG0000071	Prbg.g_00477	Prae.g_01329
OG0000072	Prbg.g_00949	Prae.g_00174
OG0000073	Prbg.g_00219	Prae.g_00473
OG0000074	Prbg.g_01123, Prbg.g_01064, Prbg.g_00021	Prae.g_00656
OG0000075	Prbg.g_01821	Prae.g_01791
OG0000076	Prbg.g_01847	Prae.g_01815
OG0000077	Prbg.g_00791	Prae.g_00078
OG0000078	Prbg.g_01022	Prae.g_00242
OG0000079	Prbg.g_01035	Prae.g_00255
OG0000081	Prbg.g_00248	Prae.g_00505
OG0000082	Prbg.g_00304, Prbg.g_01639	Prae.g_00559
OG0000084	Prbg.g_00588	Prae.g_01455
OG0000085	Prbg.g_00716, Prbg.g_01642	Prae.g_01616
OG0000086	Prbg.g_00782	Prae.g_00088
OG0000087	Prbg.g_00913	Prae.g_00139
OG0000088	Prbg.g_00944	Prae.g_00169
OG0000089	Prbg.g_00137	Prae.g_00355
OG0000090	Prbg.g_00250	Prae.g_00508
OG0000091	Prbg.g_01414	Prae.g_00616
OG0000092	Prbg.g_01089	Prae.g_00913
OG0000093	Prbg.g_01385	Prae.g_00933
OG0000094	Prbg.g_01336	Prae.g_01021
OG0000095	Prbg.g_01234	Prae.g_01040
OG0000096	Prbg.g_00032	Prae.g_01110, Prae.g_01283
OG0000097	Prbg.g_01440	Prae.g_01204
OG0000098	Prbg.g_00505	Prae.g_01350
OG0000099	Prbg.g_00552	Prae.g_01390
OG0000100	Prbg.g_00670	Prae.g_01533
OG0000101	Prbg.g_01785	Prae.g_01758
OG0000102	Prbg.g_01852	Prae.g_01820
OG0000103	Prbg.g_01937	Prae.g_01899
OG0000104	Prbg.g_00763	Prae.g_01907
OG0000105	Prbg.g_00053	Prae.g_01440
OG0000106	Prbg.g_00388	Prae.g_00370
OG0000107	Prbg.g_01714	Prae.g_00385
OG0000108	Prbg.g_00199	Prae.g_00454
OG0000109	Prbg.g_00213	Prae.g_00468
OG0000110	Prbg.g_00293	Prae.g_00549
OG0000111	Prbg.g_01144	Prae.g_00673
OG0000112	Prbg.g_00366	Prae.g_00770
OG0000113	Prbg.g_01182	Prae.g_00828
OG0000114	Prbg.g_01084	Prae.g_00908
OG0000115	Prbg.g_01555	Prae.g_01102
OG0000116	Prbg.g_01497	Prae.g_01153
OG0000117	Prbg.g_01459	Prae.g_01263
OG0000118	Prbg.g_00490	Prae.g_01341
OG0000119	Prbg.g_01540, Prbg.g_00688	Prae.g_01364
OG0000120	Prbg.g_00549	Prae.g_01389
OG0000121	Prbg.g_00593	Prae.g_01461
OG0000122	Prbg.g_00448, Prbg.g_00634	Prae.g_01499
OG0000123	Prbg.g_01792	Prae.g_01766
OG0000124	Prbg.g_01864	Prae.g_01831
OG0000125	Prbg.g_01900	Prae.g_01867
OG0000126	Prbg.g_00762	Prae.g_01906
OG0000128	Prbg.g_00778	Prae.g_00011
OG0000129	Prbg.g_00829	Prae.g_00046
OG0000130	Prbg.g_00800	Prae.g_00069
OG0000131	Prbg.g_00922	Prae.g_00148
OG0000132	Prbg.g_00942	Prae.g_00167
OG0000133	Prbg.g_00100	Prae.g_00323
OG0000134	Prbg.g_00139	Prae.g_00356
OG0000135	Prbg.g_00459	Prae.g_00382
OG0000136	Prbg.g_00161	Prae.g_00415
OG0000137	Prbg.g_00194	Prae.g_00449
OG0000138	Prbg.g_00214	Prae.g_00469
OG0000139	Prbg.g_00254	Prae.g_00512
OG0000140	Prbg.g_00255	Prae.g_00513
OG0000141	Prbg.g_00327	Prae.g_00581
OG0000142	Prbg.g_01422	Prae.g_00609
OG0000143	Prbg.g_01418	Prae.g_00613
OG0000144	Prbg.g_01404	Prae.g_00626
OG0000145	Prbg.g_00461	Prae.g_00766
OG0000146	Prbg.g_00365	Prae.g_00771
OG0000147	Prbg.g_00364	Prae.g_00772
OG0000148	Prbg.g_01176	Prae.g_00822
OG0000149	Prbg.g_01208	Prae.g_00852
OG0000150	Prbg.g_01218	Prae.g_00860
OG0000151	Prbg.g_01094	Prae.g_00918
OG0000152	Prbg.g_01287	Prae.g_00964
OG0000153	Prbg.g_01306	Prae.g_00983
OG0000154	Prbg.g_01326	Prae.g_01014
OG0000155	Prbg.g_01465	Prae.g_01183
