Orthogroup	Prbg	Syap
OG0000001	Prbg.g_00502	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prbg.g_01014	Syap.g_01987
OG0000005	Prbg.g_00674	Syap.g_01218
OG0000006	Prbg.g_01024	Syap.g_02770
OG0000007	Prbg.g_00216	Syap.g_00275
OG0000007	Prbg.g_01650	Syap.g_00621
OG0000010	Prbg.g_01053, Prbg.g_01348	Syap.g_02757
OG0000013	Prbg.g_00104	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbg.g_00086	Syap.g_01675
OG0000015	Prbg.g_01589, Prbg.g_01635	Syap.g_02606, Syap.g_00786
OG0000016	Prbg.g_01544	Syap.g_00404
OG0000018	Prbg.g_01187	Syap.g_02708
OG0000018	Prbg.g_01508	Syap.g_02010
OG0000019	Prbg.g_01032, Prbg.g_01510	Syap.g_01586
OG0000025	Prbg.g_01195	Syap.g_01846
OG0000027	Prbg.g_00721, Prbg.g_01569	Syap.g_01440
OG0000028	Prbg.g_00743	Syap.g_01658
OG0000030	Prbg.g_01858	Syap.g_00787, Syap.g_00788
OG0000031	Prbg.g_00550	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prbg.g_00557	Syap.g_01198
OG0000034	Prbg.g_00488	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbg.g_00591	Syap.g_02125, Syap.g_02465
OG0000037	Prbg.g_00881	Syap.g_02492
OG0000038	Prbg.g_01898	Syap.g_00139
OG0000039	Prbg.g_01128	Syap.g_01749, Syap.g_01748
OG0000041	Prbg.g_01697	Syap.g_01510
OG0000042	Prbg.g_01855	Syap.g_01891, Syap.g_01120
OG0000043	Prbg.g_01507	Syap.g_01998
OG0000045	Prbg.g_01530	Syap.g_02525
OG0000046	Prbg.g_00105	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbg.g_00464	Syap.g_02340
OG0000051	Prbg.g_00408	Syap.g_01574
OG0000053	Prbg.g_00612, Prbg.g_01595	Syap.g_02006
OG0000054	Prbg.g_00326	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prbg.g_01143	Syap.g_01569
OG0000058	Prbg.g_00551	Syap.g_02074
OG0000059	Prbg.g_01737	Syap.g_01918
OG0000061	Prbg.g_01486	Syap.g_00228
OG0000062	Prbg.g_00676	Syap.g_01220
OG0000063	Prbg.g_00730	Syap.g_01796
OG0000066	Prbg.g_00256	Syap.g_01972
OG0000067	Prbg.g_01159	Syap.g_00194
OG0000068	Prbg.g_00529	Syap.g_00108, Syap.g_00144
OG0000069	Prbg.g_00174	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prbg.g_00170	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prbg.g_00477	Syap.g_01483
OG0000072	Prbg.g_00949	Syap.g_00555
OG0000073	Prbg.g_00219	Syap.g_00273
OG0000075	Prbg.g_01821	Syap.g_01064, Syap.g_00664
OG0000076	Prbg.g_01847	Syap.g_01111
OG0000077	Prbg.g_00791	Syap.g_00416
OG0000078	Prbg.g_01022	Syap.g_01149
OG0000079	Prbg.g_01035	Syap.g_01589
OG0000080	Prbg.g_00563, Prbg.g_00565	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Prbg.g_00716, Prbg.g_01642	Syap.g_00611
OG0000087	Prbg.g_00913	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbg.g_00944	Syap.g_01202
OG0000089	Prbg.g_00137	Syap.g_00115, Syap.g_02042
OG0000090	Prbg.g_00250	Syap.g_01451
OG0000091	Prbg.g_01414	Syap.g_01861
OG0000094	Prbg.g_01336	Syap.g_02781
OG0000095	Prbg.g_01234	Syap.g_01556
OG0000098	Prbg.g_00505	Syap.g_01975
OG0000099	Prbg.g_00552	Syap.g_01385
OG0000101	Prbg.g_01785	Syap.g_00472
OG0000102	Prbg.g_01852	Syap.g_01116
OG0000103	Prbg.g_01937	Syap.g_02607, Syap.g_02608
OG0000104	Prbg.g_00763	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prbg.g_00053	Syap.g_01369, Syap.g_01368
OG0000107	Prbg.g_01714	Syap.g_02496
OG0000108	Prbg.g_00199	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prbg.g_00213	Syap.g_00279, Syap.g_02237
OG0000110	Prbg.g_00293	Syap.g_01313
OG0000111	Prbg.g_01144	Syap.g_01566, Syap.g_01568
OG0000112	Prbg.g_00366	Syap.g_02023
OG0000113	Prbg.g_01182	Syap.g_02714
OG0000114	Prbg.g_01084	Syap.g_01255
OG0000115	Prbg.g_01555	Syap.g_02004
OG0000116	Prbg.g_01497	Syap.g_00241
OG0000117	Prbg.g_01459	Syap.g_01889
OG0000118	Prbg.g_00490	Syap.g_02286
OG0000120	Prbg.g_00549	Syap.g_02075
OG0000121	Prbg.g_00593	Syap.g_02471
OG0000123	Prbg.g_01792	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prbg.g_01864	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prbg.g_01900	Syap.g_01046, Syap.g_01047
OG0000126	Prbg.g_00762	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prbg.g_00778	Syap.g_00069
OG0000129	Prbg.g_00829	Syap.g_00130, Syap.g_00129
OG0000130	Prbg.g_00800	Syap.g_01688, Syap.g_01689
OG0000131	Prbg.g_00922	Syap.g_02189
OG0000132	Prbg.g_00942	Syap.g_01205
OG0000133	Prbg.g_00100	Syap.g_02017
OG0000134	Prbg.g_00139	Syap.g_02047
OG0000135	Prbg.g_00459	Syap.g_02090
OG0000136	Prbg.g_00161	Syap.g_00089
OG0000137	Prbg.g_00194	Syap.g_02756
OG0000138	Prbg.g_00214	Syap.g_00278
OG0000139	Prbg.g_00254	Syap.g_00410
OG0000140	Prbg.g_00255	Syap.g_01976
OG0000141	Prbg.g_00327	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prbg.g_01422	Syap.g_00895, Syap.g_00894
OG0000143	Prbg.g_01418	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prbg.g_01404	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prbg.g_00461	Syap.g_01860, Syap.g_01859
OG0000146	Prbg.g_00365	Syap.g_02024
OG0000147	Prbg.g_00364	Syap.g_02025
OG0000148	Prbg.g_01176	Syap.g_02720
OG0000149	Prbg.g_01208	Syap.g_00824
OG0000150	Prbg.g_01218	Syap.g_01540
OG0000151	Prbg.g_01094	Syap.g_00142
OG0000152	Prbg.g_01287	Syap.g_02012
OG0000153	Prbg.g_01306	Syap.g_02682
OG0000154	Prbg.g_01326	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prbg.g_01465	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prbg.g_00466	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prbg.g_00467	Syap.g_00249, Syap.g_00286
OG0000158	Prbg.g_01829	Syap.g_01075
OG0000159	Prbg.g_00809	Syap.g_00852
OG0000160	Prbg.g_00592	Syap.g_02470, Syap.g_02469
OG0000161	Prbg.g_00598	Syap.g_02476
OG0000162	Prbg.g_00604	Syap.g_02531
OG0000164	Prbg.g_01674	Syap.g_01391, Syap.g_01392
OG0000165	Prbg.g_01681	Syap.g_01381, Syap.g_01382
OG0000166	Prbg.g_01748	Syap.g_00512, Syap.g_01238
OG0000167	Prbg.g_01819	Syap.g_02080
OG0000168	Prbg.g_01830	Syap.g_01076
OG0000169	Prbg.g_01840	Syap.g_01049, Syap.g_01093
OG0000170	Prbg.g_01843	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prbg.g_01863	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prbg.g_01870	Syap.g_01143, Syap.g_00635
OG0000173	Prbg.g_01885	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prbg.g_01915	Syap.g_02092
OG0000175	Prbg.g_01928	Syap.g_02654
OG0000176	Prbg.g_00771	Syap.g_00059
OG0000177	Prbg.g_00772	Syap.g_00061, Syap.g_00060
OG0000178	Prbg.g_00773	Syap.g_00062
OG0000179	Prbg.g_00858	Syap.g_00077, Syap.g_02638
OG0000180	Prbg.g_00857	Syap.g_00078, Syap.g_02640
OG0000181	Prbg.g_00856	Syap.g_00079, Syap.g_02641
OG0000182	Prbg.g_00855	Syap.g_00080, Syap.g_02642
OG0000183	Prbg.g_00851	Syap.g_00084
OG0000184	Prbg.g_00825	Syap.g_01337
OG0000185	Prbg.g_00822	Syap.g_01322
OG0000186	Prbg.g_00806	Syap.g_01684
OG0000187	Prbg.g_00805	Syap.g_01686
OG0000188	Prbg.g_00788	Syap.g_02547
OG0000191	Prbg.g_00891	Syap.g_02233
OG0000192	Prbg.g_00896	Syap.g_02224
OG0000193	Prbg.g_00923	Syap.g_02187, Syap.g_02188
OG0000194	Prbg.g_00926	Syap.g_02183
OG0000195	Prbg.g_00928	Syap.g_02180
OG0000196	Prbg.g_00939	Syap.g_01208, Syap.g_02167
OG0000197	Prbg.g_00940	Syap.g_01207, Syap.g_02166
OG0000198	Prbg.g_00941	Syap.g_01206
OG0000199	Prbg.g_00948	Syap.g_01197
OG0000200	Prbg.g_00962	Syap.g_01181
OG0000201	Prbg.g_00971	Syap.g_02265
OG0000202	Prbg.g_00972	Syap.g_02264
OG0000203	Prbg.g_00973	Syap.g_01601
OG0000204	Prbg.g_00974	Syap.g_01602
OG0000205	Prbg.g_00981	Syap.g_01616
OG0000206	Prbg.g_00986	Syap.g_01628
OG0000207	Prbg.g_00989	Syap.g_01426, Syap.g_00424
OG0000208	Prbg.g_00990	Syap.g_00426, Syap.g_01425
OG0000209	Prbg.g_00999	Syap.g_01906
OG0000210	Prbg.g_01000	Syap.g_01905
OG0000211	Prbg.g_01015	Syap.g_01160
OG0000212	Prbg.g_01023	Syap.g_02664
OG0000213	Prbg.g_01041	Syap.g_00107, Syap.g_01599
OG0000214	Prbg.g_00046	Syap.g_02344, Syap.g_02345
OG0000215	Prbg.g_00073	Syap.g_01347, Syap.g_01629
OG0000216	Prbg.g_00074	Syap.g_01634
OG0000217	Prbg.g_00077	Syap.g_01638
OG0000218	Prbg.g_00079	Syap.g_01641, Syap.g_01640
OG0000219	Prbg.g_00080	Syap.g_01642, Syap.g_01643
OG0000220	Prbg.g_00081	Syap.g_01645
