Orthogroup	Prbg	Syaj
OG0000001	Prbg.g_00502	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Syaj.g_02667
OG0000004	Prbg.g_01140	Syaj.g_00441
OG0000004	Prbg.g_01014	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbg.g_00674	Syaj.g_01698
OG0000006	Prbg.g_01024	Syaj.g_02635
OG0000007	Prbg.g_00216	Syaj.g_00091
OG0000007	Prbg.g_01650	Syaj.g_01721
OG0000008	Prbg.g_00744	Syaj.g_00496
OG0000008	Prbg.g_00745	Syaj.g_00497
OG0000009	Prbg.g_00686	Syaj.g_01069
OG0000010	Prbg.g_01053, Prbg.g_01348	Syaj.g_01445
OG0000012	Prbg.g_00342	Syaj.g_01306
OG0000012	Prbg.g_00706	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Prbg.g_00104	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prbg.g_00086	Syaj.g_02522
OG0000015	Prbg.g_01589, Prbg.g_01635	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prbg.g_01544	Syaj.g_00590, Syaj.g_01191
OG0000017	Prbg.g_00317	Syaj.g_00248
OG0000017	Prbg.g_00324	Syaj.g_00255
OG0000018	Prbg.g_01508	Syaj.g_01413
OG0000019	Prbg.g_01032, Prbg.g_01510	Syaj.g_02613
OG0000021	Prbg.g_00699, Prbg.g_01145	Syaj.g_00042
OG0000023	Prbg.g_00013	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbg.g_01352, Prbg.g_01116	Syaj.g_00500
OG0000025	Prbg.g_01195	Syaj.g_00383
OG0000026	Prbg.g_00842	Syaj.g_02298
OG0000027	Prbg.g_00721, Prbg.g_01569	Syaj.g_00396
OG0000028	Prbg.g_00743	Syaj.g_02506
OG0000029	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740	Syaj.g_01229
OG0000030	Prbg.g_01858	Syaj.g_02396, Syaj.g_02395
OG0000031	Prbg.g_00550	Syaj.g_02501
OG0000032	Prbg.g_00630	Syaj.g_01432
OG0000033	Prbg.g_00557	Syaj.g_01990
OG0000034	Prbg.g_00488	Syaj.g_01959
OG0000035	Prbg.g_00591	Syaj.g_01378
OG0000037	Prbg.g_00881	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbg.g_01898	Syaj.g_02115
OG0000039	Prbg.g_01128	Syaj.g_00392, Syaj.g_00275
OG0000041	Prbg.g_01697	Syaj.g_01602, Syaj.g_00418
OG0000042	Prbg.g_01855	Syaj.g_02399
OG0000043	Prbg.g_01507	Syaj.g_01085, Syaj.g_01247
OG0000046	Prbg.g_00105	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768
OG0000047	Prbg.g_00143	Syaj.g_02799
OG0000048	Prbg.g_00464	Syaj.g_02578
OG0000050	Prbg.g_01055	Syaj.g_01242
OG0000052	Prbg.g_00816	Syaj.g_02476
OG0000053	Prbg.g_00612, Prbg.g_01595	Syaj.g_01409
OG0000054	Prbg.g_00326	Syaj.g_01341
OG0000057	Prbg.g_01143	Syaj.g_00438
OG0000058	Prbg.g_00551	Syaj.g_02495
OG0000059	Prbg.g_01737	Syaj.g_02686
OG0000061	Prbg.g_01486	Syaj.g_00302
OG0000062	Prbg.g_00676	Syaj.g_01700
OG0000063	Prbg.g_00730	Syaj.g_02302
OG0000064	Prbg.g_00802	Syaj.g_00041, Syaj.g_01253
OG0000065	Prbg.g_00879	Syaj.g_01887, Syaj.g_00007
OG0000066	Prbg.g_00256	Syaj.g_00157
OG0000067	Prbg.g_01159	Syaj.g_01023
OG0000068	Prbg.g_00529	Syaj.g_00059
OG0000070	Prbg.g_00170	Syaj.g_01529
OG0000071	Prbg.g_00477	Syaj.g_01511
OG0000072	Prbg.g_00949	Syaj.g_01992
OG0000073	Prbg.g_00219	Syaj.g_00093
OG0000075	Prbg.g_01821	Syaj.g_02457
OG0000076	Prbg.g_01847	Syaj.g_02417
OG0000077	Prbg.g_00791	Syaj.g_01831
OG0000078	Prbg.g_01022	Syaj.g_02880
OG0000079	Prbg.g_01035	Syaj.g_02609
OG0000081	Prbg.g_00248	Syaj.g_02888
OG0000082	Prbg.g_00304, Prbg.g_01639	Syaj.g_00229
OG0000084	Prbg.g_00588	Syaj.g_01375
OG0000085	Prbg.g_00716, Prbg.g_01642	Syaj.g_01707
OG0000086	Prbg.g_00782	Syaj.g_01848
OG0000087	Prbg.g_00913	Syaj.g_01945
OG0000088	Prbg.g_00944	Syaj.g_01986
OG0000089	Prbg.g_00137	Syaj.g_02829, Syaj.g_01915
OG0000090	Prbg.g_00250	Syaj.g_00144
OG0000091	Prbg.g_01414	Syaj.g_01275
OG0000093	Prbg.g_01385	Syaj.g_01042
OG0000094	Prbg.g_01336	Syaj.g_00804
OG0000095	Prbg.g_01234	Syaj.g_00427
OG0000097	Prbg.g_01440	Syaj.g_00589
OG0000098	Prbg.g_00505	Syaj.g_02671
OG0000099	Prbg.g_00552	Syaj.g_02503
OG0000100	Prbg.g_00670	Syaj.g_00987
OG0000101	Prbg.g_01785	Syaj.g_02738
OG0000102	Prbg.g_01852	Syaj.g_02411
OG0000103	Prbg.g_01937	Syaj.g_02243
OG0000104	Prbg.g_00763	Syaj.g_02258
OG0000105	Prbg.g_00053	Syaj.g_02573
OG0000106	Prbg.g_00388	Syaj.g_01130
OG0000107	Prbg.g_01714	Syaj.g_02637
OG0000108	Prbg.g_00199	Syaj.g_00072
OG0000109	Prbg.g_00213	Syaj.g_00087
OG0000110	Prbg.g_00293	Syaj.g_00215
OG0000111	Prbg.g_01144	Syaj.g_00437
OG0000112	Prbg.g_00366	Syaj.g_00907
OG0000113	Prbg.g_01182	Syaj.g_00992
OG0000114	Prbg.g_01084	Syaj.g_00741
OG0000115	Prbg.g_01555	Syaj.g_01402
OG0000116	Prbg.g_01497	Syaj.g_00289
OG0000117	Prbg.g_01459	Syaj.g_00637
OG0000118	Prbg.g_00490	Syaj.g_00267
OG0000119	Prbg.g_01540, Prbg.g_00688	Syaj.g_00317
OG0000120	Prbg.g_00549	Syaj.g_02502
OG0000121	Prbg.g_00593	Syaj.g_01383
OG0000122	Prbg.g_00448, Prbg.g_00634	Syaj.g_01250
OG0000123	Prbg.g_01792	Syaj.g_02745
OG0000124	Prbg.g_01864	Syaj.g_02388
OG0000125	Prbg.g_01900	Syaj.g_02117
OG0000126	Prbg.g_00762	Syaj.g_02256
OG0000128	Prbg.g_00778	Syaj.g_02274
OG0000129	Prbg.g_00829	Syaj.g_02106
OG0000130	Prbg.g_00800	Syaj.g_01818
OG0000131	Prbg.g_00922	Syaj.g_01964
OG0000132	Prbg.g_00942	Syaj.g_00688, Syaj.g_01984
OG0000133	Prbg.g_00100	Syaj.g_00902
OG0000134	Prbg.g_00139	Syaj.g_02832
OG0000135	Prbg.g_00459	Syaj.g_02167
OG0000136	Prbg.g_00161	Syaj.g_01550
OG0000137	Prbg.g_00194	Syaj.g_01444
OG0000138	Prbg.g_00214	Syaj.g_00088
OG0000139	Prbg.g_00254	Syaj.g_00150
OG0000140	Prbg.g_00255	Syaj.g_00153
