Orthogroup	Syas	Syat
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syat.g_02908, Syat.g_02909
OG0000005	Syas.g_02665	Syat.g_03065
OG0000005	Syas.g_02704	Syat.g_03105
OG0000006	Syas.g_01684, Syas.g_02565	Syat.g_01439, Syat.g_01865
OG0000007	Syas.g_01232	Syat.g_03191
OG0000007	Syas.g_02681	Syat.g_03124
OG0000008	Syas.g_00886	Syat.g_02626
OG0000008	Syas.g_00887	Syat.g_02627
OG0000009	Syas.g_01450	Syat.g_01567
OG0000010	Syas.g_01334	Syat.g_01372
OG0000012	Syas.g_00111	Syat.g_03313
OG0000012	Syas.g_00827	Syat.g_02642
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Syat.g_01625
OG0000014	Syas.g_01816	Syat.g_02104
OG0000015	Syas.g_00968	Syat.g_00775, Syat.g_01677
OG0000016	Syas.g_02048	Syat.g_02329
OG0000016	Syas.g_01086	Syat.g_00909
OG0000016	Syas.g_01050	Syat.g_00222, Syat.g_00832
OG0000017	Syas.g_00849	Syat.g_00015
OG0000018	Syas.g_01290	Syat.g_01334
OG0000019	Syas.g_01696	Syat.g_01876
OG0000022	Syas.g_02758	Syat.g_00210
OG0000025	Syas.g_00231	Syat.g_00719
OG0000026	Syas.g_02070	Syat.g_02306
OG0000027	Syas.g_01480	Syat.g_00850
OG0000028	Syas.g_01793	Syat.g_02126
OG0000030	Syas.g_01644	Syat.g_00307
OG0000030	Syas.g_01645	Syat.g_00308
OG0000031	Syas.g_01827	Syat.g_02131
OG0000033	Syas.g_02328	Syat.g_02858
OG0000034	Syas.g_02371, Syas.g_02838	Syat.g_01165, Syat.g_02902
OG0000035	Syas.g_02814	Syat.g_01227
OG0000035	Syas.g_02818	Syat.g_01226
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syat.g_00849, Syat.g_00187
OG0000038	Syas.g_01885	Syat.g_02688
OG0000038	Syas.g_01887	Syat.g_02686
OG0000039	Syas.g_02795	Syat.g_01278
OG0000040	Syas.g_01972	Syat.g_02551
OG0000041	Syas.g_00996	Syat.g_00785
OG0000041	Syas.g_02585	Syat.g_03006
OG0000042	Syas.g_01121	Syat.g_00223
OG0000042	Syas.g_02147	Syat.g_02222
OG0000044	Syas.g_00894	Syat.g_00933
OG0000044	Syas.g_02453	Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syat.g_01626, Syat.g_01026
OG0000048	Syas.g_01734	Syat.g_02046
OG0000053	Syas.g_01287	Syat.g_01330
OG0000054	Syas.g_00957	Syat.g_03390
OG0000055	Syas.g_00203	Syat.g_00693
OG0000057	Syas.g_01055	Syat.g_02055
OG0000058	Syas.g_01151	Syat.g_01189
OG0000059	Syas.g_01639	Syat.g_01832
OG0000060	Syas.g_01343, Syas.g_01002	Syat.g_01383
OG0000060	Syas.g_00975	Syat.g_01047
OG0000061	Syas.g_01184	Syat.g_03260
OG0000062	Syas.g_02702	Syat.g_03107
OG0000063	Syas.g_02074	Syat.g_02303
OG0000064	Syas.g_02423	Syat.g_01568
OG0000065	Syas.g_02420	Syat.g_01571
OG0000066	Syas.g_00094	Syat.g_03283
OG0000067	Syas.g_00596	Syat.g_00479
OG0000067	Syas.g_00352	Syat.g_01324, Syat.g_02018
OG0000067	Syas.g_02346	Syat.g_02874
OG0000068	Syas.g_00969	Syat.g_00085
OG0000068	Syas.g_01261	Syat.g_01295
OG0000069	Syas.g_00876	Syat.g_00879
OG0000070	Syas.g_00173	Syat.g_01040
OG0000071	Syas.g_02854	Syat.g_01153
OG0000072	Syas.g_02326	Syat.g_02856
OG0000072	Syas.g_01524	Syat.g_01597
OG0000073	Syas.g_01230	Syat.g_03201
OG0000075	Syas.g_01921	Syat.g_02497
OG0000076	Syas.g_02156	Syat.g_02206
OG0000077	Syas.g_02510	Syat.g_01481
OG0000078	Syas.g_02561, Syas.g_02308	Syat.g_00184
OG0000079	Syas.g_01699	Syat.g_01879
OG0000080	Syas.g_02616, Syas.g_02149	Syat.g_01200
OG0000081	Syas.g_00391	Syat.g_00980
OG0000082	Syas.g_00837	Syat.g_00035
OG0000085	Syas.g_02695	Syat.g_03113
OG0000086	Syas.g_02470	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syas.g_02374	Syat.g_02912
OG0000089	Syas.g_01512	Syat.g_02953
OG0000090	Syas.g_00062	Syat.g_03270
OG0000091	Syas.g_00907	Syat.g_00939
OG0000091	Syas.g_00146	Syat.g_00862
OG0000092	Syas.g_00900, Syas.g_00877	Syat.g_00825
OG0000094	Syas.g_00208	Syat.g_00698
OG0000094	Syas.g_01716	Syat.g_01034
OG0000095	Syas.g_01021	Syat.g_00808
OG0000097	Syas.g_00114	Syat.g_00907
OG0000097	Syas.g_01443	Syat.g_00535
OG0000098	Syas.g_00091	Syat.g_03281
OG0000099	Syas.g_01826	Syat.g_02130
OG0000100	Syas.g_00567	Syat.g_00517
OG0000101	Syas.g_01589	Syat.g_01661
OG0000102	Syas.g_02152, Syas.g_01395	Syat.g_00974
OG0000103	Syas.g_02009	Syat.g_02399
OG0000104	Syas.g_02026	Syat.g_02385
OG0000105	Syas.g_01739	Syat.g_02052
OG0000106	Syas.g_01451	Syat.g_00957
OG0000107	Syas.g_01669	Syat.g_01862
OG0000108	Syas.g_01253	Syat.g_03170
OG0000109	Syas.g_01236	Syat.g_03187
OG0000110	Syas.g_00359, Syas.g_00818	Syat.g_00049
OG0000111	Syas.g_01037	Syat.g_00816
OG0000112	Syas.g_00452	Syat.g_00593
OG0000113	Syas.g_00571	Syat.g_00509
OG0000114	Syas.g_00252, Syas.g_00674	Syat.g_00426
OG0000115	Syas.g_02548, Syas.g_01285	Syat.g_01328
OG0000116	Syas.g_00317	Syat.g_02641
OG0000117	Syas.g_01122	Syat.g_00224
OG0000118	Syas.g_02835	Syat.g_01168
OG0000120	Syas.g_01828	Syat.g_02132
OG0000121	Syas.g_02821	Syat.g_01223
OG0000123	Syas.g_01582	Syat.g_01653
OG0000124	Syas.g_02137	Syat.g_02231
OG0000125	Syas.g_01889	Syat.g_02684
OG0000126	Syas.g_01992	Syat.g_00976
OG0000127	Syas.g_02540	Syat.g_00175
OG0000128	Syas.g_02046	Syat.g_02331
OG0000129	Syas.g_01880	Syat.g_02694
OG0000130	Syas.g_02522	Syat.g_01469
OG0000131	Syas.g_02367	Syat.g_02898
OG0000132	Syas.g_02334	Syat.g_02864
OG0000133	Syas.g_00457	Syat.g_00588
OG0000134	Syas.g_01509	Syat.g_02956
OG0000135	Syas.g_01938	Syat.g_02501
OG0000136	Syas.g_02740	Syat.g_01292
OG0000137	Syas.g_01333	Syat.g_01371
OG0000138	Syas.g_01235	Syat.g_03188
OG0000139	Syas.g_00069	Syat.g_03276
OG0000140	Syas.g_00090	Syat.g_03280
OG0000141	Syas.g_00875	Syat.g_03398
OG0000142	Syas.g_00746	Syat.g_00117
OG0000143	Syas.g_00742	Syat.g_00130
OG0000144	Syas.g_00718	Syat.g_00369
OG0000145	Syas.g_00948	Syat.g_03202
OG0000146	Syas.g_00451	Syat.g_00594
OG0000147	Syas.g_00450	Syat.g_00595
OG0000148	Syas.g_00577	Syat.g_00503
OG0000149	Syas.g_00282	Syat.g_00747
OG0000150	Syas.g_00874	Syat.g_03399
OG0000151	Syas.g_00148	Syat.g_00801
OG0000151	Syas.g_00659	Syat.g_00440
OG0000152	Syas.g_00461	Syat.g_00578
OG0000153	Syas.g_00543	Syat.g_00542
OG0000154	Syas.g_00219	Syat.g_00708
OG0000155	Syas.g_01131	Syat.g_00287
OG0000156	Syas.g_01206	Syat.g_03228
OG0000157	Syas.g_01207	Syat.g_02012, Syat.g_03227
OG0000158	Syas.g_02185	Syat.g_02163
OG0000159	Syas.g_01155	Syat.g_01187
OG0000160	Syas.g_02820	Syat.g_01224
OG0000161	Syas.g_02826	Syat.g_01180
OG0000162	Syas.g_02751	Syat.g_01281
OG0000163	Syas.g_01488	Syat.g_02979
OG0000164	Syas.g_02648	Syat.g_03040
OG0000165	Syas.g_02609	Syat.g_03033
OG0000166	Syas.g_01629	Syat.g_01822
OG0000167	Syas.g_01449	Syat.g_02148
OG0000168	Syas.g_02184	Syat.g_02164
OG0000169	Syas.g_02170	Syat.g_02192
OG0000170	Syas.g_02161	Syat.g_02201
OG0000171	Syas.g_02139	Syat.g_02230
OG0000172	Syas.g_02110	Syat.g_02260
OG0000173	Syas.g_02092	Syat.g_02284
OG0000174	Syas.g_01940	Syat.g_02504
OG0000175	Syas.g_01994	Syat.g_02416
OG0000176	Syas.g_02038	Syat.g_02372
OG0000177	Syas.g_02039	Syat.g_02338
OG0000178	Syas.g_02040	Syat.g_02337
OG0000179	Syas.g_02054	Syat.g_02322
OG0000180	Syas.g_02055	Syat.g_02321
OG0000181	Syas.g_02056	Syat.g_02320
OG0000182	Syas.g_02057	Syat.g_02319
OG0000183	Syas.g_02061	Syat.g_02315
OG0000184	Syas.g_01872	Syat.g_02704
OG0000185	Syas.g_01861	Syat.g_02719
OG0000186	Syas.g_02525	Syat.g_01463
OG0000187	Syas.g_02524	Syat.g_01467
OG0000188	Syas.g_02502	Syat.g_01489
OG0000189	Syas.g_02432	Syat.g_01557
OG0000190	Syas.g_00133	Syat.g_00330
OG0000191	Syas.g_02400	Syat.g_03344, Syat.g_02939
OG0000192	Syas.g_02395	Syat.g_02933
OG0000193	Syas.g_02366	Syat.g_02897
OG0000194	Syas.g_02363	Syat.g_02894
OG0000195	Syas.g_02360	Syat.g_02892
OG0000196	Syas.g_02337	Syat.g_02867
OG0000197	Syas.g_02336	Syat.g_02866
OG0000198	Syas.g_02335	Syat.g_02865
OG0000199	Syas.g_02327	Syat.g_02857
OG0000200	Syas.g_02298	Syat.g_02840
OG0000201	Syas.g_02279	Syat.g_02821
OG0000202	Syas.g_02278	Syat.g_02820
OG0000203	Syas.g_02277	Syat.g_02819
OG0000204	Syas.g_02276	Syat.g_02818
OG0000205	Syas.g_02267	Syat.g_02809
OG0000206	Syas.g_02240	Syat.g_02785
OG0000207	Syas.g_02237	Syat.g_02778
OG0000208	Syas.g_02236	Syat.g_02777
OG0000209	Syas.g_01837	Syat.g_02735
OG0000210	Syas.g_01838	Syat.g_02734
OG0000211	Syas.g_02552	Syat.g_01452
OG0000212	Syas.g_02562	Syat.g_01442
OG0000213	Syas.g_01707	Syat.g_01889
OG0000214	Syas.g_01730	Syat.g_02042
OG0000215	Syas.g_01766	Syat.g_02075
OG0000216	Syas.g_01770	Syat.g_02079
OG0000217	Syas.g_01778	Syat.g_02085
OG0000218	Syas.g_01780	Syat.g_02087
OG0000219	Syas.g_01783	Syat.g_02088
OG0000220	Syas.g_01784	Syat.g_02089
