Orthogroup	Syas	Prae
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prae.g_01353
OG0000004	Syas.g_00176	Prae.g_00669
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prae.g_00235
OG0000005	Syas.g_02665	Prae.g_01636
OG0000005	Syas.g_02704	Prae.g_01535
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prae.g_00244
OG0000007	Syas.g_01232	Prae.g_00471
OG0000007	Syas.g_02681	Prae.g_01623
OG0000010	Syas.g_01334	Prae.g_01048
OG0000012	Syas.g_00111, Syas.g_00827	Prae.g_00597
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prae.g_00328
OG0000014	Syas.g_01816	Prae.g_00307
OG0000015	Syas.g_02007, Syas.g_00968	Prae.g_00769, Prae.g_01235
OG0000016	Syas.g_02048	Prae.g_00013
OG0000017	Syas.g_00849, Syas.g_00856	Prae.g_00572
OG0000018	Syas.g_01290	Prae.g_01144
OG0000019	Syas.g_01696	Prae.g_00252, Prae.g_00786
OG0000022	Syas.g_02758	Prae.g_01125
OG0000025	Syas.g_00231	Prae.g_00332, Prae.g_00840
OG0000026	Syas.g_02070	Prae.g_00031, Prae.g_01056
OG0000027	Syas.g_01480	Prae.g_00444, Prae.g_01311
OG0000028	Syas.g_01793	Prae.g_00321
OG0000030	Syas.g_01644, Syas.g_01645	Prae.g_01825
OG0000033	Syas.g_02328	Prae.g_01396
OG0000034	Syas.g_02371, Syas.g_02838	Prae.g_01339
OG0000035	Syas.g_02814, Syas.g_02818	Prae.g_01459
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prae.g_00108
OG0000038	Syas.g_01885, Syas.g_01887	Prae.g_01865
OG0000039	Syas.g_02795	Prae.g_00660
OG0000040	Syas.g_02028	Prae.g_01597
OG0000040	Syas.g_01972	Prae.g_01143
OG0000041	Syas.g_00996, Syas.g_02585	Prae.g_01669
OG0000042	Syas.g_01121, Syas.g_02147	Prae.g_01822
OG0000048	Syas.g_01734	Prae.g_00374
OG0000051	Syas.g_01445	Prae.g_01602, Prae.g_01294
OG0000053	Syas.g_01287	Prae.g_01479
OG0000054	Syas.g_00961, Syas.g_00957	Prae.g_00580
OG0000055	Syas.g_00203	Prae.g_00787
OG0000057	Syas.g_01055, Syas.g_01038	Prae.g_00672
OG0000058	Syas.g_01151	Prae.g_01406
OG0000059	Syas.g_01639	Prae.g_01710
OG0000060	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975	Prae.g_01238
OG0000061	Syas.g_01184	Prae.g_01163
OG0000062	Syas.g_02702	Prae.g_01537
OG0000063	Syas.g_02074	Prae.g_00033
OG0000065	Syas.g_02420	Prae.g_00106
OG0000066	Syas.g_00094	Prae.g_00514
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prae.g_00806
OG0000068	Syas.g_00969, Syas.g_01261	Prae.g_01368
OG0000069	Syas.g_00779, Syas.g_00876	Prae.g_01573
OG0000070	Syas.g_00173	Prae.g_00424
OG0000071	Syas.g_02854	Prae.g_01329
OG0000072	Syas.g_02326, Syas.g_01524	Prae.g_00174
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prae.g_00473
OG0000075	Syas.g_01921, Syas.g_02194	Prae.g_01791
OG0000076	Syas.g_02156	Prae.g_01815
OG0000077	Syas.g_02510	Prae.g_00078
OG0000078	Syas.g_02561, Syas.g_02308	Prae.g_00242
OG0000079	Syas.g_01699	Prae.g_00255
OG0000081	Syas.g_00391	Prae.g_00505
OG0000082	Syas.g_00837	Prae.g_00559
OG0000085	Syas.g_02695	Prae.g_01616
OG0000086	Syas.g_02470	Prae.g_00088
OG0000087	Syas.g_02374	Prae.g_00139
OG0000089	Syas.g_01512	Prae.g_00355
OG0000090	Syas.g_00062	Prae.g_00508
OG0000091	Syas.g_00907, Syas.g_00146	Prae.g_00616
OG0000094	Syas.g_00208, Syas.g_01716	Prae.g_01021
OG0000095	Syas.g_01021	Prae.g_01040
OG0000097	Syas.g_00114, Syas.g_01443	Prae.g_01204
OG0000098	Syas.g_00091	Prae.g_01350
OG0000099	Syas.g_01826	Prae.g_01390
OG0000100	Syas.g_00567	Prae.g_01533
OG0000101	Syas.g_01589	Prae.g_01758
OG0000102	Syas.g_02152, Syas.g_01395	Prae.g_01820
OG0000103	Syas.g_02009	Prae.g_01899
OG0000104	Syas.g_02027, Syas.g_02026	Prae.g_01907
OG0000105	Syas.g_01739	Prae.g_01440
OG0000106	Syas.g_01451	Prae.g_00370
OG0000107	Syas.g_01669	Prae.g_00385
OG0000108	Syas.g_01253	Prae.g_00454
OG0000109	Syas.g_01236	Prae.g_00468
OG0000110	Syas.g_00359, Syas.g_00818	Prae.g_00549
OG0000111	Syas.g_01037	Prae.g_00673
OG0000112	Syas.g_00452	Prae.g_00770
OG0000113	Syas.g_00571	Prae.g_00828
OG0000114	Syas.g_00252, Syas.g_00674	Prae.g_00908
OG0000115	Syas.g_02548, Syas.g_01285	Prae.g_01102
OG0000116	Syas.g_01198, Syas.g_00317	Prae.g_01153
